<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
0S6.DE,D,20200615,000000,35,35,35,35,0,0
0S6.DE,D,20200616,000000,37.2,37.2,37.2,37.2,100,0
0S6.DE,D,20200617,000000,37,37,36.4,36.6,204,0
0S6.DE,D,20200618,000000,38.2,38.2,38.2,38.2,0,0
0S6.DE,D,20200619,000000,38.2,39.8,38.2,39.8,175,0
0S6.DE,D,20200622,000000,39.2,39.2,39.2,39.2,0,0
0S6.DE,D,20200624,000000,36.4,36.4,36.4,36.4,0,0
0S6.DE,D,20200626,000000,36.4,36.6,36.4,36.6,100,0
0S6.DE,D,20200630,000000,34.2,34.8,34.2,34.8,31,0
0S6.DE,D,20200702,000000,37,37,37,37,70,0
0S6.DE,D,20200703,000000,37,37,37,37,0,0
0S6.DE,D,20200706,000000,37.4,37.4,37.4,37.4,0,0
0S6.DE,D,20200707,000000,36.8,36.8,36.8,36.8,3,0
0S6.DE,D,20200708,000000,35.91,35.91,35.91,35.91,0,0
0S6.DE,D,20200709,000000,35.72,35.72,35.72,35.72,0,0
0S6.DE,D,20200710,000000,35.02,35.02,34.31,34.31,80,0
0S6.DE,D,20200715,000000,31.37,31.37,31.37,31.37,119,0
0S6.DE,D,20200716,000000,31.06,31.06,31.06,31.06,0,0
0S6.DE,D,20200717,000000,31.52,33.08,31.52,32.77,55,0
0S6.DE,D,20200720,000000,33.46,33.46,33.46,33.46,185,0
0S6.DE,D,20200722,000000,34.7,34.7,34.7,34.7,0,0
0S6.DE,D,20200727,000000,33.64,33.64,32.99,33.16,103,0
0S6.DE,D,20200728,000000,33.99,33.99,33.99,33.99,0,0
0S6.DE,D,20200729,000000,33.7,33.7,33.09,33.09,30,0
0S6.DE,D,20200730,000000,33.08,33.08,33.08,33.08,0,0
0S6.DE,D,20200731,000000,32.6,32.6,32.6,32.6,0,0
0S6.DE,D,20200804,000000,40.6,42.24,40.6,42.24,7,0
0S6.DE,D,20200807,000000,44.35,44.35,44.35,44.35,0,0
0S6.DE,D,20200810,000000,43.44,43.44,42.07,42.07,70,0
0S6.DE,D,20200811,000000,41.53,41.53,41.53,41.53,0,0
0S6.DE,D,20200814,000000,45.03,45.03,45.03,45.03,0,0
0S6.DE,D,20200817,000000,46.22,46.22,46.22,46.22,0,0
0S6.DE,D,20200818,000000,48.81,48.81,47.43,47.43,10,0
0S6.DE,D,20200819,000000,46.72,46.72,46.72,46.72,0,0
0S6.DE,D,20200820,000000,46.26,46.26,46.26,46.26,0,0
0S6.DE,D,20200821,000000,46.45,46.45,46.45,46.45,0,0
0S6.DE,D,20200824,000000,45.18,45.18,45.18,45.18,0,0
0S6.DE,D,20200825,000000,44.97,44.97,44.97,44.97,0,0
0S6.DE,D,20200826,000000,45.79,45.79,45.17,45.17,140,0
0S6.DE,D,20200827,000000,44.15,44.15,44.15,44.15,0,0
0S6.DE,D,20200828,000000,42.93,44.79,42.93,44.79,50,0
0S6.DE,D,20200831,000000,46.9,46.9,46.9,46.9,51,0
0S6.DE,D,20200901,000000,46.16,46.16,46.16,46.16,0,0
0S6.DE,D,20200902,000000,45.35,45.35,45.35,45.35,0,0
0S6.DE,D,20200903,000000,45,45,45,45,19,0
