<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
10AL.DE,D,20181126,000000,48.801517,48.801517,48.801517,48.801517,0,0
10AL.DE,D,20181127,000000,47.992322,47.992322,47.992322,47.992322,0,0
10AL.DE,D,20181128,000000,48.007017,48.007017,48.007017,48.007017,0,0
10AL.DE,D,20181129,000000,48.122616,48.122616,48.122616,48.122616,0,0
10AL.DE,D,20181130,000000,48.150047,48.150047,48.150047,48.150047,0,0
10AL.DE,D,20181203,000000,48.13927,48.218623,48.13927,48.218623,0,0
10AL.DE,D,20181204,000000,48.219602,48.308751,48.219602,48.308751,0,0
10AL.DE,D,20181205,000000,48.341079,48.386144,48.341079,48.356754,14,0
10AL.DE,D,20181206,000000,48.354795,48.361652,48.344998,48.347937,7,0
10AL.DE,D,20181207,000000,48.322466,48.325405,48.297975,48.319527,7,0
10AL.DE,D,20181210,000000,48.280341,48.388103,48.280341,48.388103,2453,0
10AL.DE,D,20181211,000000,48.341079,48.359693,48.289158,48.359693,0,0
10AL.DE,D,20181212,000000,48.428269,48.429248,48.39496,48.39496,446,0
10AL.DE,D,20181213,000000,48.445902,48.479211,48.376347,48.376347,0,0
10AL.DE,D,20181214,000000,48.467455,48.473333,48.457658,48.473333,0,0
10AL.DE,D,20181217,000000,48.468435,48.468435,48.445902,48.445902,0,0
10AL.DE,D,20181218,000000,48.497824,48.502722,48.497824,48.502722,0,0
10AL.DE,D,20181219,000000,48.621261,48.62322,48.603627,48.603627,0,0
10AL.DE,D,20181220,000000,48.658488,48.673182,48.644772,48.673182,0,0
10AL.DE,D,20181221,000000,48.596769,48.606566,48.561502,48.561502,0,0
10AL.DE,D,20181227,000000,48.580115,48.635956,48.580115,48.635956,0,0
10AL.DE,D,20181228,000000,48.59383,48.628118,48.59383,48.614403,0,0
10AL.DE,D,20190102,000000,48.671223,48.753514,48.671223,48.733921,2000,0
10AL.DE,D,20190103,000000,48.763311,48.763311,48.628118,48.647711,0,0
10AL.DE,D,20190104,000000,48.670244,48.670244,48.552685,48.552685,0,0
10AL.DE,D,20190107,000000,48.544848,48.56738,48.478231,48.478231,6,0
10AL.DE,D,20190108,000000,48.418472,48.418472,48.388103,48.388103,0,0
10AL.DE,D,20190109,000000,48.372428,48.477251,48.372428,48.477251,2009,0
10AL.DE,D,20190110,000000,48.521336,48.546807,48.521336,48.540929,0,0
10AL.DE,D,20190111,000000,48.56542,48.615383,48.56542,48.608525,455,0
10AL.DE,D,20190114,000000,48.610485,48.691796,48.610485,48.691796,0,0
10AL.DE,D,20190115,000000,48.703552,48.751555,48.703552,48.740779,0,0
10AL.DE,D,20190116,000000,48.742738,48.777026,48.73588,48.777026,0,0
10AL.DE,D,20190117,000000,48.770168,48.79368,48.732941,48.732941,0,0
10AL.DE,D,20190118,000000,48.733921,48.734901,48.731962,48.734901,0,0
10AL.DE,D,20190121,000000,48.741758,48.741758,48.706491,48.706491,0,0
10AL.DE,D,20190122,000000,48.771148,48.773107,48.758412,48.773107,0,0
10AL.DE,D,20190123,000000,48.801517,48.82209,48.776046,48.82209,0,0
10AL.DE,D,20190124,000000,48.854419,49.014102,48.854419,49.014102,0,0
10AL.DE,D,20190125,000000,49.025858,49.025858,49.018021,49.023899,0,0
10AL.DE,D,20190128,000000,48.994509,48.994509,48.954343,48.988631,0,0
10AL.DE,D,20190129,000000,49.012143,49.012143,49.000387,49.000387,0,0
10AL.DE,D,20190130,000000,49.012143,49.035655,49.012143,49.035655,249,0
10AL.DE,D,20190131,000000,49.092475,49.13558,49.092475,49.13558,0,0
10AL.DE,D,20190201,000000,49.149295,49.149295,48.998428,48.998428,16,0
10AL.DE,D,20190204,000000,48.946506,48.988631,48.946506,48.962181,0,0
10AL.DE,D,20190205,000000,48.958262,48.958262,48.931811,48.932791,7,0
10AL.DE,D,20190206,000000,48.944547,48.944547,48.901442,48.901442,12,0
10AL.DE,D,20190207,000000,48.883808,48.917117,48.883808,48.891646,3,0
10AL.DE,D,20190208,000000,48.862256,48.898503,48.862256,48.881849,2025,0
10AL.DE,D,20190211,000000,48.87989,48.899483,48.87989,48.899483,0,0
10AL.DE,D,20190212,000000,48.87891,48.914178,48.87891,48.914178,0,0
10AL.DE,D,20190213,000000,48.9083,48.988631,48.9083,48.988631,0,0
10AL.DE,D,20190214,000000,48.998428,49.043492,48.998428,49.018021,3,0
10AL.DE,D,20190215,000000,49.000387,49.012143,48.942588,49.012143,0,0
10AL.DE,D,20190218,000000,49.025858,49.025858,49.01998,49.025858,0,0
10AL.DE,D,20190219,000000,49.053289,49.053289,49.01998,49.051329,0,0
10AL.DE,D,20190220,000000,49.063085,49.086597,49.037614,49.037614,2,0
10AL.DE,D,20190221,000000,48.998428,48.998428,48.99255,48.994509,0,0
10AL.DE,D,20190222,000000,49.004306,49.033696,49.004306,49.033696,0,0
10AL.DE,D,20190225,000000,49.080719,49.088556,49.051329,49.080719,1,0
10AL.DE,D,20190226,000000,49.114027,49.115987,49.098353,49.115987,0,0
10AL.DE,D,20190227,000000,49.115987,49.115987,48.984713,48.984713,0,0
10AL.DE,D,20190228,000000,49.023899,49.023899,48.924954,48.924954,0,0
10AL.DE,D,20190301,000000,48.937689,48.937689,48.892625,48.917117,3,0
10AL.DE,D,20190304,000000,48.920056,48.988631,48.920056,48.988631,0,0
10AL.DE,D,20190305,000000,48.952384,49.016062,48.952384,49.016062,15,0
10AL.DE,D,20190306,000000,49.063085,49.178684,49.063085,49.178684,0,0
10AL.DE,D,20190307,000000,49.157132,49.454947,49.157132,49.454947,3,0
10AL.DE,D,20190308,000000,49.433395,49.458866,49.433395,49.443191,15,0
10AL.DE,D,20190311,000000,49.439273,49.439273,49.398127,49.398127,0,0
10AL.DE,D,20190312,000000,49.355022,49.386371,49.355022,49.386371,0,0
10AL.DE,D,20190313,000000,49.3609,49.3609,49.339348,49.358941,0,0
10AL.DE,D,20190314,000000,49.343267,49.427517,49.343267,49.386371,0,0
10AL.DE,D,20190315,000000,49.407924,49.454947,49.404005,49.404005,1,0
10AL.DE,D,20190318,000000,49.415761,49.505889,49.415761,49.505889,0,0
10AL.DE,D,20190319,000000,49.498052,49.498052,49.41968,49.41968,0,0
10AL.DE,D,20190320,000000,49.423598,49.452988,49.402046,49.435354,4,0
10AL.DE,D,20190321,000000,49.507849,49.627367,49.507849,49.627367,0,0
10AL.DE,D,20190322,000000,49.596018,49.825257,49.596018,49.825257,0,0
10AL.DE,D,20190325,000000,49.748844,49.756681,49.725332,49.756681,2008,0
10AL.DE,D,20190326,000000,49.739047,49.793908,49.739047,49.793908,200,0
10AL.DE,D,20190327,000000,49.880118,49.98592,49.850728,49.968286,98,0
10AL.DE,D,20190328,000000,49.927141,49.927141,49.876199,49.876199,0,0
10AL.DE,D,20190329,000000,49.868362,49.868362,49.838972,49.856606,0,0
10AL.DE,D,20190401,000000,49.737088,49.768437,49.70378,49.70378,3,0
10AL.DE,D,20190402,000000,49.707698,49.754722,49.707698,49.754722,0,0
10AL.DE,D,20190403,000000,49.633244,49.635204,49.619529,49.619529,0,0
10AL.DE,D,20190404,000000,49.615611,49.695942,49.615611,49.695942,0,0
10AL.DE,D,20190405,000000,49.648919,49.73121,49.648919,49.73121,8,0
10AL.DE,D,20190408,000000,49.768437,49.774315,49.756681,49.756681,3,0
10AL.DE,D,20190409,000000,49.770396,49.81742,49.770396,49.81742,0,0
10AL.DE,D,20190410,000000,49.846809,49.90167,49.835053,49.90167,0,0
10AL.DE,D,20190411,000000,49.848769,49.909507,49.848769,49.903629,0,0
10AL.DE,D,20190412,000000,49.911466,49.911466,49.729251,49.729251,3,0
10AL.DE,D,20190415,000000,49.762559,49.762559,49.629326,49.643041,2,0
10AL.DE,D,20190416,000000,49.656756,49.656756,49.605814,49.615611,0,0
10AL.DE,D,20190417,000000,49.562709,49.564669,49.529401,49.564669,0,0
10AL.DE,D,20190418,000000,49.566628,49.705739,49.566628,49.705739,0,0
10AL.DE,D,20190423,000000,49.664593,49.664593,49.592099,49.597977,28,0
10AL.DE,D,20190424,000000,49.637163,49.772355,49.637163,49.772355,0,0
10AL.DE,D,20190425,000000,49.748844,49.748844,49.67439,49.67439,0,0
10AL.DE,D,20190426,000000,49.695942,49.809582,49.695942,49.809582,0,0
10AL.DE,D,20190429,000000,49.819379,49.819379,49.801745,49.801745,0,0
10AL.DE,D,20190430,000000,49.789989,49.829175,49.748844,49.829175,0,0
10AL.DE,D,20190502,000000,49.793908,49.905589,49.793908,49.825257,2003,0
10AL.DE,D,20190503,000000,49.803704,49.837013,49.803704,49.837013,0,0
10AL.DE,D,20190506,000000,49.889914,49.889914,49.813501,49.850728,13,0
10AL.DE,D,20190507,000000,49.835053,49.942815,49.835053,49.913426,140,0
10AL.DE,D,20190508,000000,49.895792,49.915385,49.891873,49.915385,0,0
10AL.DE,D,20190509,000000,49.897751,49.897751,49.829175,49.829175,0,0
10AL.DE,D,20190510,000000,49.846809,49.848769,49.829175,49.829175,136,0
10AL.DE,D,20190513,000000,49.811542,49.870321,49.809582,49.870321,0,0
10AL.DE,D,20190514,000000,49.840931,49.868362,49.840931,49.848769,0,0
10AL.DE,D,20190515,000000,49.868362,49.968286,49.868362,49.927141,2,0
10AL.DE,D,20190516,000000,49.950653,50.046659,49.950653,50.007473,1000,0
10AL.DE,D,20190517,000000,50.038822,50.103479,50.038822,50.0447,0,0
10AL.DE,D,20190520,000000,50.030984,50.040781,49.964368,49.964368,4,0
10AL.DE,D,20190521,000000,49.93106,49.966327,49.93106,49.942815,0,0
10AL.DE,D,20190522,000000,49.98592,49.999635,49.954571,49.999635,0,0
10AL.DE,D,20190523,000000,50.021188,50.060374,50.021188,50.060374,1,0
10AL.DE,D,20190524,000000,50.070171,50.140706,50.070171,50.140706,0,0
10AL.DE,D,20190527,000000,50.150502,50.174014,50.150502,50.152462,0,0
10AL.DE,D,20190528,000000,50.117194,50.15638,50.10152,50.15638,0,0
10AL.DE,D,20190529,000000,50.170095,50.287654,50.170095,50.287654,0,0
10AL.DE,D,20190530,000000,50.238671,50.281776,50.238671,50.250427,0,0
10AL.DE,D,20190531,000000,50.254346,50.375823,50.254346,50.375823,0,0
10AL.DE,D,20190603,000000,50.373864,50.501219,50.373864,50.473788,4,0
10AL.DE,D,20190604,000000,50.471829,50.605062,50.471829,50.567835,0,0
10AL.DE,D,20190605,000000,50.624655,50.654045,50.579591,50.654045,22,0
10AL.DE,D,20190606,000000,50.695191,50.759848,50.695191,50.759848,0,0
10AL.DE,D,20190607,000000,50.7814,51.03807,50.7814,51.004762,9,0
10AL.DE,D,20190611,000000,50.863691,50.898959,50.855854,50.898959,0,0
10AL.DE,D,20190612,000000,50.853895,50.875447,50.812749,50.812749,0,0
10AL.DE,D,20190613,000000,50.828424,50.883284,50.828424,50.883284,0,0
10AL.DE,D,20190614,000000,50.953819,51.032192,50.953819,51.022395,1,0
10AL.DE,D,20190617,000000,51.041988,51.041988,50.991046,50.993006,2,0
10AL.DE,D,20190618,000000,51.006721,51.471077,51.006721,51.455403,2057,0
10AL.DE,D,20190619,000000,51.410339,51.410339,51.339804,51.339804,0,0
10AL.DE,D,20190620,000000,51.545531,51.545531,51.467159,51.467159,10,0
10AL.DE,D,20190621,000000,51.43581,51.43581,51.310414,51.310414,2,0
10AL.DE,D,20190624,000000,51.410339,51.439728,51.410339,51.414257,1002,0
10AL.DE,D,20190625,000000,51.40642,51.49067,51.40642,51.49067,90,0
10AL.DE,D,20190626,000000,51.474996,51.474996,51.445606,51.449525,0,0
10AL.DE,D,20190627,000000,51.365275,51.486752,51.365275,51.486752,0,0
10AL.DE,D,20190628,000000,51.496548,51.54945,51.496548,51.531816,90,0
10AL.DE,D,20190701,000000,51.502426,51.743421,51.502426,51.743421,1,0
10AL.DE,D,20190702,000000,51.798282,51.855102,51.786526,51.855102,0,0
10AL.DE,D,20190703,000000,52.011847,52.217575,52.011847,52.217575,0,0
10AL.DE,D,20190704,000000,52.237168,52.260679,52.190144,52.190144,0,0
10AL.DE,D,20190705,000000,52.219534,52.219534,51.970701,51.970701,18,0
10AL.DE,D,20190708,000000,52.08826,52.08826,51.896248,51.896248,7,0
10AL.DE,D,20190709,000000,51.88841,51.896248,51.880573,51.880573,0,0
10AL.DE,D,20190710,000000,51.71991,51.751259,51.645456,51.751259,0,0
10AL.DE,D,20190711,000000,51.772811,51.772811,51.594514,51.594514,9,0
10AL.DE,D,20190712,000000,51.572961,51.572961,51.416217,51.439728,7,0
10AL.DE,D,20190715,000000,51.49263,51.674846,51.49263,51.674846,2,0
10AL.DE,D,20190716,000000,51.694439,51.817875,51.694439,51.74734,0,0
10AL.DE,D,20190717,000000,51.827672,51.884492,51.827672,51.874695,0,0
10AL.DE,D,20190718,000000,51.937393,52.074545,51.937393,52.027521,2643,0
10AL.DE,D,20190719,000000,52.027521,52.027521,51.986376,52.00205,1007,0
10AL.DE,D,20190722,000000,51.980498,52.041237,51.980498,51.988335,15,0
10AL.DE,D,20190723,000000,51.994213,52.045155,51.994213,52.045155,1,0
10AL.DE,D,20190724,000000,52.033399,52.235208,52.033399,52.235208,2469,0
10AL.DE,D,20190725,000000,52.245005,52.248923,52.14508,52.14508,0,0
10AL.DE,D,20190726,000000,52.196022,52.196022,52.143121,52.14508,477,0
10AL.DE,D,20190729,000000,52.217575,52.217575,52.203859,52.203859,0,0
10AL.DE,D,20190730,000000,52.186226,52.2019,52.182307,52.2019,0,0
10AL.DE,D,20190731,000000,52.245005,52.421343,52.245005,52.421343,0,0
10AL.DE,D,20190801,000000,52.341011,52.452692,52.341011,52.452692,1,0
10AL.DE,D,20190802,000000,52.54282,52.654501,52.54282,52.654501,0,0
10AL.DE,D,20190805,000000,52.871984,52.871984,52.689768,52.689768,17,0
10AL.DE,D,20190806,000000,52.791652,52.830839,52.791652,52.821042,0,0
10AL.DE,D,20190807,000000,52.942519,53.19527,52.942519,53.122776,7,0
10AL.DE,D,20190808,000000,52.932723,52.964072,52.860228,52.860228,0,0
10AL.DE,D,20190809,000000,52.766181,52.766181,52.615314,52.615314,17,0
10AL.DE,D,20190812,000000,52.679972,52.74071,52.674094,52.74071,0,0
10AL.DE,D,20190813,000000,52.870025,52.928804,52.852391,52.928804,0,0
10AL.DE,D,20190814,000000,53.022851,53.071834,53.022851,53.071834,0,0
10AL.DE,D,20190815,000000,53.185474,53.569499,53.185474,53.569499,2,0
10AL.DE,D,20190816,000000,53.557743,53.563621,53.420591,53.420591,0,0
10AL.DE,D,20190819,000000,53.483289,53.483289,53.154125,53.199189,0,0
10AL.DE,D,20190820,000000,53.189392,53.373567,53.189392,53.373567,14,0
10AL.DE,D,20190821,000000,53.336341,53.342219,53.285399,53.342219,0,0
10AL.DE,D,20190822,000000,53.402957,53.402957,53.214863,53.214863,0,0
10AL.DE,D,20190823,000000,53.171759,53.263846,53.171759,53.263846,1,0
10AL.DE,D,20190826,000000,53.236416,53.283439,53.236416,53.283439,0,0
10AL.DE,D,20190827,000000,53.418632,53.638074,53.383364,53.618481,2017,0
10AL.DE,D,20190828,000000,53.634156,53.832046,53.634156,53.832046,0,0
10AL.DE,D,20190829,000000,53.810494,53.839883,53.732121,53.732121,12013,0
10AL.DE,D,20190830,000000,53.683138,53.747796,53.683138,53.712528,0,0
10AL.DE,D,20190902,000000,53.724284,53.724284,53.638074,53.669423,1,0
10AL.DE,D,20190903,000000,53.753674,53.871232,53.753674,53.871232,0,0
10AL.DE,D,20190904,000000,53.804616,53.804616,53.618481,53.759552,3500,0
10AL.DE,D,20190905,000000,53.70665,53.70665,53.287358,53.287358,29,0
10AL.DE,D,20190906,000000,53.344178,53.520516,53.344178,53.520516,0,0
10AL.DE,D,20190909,000000,53.477411,53.477411,53.22466,53.22466,7,0
10AL.DE,D,20190910,000000,53.181555,53.181555,53.028729,53.028729,0,0
10AL.DE,D,20190911,000000,53.036566,53.163921,53.036566,53.163921,0,0
10AL.DE,D,20190912,000000,53.165881,53.242294,53.165881,53.201148,22019,0
10AL.DE,D,20190913,000000,53.046363,53.046363,52.903333,52.903333,0,0
10AL.DE,D,20190916,000000,52.960153,53.034607,52.960153,53.022851,2,0
10AL.DE,D,20190917,000000,53.034607,53.034607,52.926845,52.926845,55,0
10AL.DE,D,20190918,000000,52.946438,53.148247,52.946438,53.148247,0,0
10AL.DE,D,20190919,000000,53.099264,53.118857,53.048322,53.118857,0,0
10AL.DE,D,20190920,000000,53.13845,53.16784,53.130613,53.13845,17,0
10AL.DE,D,20190923,000000,53.160003,53.485248,53.160003,53.485248,2008,0
10AL.DE,D,20190924,000000,53.410794,53.571458,53.410794,53.571458,1001,0
10AL.DE,D,20190925,000000,53.557743,53.645912,53.50876,53.50876,0,0
10AL.DE,D,20190926,000000,53.47937,53.549905,53.47937,53.526394,0,0
10AL.DE,D,20190927,000000,53.583214,53.583214,53.495045,53.500923,0,0
10AL.DE,D,20191001,000000,53.402957,53.402957,53.273643,53.400998,1,0
10AL.DE,D,20191002,000000,53.346137,53.346137,53.312829,53.312829,0,0
10AL.DE,D,20191004,000000,53.522475,53.524434,53.463696,53.463696,0,0
10AL.DE,D,20191007,000000,53.489167,53.489167,53.404916,53.404916,30,0
10AL.DE,D,20191008,000000,53.318707,53.469574,53.318707,53.469574,0,0
10AL.DE,D,20191009,000000,53.449981,53.449981,53.320666,53.320666,0,0
10AL.DE,D,20191010,000000,53.256009,53.256009,53.034607,53.034607,0,0
10AL.DE,D,20191011,000000,53.062037,53.062037,52.922926,52.922926,0,0
10AL.DE,D,20191014,000000,53.075752,53.075752,53.032648,53.032648,0,0
10AL.DE,D,20191015,000000,53.034607,53.077712,52.944479,52.944479,2,0
10AL.DE,D,20191016,000000,52.934682,52.979746,52.85435,52.85435,0,0
