<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
18M6.DE,D,20100714,000000,100.84,100.84,100.84,100.84,0,0
18M6.DE,D,20100715,000000,100.78,100.78,100.78,100.78,0,0
18M6.DE,D,20100719,000000,97.76,97.76,97.76,97.76,0,0
18M6.DE,D,20100720,000000,97.17,97.17,97.17,97.17,0,0
18M6.DE,D,20100721,000000,96.63,96.63,96.63,96.63,0,0
18M6.DE,D,20100722,000000,97.67,97.67,97.67,97.67,0,0
18M6.DE,D,20100723,000000,96.4,96.4,96.4,96.4,0,0
18M6.DE,D,20100726,000000,95.73,95.73,95.73,95.73,0,0
18M6.DE,D,20100727,000000,95.38,95.38,95.38,95.38,0,0
18M6.DE,D,20100728,000000,95.71,95.71,95.71,95.71,0,0
18M6.DE,D,20100729,000000,95.36,95.36,95.36,95.36,0,0
18M6.DE,D,20100730,000000,94.92,94.92,94.92,94.92,0,0
18M6.DE,D,20100802,000000,96.01,96.54,96.01,96.54,8000,0
18M6.DE,D,20100803,000000,97.21,97.21,97.21,97.21,0,0
18M6.DE,D,20100804,000000,97.14,97.14,97.14,97.14,0,0
18M6.DE,D,20100805,000000,98,98,98,98,0,0
18M6.DE,D,20100806,000000,97.65,97.65,97.65,97.65,0,0
18M6.DE,D,20100809,000000,98.8,98.8,98.8,98.8,0,0
18M6.DE,D,20100810,000000,99.63,99.63,99.63,99.63,0,0
18M6.DE,D,20100811,000000,98.78,98.78,98.78,98.78,0,0
18M6.DE,D,20100812,000000,99.66,99.66,99.66,99.66,0,0
18M6.DE,D,20100813,000000,100.39,100.39,100.39,100.39,0,0
18M6.DE,D,20100816,000000,100.59,100.59,100.59,100.59,0,0
18M6.DE,D,20100817,000000,100.44,100.44,100.44,100.44,0,0
18M6.DE,D,20100818,000000,100.77,100.77,100.77,100.77,0,0
18M6.DE,D,20100819,000000,99.68,99.68,99.68,99.68,0,0
18M6.DE,D,20100820,000000,99.71,99.71,99.71,99.71,0,0
18M6.DE,D,20100823,000000,100.6,100.6,100.6,100.6,0,0
18M6.DE,D,20100825,000000,99.33,99.33,99.33,99.33,0,0
18M6.DE,D,20100826,000000,99.4,99.4,99.4,99.4,0,0
18M6.DE,D,20100827,000000,99.3,99.99,99.3,99.99,1900,0
18M6.DE,D,20100830,000000,100.54,100.54,100.54,100.54,0,0
18M6.DE,D,20100831,000000,100.57,100.57,100.57,100.57,0,0
18M6.DE,D,20100902,000000,101.75,101.75,101.75,101.75,0,0
18M6.DE,D,20100903,000000,102.19,102.19,102.19,102.19,0,0
18M6.DE,D,20100906,000000,102.49,102.49,102.49,102.49,0,0
18M6.DE,D,20100907,000000,103.27,103.27,103.27,103.27,0,0
18M6.DE,D,20100908,000000,104.15,104.15,104.15,104.15,0,0
18M6.DE,D,20100909,000000,104.96,104.96,104.96,104.96,0,0
18M6.DE,D,20100910,000000,105.11,105.11,105.11,105.11,0,0
18M6.DE,D,20100913,000000,104.83,104.83,104.83,104.83,0,0
18M6.DE,D,20100914,000000,105.17,105.17,105.17,105.17,0,0
18M6.DE,D,20100915,000000,104.76,104.76,104.76,104.76,0,0
18M6.DE,D,20100916,000000,103.63,103.63,103.63,103.63,0,0
18M6.DE,D,20100917,000000,103.58,103.58,103.58,103.58,0,0
18M6.DE,D,20100920,000000,104.73,104.73,104.73,104.73,0,0
18M6.DE,D,20100921,000000,103.83,103.83,103.83,103.83,0,0
18M6.DE,D,20100923,000000,102.93,102.93,102.93,102.93,0,0
18M6.DE,D,20100924,000000,102.78,102.78,102.78,102.78,0,0
18M6.DE,D,20100927,000000,102.25,102.25,102.25,102.25,0,0
18M6.DE,D,20100928,000000,102.12,102.12,102.12,102.12,0,0
18M6.DE,D,20100929,000000,101.39,101.39,101.39,101.39,0,0
18M6.DE,D,20100930,000000,100.73,100.73,100.73,100.73,0,0
