<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
18MS.DE,D,20100714,000000,35.9,35.9,35.77,35.77,53,0
18MS.DE,D,20100715,000000,36.24,36.24,36.24,36.24,0,0
18MS.DE,D,20100716,000000,37.06,37.06,37.06,37.06,0,0
18MS.DE,D,20100719,000000,37.19,37.19,36.69,37.17,83,0
18MS.DE,D,20100720,000000,37.56,37.56,37.29,37.29,55,0
18MS.DE,D,20100721,000000,37.09,37.09,37.09,37.09,0,0
18MS.DE,D,20100722,000000,36.03,36.03,36.03,36.03,0,0
18MS.DE,D,20100723,000000,35.97,35.97,35.97,35.97,0,0
18MS.DE,D,20100726,000000,35.65,35.65,35.65,35.65,0,0
18MS.DE,D,20100727,000000,35.3,35.3,35.3,35.3,0,0
18MS.DE,D,20100728,000000,35.31,35.31,35.31,35.31,0,0
18MS.DE,D,20100729,000000,35.15,35.53,35.15,35.53,30,0
18MS.DE,D,20100730,000000,35.66,35.66,35.66,35.66,0,0
18MS.DE,D,20100802,000000,35,35,34.58,34.58,200,0
18MS.DE,D,20100803,000000,34.63,34.63,34.63,34.63,0,0
18MS.DE,D,20100804,000000,34.53,34.55,34.53,34.55,100,0
18MS.DE,D,20100805,000000,34.5,34.69,34.47,34.68,158,0
18MS.DE,D,20100806,000000,35.06,35.06,35.06,35.06,0,0
18MS.DE,D,20100809,000000,34.51,34.51,34.51,34.51,0,0
18MS.DE,D,20100810,000000,34.84,34.87,34.84,34.84,120,0
18MS.DE,D,20100811,000000,35.79,35.79,35.79,35.79,0,0
18MS.DE,D,20100812,000000,35.83,35.83,35.83,35.83,0,0
18MS.DE,D,20100813,000000,36.02,36.02,36.02,36.02,0,0
18MS.DE,D,20100816,000000,36.21,36.21,36.21,36.21,0,0
18MS.DE,D,20100817,000000,35.73,35.73,35.73,35.73,0,0
18MS.DE,D,20100818,000000,35.73,35.73,35.73,35.73,0,0
18MS.DE,D,20100819,000000,36.51,36.51,36.51,36.51,0,0
