<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1TY.DE,D,20190912,000000,81.889053,83.886347,81.889053,83.886347,117,0
1TY.DE,D,20190913,000000,82.8877,82.8877,71.902583,73.680175,444,0
1TY.DE,D,20190916,000000,74.998389,74.998389,72.801365,73.320662,517,0
1TY.DE,D,20190917,000000,74.698795,74.698795,68.507183,69.555763,683,0
1TY.DE,D,20190918,000000,68.107724,68.107724,67.408672,67.608401,107,0
1TY.DE,D,20190919,000000,66.779524,69.106371,66.779524,68.107724,201,0
1TY.DE,D,20190920,000000,69.455898,70.304748,68.537143,69.16629,401,0
1TY.DE,D,20190923,000000,70.804071,70.86399,69.605695,69.605695,1832,0
1TY.DE,D,20190924,000000,68.916629,69.236196,68.906642,69.236196,240,0
1TY.DE,D,20190925,000000,68.407319,68.407319,67.907995,68.337413,175,0
1TY.DE,D,20190926,000000,68.137684,68.397332,67.578442,67.907995,193,0
1TY.DE,D,20190927,000000,68.107724,69.895303,66.110431,66.110431,673,0
1TY.DE,D,20190930,000000,67.907995,67.907995,65.920688,66.81947,196,0
1TY.DE,D,20191001,000000,67.248888,67.458604,66.98924,67.458604,34,0
1TY.DE,D,20191002,000000,66.899362,66.899362,64.912054,65.910701,716,0
1TY.DE,D,20191004,000000,65.710972,65.710972,65.541202,65.591134,570,0
1TY.DE,D,20191007,000000,66.410025,66.410025,65.331486,65.611107,2166,0
1TY.DE,D,20191008,000000,65.910701,65.910701,64.672379,64.672379,411,0
1TY.DE,D,20191009,000000,64.61246,64.61246,64.183042,64.412731,493,0
1TY.DE,D,20191010,000000,64.10315,64.61246,64.10315,64.61246,150,0
1TY.DE,D,20191011,000000,65.29154,66.509889,65.29154,66.509889,205,0
1TY.DE,D,20191014,000000,66.100444,66.100444,65.321499,65.601121,465,0
1TY.DE,D,20191015,000000,66.420011,66.420011,65.551188,66.060498,200,0
1TY.DE,D,20191016,000000,65.810836,65.910701,65.661039,65.890728,1300,0
1TY.DE,D,20191017,000000,66.589781,67.348753,66.589781,66.78951,1585,0
1TY.DE,D,20191018,000000,67.049159,67.079118,66.589781,67.079118,285,0
1TY.DE,D,20191021,000000,66.679659,66.679659,65.910701,65.960633,377,0
1TY.DE,D,20191022,000000,65.910701,66.679659,65.910701,66.429998,1555,0
1TY.DE,D,20191023,000000,65.401391,65.401391,62.595193,62.595193,1778,0
1TY.DE,D,20191024,000000,63.11449,63.863475,63.024611,63.444043,3142,0
1TY.DE,D,20191025,000000,62.764963,62.764963,61.786289,62.345531,645,0
1TY.DE,D,20191028,000000,63.204368,63.204368,62.91476,63.11449,518,0
1TY.DE,D,20191029,000000,62.844855,63.364151,62.205721,62.994652,2783,0
1TY.DE,D,20191030,000000,62.005991,63.314219,61.676438,61.676438,961,0
1TY.DE,D,20191031,000000,62.245667,62.245667,61.766316,61.766316,163,0
1TY.DE,D,20191101,000000,62.09587,62.09587,61.9261,61.9261,50,0
