<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2B7D.DE,D,20170323,000000,4.643,4.643,4.643,4.643,0,0
2B7D.DE,D,20170324,000000,4.605,4.605,4.605,4.605,0,0
2B7D.DE,D,20170327,000000,4.566,4.566,4.566,4.566,0,0
2B7D.DE,D,20170328,000000,4.575,4.575,4.575,4.575,0,0
2B7D.DE,D,20170329,000000,4.632,4.632,4.632,4.632,0,0
2B7D.DE,D,20170330,000000,4.651,4.651,4.651,4.651,0,0
2B7D.DE,D,20170331,000000,4.65,4.65,4.65,4.65,0,0
2B7D.DE,D,20170403,000000,4.653,4.653,4.653,4.653,0,0
2B7D.DE,D,20170404,000000,4.655,4.655,4.65,4.65,200,0
2B7D.DE,D,20170405,000000,4.66,4.676,4.66,4.676,50000,0
2B7D.DE,D,20170406,000000,4.66,4.66,4.66,4.66,0,0
2B7D.DE,D,20170407,000000,4.655,4.694,4.655,4.694,1000,0
2B7D.DE,D,20170410,000000,4.692,4.692,4.692,4.692,0,0
2B7D.DE,D,20170411,000000,4.69,4.69,4.684,4.684,500,0
2B7D.DE,D,20170412,000000,4.717,4.717,4.717,4.717,0,0
2B7D.DE,D,20170413,000000,4.704,4.704,4.704,4.704,0,0
2B7D.DE,D,20170418,000000,4.712,4.712,4.712,4.712,0,0
2B7D.DE,D,20170419,000000,4.702,4.702,4.702,4.702,0,0
2B7D.DE,D,20170420,000000,4.648,4.648,4.648,4.648,0,0
2B7D.DE,D,20170421,000000,4.682,4.682,4.682,4.682,0,0
2B7D.DE,D,20170424,000000,4.623,4.638,4.623,4.638,100,0
2B7D.DE,D,20170425,000000,4.636,4.636,4.626,4.626,32100,0
2B7D.DE,D,20170426,000000,4.636,4.636,4.636,4.636,0,0
2B7D.DE,D,20170427,000000,4.613,4.613,4.613,4.613,0,0
2B7D.DE,D,20170428,000000,4.589,4.589,4.589,4.589,0,0
2B7D.DE,D,20170502,000000,4.555,4.555,4.555,4.555,0,0
2B7D.DE,D,20170503,000000,4.551,4.551,4.551,4.551,0,0
2B7D.DE,D,20170504,000000,4.575,4.575,4.575,4.575,0,0
2B7D.DE,D,20170505,000000,4.568,4.578,4.552,4.552,648,0
2B7D.DE,D,20170508,000000,4.589,4.589,4.589,4.589,0,0
2B7D.DE,D,20170509,000000,4.597,4.597,4.597,4.597,0,0
2B7D.DE,D,20170510,000000,4.599,4.599,4.599,4.599,0,0
2B7D.DE,D,20170511,000000,4.583,4.6,4.583,4.591,598,0
2B7D.DE,D,20170512,000000,4.575,4.575,4.575,4.575,0,0
2B7D.DE,D,20170515,000000,4.566,4.566,4.566,4.566,0,0
2B7D.DE,D,20170516,000000,4.536,4.536,4.536,4.536,0,0
2B7D.DE,D,20170517,000000,4.51,4.51,4.485,4.485,250,0
2B7D.DE,D,20170518,000000,4.502,4.502,4.502,4.502,0,0
2B7D.DE,D,20170519,000000,4.494,4.494,4.491,4.491,25,0
2B7D.DE,D,20170522,000000,4.496,4.496,4.492,4.492,40,0
2B7D.DE,D,20170523,000000,4.514,4.514,4.514,4.514,0,0
2B7D.DE,D,20170524,000000,4.536,4.536,4.536,4.536,0,0
2B7D.DE,D,20170525,000000,4.561,4.561,4.561,4.561,0,0
2B7D.DE,D,20170526,000000,4.591,4.591,4.591,4.591,0,0
2B7D.DE,D,20170529,000000,4.598,4.598,4.598,4.598,0,0
2B7D.DE,D,20170530,000000,4.583,4.583,4.583,4.583,0,0
2B7D.DE,D,20170531,000000,4.582,4.582,4.582,4.582,0,0
2B7D.DE,D,20170601,000000,4.59,4.59,4.59,4.59,0,0
2B7D.DE,D,20170602,000000,4.603,4.603,4.603,4.603,0,0
2B7D.DE,D,20170606,000000,4.618,4.618,4.618,4.618,0,0
2B7D.DE,D,20170607,000000,4.622,4.622,4.617,4.617,52,0
2B7D.DE,D,20170608,000000,4.626,4.626,4.601,4.601,150000,0
2B7D.DE,D,20170609,000000,4.618,4.618,4.61,4.61,100000,0
