<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2B7J.DE,D,20190313,000000,4.636,4.6695,4.636,4.6695,0,0
2B7J.DE,D,20190314,000000,4.644,4.661,4.644,4.6595,0,0
2B7J.DE,D,20190315,000000,4.659,4.6935,4.659,4.6935,2022,0
2B7J.DE,D,20190318,000000,4.7005,4.7005,4.6825,4.689,531,0
2B7J.DE,D,20190319,000000,4.7,4.714,4.7,4.7115,0,0
2B7J.DE,D,20190320,000000,4.6865,4.6975,4.6555,4.6555,350,0
2B7J.DE,D,20190321,000000,4.639,4.6775,4.6275,4.6775,2369,0
2B7J.DE,D,20190322,000000,4.69,4.69,4.644,4.644,0,0
2B7J.DE,D,20190325,000000,4.617,4.6245,4.617,4.623,0,0
2B7J.DE,D,20190326,000000,4.6495,4.669,4.6495,4.669,0,0
2B7J.DE,D,20190327,000000,4.6955,4.6955,4.662,4.662,2153,0
2B7J.DE,D,20190328,000000,4.671,4.6845,4.671,4.682,0,0
2B7J.DE,D,20190329,000000,4.7035,4.717,4.7035,4.717,0,0
2B7J.DE,D,20190401,000000,4.7485,4.7695,4.7485,4.7695,117,0
2B7J.DE,D,20190402,000000,4.7755,4.783,4.7755,4.78,7,0
2B7J.DE,D,20190403,000000,4.7965,4.804,4.7845,4.804,0,0
2B7J.DE,D,20190404,000000,4.7905,4.808,4.7905,4.791,400,0
2B7J.DE,D,20190405,000000,4.801,4.8225,4.798,4.8145,509,0
2B7J.DE,D,20190408,000000,4.809,4.809,4.8035,4.8035,0,0
2B7J.DE,D,20190409,000000,4.8025,4.8065,4.7785,4.7785,265,0
2B7J.DE,D,20190410,000000,4.787,4.7985,4.787,4.7985,0,0
2B7J.DE,D,20190411,000000,4.801,4.808,4.801,4.8025,0,0
2B7J.DE,D,20190412,000000,4.796,4.814,4.796,4.8125,600,0
2B7J.DE,D,20190415,000000,4.829,4.829,4.8185,4.8185,295,0
2B7J.DE,D,20190416,000000,4.834,4.84,4.83,4.836,519,0
2B7J.DE,D,20190417,000000,4.831,4.833,4.823,4.823,0,0
2B7J.DE,D,20190418,000000,4.809,4.8555,4.809,4.852,78,0
2B7J.DE,D,20190423,000000,4.862,4.889,4.852,4.889,1019,0
2B7J.DE,D,20190424,000000,4.8915,4.9035,4.8915,4.9035,0,0
2B7J.DE,D,20190425,000000,4.92,4.9225,4.92,4.922,0,0
2B7J.DE,D,20190426,000000,4.9165,4.923,4.91,4.9165,20510,0
2B7J.DE,D,20190429,000000,4.9315,4.9315,4.9205,4.9205,355,0
2B7J.DE,D,20190430,000000,4.9165,4.9165,4.9,4.904,50,0
2B7J.DE,D,20190502,000000,4.903,4.903,4.8725,4.8725,1351,0
2B7J.DE,D,20190503,000000,4.8885,4.911,4.8885,4.911,7015,0
2B7J.DE,D,20190506,000000,4.8525,4.868,4.8355,4.868,242,0
2B7J.DE,D,20190507,000000,4.8755,4.8755,4.8205,4.8205,400,0
2B7J.DE,D,20190508,000000,4.825,4.825,4.789,4.81,126,0
2B7J.DE,D,20190509,000000,4.785,4.788,4.731,4.731,0,0
2B7J.DE,D,20190510,000000,4.7825,4.7825,4.7245,4.7245,10000,0
2B7J.DE,D,20190513,000000,4.7695,4.7695,4.7025,4.7025,1200,0
2B7J.DE,D,20190514,000000,4.7195,4.7675,4.7195,4.7675,0,0
2B7J.DE,D,20190515,000000,4.7715,4.782,4.7455,4.782,22151,0
2B7J.DE,D,20190516,000000,4.793,4.8515,4.7785,4.8515,1054,0
2B7J.DE,D,20190517,000000,4.8315,4.848,4.8145,4.848,6258,0
2B7J.DE,D,20190520,000000,4.8315,4.8315,4.786,4.786,55820,0
2B7J.DE,D,20190521,000000,4.8095,4.8205,4.8095,4.8185,0,0
2B7J.DE,D,20190522,000000,4.82,4.82,4.8095,4.8135,3410,0
2B7J.DE,D,20190523,000000,4.7935,4.7935,4.7515,4.7515,2215,0
2B7J.DE,D,20190524,000000,4.7695,4.7905,4.7615,4.7615,2273,0
2B7J.DE,D,20190527,000000,4.7805,4.7805,4.7765,4.7765,110,0
2B7J.DE,D,20190528,000000,4.7865,4.7865,4.77,4.77,880,0
2B7J.DE,D,20190529,000000,4.741,4.741,4.71,4.71,1252,0
2B7J.DE,D,20190530,000000,4.7285,4.73,4.7235,4.7245,11,0
2B7J.DE,D,20190531,000000,4.6895,4.6945,4.6745,4.6945,5346,0
2B7J.DE,D,20190603,000000,4.678,4.6805,4.6495,4.6805,5240,0
2B7J.DE,D,20190604,000000,4.6435,4.7085,4.6435,4.7085,2045,0
2B7J.DE,D,20190605,000000,4.7215,4.7485,4.7215,4.7375,9002,0
2B7J.DE,D,20190606,000000,4.7665,4.7925,4.757,4.757,8600,0
2B7J.DE,D,20190607,000000,4.786,4.8055,4.778,4.8045,13877,0
2B7J.DE,D,20190611,000000,4.838,4.8595,4.834,4.834,4412,0
2B7J.DE,D,20190612,000000,4.8225,4.8225,4.817,4.818,100,0
2B7J.DE,D,20190613,000000,4.781,4.8125,4.781,4.8035,25749,0
2B7J.DE,D,20190614,000000,4.8045,4.826,4.8045,4.8245,18071,0
2B7J.DE,D,20190617,000000,4.8465,4.8465,4.8225,4.8225,4978,0
2B7J.DE,D,20190618,000000,4.82,4.895,4.82,4.895,3264,0
2B7J.DE,D,20190619,000000,4.893,4.8965,4.884,4.884,3678,0
2B7J.DE,D,20190620,000000,4.9155,4.9285,4.9155,4.9165,8763,0
2B7J.DE,D,20190621,000000,4.9175,4.9175,4.9085,4.9085,1000,0
2B7J.DE,D,20190624,000000,4.886,4.886,4.875,4.875,2592,0
2B7J.DE,D,20190625,000000,4.859,4.8755,4.858,4.858,4131,0
2B7J.DE,D,20190626,000000,4.847,4.862,4.839,4.839,20107,0
2B7J.DE,D,20190627,000000,4.857,4.857,4.8355,4.839,29576,0
2B7J.DE,D,20190628,000000,4.85,4.8715,4.85,4.859,21529,0
2B7J.DE,D,20190701,000000,4.9535,4.9535,4.9265,4.9325,2823,0
2B7J.DE,D,20190702,000000,4.9495,4.9505,4.942,4.942,1108,0
2B7J.DE,D,20190703,000000,4.982,4.9945,4.9795,4.9945,4975,0
2B7J.DE,D,20190704,000000,5.003,5.011,5.003,5.009,1667,0
2B7J.DE,D,20190705,000000,5.007,5.013,4.9855,4.986,27845,0
2B7J.DE,D,20190708,000000,4.991,4.991,4.979,4.979,24312,0
2B7J.DE,D,20190709,000000,4.9585,4.9645,4.9585,4.9615,30977,0
2B7J.DE,D,20190710,000000,4.9565,4.979,4.9545,4.9635,7943,0
2B7J.DE,D,20190711,000000,4.978,4.9815,4.9715,4.9715,2593,0
2B7J.DE,D,20190712,000000,4.9835,4.992,4.9835,4.986,10088,0
2B7J.DE,D,20190715,000000,5.01,5.01,4.9895,4.9925,9357,0
2B7J.DE,D,20190716,000000,4.9945,5.02,4.9945,5.005,3364,0
2B7J.DE,D,20190717,000000,5,5.01,4.98,4.98,20748,0
2B7J.DE,D,20190718,000000,4.9465,4.9685,4.9465,4.9495,2048,0
2B7J.DE,D,20190719,000000,4.9875,4.9875,4.9775,4.9835,40844,0
2B7J.DE,D,20190722,000000,4.975,4.9775,4.9595,4.9645,58589,0
2B7J.DE,D,20190723,000000,5.001,5.018,4.994,5.008,28982,0
2B7J.DE,D,20190724,000000,5.026,5.035,5.014,5.031,29593,0
2B7J.DE,D,20190725,000000,5.055,5.055,4.997,5.016,37218,0
2B7J.DE,D,20190726,000000,5.018,5.046,5.018,5.046,12983,0
2B7J.DE,D,20190729,000000,5.06,5.06,5.044,5.044,48607,0
2B7J.DE,D,20190730,000000,5.053,5.053,5.021,5.025,6741,0
2B7J.DE,D,20190731,000000,5.022,5.056,5.022,5.038,200043,0
2B7J.DE,D,20190801,000000,5.007,5.064,5.007,5.064,40605,0
2B7J.DE,D,20190802,000000,4.963,4.983,4.9205,4.9205,98151,0
2B7J.DE,D,20190805,000000,4.884,4.892,4.8055,4.8055,36521,0
2B7J.DE,D,20190806,000000,4.7865,4.801,4.767,4.771,62431,0
2B7J.DE,D,20190807,000000,4.8035,4.829,4.7465,4.778,11391,0
2B7J.DE,D,20190808,000000,4.841,4.88,4.832,4.88,10045,0
2B7J.DE,D,20190809,000000,4.9165,4.9165,4.8555,4.8555,48706,0
2B7J.DE,D,20190812,000000,4.9125,4.9125,4.836,4.836,68080,0
2B7J.DE,D,20190813,000000,4.8385,4.8815,4.8155,4.8815,16246,0
2B7J.DE,D,20190814,000000,4.892,4.892,4.795,4.8015,68492,0
2B7J.DE,D,20190815,000000,4.839,4.839,4.757,4.808,42396,0
2B7J.DE,D,20190816,000000,4.835,4.879,4.835,4.879,21840,0
2B7J.DE,D,20190819,000000,4.923,4.931,4.9205,4.931,3928,0
2B7J.DE,D,20190820,000000,4.9455,4.9455,4.919,4.9245,19782,0
2B7J.DE,D,20190821,000000,4.918,4.9625,4.918,4.958,71831,0
2B7J.DE,D,20190822,000000,4.9435,4.963,4.926,4.926,4339,0
2B7J.DE,D,20190823,000000,4.957,4.964,4.8625,4.8625,56238,0
2B7J.DE,D,20190826,000000,4.8525,4.8805,4.8525,4.876,6722,0
2B7J.DE,D,20190827,000000,4.8795,4.9375,4.8795,4.905,250068,0
2B7J.DE,D,20190828,000000,4.8935,4.912,4.8845,4.912,30570,0
2B7J.DE,D,20190829,000000,4.9075,4.977,4.9075,4.977,34104,0
2B7J.DE,D,20190830,000000,4.9645,5.025,4.9645,5.003,34627,0
2B7J.DE,D,20190902,000000,5.01,5.018,5.004,5.007,12036,0
2B7J.DE,D,20190903,000000,5.006,5.014,4.9955,4.9955,25614,0
2B7J.DE,D,20190904,000000,5.027,5.035,5.017,5.017,5012,0
2B7J.DE,D,20190905,000000,5.061,5.069,5.042,5.069,4478,0
2B7J.DE,D,20190906,000000,5.089,5.099,5.071,5.08,22199,0
2B7J.DE,D,20190909,000000,5.103,5.103,5.064,5.064,56380,0
2B7J.DE,D,20190910,000000,5.055,5.057,5.028,5.028,73710,0
2B7J.DE,D,20190911,000000,5.051,5.091,5.051,5.084,26698,0
2B7J.DE,D,20190912,000000,5.079,5.087,5.064,5.081,76946,0
2B7J.DE,D,20190913,000000,5.069,5.084,5.069,5.084,16459,0
2B7J.DE,D,20190916,000000,5.081,5.099,5.066,5.09,13288,0
2B7J.DE,D,20190917,000000,5.084,5.09,5.073,5.078,2990,0
2B7J.DE,D,20190918,000000,5.076,5.087,5.074,5.074,17473,0
2B7J.DE,D,20190919,000000,5.079,5.117,5.079,5.117,15024,0
2B7J.DE,D,20190920,000000,5.107,5.132,5.107,5.121,7735,0
2B7J.DE,D,20190923,000000,5.109,5.109,5.093,5.102,11122,0
2B7J.DE,D,20190924,000000,5.122,5.13,5.104,5.104,15391,0
2B7J.DE,D,20190925,000000,5.084,5.088,5.054,5.088,1695,0
2B7J.DE,D,20190926,000000,5.102,5.135,5.102,5.111,9543,0
2B7J.DE,D,20190927,000000,5.132,5.144,5.124,5.124,10416,0
2B7J.DE,D,20191001,000000,5.181,5.181,5.089,5.089,4736,0
2B7J.DE,D,20191002,000000,5.079,5.079,4.9485,4.9485,56514,0
2B7J.DE,D,20191004,000000,4.983,5.029,4.973,5.026,70295,0
2B7J.DE,D,20191007,000000,5.024,5.046,5.024,5.046,20906,0
2B7J.DE,D,20191008,000000,5.045,5.045,4.986,4.986,15932,0
2B7J.DE,D,20191009,000000,4.971,5.02,4.971,5.001,8559,0
2B7J.DE,D,20191010,000000,5.005,5.049,4.99,5.035,13665,0
2B7J.DE,D,20191011,000000,5.048,5.111,5.048,5.111,4000,0
2B7J.DE,D,20191014,000000,5.081,5.084,5.061,5.077,3418,0
2B7J.DE,D,20191015,000000,5.111,5.117,5.1,5.117,27405,0
2B7J.DE,D,20191016,000000,5.105,5.109,5.088,5.089,13348,0
2B7J.DE,D,20191017,000000,5.079,5.095,5.075,5.075,11073,0
2B7J.DE,D,20191018,000000,5.068,5.073,5.055,5.055,0,0
2B7J.DE,D,20191021,000000,5.059,5.083,5.059,5.083,32196,0
2B7J.DE,D,20191022,000000,5.093,5.118,5.093,5.108,7741,0
2B7J.DE,D,20191023,000000,5.082,5.097,5.082,5.097,15231,0
2B7J.DE,D,20191024,000000,5.108,5.142,5.108,5.142,2741,0
2B7J.DE,D,20191025,000000,5.131,5.162,5.127,5.161,12233,0
2B7J.DE,D,20191028,000000,5.182,5.193,5.17,5.179,8252,0
2B7J.DE,D,20191029,000000,5.184,5.194,5.167,5.188,17980,0
2B7J.DE,D,20191030,000000,5.175,5.19,5.175,5.177,7170,0
2B7J.DE,D,20191031,000000,5.185,5.185,5.154,5.154,3068,0
2B7J.DE,D,20191101,000000,5.199,5.212,5.179,5.195,7305,0
2B7J.DE,D,20191104,000000,5.222,5.242,5.222,5.236,11062,0
2B7J.DE,D,20191105,000000,5.237,5.262,5.237,5.254,59313,0
2B7J.DE,D,20191106,000000,5.228,5.259,5.228,5.254,17183,0
2B7J.DE,D,20191107,000000,5.279,5.3,5.276,5.293,2961,0
2B7J.DE,D,20191108,000000,5.269,5.288,5.269,5.288,1520,0
2B7J.DE,D,20191111,000000,5.279,5.289,5.271,5.28,14181,0
2B7J.DE,D,20191112,000000,5.298,5.322,5.294,5.316,14738,0
2B7J.DE,D,20191113,000000,5.298,5.313,5.276,5.31,6784,0
2B7J.DE,D,20191114,000000,5.316,5.325,5.313,5.313,12879,0
2B7J.DE,D,20191115,000000,5.353,5.353,5.32,5.331,29442,0
2B7J.DE,D,20191118,000000,5.339,5.339,5.317,5.324,13339,0
2B7J.DE,D,20191119,000000,5.344,5.349,5.32,5.325,9446,0
2B7J.DE,D,20191120,000000,5.31,5.339,5.306,5.321,31539,0
2B7J.DE,D,20191121,000000,5.292,5.297,5.287,5.292,11019,0
2B7J.DE,D,20191122,000000,5.305,5.328,5.305,5.311,15183,0
2B7J.DE,D,20191125,000000,5.338,5.369,5.338,5.366,19438,0
2B7J.DE,D,20191126,000000,5.38,5.395,5.367,5.391,47290,0
2B7J.DE,D,20191127,000000,5.409,5.41,5.403,5.403,10542,0
2B7J.DE,D,20191128,000000,5.387,5.397,5.387,5.397,29331,0
2B7J.DE,D,20191129,000000,5.378,5.407,5.376,5.38,12824,0
2B7J.DE,D,20191202,000000,5.407,5.41,5.294,5.294,26500,0
2B7J.DE,D,20191203,000000,5.327,5.327,5.259,5.259,23167,0
2B7J.DE,D,20191204,000000,5.283,5.32,5.283,5.32,8785,0
2B7J.DE,D,20191205,000000,5.326,5.329,5.303,5.303,13090,0
2B7J.DE,D,20191206,000000,5.321,5.388,5.321,5.385,11007,0
2B7J.DE,D,20191209,000000,5.37,5.379,5.362,5.364,4656,0
2B7J.DE,D,20191210,000000,5.364,5.364,5.325,5.346,55236,0
2B7J.DE,D,20191211,000000,5.348,5.359,5.342,5.347,9006,0
2B7J.DE,D,20191212,000000,5.326,5.379,5.326,5.353,37690,0
2B7J.DE,D,20191213,000000,5.369,5.378,5.352,5.363,19980,0
2B7J.DE,D,20191216,000000,5.407,5.431,5.397,5.415,52994,0
2B7J.DE,D,20191217,000000,5.42,5.42,5.392,5.394,43505,0
2B7J.DE,D,20191218,000000,5.391,5.406,5.391,5.402,39485,0
2B7J.DE,D,20191219,000000,5.398,5.41,5.396,5.408,31945,0
2B7J.DE,D,20191220,000000,5.416,5.471,5.416,5.471,12751,0
2B7J.DE,D,20191223,000000,5.469,5.479,5.465,5.465,19530,0
2B7J.DE,D,20191227,000000,5.474,5.478,5.454,5.454,16421,0
2B7J.DE,D,20191230,000000,5.458,5.458,5.437,5.439,18735,0
2B7J.DE,D,20200102,000000,5.444,5.461,5.436,5.436,33564,0
2B7J.DE,D,20200103,000000,5.425,5.438,5.4,5.426,33875,0
2B7J.DE,D,20200106,000000,5.406,5.415,5.379,5.409,31761,0
2B7J.DE,D,20200107,000000,5.444,5.452,5.433,5.441,15355,0
2B7J.DE,D,20200108,000000,5.412,5.463,5.412,5.463,50728,0
2B7J.DE,D,20200109,000000,5.514,5.514,5.477,5.5,75569,0
2B7J.DE,D,20200110,000000,5.53,5.53,5.496,5.496,21017,0
2B7J.DE,D,20200113,000000,5.506,5.506,5.488,5.49,23955,0
2B7J.DE,D,20200114,000000,5.499,5.532,5.484,5.515,143484,0
2B7J.DE,D,20200115,000000,5.527,5.528,5.505,5.523,55122,0
2B7J.DE,D,20200116,000000,5.532,5.544,5.53,5.544,16987,0
2B7J.DE,D,20200117,000000,5.562,5.589,5.562,5.586,49334,0
2B7J.DE,D,20200120,000000,5.604,5.604,5.587,5.594,121862,0
2B7J.DE,D,20200121,000000,5.576,5.59,5.562,5.588,62593,0
2B7J.DE,D,20200122,000000,5.619,5.619,5.601,5.604,51601,0
2B7J.DE,D,20200123,000000,5.594,5.594,5.57,5.582,95332,0
2B7J.DE,D,20200124,000000,5.611,5.641,5.607,5.607,30730,0
2B7J.DE,D,20200127,000000,5.533,5.533,5.49,5.504,153916,0
2B7J.DE,D,20200128,000000,5.53,5.557,5.508,5.557,67061,0
2B7J.DE,D,20200129,000000,5.565,5.581,5.561,5.574,41759,0
2B7J.DE,D,20200130,000000,5.511,5.545,5.503,5.528,113481,0
2B7J.DE,D,20200131,000000,5.548,5.55,5.462,5.462,75237,0
2B7J.DE,D,20200203,000000,5.493,5.53,5.468,5.496,140010,0
2B7J.DE,D,20200204,000000,5.551,5.623,5.551,5.62,68583,0
2B7J.DE,D,20200205,000000,5.667,5.691,5.667,5.669,45065,0
2B7J.DE,D,20200206,000000,5.706,5.714,5.694,5.705,121129,0
2B7J.DE,D,20200207,000000,5.709,5.709,5.685,5.693,65278,0
2B7J.DE,D,20200210,000000,5.693,5.72,5.67,5.717,45893,0
2B7J.DE,D,20200211,000000,5.77,5.776,5.753,5.762,36747,0
2B7J.DE,D,20200212,000000,5.778,5.786,5.764,5.784,141290,0
2B7J.DE,D,20200213,000000,5.747,5.806,5.743,5.806,91871,0
2B7J.DE,D,20200214,000000,5.818,5.821,5.799,5.81,30677,0
2B7J.DE,D,20200217,000000,5.853,5.853,5.826,5.833,74458,0
2B7J.DE,D,20200218,000000,5.803,5.834,5.801,5.809,37735,0
2B7J.DE,D,20200219,000000,5.86,5.876,5.842,5.872,19103,0
2B7J.DE,D,20200220,000000,5.882,5.882,5.804,5.804,41096,0
2B7J.DE,D,20200221,000000,5.805,5.829,5.77,5.776,80839,0
2B7J.DE,D,20200224,000000,5.678,5.678,5.59,5.595,148863,0
2B7J.DE,D,20200225,000000,5.643,5.643,5.502,5.513,113810,0
2B7J.DE,D,20200226,000000,5.467,5.504,5.383,5.487,27284,0
2B7J.DE,D,20200227,000000,5.367,5.367,5.226,5.27,46717,0
2B7J.DE,D,20200228,000000,5.2,5.2,4.986,5.043,327399,0
2B7J.DE,D,20200302,000000,5.147,5.147,4.9595,5.107,100692,0
2B7J.DE,D,20200303,000000,5.206,5.251,5.163,5.163,136097,0
2B7J.DE,D,20200304,000000,5.171,5.25,5.171,5.231,60062,0
2B7J.DE,D,20200305,000000,5.28,5.28,5.158,5.199,46511,0
2B7J.DE,D,20200306,000000,5.076,5.076,4.9295,4.98,59959,0
2B7J.DE,D,20200309,000000,4.7005,4.77,4.628,4.6845,187656,0
2B7J.DE,D,20200310,000000,4.743,4.867,4.6435,4.6435,133066,0
2B7J.DE,D,20200311,000000,4.7055,4.7405,4.66,4.6645,81661,0
2B7J.DE,D,20200312,000000,4.416,4.4245,4.221,4.221,45814,0
2B7J.DE,D,20200313,000000,4.336,4.4405,4.25,4.3035,137485,0
2B7J.DE,D,20200316,000000,4.2325,4.241,4.005,4.2185,73344,0
2B7J.DE,D,20200317,000000,4.272,4.3255,4.0835,4.2615,27623,0
2B7J.DE,D,20200318,000000,4.135,4.1505,4.033,4.087,47491,0
2B7J.DE,D,20200319,000000,4.135,4.2515,4.084,4.223,15660,0
2B7J.DE,D,20200320,000000,4.3995,4.41,4.175,4.23,52595,0
2B7J.DE,D,20200323,000000,3.987,4.1185,3.9405,3.9745,45483,0
2B7J.DE,D,20200324,000000,4.1675,4.311,4.131,4.311,22849,0
2B7J.DE,D,20200325,000000,4.425,4.4535,4.2775,4.429,105843,0
2B7J.DE,D,20200326,000000,4.323,4.54,4.2885,4.521,45499,0
2B7J.DE,D,20200327,000000,4.4855,4.4855,4.3985,4.421,41168,0
2B7J.DE,D,20200330,000000,4.458,4.5375,4.401,4.5235,22664,0
2B7J.DE,D,20200331,000000,4.6,4.616,4.524,4.5815,77619,0
2B7J.DE,D,20200401,000000,4.4055,4.425,4.3715,4.404,43334,0
