<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2B7K.DE,D,20190313,000000,5.62,5.654,5.62,5.654,244,0
2B7K.DE,D,20190314,000000,5.666,5.666,5.66,5.662,5,0
2B7K.DE,D,20190315,000000,5.668,5.703,5.661,5.703,24047,0
2B7K.DE,D,20190318,000000,5.717,5.717,5.691,5.695,4525,0
2B7K.DE,D,20190319,000000,5.714,5.724,5.714,5.724,0,0
2B7K.DE,D,20190320,000000,5.7,5.7,5.656,5.656,620,0
2B7K.DE,D,20190321,000000,5.642,5.684,5.623,5.684,0,0
2B7K.DE,D,20190322,000000,5.698,5.698,5.644,5.644,1238,0
2B7K.DE,D,20190325,000000,5.638,5.638,5.617,5.617,6357,0
2B7K.DE,D,20190326,000000,5.65,5.672,5.649,5.672,11320,0
2B7K.DE,D,20190327,000000,5.705,5.705,5.656,5.66,1939,0
2B7K.DE,D,20190328,000000,5.675,5.688,5.675,5.688,6400,0
2B7K.DE,D,20190329,000000,5.714,5.732,5.714,5.732,500,0
2B7K.DE,D,20190401,000000,5.769,5.794,5.769,5.794,1226,0
2B7K.DE,D,20190402,000000,5.803,5.807,5.797,5.807,6035,0
2B7K.DE,D,20190403,000000,5.826,5.838,5.815,5.838,3550,0
2B7K.DE,D,20190404,000000,5.822,5.822,5.82,5.82,10992,0
2B7K.DE,D,20190405,000000,5.833,5.849,5.819,5.849,71952,0
2B7K.DE,D,20190408,000000,5.847,5.847,5.832,5.836,1729,0
2B7K.DE,D,20190409,000000,5.835,5.835,5.806,5.806,294,0
2B7K.DE,D,20190410,000000,5.826,5.829,5.823,5.829,1000,0
2B7K.DE,D,20190411,000000,5.852,5.852,5.834,5.834,7908,0
2B7K.DE,D,20190412,000000,5.824,5.846,5.824,5.846,128240,0
2B7K.DE,D,20190415,000000,5.872,5.872,5.849,5.855,32435,0
2B7K.DE,D,20190416,000000,5.877,5.877,5.863,5.876,2495,0
2B7K.DE,D,20190417,000000,5.891,5.891,5.861,5.861,5731,0
2B7K.DE,D,20190418,000000,5.842,5.895,5.842,5.895,15961,0
2B7K.DE,D,20190423,000000,5.909,5.94,5.892,5.94,125651,0
2B7K.DE,D,20190424,000000,5.956,5.957,5.933,5.957,4422,0
2B7K.DE,D,20190425,000000,5.978,5.982,5.95,5.982,4260,0
2B7K.DE,D,20190426,000000,5.973,5.973,5.968,5.973,1250,0
2B7K.DE,D,20190429,000000,6.017,6.017,5.979,5.979,4761,0
2B7K.DE,D,20190430,000000,5.992,5.992,5.954,5.959,4116,0
2B7K.DE,D,20190502,000000,5.961,5.961,5.92,5.92,9763,0
2B7K.DE,D,20190503,000000,5.961,5.962,5.949,5.962,216939,0
2B7K.DE,D,20190506,000000,5.889,5.914,5.872,5.914,21432,0
2B7K.DE,D,20190507,000000,5.919,5.919,5.856,5.856,2500,0
2B7K.DE,D,20190508,000000,5.85,5.85,5.817,5.844,3893,0
2B7K.DE,D,20190509,000000,5.814,5.814,5.748,5.748,2991,0
2B7K.DE,D,20190510,000000,5.805,5.805,5.743,5.743,4459,0
2B7K.DE,D,20190513,000000,5.794,5.794,5.713,5.713,1610,0
2B7K.DE,D,20190514,000000,5.734,5.792,5.732,5.792,2516,0
2B7K.DE,D,20190515,000000,5.817,5.817,5.759,5.807,58229,0
2B7K.DE,D,20190516,000000,5.797,5.894,5.797,5.894,542904,0
2B7K.DE,D,20190517,000000,5.879,5.89,5.846,5.89,25840,0
2B7K.DE,D,20190520,000000,5.888,5.888,5.813,5.813,15815,0
2B7K.DE,D,20190521,000000,5.843,5.854,5.834,5.854,9761,0
2B7K.DE,D,20190522,000000,5.856,5.856,5.844,5.849,6,0
2B7K.DE,D,20190523,000000,5.826,5.826,5.776,5.776,256,0
2B7K.DE,D,20190524,000000,5.81,5.81,5.787,5.787,10242,0
2B7K.DE,D,20190527,000000,5.815,5.815,5.801,5.803,3652,0
2B7K.DE,D,20190528,000000,5.828,5.828,5.791,5.799,84420,0
2B7K.DE,D,20190529,000000,5.748,5.748,5.72,5.72,7465,0
2B7K.DE,D,20190530,000000,5.745,5.745,5.738,5.74,556,0
2B7K.DE,D,20190531,000000,5.699,5.705,5.65,5.705,123884,0
2B7K.DE,D,20190603,000000,5.68,5.686,5.64,5.686,39440,0
2B7K.DE,D,20190604,000000,5.642,5.717,5.642,5.717,21287,0
2B7K.DE,D,20190605,000000,5.736,5.756,5.736,5.756,9579,0
2B7K.DE,D,20190606,000000,5.79,5.79,5.778,5.778,0,0
2B7K.DE,D,20190607,000000,5.817,5.838,5.817,5.838,3264,0
2B7K.DE,D,20190611,000000,5.899,5.899,5.874,5.874,5575,0
2B7K.DE,D,20190612,000000,5.845,5.853,5.843,5.853,11081,0
2B7K.DE,D,20190613,000000,5.88,5.885,5.861,5.885,1361,0
2B7K.DE,D,20190614,000000,5.889,5.911,5.889,5.911,1857,0
2B7K.DE,D,20190617,000000,5.938,5.938,5.909,5.909,11323,0
2B7K.DE,D,20190618,000000,5.916,5.997,5.9,5.997,5907,0
2B7K.DE,D,20190619,000000,6.007,6.007,5.978,5.984,13999,0
2B7K.DE,D,20190620,000000,6.026,6.026,6.021,6.023,4765,0
2B7K.DE,D,20190621,000000,6.025,6.025,5.993,6.014,628,0
2B7K.DE,D,20190624,000000,5.999,5.999,5.973,5.973,3337,0
2B7K.DE,D,20190625,000000,5.965,5.965,5.951,5.951,720,0
2B7K.DE,D,20190626,000000,5.939,5.939,5.929,5.929,1861,0
2B7K.DE,D,20190627,000000,5.973,5.973,5.925,5.928,337416,0
2B7K.DE,D,20190628,000000,5.944,5.954,5.944,5.954,0,0
2B7K.DE,D,20190701,000000,6.073,6.073,6.036,6.044,4138,0
2B7K.DE,D,20190702,000000,6.063,6.063,6.054,6.054,199,0
2B7K.DE,D,20190703,000000,6.086,6.119,6.086,6.119,5481,0
2B7K.DE,D,20190704,000000,6.142,6.142,6.126,6.135,1714,0
2B7K.DE,D,20190705,000000,6.136,6.136,6.099,6.108,27405,0
2B7K.DE,D,20190708,000000,6.115,6.115,6.099,6.099,1115,0
2B7K.DE,D,20190709,000000,6.1,6.1,6.07,6.08,1713,0
