<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
3HM.DE,D,20210111,000000,378.6,378.6,374.2,378.5,60,0
3HM.DE,D,20210112,000000,377.1,378.6,375.7,378.6,31,0
3HM.DE,D,20210113,000000,366.6,366.6,366.6,366.6,6,0
3HM.DE,D,20210114,000000,367,367,351.1,351.1,102,0
3HM.DE,D,20210115,000000,336.8,336.8,336.8,336.8,0,0
3HM.DE,D,20210118,000000,339.7,350.4,332,345,276,0
3HM.DE,D,20210119,000000,349.6,349.7,340,342,39,0
3HM.DE,D,20210120,000000,348.6,348.6,348.6,348.6,2,0
3HM.DE,D,20210121,000000,350.5,350.5,344.1,345.1,454,0
3HM.DE,D,20210122,000000,332.6,337.8,332.6,337.8,27,0
3HM.DE,D,20210125,000000,345.9,345.9,345.9,345.9,30,0
3HM.DE,D,20210127,000000,332,339,330.3,332.1,81,0
3HM.DE,D,20210128,000000,324.2,327,315.1,323,220,0
3HM.DE,D,20210129,000000,314,314,314,314,0,0
3HM.DE,D,20210201,000000,332.1,339.8,327.5,339.8,238,0
3HM.DE,D,20210203,000000,359,359,348.9,348.9,3,0
3HM.DE,D,20210204,000000,354,359.3,343,359.3,14,0
3HM.DE,D,20210205,000000,358.2,366,357.8,357.8,7,0
3HM.DE,D,20210208,000000,364.5,364.5,350.6,350.6,193,0
3HM.DE,D,20210209,000000,354,364.2,345.7,349.5,501,0
3HM.DE,D,20210210,000000,345,347.8,339.8,339.8,180,0
3HM.DE,D,20210211,000000,348.3,348.3,348.3,348.3,0,0
3HM.DE,D,20210212,000000,357.5,357.5,357.5,357.5,0,0
3HM.DE,D,20210215,000000,363.2,365.6,358,361.4,96,0
3HM.DE,D,20210216,000000,363,364.2,363,364.2,2,0
3HM.DE,D,20210217,000000,370,371,362.9,362.9,25,0
3HM.DE,D,20210218,000000,364.5,365.4,364.5,365.4,25,0
3HM.DE,D,20210219,000000,356,361.4,353.2,361.4,322,0
3HM.DE,D,20210222,000000,359,359,341.4,341.4,78,0
3HM.DE,D,20210223,000000,335.2,341.3,334,339.1,30,0
3HM.DE,D,20210224,000000,339.8,339.8,339.8,339.8,0,0
3HM.DE,D,20210225,000000,333.2,333.2,333.2,333.2,0,0
3HM.DE,D,20210226,000000,335,341.5,329.5,340.8,464,0
3HM.DE,D,20210301,000000,353.6,353.6,343.6,343.6,169,0
3HM.DE,D,20210302,000000,344.6,344.6,341.2,341.2,6,0
3HM.DE,D,20210303,000000,352.8,355.5,343,343,628,0
3HM.DE,D,20210304,000000,341.6,341.6,341.6,341.6,0,0
3HM.DE,D,20210305,000000,339.2,339.2,339.2,339.2,0,0
3HM.DE,D,20210308,000000,341.7,344.2,341.7,344.2,16,0
3HM.DE,D,20210309,000000,344.6,349.5,344.6,349.5,4,0
3HM.DE,D,20210310,000000,351.6,352.4,351.6,352.4,8,0
3HM.DE,D,20210311,000000,350.2,350.2,341.1,342.6,71,0
3HM.DE,D,20210312,000000,343.1,344.3,340,340,9,0
3HM.DE,D,20210315,000000,352.6,352.6,352.6,352.6,0,0
3HM.DE,D,20210316,000000,354.5,354.5,352.8,354.5,28,0
3HM.DE,D,20210317,000000,345.9,352.7,340,344.2,32,0
3HM.DE,D,20210318,000000,351.7,351.7,343.2,343.2,10,0
3HM.DE,D,20210319,000000,344.6,344.6,344.6,344.6,0,0
3HM.DE,D,20210322,000000,349,349,347.2,347.2,4,0
3HM.DE,D,20210323,000000,355,355,355,355,0,0
3HM.DE,D,20210324,000000,357,357,357,357,0,0
3HM.DE,D,20210325,000000,347.6,347.6,347.6,347.6,0,0
3HM.DE,D,20210326,000000,355.9,356,347.5,356,25,0
3HM.DE,D,20210329,000000,355.2,360,355.2,358.8,102,0
3HM.DE,D,20210330,000000,364.4,367.1,357.8,357.8,3,0
3HM.DE,D,20210331,000000,350.1,360.3,350.1,360.3,10,0
3HM.DE,D,20210401,000000,370,370,369.4,369.4,6,0
3HM.DE,D,20210406,000000,373,375,372,372,85,0
3HM.DE,D,20210407,000000,377.3,377.3,365.5,369.5,6,0
3HM.DE,D,20210408,000000,370.8,370.8,370.8,370.8,0,0
3HM.DE,D,20210409,000000,373.3,373.3,373.3,373.3,0,0
3HM.DE,D,20210412,000000,378.7,378.7,378.1,378.2,25,0
3HM.DE,D,20210413,000000,379.9,386.9,379.9,385.3,50,0
3HM.DE,D,20210414,000000,385.5,385.5,385.5,385.5,0,0
3HM.DE,D,20210415,000000,392,392,392,392,0,0
3HM.DE,D,20210416,000000,391.1,391.1,389.5,389.5,25,0
3HM.DE,D,20210419,000000,388.8,388.8,388.8,388.8,0,0
3HM.DE,D,20210420,000000,390.3,391,385.8,385.8,40,0
3HM.DE,D,20210421,000000,392.5,392.5,392.5,392.5,0,0
3HM.DE,D,20210422,000000,384.5,393.8,384.5,393.8,4,0
3HM.DE,D,20210423,000000,397.5,399.5,397.5,399.5,20,0
3HM.DE,D,20210426,000000,405,405,402,402,26,0
3HM.DE,D,20210427,000000,407.9,407.9,399,399,43,0
3HM.DE,D,20210428,000000,399.5,399.5,399.5,399.5,0,0
3HM.DE,D,20210429,000000,403,403,403,403,0,0
3HM.DE,D,20210430,000000,403,403,403,403,0,0
3HM.DE,D,20210503,000000,410.9,414,401.2,402.5,220,0
3HM.DE,D,20210504,000000,409.7,409.7,394.5,397.3,866,0
3HM.DE,D,20210505,000000,397.3,397.3,397.3,397.3,0,0
3HM.DE,D,20210506,000000,397.3,397.3,391.5,391.5,10,0
3HM.DE,D,20210507,000000,393,397.7,393,397.5,306,0
3HM.DE,D,20210510,000000,398.7,398.7,393,398.5,7,0
3HM.DE,D,20210511,000000,390,390,385.8,387.5,56,0
3HM.DE,D,20210512,000000,383.3,383.3,383.3,383.3,0,0
3HM.DE,D,20210513,000000,372.9,390.4,371.7,387.5,296,0
3HM.DE,D,20210514,000000,385.2,390,382.8,382.8,259,0
3HM.DE,D,20210517,000000,380.4,380.4,373.1,376.3,22,0
3HM.DE,D,20210518,000000,375.7,375.7,372.8,372.8,6,0
3HM.DE,D,20210519,000000,366.1,371.2,365,365,37,0
3HM.DE,D,20210520,000000,372,375.5,372,375.5,4,0
3HM.DE,D,20210521,000000,378.8,379.9,376.3,376.3,100,0
3HM.DE,D,20210525,000000,378.4,382.5,378.4,382.5,30,0
3HM.DE,D,20210526,000000,380.5,385.3,378,385.3,75,0
3HM.DE,D,20210527,000000,386.3,386.3,382.3,382.3,11,0
3HM.DE,D,20210528,000000,386.8,386.8,386.8,386.8,0,0
3HM.DE,D,20210531,000000,385,385,385,385,0,0
3HM.DE,D,20210601,000000,381.5,381.5,381.5,381.5,0,0
3HM.DE,D,20210602,000000,379.1,382,379.1,382,4,0
3HM.DE,D,20210603,000000,384.2,384.2,383,383.3,34,0
