<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
4UBQ.DE,D,20200707,000000,18.784,18.866,18.734,18.866,0,0
4UBQ.DE,D,20200708,000000,18.698,18.718,18.632,18.632,0,0
4UBQ.DE,D,20200709,000000,18.728,18.788,18.598,18.598,0,0
4UBQ.DE,D,20200710,000000,18.648,18.788,18.648,18.788,0,0
4UBQ.DE,D,20200713,000000,18.994,19.12,18.994,19.12,0,0
4UBQ.DE,D,20200714,000000,18.78,18.78,18.644,18.644,0,0
4UBQ.DE,D,20200715,000000,18.904,18.96,18.876,18.886,60,0
4UBQ.DE,D,20200716,000000,18.838,18.838,18.766,18.766,0,0
4UBQ.DE,D,20200717,000000,18.88,18.88,18.842,18.842,270,0
4UBQ.DE,D,20200720,000000,18.718,18.954,18.718,18.954,0,0
4UBQ.DE,D,20200721,000000,19.134,19.208,19.078,19.078,0,0
4UBQ.DE,D,20200722,000000,18.936,18.936,18.842,18.86,0,0
4UBQ.DE,D,20200723,000000,18.972,18.996,18.876,18.876,0,0
4UBQ.DE,D,20200724,000000,18.488,18.618,18.486,18.486,0,0
4UBQ.DE,D,20200727,000000,18.408,18.408,18.316,18.316,0,0
4UBQ.DE,D,20200728,000000,18.47,18.47,18.412,18.464,191,0
4UBQ.DE,D,20200729,000000,18.364,18.434,18.364,18.434,0,0
4UBQ.DE,D,20200730,000000,18.444,18.444,18.336,18.336,0,0
4UBQ.DE,D,20200731,000000,18.374,18.464,18.364,18.364,0,0
4UBQ.DE,D,20200803,000000,18.642,18.84,18.642,18.84,0,0
4UBQ.DE,D,20200804,000000,18.804,18.804,18.73,18.796,0,0
4UBQ.DE,D,20200805,000000,18.828,18.854,18.756,18.756,2885,0
4UBQ.DE,D,20200806,000000,18.77,18.828,18.77,18.828,0,0
4UBQ.DE,D,20200807,000000,18.948,19.06,18.948,19.06,0,0
4UBQ.DE,D,20200810,000000,19.21,19.21,19.106,19.106,145,0
4UBQ.DE,D,20200811,000000,19.246,19.246,19.226,19.226,0,0
4UBQ.DE,D,20200812,000000,19.162,19.222,19.136,19.222,0,0
4UBQ.DE,D,20200813,000000,19.154,19.206,19.11,19.206,0,0
4UBQ.DE,D,20200814,000000,19.206,19.206,19.138,19.158,0,0
4UBQ.DE,D,20200817,000000,19.124,19.168,19.124,19.152,52,0
4UBQ.DE,D,20200818,000000,19.09,19.13,19.09,19.092,0,0
4UBQ.DE,D,20200819,000000,19.104,19.216,19.104,19.216,52,0
4UBQ.DE,D,20200820,000000,19.086,19.198,19.086,19.198,0,0
4UBQ.DE,D,20200821,000000,19.25,19.4,19.25,19.4,0,0
4UBQ.DE,D,20200824,000000,19.514,19.55,19.514,19.55,0,0
4UBQ.DE,D,20200825,000000,19.704,19.704,19.6,19.6,0,0
4UBQ.DE,D,20200826,000000,19.674,19.746,19.674,19.746,0,0
4UBQ.DE,D,20200827,000000,19.852,20,19.852,20,0,0
4UBQ.DE,D,20200828,000000,19.906,19.906,19.82,19.82,0,0
4UBQ.DE,D,20200831,000000,19.96,19.96,19.78,19.78,0,0
4UBQ.DE,D,20200901,000000,19.796,19.85,19.796,19.85,0,0
4UBQ.DE,D,20200902,000000,20.105,20.24,20.105,20.22,0,0
4UBQ.DE,D,20200903,000000,20.48,20.48,19.796,19.796,4000,0
4UBQ.DE,D,20200904,000000,19.54,19.71,19.244,19.256,8604,0
4UBQ.DE,D,20200907,000000,19.378,19.574,19.378,19.574,0,0
4UBQ.DE,D,20200908,000000,19.608,19.608,19.134,19.134,0,0
4UBQ.DE,D,20200909,000000,19.084,19.364,19.084,19.364,3000,0
4UBQ.DE,D,20200910,000000,19.34,19.34,19.226,19.282,3000,0
4UBQ.DE,D,20200911,000000,19.118,19.118,19.01,19.018,1880,0
4UBQ.DE,D,20200914,000000,19.178,19.232,19.07,19.232,6140,0
4UBQ.DE,D,20200915,000000,19.176,19.376,19.176,19.376,0,0
4UBQ.DE,D,20200916,000000,19.346,19.394,19.346,19.394,0,0
4UBQ.DE,D,20200917,000000,18.996,19.074,18.996,19.074,0,0
4UBQ.DE,D,20200918,000000,18.986,19.046,18.832,18.832,0,0
4UBQ.DE,D,20200921,000000,18.788,18.788,18.46,18.46,5888,0
4UBQ.DE,D,20200922,000000,18.734,18.798,18.734,18.798,0,0
4UBQ.DE,D,20200923,000000,19.034,19.076,18.946,18.946,0,0
4UBQ.DE,D,20200924,000000,18.594,18.736,18.594,18.736,0,0
4UBQ.DE,D,20200925,000000,18.738,18.9,18.62,18.9,0,0
4UBQ.DE,D,20200928,000000,19.2,19.308,19.2,19.308,0,0
4UBQ.DE,D,20200929,000000,19.326,19.326,19.138,19.138,0,0
4UBQ.DE,D,20200930,000000,19.01,19.35,19.01,19.35,0,0
