<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
5G5.DE,D,20140627,000000,23.45,29.05,23.2,29.05,22976,0
5G5.DE,D,20140630,000000,26.89,29.345,26.75,27.67,29163,0
5G5.DE,D,20140701,000000,30.35,35.75,30.35,35.59,22934,0
5G5.DE,D,20140702,000000,34.14,35.015,30.6,32.8,40960,0
5G5.DE,D,20140703,000000,30.32,33.1,30.25,30.4,16117,0
5G5.DE,D,20140704,000000,30.95,31.295,30.8,31.11,3597,0
5G5.DE,D,20140707,000000,30.99,32.055,30.8,31.575,7576,0
5G5.DE,D,20140708,000000,32.4,33,30.5,31.44,14751,0
5G5.DE,D,20140709,000000,31.3,31.75,30.63,31.35,8655,0
5G5.DE,D,20140710,000000,31.8,32.1,30,30.9,5465,0
5G5.DE,D,20140711,000000,31.17,31.695,30.65,30.82,5242,0
5G5.DE,D,20140714,000000,28.95,29.35,26.155,27.5,11479,0
5G5.DE,D,20140715,000000,27.48,29.5,27.48,29,8763,0
5G5.DE,D,20140716,000000,31.03,32.705,31.01,31.305,7089,0
5G5.DE,D,20140717,000000,30.4,30.65,29.6,30,4361,0
5G5.DE,D,20140718,000000,29.7,31.4,29.135,31.255,12125,0
5G5.DE,D,20140721,000000,30.64,32.2,30.5,31.62,6985,0
5G5.DE,D,20140722,000000,31.7,32.19,31.45,32.19,6160,0
5G5.DE,D,20140723,000000,31.85,32.995,31.85,32.45,8328,0
5G5.DE,D,20140724,000000,31.45,31.8,31.2,31.44,3712,0
5G5.DE,D,20140725,000000,31,31,31,31,1000,0
5G5.DE,D,20140728,000000,31,32,31,31.835,3706,0
5G5.DE,D,20140729,000000,32,32.99,32,32.99,1787,0
5G5.DE,D,20140730,000000,33,34.635,32.7,33.9,2446,0
5G5.DE,D,20140731,000000,34.1,35,33.495,34.88,3398,0
5G5.DE,D,20140801,000000,31.9,33.87,30.9,32.939999,5651,0
5G5.DE,D,20140804,000000,30.7,32.095,28.9,29.299999,12294,0
5G5.DE,D,20140805,000000,29,30.17,28.6,30.17,1774,0
5G5.DE,D,20140806,000000,29,30,29,30,1450,0
5G5.DE,D,20140807,000000,29.35,29.65,29.11,29.110001,285,0
5G5.DE,D,20140808,000000,28.23,28.23,27.57,28,202,0
5G5.DE,D,20140811,000000,28,29,28,29,298,0
5G5.DE,D,20140812,000000,29.03,29.4,28.504999,28.504999,550,0
5G5.DE,D,20140813,000000,28.95,29.09,28.6,29,911,0
5G5.DE,D,20140814,000000,28.3,29.4,28.3,29.4,1582,0
5G5.DE,D,20140815,000000,29.75,30.2,29.5,29.5,380,0
5G5.DE,D,20140818,000000,30.42,30.97,30,30.5,1804,0
5G5.DE,D,20140819,000000,32.635,32.635,31.21,31.455,849,0
5G5.DE,D,20140820,000000,32.045,33.705,31.66,33.07,1620,0
5G5.DE,D,20140821,000000,33.545,33.545,32.855,32.900002,450,0
5G5.DE,D,20140822,000000,32.16,32.950001,31.605,32.950001,8003,0
5G5.DE,D,20140825,000000,33.5,33.5,32.6,32.900002,665,0
5G5.DE,D,20140826,000000,33,34.75,33,34.75,973,0
5G5.DE,D,20140827,000000,34.87,34.95,34.005,34.599998,577,0
5G5.DE,D,20140828,000000,34.235,37,33.825,36.075001,4266,0
5G5.DE,D,20140829,000000,36.71,38.8,36.71,38.5,3417,0
5G5.DE,D,20140901,000000,39.3,39.5,38.9,39.200001,499,0
5G5.DE,D,20140902,000000,39.2,42.305,39.2,40.560001,3528,0
5G5.DE,D,20140903,000000,42,43.41,41.255,42.650002,6205,0
5G5.DE,D,20140904,000000,41.5,42.995,40.215,42,6315,0
5G5.DE,D,20140905,000000,41.3,42.880001,41.15,42.880001,3941,0
5G5.DE,D,20140908,000000,46,49.45,44.45,48.345001,8974,0
5G5.DE,D,20140909,000000,49.8,51.92,48.55,51.889999,1894,0
5G5.DE,D,20140910,000000,49,52.25,48.1,50.43,10199,0
5G5.DE,D,20140911,000000,53.1,55.21,51.13,52.459999,20945,0
5G5.DE,D,20140912,000000,52.36,55.32,52.3,55.32,2236,0
5G5.DE,D,20140915,000000,53.65,55,53.2,54.299999,2087,0
5G5.DE,D,20140916,000000,51.95,52.19,48.98,50.040001,8375,0
5G5.DE,D,20140917,000000,50.15,52.48,50.15,51.349998,2585,0
5G5.DE,D,20140918,000000,52.35,53,52.1,52.759998,2167,0
5G5.DE,D,20140919,000000,51.55,52.35,50,50.110001,15345,0
