<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
5Q5.DE,D,20210112,000000,244,244,238,240,947,0
5Q5.DE,D,20210113,000000,238,250,238,250,145,0
5Q5.DE,D,20210114,000000,246,255,242,255,589,0
5Q5.DE,D,20210115,000000,253,256,247,249,972,0
5Q5.DE,D,20210118,000000,244,244,238,242,161,0
5Q5.DE,D,20210119,000000,247,249,238,238,338,0
5Q5.DE,D,20210120,000000,241,242,235,236,296,0
5Q5.DE,D,20210121,000000,236,238,233,237,256,0
5Q5.DE,D,20210122,000000,234,235,233,233,133,0
5Q5.DE,D,20210125,000000,235,243,229,234,1275,0
5Q5.DE,D,20210126,000000,234,241,234,237,519,0
5Q5.DE,D,20210127,000000,228,235,217,235,1379,0
5Q5.DE,D,20210128,000000,225,234,215,225,3293,0
5Q5.DE,D,20210129,000000,224,230,219,225,831,0
5Q5.DE,D,20210201,000000,227,232,224,229,355,0
5Q5.DE,D,20210202,000000,237,252,237,252,762,0
5Q5.DE,D,20210203,000000,255,262,254,260,1028,0
5Q5.DE,D,20210204,000000,257,259,249,249,356,0
5Q5.DE,D,20210205,000000,253,255,251,254,296,0
5Q5.DE,D,20210208,000000,258,262,254,255,1006,0
5Q5.DE,D,20210209,000000,254,262,250,262,186,0
5Q5.DE,D,20210210,000000,266,268,250,255,470,0
5Q5.DE,D,20210211,000000,253,257,251,257,334,0
5Q5.DE,D,20210212,000000,250,250,245,249,240,0
5Q5.DE,D,20210215,000000,248,250,246,249,150,0
5Q5.DE,D,20210216,000000,249,251,247,250,609,0
5Q5.DE,D,20210217,000000,247,247,237,237,379,0
5Q5.DE,D,20210218,000000,234,244,233,243,187,0
5Q5.DE,D,20210219,000000,243,245,239,244,557,0
5Q5.DE,D,20210222,000000,236,237,224,226,609,0
5Q5.DE,D,20210223,000000,220,220,201,216,3692,0
5Q5.DE,D,20210224,000000,225,227,216,224,1200,0
5Q5.DE,D,20210225,000000,224,224,218,218,83,0
5Q5.DE,D,20210226,000000,209,217,209,217,1713,0
5Q5.DE,D,20210301,000000,220,226,220,225,2465,0
5Q5.DE,D,20210302,000000,228,232,224,227,607,0
5Q5.DE,D,20210303,000000,226,228,213,214,615,0
5Q5.DE,D,20210304,000000,205,216,197.5,216,2573,0
