<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
5ZM.DE,D,20210112,000000,279,282,262,280,1879,0
5ZM.DE,D,20210113,000000,294,310,289,294,1966,0
5ZM.DE,D,20210114,000000,306,316,303,312,1235,0
5ZM.DE,D,20210115,000000,318,332,318,320,1904,0
5ZM.DE,D,20210118,000000,324,324,318,319,287,0
5ZM.DE,D,20210119,000000,329,329,317,322,355,0
5ZM.DE,D,20210120,000000,326,330,313,315,608,0
5ZM.DE,D,20210121,000000,315,320,307,312,794,0
5ZM.DE,D,20210122,000000,314,315,309,313,425,0
5ZM.DE,D,20210125,000000,311,328,311,321,761,0
5ZM.DE,D,20210126,000000,318,325,315,316,117,0
5ZM.DE,D,20210127,000000,311,317,301,314,688,0
5ZM.DE,D,20210128,000000,309,309,298,303,2353,0
5ZM.DE,D,20210129,000000,310,314,302,304,1075,0
5ZM.DE,D,20210201,000000,312,312,307,311,729,0
5ZM.DE,D,20210202,000000,324,324,316,322,632,0
5ZM.DE,D,20210203,000000,325,330,317,317,713,0
5ZM.DE,D,20210204,000000,323,323,315,322,431,0
5ZM.DE,D,20210205,000000,327,345,323,340,1654,0
5ZM.DE,D,20210208,000000,356,357,337,345,1253,0
5ZM.DE,D,20210209,000000,337,346,337,343,165,0
5ZM.DE,D,20210210,000000,353,362,349,351,372,0
5ZM.DE,D,20210211,000000,358,364,354,363,2389,0
5ZM.DE,D,20210212,000000,360,362,353,359,512,0
5ZM.DE,D,20210215,000000,359,360,355,357,82,0
5ZM.DE,D,20210216,000000,361,372,356,367,851,0
5ZM.DE,D,20210217,000000,371,371,349,349,1028,0
5ZM.DE,D,20210218,000000,358,358,344,346,557,0
5ZM.DE,D,20210219,000000,340,350,340,350,196,0
5ZM.DE,D,20210222,000000,340,340,326,331,1308,0
5ZM.DE,D,20210223,000000,322,324,293,312,6464,0
5ZM.DE,D,20210224,000000,316,325,312,318,1109,0
5ZM.DE,D,20210225,000000,315,315,310,310,438,0
5ZM.DE,D,20210226,000000,301,307,295,306,1173,0
5ZM.DE,D,20210301,000000,321,329,316,329,1915,0
5ZM.DE,D,20210302,000000,370,371,339,339,8017,0
5ZM.DE,D,20210303,000000,321,327,296,297,20947,0
5ZM.DE,D,20210304,000000,286,294,279,294,4038,0
5ZM.DE,D,20210305,000000,285,292,267,270,758,0
5ZM.DE,D,20210308,000000,280,285,272,276,6662,0
5ZM.DE,D,20210309,000000,272,281,266,281,5248,0
5ZM.DE,D,20210310,000000,294,297,285,286,1530,0
5ZM.DE,D,20210311,000000,291,291,284,290,3021,0
5ZM.DE,D,20210312,000000,291,293,285,287,5666,0
5ZM.DE,D,20210315,000000,293,294,289,292,166,0
5ZM.DE,D,20210316,000000,291,295,287,288,903,0
5ZM.DE,D,20210317,000000,286,286,272,275,688,0
5ZM.DE,D,20210318,000000,277,281,269,274,564,0
5ZM.DE,D,20210319,000000,272,272,265,271,1105,0
5ZM.DE,D,20210322,000000,279,279,273,277,446,0
5ZM.DE,D,20210323,000000,276,293,275,288,3153,0
5ZM.DE,D,20210324,000000,289,292,273,274,1760,0
5ZM.DE,D,20210325,000000,270,273,262,273,4849,0
5ZM.DE,D,20210326,000000,270,272,263,268,2735,0
5ZM.DE,D,20210329,000000,272,272,264,264,4902,0
5ZM.DE,D,20210330,000000,263,268,259,267,621,0
5ZM.DE,D,20210331,000000,266,276,266,276,195,0
5ZM.DE,D,20210401,000000,279.4,287.85,277.75,281.5,912,0
5ZM.DE,D,20210406,000000,277.35,277.95,271.9,276.8,547,0
5ZM.DE,D,20210407,000000,279.4,279.7,270.3,271.95,611,0
5ZM.DE,D,20210408,000000,273,280,272.3,278,492,0
5ZM.DE,D,20210409,000000,281.6,281.6,271.2,271.2,277,0
5ZM.DE,D,20210412,000000,273,273,265.25,268.8,601,0
5ZM.DE,D,20210413,000000,272.4,283.35,269.65,280,1332,0
5ZM.DE,D,20210414,000000,288.25,289.5,278.8,278.8,529,0
5ZM.DE,D,20210415,000000,279.45,279.45,274.55,275.8,273,0
5ZM.DE,D,20210416,000000,278,278.4,273.25,275,189,0
5ZM.DE,D,20210419,000000,275,278.3,268.6,268.6,613,0
5ZM.DE,D,20210420,000000,268.45,270.85,263.8,263.8,469,0
5ZM.DE,D,20210421,000000,263,267,261.8,266.6,440,0
5ZM.DE,D,20210422,000000,267.9,281,266.65,278.4,569,0
5ZM.DE,D,20210423,000000,270.8,278,270.8,276.2,367,0
5ZM.DE,D,20210426,000000,280.45,280.45,273.4,277.2,623,0
5ZM.DE,D,20210427,000000,278.7,282.5,274.7,276.4,216,0
5ZM.DE,D,20210428,000000,277.4,277.4,271.95,274.4,134,0
5ZM.DE,D,20210429,000000,273.95,275.4,264,264.4,243,0
5ZM.DE,D,20210430,000000,264.45,268.6,262.3,268.6,239,0
5ZM.DE,D,20210503,000000,268.7,268.7,258.5,260.6,2527,0
5ZM.DE,D,20210504,000000,256.9,261.1,250.5,251.4,1713,0
5ZM.DE,D,20210505,000000,251.3,256.55,251.3,254,681,0
5ZM.DE,D,20210506,000000,248.95,249,239,243.2,708,0
5ZM.DE,D,20210507,000000,246.8,250.1,241.55,247.2,1121,0
5ZM.DE,D,20210510,000000,244.9,244.9,235.6,235.6,344,0
5ZM.DE,D,20210511,000000,231.75,242.8,221.7,242.8,5526,0
5ZM.DE,D,20210512,000000,242.3,246.3,236.25,236.8,1505,0
5ZM.DE,D,20210513,000000,240.05,245.1,236.7,236.8,1027,0
5ZM.DE,D,20210514,000000,245.75,253.9,239.85,252.4,473,0
5ZM.DE,D,20210517,000000,252.4,255.95,250.75,254.4,309226,0
5ZM.DE,D,20210518,000000,256.1,263,254.3,258.4,661,0
5ZM.DE,D,20210519,000000,255.35,255.35,246.65,252.8,310565,0
5ZM.DE,D,20210520,000000,250.65,266.4,250.65,266.4,246,0
5ZM.DE,D,20210521,000000,266.8,269,261.7,262.4,527,0
5ZM.DE,D,20210525,000000,262.45,264.6,261.7,262.8,227,0
5ZM.DE,D,20210526,000000,262.7,267.2,262,267.2,402,0
5ZM.DE,D,20210527,000000,267.2,270.6,261.1,270.6,915,0
5ZM.DE,D,20210528,000000,267.05,275,267.05,270,755,0
5ZM.DE,D,20210531,000000,271.3,274,270.25,274,314,0
5ZM.DE,D,20210601,000000,270.85,274.9,263.25,267.2,1210,0
5ZM.DE,D,20210602,000000,276,277.4,264.5,268,2748,0
5ZM.DE,D,20210603,000000,270.8,270.8,262.55,266,1341,0
5ZM.DE,D,20210604,000000,260,274.6,260,273,1232,0
5ZM.DE,D,20210607,000000,277.95,281.65,270.85,279,2626,0
5ZM.DE,D,20210608,000000,281.8,285.8,278.95,280.8,1150,0
5ZM.DE,D,20210609,000000,279,282,271.65,275.6,1082,0
5ZM.DE,D,20210610,000000,273.5,280.5,272,280.5,1028,0
5ZM.DE,D,20210611,000000,286.9,298.7,283.6,297.4,2215,0
5ZM.DE,D,20210614,000000,305.05,305.05,296.65,301.05,2221,0
5ZM.DE,D,20210615,000000,304.3,304.3,296,296.8,1333,0
5ZM.DE,D,20210616,000000,299.1,302.35,294.85,299.9,621,0
5ZM.DE,D,20210617,000000,298.95,311.45,298.95,311.45,1345,0
5ZM.DE,D,20210618,000000,312.95,320,310.35,313.8,1126,0
5ZM.DE,D,20210621,000000,315.95,315.95,305.75,310.45,1606,0
5ZM.DE,D,20210622,000000,309.05,316.3,307.1,315.35,933,0
5ZM.DE,D,20210623,000000,312.35,320,312.35,314.15,608,0
5ZM.DE,D,20210624,000000,318.65,319.75,315.55,318.65,1147,0
5ZM.DE,D,20210625,000000,313.7,314.35,305.1,308.6,797,0
5ZM.DE,D,20210628,000000,312.15,327.4,311.35,325.45,917,0
5ZM.DE,D,20210629,000000,325.95,329,322.5,324.05,1094,0
5ZM.DE,D,20210630,000000,331.85,332.9,327.8,328.45,565,0
5ZM.DE,D,20210701,000000,330.3,330.3,322.35,324.65,1039,0
5ZM.DE,D,20210702,000000,322.5,336.55,322.5,331.5,865,0
5ZM.DE,D,20210705,000000,331,331,325,325.5,275,0
5ZM.DE,D,20210706,000000,325.75,340,324.85,339.85,1538,0
5ZM.DE,D,20210707,000000,339.85,342.95,335.25,335.25,1536,0
5ZM.DE,D,20210708,000000,331.95,331.95,319.65,322.6,3216,0
5ZM.DE,D,20210709,000000,327.65,329,319.8,323.35,1486,0
5ZM.DE,D,20210712,000000,322,328.5,319.6,320.65,811,0
5ZM.DE,D,20210713,000000,320,323.6,318.25,323.1,645,0
5ZM.DE,D,20210714,000000,321.4,323.9,313.45,313.5,4758,0
5ZM.DE,D,20210715,000000,299.05,308.2,299,305.45,1569,0
5ZM.DE,D,20210716,000000,304.2,305.15,300.95,304.4,721,0
5ZM.DE,D,20210719,000000,306.5,306.5,293.4,295.45,5061,0
5ZM.DE,D,20210720,000000,304.4,306.9,296.45,301.95,1644,0
5ZM.DE,D,20210721,000000,301.85,305.5,295.8,296.2,1396,0
5ZM.DE,D,20210722,000000,303.6,310.2,299.75,307.5,1029,0
5ZM.DE,D,20210723,000000,312.9,312.9,298.45,302.9,884,0
5ZM.DE,D,20210726,000000,301.95,313.45,301.95,312.35,1616,0
5ZM.DE,D,20210727,000000,315,318.65,303.05,303.05,516,0
5ZM.DE,D,20210728,000000,312.8,316.6,308.95,315.4,398,0
5ZM.DE,D,20210729,000000,315.65,333.4,315.2,327.4,2243,0
5ZM.DE,D,20210730,000000,317.55,329.05,316.05,322.15,1426,0
5ZM.DE,D,20210802,000000,324.45,324.45,307.1,319.5,519,0
5ZM.DE,D,20210803,000000,319.4,323.15,315.3,315.85,607,0
5ZM.DE,D,20210804,000000,314.9,327.85,314,327.85,1078,0
5ZM.DE,D,20210805,000000,330.75,341,330.75,335.65,2093,0
5ZM.DE,D,20210806,000000,339.8,339.8,324.1,326.55,1025,0
5ZM.DE,D,20210809,000000,322.35,327.95,322.3,323.7,629,0
5ZM.DE,D,20210810,000000,328.05,335,323.7,324.9,953,0
5ZM.DE,D,20210811,000000,319.25,320.4,303.6,303.6,1536,0
5ZM.DE,D,20210812,000000,306.9,309.7,303.2,309.7,854,0
5ZM.DE,D,20210813,000000,310.1,310.15,304.3,304.85,689,0
5ZM.DE,D,20210816,000000,303.1,303.1,291.75,296,864,0
5ZM.DE,D,20210817,000000,298.05,298.05,292.2,296,944,0
5ZM.DE,D,20210818,000000,297.7,297.7,290.05,292.25,527,0
5ZM.DE,D,20210819,000000,290.55,290.55,284.15,286.7,1423,0
5ZM.DE,D,20210820,000000,283.35,294.4,281.85,290.9,476,0
5ZM.DE,D,20210823,000000,292.25,292.25,287.35,288.1,1294,0
5ZM.DE,D,20210824,000000,293.75,293.95,288.95,290.05,1175,0
