<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
8TRA.DE,D,20190628,000000,25.444342,25.623395,24.737555,24.926031,8044443,0
8TRA.DE,D,20190701,000000,25.067389,25.397223,24.878912,25.072101,1427241,0
8TRA.DE,D,20190702,000000,25.175763,25.613971,25.072101,25.491461,447352,0
8TRA.DE,D,20190703,000000,25.613971,25.774176,25.482037,25.566852,489627,0
8TRA.DE,D,20190704,000000,25.623395,25.698785,25.543292,25.698785,296932,0
8TRA.DE,D,20190705,000000,25.689362,25.689362,25.335968,25.335968,237111,0
8TRA.DE,D,20190708,000000,25.255865,25.444342,25.114508,25.401935,201286,0
8TRA.DE,D,20190709,000000,25.350104,25.430206,24.784674,24.784674,211792,0
8TRA.DE,D,20190710,000000,24.878912,25.279425,24.836505,25.114508,180507,0
8TRA.DE,D,20190711,000000,25.227594,25.425494,25.067389,25.175763,341926,0
8TRA.DE,D,20190712,000000,25.105084,25.491461,25.105084,25.425494,145932,0
8TRA.DE,D,20190715,000000,25.482037,25.675226,25.368951,25.444342,79460,0
8TRA.DE,D,20190716,000000,25.500885,25.628107,25.477325,25.53858,52532,0
8TRA.DE,D,20190717,000000,25.449054,25.53858,25.307696,25.307696,39896,0
8TRA.DE,D,20190718,000000,25.444342,25.53858,25.067389,25.255865,245288,0
8TRA.DE,D,20190719,000000,25.307696,25.449054,24.982574,25.270001,298343,0
8TRA.DE,D,20190722,000000,25.274713,25.444342,24.662164,25.350104,327204,0
8TRA.DE,D,20190723,000000,25.208746,25.53858,25.100372,25.53858,123482,0
8TRA.DE,D,20190724,000000,25.425494,25.510309,25.001422,25.453766,400356,0
8TRA.DE,D,20190725,000000,25.43963,25.453766,25.09566,25.255865,471453,0
8TRA.DE,D,20190726,000000,25.331256,25.491461,25.255865,25.491461,392216,0
8TRA.DE,D,20190729,000000,25.373663,25.472614,25.302985,25.444342,66492,0
8TRA.DE,D,20190730,000000,25.260577,25.350104,24.407721,24.407721,129106,0
8TRA.DE,D,20190731,000000,24.643316,24.888336,23.550152,23.550152,172409,0
8TRA.DE,D,20190801,000000,23.743341,23.776324,22.174273,22.914044,293896,0
8TRA.DE,D,20190802,000000,23.069537,23.069537,22.146001,22.146001,175301,0
8TRA.DE,D,20190805,000000,22.489971,22.513531,21.787896,21.915118,107839,0
8TRA.DE,D,20190806,000000,21.924541,22.895196,21.87271,21.929253,113930,0
8TRA.DE,D,20190807,000000,22.570074,23.012994,22.146001,22.362749,287764,0
8TRA.DE,D,20190808,000000,22.56065,22.994146,22.395733,22.428716,169726,0
8TRA.DE,D,20190809,000000,22.546514,22.603057,22.150713,22.235528,123225,0
8TRA.DE,D,20190812,000000,22.456988,22.75855,22.080035,22.080035,76701,0
8TRA.DE,D,20190813,000000,22.428716,22.43814,21.495757,22.230816,143067,0
8TRA.DE,D,20190814,000000,22.287359,22.287359,21.486333,21.731353,71171,0
8TRA.DE,D,20190815,000000,21.731353,21.731353,20.751274,20.920903,177140,0
8TRA.DE,D,20190816,000000,20.968023,21.481621,20.925615,20.977446,81366,0
8TRA.DE,D,20190819,000000,21.194195,21.514605,21.189483,21.189483,45833,0
8TRA.DE,D,20190820,000000,21.392095,21.660674,21.250737,21.5523,88394,0
8TRA.DE,D,20190821,000000,21.580572,21.703081,21.255449,21.373247,88781,0
8TRA.DE,D,20190822,000000,21.396807,21.806743,21.161211,21.769048,108664,0
8TRA.DE,D,20190823,000000,21.915118,21.915118,21.123516,21.373247,90815,0
8TRA.DE,D,20190826,000000,21.340264,21.486333,21.13294,21.392095,20756,0
8TRA.DE,D,20190827,000000,21.627691,21.627691,20.944463,21.335552,68540,0
8TRA.DE,D,20190828,000000,21.222466,21.524029,20.826665,21.015142,53885,0
8TRA.DE,D,20190829,000000,20.982158,21.392095,20.963311,20.963311,36683,0
8TRA.DE,D,20190830,000000,20.968023,21.42979,20.968023,21.297857,62577,0
8TRA.DE,D,20190902,000000,21.547588,21.627691,20.968023,21.029277,81357,0
8TRA.DE,D,20190903,000000,21.198906,21.203618,20.968023,20.968023,50981,0
8TRA.DE,D,20190904,000000,21.10938,21.439214,21.057549,21.071685,55014,0
8TRA.DE,D,20190905,000000,21.557012,21.627691,20.920903,21.344976,149120,0
8TRA.DE,D,20190906,000000,21.505181,21.67481,21.3544,21.3544,68750,0
8TRA.DE,D,20190909,000000,21.660674,21.915118,21.486333,21.915118,55050,0
8TRA.DE,D,20190910,000000,21.99522,23.408795,21.863286,23.220318,130144,0
8TRA.DE,D,20190911,000000,23.32398,23.955377,23.243878,23.573712,85420,0
8TRA.DE,D,20190912,000000,23.842291,23.927105,22.871636,23.140215,130192,0
8TRA.DE,D,20190913,000000,23.441778,23.847003,23.371099,23.828155,61010,0
8TRA.DE,D,20190916,000000,23.974224,24.125006,23.389947,24.125006,52708,0
8TRA.DE,D,20190917,000000,24.030767,24.596197,23.748053,24.242804,72593,0
8TRA.DE,D,20190918,000000,24.219244,24.596197,24.106158,24.299347,39271,0
8TRA.DE,D,20190919,000000,24.256939,24.572638,23.7669,24.572638,110149,0
8TRA.DE,D,20190920,000000,24.501959,24.723419,24.063751,24.723419,159772,0
8TRA.DE,D,20190923,000000,24.501959,24.53023,23.371099,23.931817,83744,0
8TRA.DE,D,20190924,000000,24.030767,24.030767,22.617193,23.050689,92978,0
8TRA.DE,D,20190925,000000,22.899908,23.32398,22.711431,22.80567,54345,0
8TRA.DE,D,20190926,000000,23.012994,23.055401,22.617193,22.833941,42356,0
8TRA.DE,D,20190927,000000,22.80567,23.512457,22.800958,23.187335,29686,0
8TRA.DE,D,20190930,000000,23.182623,23.394659,22.90462,23.041265,33854,0
8TRA.DE,D,20191001,000000,23.24859,23.24859,22.381597,22.4617,33991,0
8TRA.DE,D,20191002,000000,22.428716,22.456988,21.458062,21.67481,55310,0
8TRA.DE,D,20191004,000000,21.769048,22.24024,21.486333,22.24024,42955,0
8TRA.DE,D,20191007,000000,22.43814,22.43814,21.778472,22.146001,54223,0
8TRA.DE,D,20191008,000000,22.263799,22.263799,21.203618,21.467486,64686,0
8TRA.DE,D,20191009,000000,21.486333,21.566436,21.062261,21.156499,48404,0
8TRA.DE,D,20191010,000000,21.349688,21.627691,21.123516,21.547588,41608,0
8TRA.DE,D,20191011,000000,21.698369,21.919829,21.42979,21.481621,47635,0
8TRA.DE,D,20191014,000000,21.571148,21.707793,21.297857,21.297857,35054,0
8TRA.DE,D,20191015,000000,21.344976,21.802032,21.344976,21.613555,45425,0
8TRA.DE,D,20191016,000000,21.486333,21.929253,21.467486,21.745489,35034,0
8TRA.DE,D,20191017,000000,21.721929,21.802032,21.420366,21.637115,49697,0
8TRA.DE,D,20191018,000000,21.439214,21.439214,21.175347,21.213042,148402,0
