<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AB9.DE,D,20200402,000000,17.2,17.2,17.1,17.1,29,0
AB9.DE,D,20200403,000000,17.3,17.5,17.1,17.1,610,0
AB9.DE,D,20200406,000000,17.2,17.4,16.9,16.9,1090,0
AB9.DE,D,20200407,000000,17,17.5,16.8,17.2,2059,0
AB9.DE,D,20200408,000000,17.4,17.5,17.4,17.4,313,0
AB9.DE,D,20200409,000000,17.6,17.6,17.4,17.4,367,0
AB9.DE,D,20200414,000000,17.5,17.5,17.4,17.4,335,0
AB9.DE,D,20200415,000000,17.2,17.4,17.2,17.3,270,0
AB9.DE,D,20200416,000000,17.3,17.3,17.3,17.3,0,0
AB9.DE,D,20200417,000000,17.5,17.6,17.5,17.5,178,0
AB9.DE,D,20200420,000000,17.4,17.4,17.2,17.2,2350,0
AB9.DE,D,20200421,000000,17.3,17.3,17.2,17.2,169,0
AB9.DE,D,20200422,000000,17.3,17.3,17.2,17.2,120,0
AB9.DE,D,20200423,000000,17.3,17.4,17.2,17.2,761,0
AB9.DE,D,20200424,000000,17.5,17.6,17.4,17.4,125,0
AB9.DE,D,20200427,000000,17.5,17.5,17.5,17.5,200,0
AB9.DE,D,20200428,000000,17.6,18.2,17.6,18.1,2847,0
AB9.DE,D,20200429,000000,18.2,19.7,17.9,19.7,8268,0
AB9.DE,D,20200430,000000,19.7,19.7,19,19.5,2052,0
AB9.DE,D,20200504,000000,19.2,19.2,19,19.2,422,0
AB9.DE,D,20200505,000000,19.4,19.6,19.4,19.4,60,0
AB9.DE,D,20200506,000000,19.3,19.3,19.1,19.1,2749,0
AB9.DE,D,20200507,000000,19.6,19.6,19.1,19.4,2903,0
AB9.DE,D,20200508,000000,19.6,19.6,19,19,1659,0
AB9.DE,D,20200511,000000,19.2,19.7,19.2,19.5,1598,0
AB9.DE,D,20200512,000000,19.7,21.6,19.7,21.6,3422,0
AB9.DE,D,20200513,000000,20.6,21.4,20,21.2,1553,0
AB9.DE,D,20200514,000000,21.4,21.4,20,21,3238,0
AB9.DE,D,20200515,000000,21,21,20.8,20.8,578,0
AB9.DE,D,20200518,000000,20.2,21,20.2,20.8,828,0
AB9.DE,D,20200519,000000,21,21,20.8,20.8,666,0
AB9.DE,D,20200520,000000,20.8,20.8,20.4,20.6,1300,0
AB9.DE,D,20200521,000000,20.4,20.6,20.4,20.6,64,0
AB9.DE,D,20200522,000000,20.8,21,20.8,20.8,36,0
AB9.DE,D,20200525,000000,20.8,21,20.8,21,1443,0
AB9.DE,D,20200526,000000,21,21,20.8,21,800,0
AB9.DE,D,20200527,000000,21,21,21,21,0,0
AB9.DE,D,20200528,000000,21,21,21,21,466,0
AB9.DE,D,20200529,000000,21,21,21,21,287,0
AB9.DE,D,20200602,000000,20.4,21.4,20.4,21.4,1046,0
AB9.DE,D,20200603,000000,21.6,21.8,21.6,21.6,226,0
AB9.DE,D,20200604,000000,21.2,21.2,20.8,21,2643,0
AB9.DE,D,20200605,000000,21,21.2,20.6,21,3184,0
AB9.DE,D,20200608,000000,21,21.6,21,21.4,1095,0
AB9.DE,D,20200609,000000,21.6,21.6,21.4,21.6,1864,0
AB9.DE,D,20200610,000000,21.6,21.8,21.6,21.8,3714,0
AB9.DE,D,20200611,000000,21.6,21.8,21.4,21.4,864,0
