<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AE50.DE,D,20140617,000000,59.48,59.48,59.48,59.48,0,0
AE50.DE,D,20140618,000000,59.52,59.52,59.52,59.52,0,0
AE50.DE,D,20140619,000000,59.88,59.88,59.88,59.88,0,0
AE50.DE,D,20140620,000000,59.9,59.9,59.9,59.9,0,0
AE50.DE,D,20140623,000000,59.67,59.67,59.67,59.67,0,0
AE50.DE,D,20140624,000000,59.64,59.64,59.64,59.64,0,0
AE50.DE,D,20140626,000000,58.75,58.75,58.75,58.75,0,0
AE50.DE,D,20140627,000000,58.73,58.73,58.73,58.73,0,0
AE50.DE,D,20140630,000000,58.67,58.67,58.67,58.67,0,0
AE50.DE,D,20140702,000000,59.43,59.43,59.43,59.43,68,0
AE50.DE,D,20140704,000000,59.88,59.88,59.88,59.88,0,0
AE50.DE,D,20140709,000000,58.71,58.71,58.71,58.71,0,0
AE50.DE,D,20140711,000000,58.16,58.16,58.16,58.16,0,0
AE50.DE,D,20140715,000000,58.47,58.47,58.47,58.47,0,0
AE50.DE,D,20140717,000000,58.64,58.64,58.64,58.64,0,0
AE50.DE,D,20140718,000000,58.65,58.65,58.65,58.65,0,0
AE50.DE,D,20140721,000000,58.32,58.32,58.32,58.32,0,0
AE50.DE,D,20140722,000000,59.02,59.07,59.02,59.07,250,0
AE50.DE,D,20140723,000000,59.21,59.21,59.21,59.21,0,0
AE50.DE,D,20140724,000000,59.45,59.45,59.45,59.45,0,0
AE50.DE,D,20140725,000000,59.35,59.35,59.35,59.35,90,0
AE50.DE,D,20140729,000000,59.03,59.11,58.92,59.11,2900,0
AE50.DE,D,20140730,000000,58.76,58.76,58.76,58.76,0,0
AE50.DE,D,20140804,000000,57.24,57.240002,57.24,57.240002,0,0
AE50.DE,D,20140805,000000,57.66,57.66,57.54,57.540001,87,0
AE50.DE,D,20140806,000000,57.29,57.290001,57.29,57.290001,0,0
AE50.DE,D,20140807,000000,56.92,56.92,56.919998,56.919998,0,0
AE50.DE,D,20140808,000000,56.51,56.51,56.509998,56.509998,0,0
AE50.DE,D,20140811,000000,57.09,57.130001,57.09,57.130001,125,0
AE50.DE,D,20140812,000000,57.03,57.03,57.029999,57.029999,0,0
AE50.DE,D,20140813,000000,57.34,57.34,57.34,57.34,0,0
AE50.DE,D,20140814,000000,57.49,57.490002,57.49,57.490002,0,0
AE50.DE,D,20140815,000000,57.29,57.290001,57.29,57.290001,0,0
AE50.DE,D,20140819,000000,58.25,58.25,58.25,58.25,0,0
AE50.DE,D,20140820,000000,58.25,58.25,58.25,58.25,0,0
AE50.DE,D,20140821,000000,58.59,58.59,58.59,58.59,0,0
AE50.DE,D,20140822,000000,58.45,58.450001,58.45,58.450001,0,0
AE50.DE,D,20140826,000000,59.6,59.6,59.599998,59.599998,0,0
AE50.DE,D,20140827,000000,59.59,59.59,59.59,59.59,0,0
AE50.DE,D,20140828,000000,59.31,59.310001,59.31,59.310001,0,0
AE50.DE,D,20140829,000000,59.55,59.55,59.549999,59.549999,0,0
AE50.DE,D,20140901,000000,59.97,59.970001,59.97,59.970001,0,0
AE50.DE,D,20140902,000000,59.68,59.68,59.68,59.68,0,0
AE50.DE,D,20140903,000000,60.19,60.19,60.189999,60.189999,0,0
AE50.DE,D,20140904,000000,60.79,60.790001,60.79,60.790001,0,0
AE50.DE,D,20140905,000000,60.56,60.560001,60.56,60.560001,0,0
AE50.DE,D,20140908,000000,60.36,60.360001,60.36,60.360001,0,0
AE50.DE,D,20140909,000000,60.16,60.16,60.16,60.16,0,0
AE50.DE,D,20140910,000000,60.19,60.19,60.189999,60.189999,0,0
AE50.DE,D,20140911,000000,60.12,60.12,60.119999,60.119999,0,0
AE50.DE,D,20140912,000000,60.12,60.12,60.04,60.040001,83,0
AE50.DE,D,20140915,000000,60.05,60.05,60.049999,60.049999,0,0
AE50.DE,D,20140916,000000,60.02,60.02,60.02,60.02,0,0
AE50.DE,D,20140917,000000,60.23,60.23,60.23,60.23,0,0
AE50.DE,D,20140918,000000,60.77,60.77,60.77,60.77,0,0
AE50.DE,D,20140919,000000,61.11,61.11,60.869999,60.869999,100,0
AE50.DE,D,20140922,000000,60.78,60.78,60.65,60.650002,290,0
AE50.DE,D,20140923,000000,59.95,59.950001,59.95,59.950001,0,0
AE50.DE,D,20140924,000000,60.49,60.490002,60.49,60.490002,0,0
AE50.DE,D,20140925,000000,59.97,59.970001,59.97,59.970001,0,0
AE50.DE,D,20140926,000000,60.02,60.02,60.02,60.02,0,0
AE50.DE,D,20140929,000000,59.78,59.78,59.779999,59.779999,0,0
AE50.DE,D,20140930,000000,60.18,60.18,60.18,60.18,0,0
AE50.DE,D,20141001,000000,59.65,59.650002,59.65,59.650002,0,0
AE50.DE,D,20141006,000000,58.83,58.830002,58.83,58.830002,0,0
AE50.DE,D,20141008,000000,57.56,57.560001,57.56,57.560001,0,0
AE50.DE,D,20141009,000000,57.45,57.45,57.36,57.360001,25,0
AE50.DE,D,20141013,000000,56.59,56.59,56.59,56.59,0,0
AE50.DE,D,20141014,000000,56.53,56.53,56.529999,56.529999,0,0
AE50.DE,D,20141020,000000,55.55,55.55,55.549999,55.549999,0,0
AE50.DE,D,20141022,000000,56.92,57.060001,56.92,57.060001,50,0
AE50.DE,D,20141023,000000,57.45,57.450001,57.45,57.450001,0,0
AE50.DE,D,20141024,000000,57.25,57.25,57.25,57.25,0,0
AE50.DE,D,20141027,000000,56.9,56.900002,56.9,56.900002,0,0
AE50.DE,D,20141028,000000,57.32,57.32,57.32,57.32,0,0
AE50.DE,D,20141029,000000,57.43,57.43,57.43,57.43,0,0
AE50.DE,D,20141030,000000,57.63,57.630001,57.63,57.630001,0,0
AE50.DE,D,20141103,000000,58.22,58.220001,58.22,58.220001,0,0
AE50.DE,D,20141104,000000,57.61,57.610001,57.61,57.610001,0,0
AE50.DE,D,20141106,000000,58.64,58.64,58.639999,58.639999,0,0
AE50.DE,D,20141107,000000,58.37,58.37,58.369999,58.369999,0,0
AE50.DE,D,20141110,000000,58.84,58.84,58.84,58.84,0,0
AE50.DE,D,20141111,000000,58.97,58.970001,58.97,58.970001,0,0
AE50.DE,D,20141112,000000,58.49,58.490002,58.49,58.490002,0,0
AE50.DE,D,20141113,000000,58.62,58.62,58.619999,58.619999,0,0
AE50.DE,D,20141114,000000,58.51,58.51,58.509998,58.509998,0,0
AE50.DE,D,20141117,000000,58.9,58.900002,58.9,58.900002,0,0
AE50.DE,D,20141118,000000,59.23,59.23,59.23,59.23,0,0
AE50.DE,D,20141119,000000,59.39,59.39,59.25,59.25,151,0
AE50.DE,D,20141120,000000,59.04,59.060001,59.04,59.060001,337,0
AE50.DE,D,20141124,000000,60.32,60.32,60.32,60.32,0,0
AE50.DE,D,20141125,000000,60.31,60.31,60.27,60.299999,1700,0
AE50.DE,D,20141126,000000,60.38,60.380001,60.38,60.380001,0,0
AE50.DE,D,20141127,000000,60.48,60.48,60.48,60.48,0,0
AE50.DE,D,20141128,000000,60.48,60.54,60.48,60.52,1800,0
AE50.DE,D,20141201,000000,60.06,60.060001,60.06,60.060001,0,0
AE50.DE,D,20141202,000000,60.48,60.48,60.48,60.48,0,0
AE50.DE,D,20141203,000000,60.8,60.8,60.799999,60.799999,0,0
AE50.DE,D,20141204,000000,59.91,59.91,59.91,59.91,0,0
AE50.DE,D,20141205,000000,60.85,60.85,60.849998,60.849998,0,0
AE50.DE,D,20141208,000000,60.65,60.65,60.439999,60.439999,248,0
AE50.DE,D,20141209,000000,59.03,59.03,59.029999,59.029999,0,0
AE50.DE,D,20141210,000000,58.67,58.67,58.669998,58.669998,0,0
AE50.DE,D,20141211,000000,58.85,58.85,58.849998,58.849998,0,0
AE50.DE,D,20141212,000000,57.18,57.18,57.18,57.18,0,0
AE50.DE,D,20141215,000000,55.66,55.66,55.66,55.66,0,0
AE50.DE,D,20141216,000000,56.98,56.98,56.98,56.98,0,0
AE50.DE,D,20141217,000000,57.07,57.07,57.07,57.07,0,0
AE50.DE,D,20141218,000000,58.31,58.720001,58.31,58.720001,15,0
AE50.DE,D,20141219,000000,58.97,58.970001,58.97,58.970001,0,0
AE50.DE,D,20141222,000000,59.12,59.12,59.119999,59.119999,0,0
AE50.DE,D,20141223,000000,59.36,59.360001,59.36,59.360001,0,0
AE50.DE,D,20141229,000000,59.38,59.560001,59.38,59.560001,600,0
AE50.DE,D,20141230,000000,59.09,59.09,59.09,59.09,0,0
AE50.DE,D,20150102,000000,58.86,58.860001,58.86,58.860001,0,0
AE50.DE,D,20150105,000000,58.85,58.85,57.41,57.41,400,0
AE50.DE,D,20150106,000000,56.93,56.93,56.93,56.93,0,0
AE50.DE,D,20150107,000000,57.39,57.39,57.389999,57.389999,0,0
AE50.DE,D,20150108,000000,59.17,59.17,59.169998,59.169998,0,0
AE50.DE,D,20150109,000000,58.04,58.040001,58.04,58.040001,0,0
AE50.DE,D,20150112,000000,58.48,58.48,58.48,58.48,0,0
AE50.DE,D,20150113,000000,59.34,59.34,59.34,59.34,0,0
AE50.DE,D,20150114,000000,58.28,58.28,58.279999,58.279999,0,0
AE50.DE,D,20150115,000000,60.26,60.26,60.259998,60.259998,0,0
AE50.DE,D,20150116,000000,60.95,60.950001,60.95,60.950001,0,0
AE50.DE,D,20150119,000000,61.24,61.24,60.799999,60.799999,132,0
AE50.DE,D,20150120,000000,61.39,61.39,61.389999,61.389999,0,0
AE50.DE,D,20150121,000000,61.39,61.78,61.39,61.779999,82,0
AE50.DE,D,20150122,000000,62.55,62.55,62.549999,62.549999,0,0
AE50.DE,D,20150123,000000,63.16,63.91,63.16,63.849998,101,0
AE50.DE,D,20150126,000000,64.09,64.09,64.089996,64.089996,0,0
AE50.DE,D,20150127,000000,63.75,63.75,63.75,63.75,0,0
AE50.DE,D,20150128,000000,63.49,63.490002,63.49,63.490002,0,0
