<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AEIN.DE,D,20171002,000000,20.161773,20.161773,19.522322,19.832504,1976,0
AEIN.DE,D,20171004,000000,19.947032,20.052016,19.737063,19.818187,3429,0
AEIN.DE,D,20171005,000000,19.713203,20.114053,19.546183,20.042472,35235,0
AEIN.DE,D,20171006,000000,20.209493,20.977788,20.209493,20.753503,11338,0
AEIN.DE,D,20171009,000000,20.58171,20.58171,20.567394,20.567394,281,0
AEIN.DE,D,20171010,000000,20.519674,20.686695,20.39083,20.615114,4564,0
AEIN.DE,D,20171011,000000,20.519674,20.686695,20.443322,20.662835,2756,0
AEIN.DE,D,20171012,000000,20.567394,20.710555,20.424234,20.543534,8285,0
AEIN.DE,D,20171013,000000,20.715327,20.720099,20.481498,20.643746,5344,0
AEIN.DE,D,20171016,000000,20.624658,20.624658,20.324021,20.405146,6388,0
AEIN.DE,D,20171017,000000,20.405146,20.41469,20.114053,20.195177,1864,0
AEIN.DE,D,20171018,000000,20.090192,20.43855,20.042472,20.252441,10074,0
AEIN.DE,D,20171019,000000,20.214265,20.362197,19.612991,19.612991,2653,0
AEIN.DE,D,20171020,000000,19.441198,20.295389,19.441198,19.947032,3667,0
AEIN.DE,D,20171023,000000,20.114053,20.180861,19.947032,20.180861,3618,0
AEIN.DE,D,20171024,000000,20.357425,20.381286,20.056788,20.056788,446,0
AEIN.DE,D,20171025,000000,20.056788,20.405146,20.056788,20.338337,501,0
AEIN.DE,D,20171026,000000,20.314477,21.235477,20.133141,21.116176,17207,0
AEIN.DE,D,20171027,000000,21.187756,22.04672,20.901435,21.66973,26869,0
AEIN.DE,D,20171030,000000,21.664958,21.798575,21.412041,21.698362,4928,0
AEIN.DE,D,20171101,000000,21.812891,21.812891,21.316601,21.688818,11547,0
AEIN.DE,D,20171102,000000,21.812891,22.428481,21.679274,22.127844,17368,0
AEIN.DE,D,20171103,000000,22.30918,22.371217,22.022859,22.022859,7185,0
AEIN.DE,D,20171106,000000,22.099212,23.053615,22.099212,22.810242,16861,0
AEIN.DE,D,20171107,000000,23.067931,23.067931,22.457113,22.457113,14533,0
AEIN.DE,D,20171108,000000,22.619362,22.619362,21.521798,21.564746,8682,0
AEIN.DE,D,20171109,000000,21.383409,21.388181,20.710555,20.93484,9879,0
AEIN.DE,D,20171110,000000,21.116176,21.474077,21.111404,21.159124,4915,0
AEIN.DE,D,20171113,000000,21.159124,21.240249,21.039824,21.039824,1723,0
AEIN.DE,D,20171114,000000,21.230705,21.245021,20.996876,21.05414,1193,0
AEIN.DE,D,20171115,000000,20.996876,20.996876,20.238125,20.281073,8212,0
AEIN.DE,D,20171116,000000,20.395602,20.748731,20.152229,20.567394,6914,0
AEIN.DE,D,20171117,000000,20.39083,20.672379,20.39083,20.491042,4214,0
AEIN.DE,D,20171120,000000,20.667607,21.116176,20.309705,21.00642,8526,0
AEIN.DE,D,20171121,000000,20.910979,21.182984,20.910979,20.996876,566,0
AEIN.DE,D,20171122,000000,20.815539,21.178212,20.815539,21.00642,2290,0
AEIN.DE,D,20171123,000000,20.853715,21.321373,20.853715,21.144808,3421,0
AEIN.DE,D,20171124,000000,21.617238,21.617238,21.230705,21.283197,4803,0
AEIN.DE,D,20171127,000000,21.10186,21.426357,21.10186,21.345233,1738,0
AEIN.DE,D,20171128,000000,21.373865,21.373865,21.163896,21.163896,448,0
AEIN.DE,D,20171129,000000,21.354777,21.774715,21.354777,21.55043,5409,0
AEIN.DE,D,20171130,000000,21.569518,21.951279,21.569518,21.769943,10818,0
AEIN.DE,D,20171201,000000,21.946507,21.951279,21.440673,21.712678,28283,0
AEIN.DE,D,20171204,000000,21.722222,21.750854,21.531342,21.531342,18025,0
AEIN.DE,D,20171205,000000,21.712678,21.74131,21.435901,21.583834,5380,0
AEIN.DE,D,20171206,000000,21.402497,21.851067,20.939612,21.62201,10799,0
AEIN.DE,D,20171207,000000,21.440673,21.884471,21.440673,21.884471,2115,0
AEIN.DE,D,20171208,000000,22.07058,22.428481,21.822435,21.960823,7204,0
AEIN.DE,D,20171211,000000,22.075352,22.075352,21.412041,21.412041,4337,0
AEIN.DE,D,20171212,000000,21.235477,21.593378,21.235477,21.287969,2308,0
AEIN.DE,D,20171213,000000,20.992104,21.483622,20.992104,21.397725,4651,0
AEIN.DE,D,20171214,000000,21.221161,21.221161,21.020736,21.020736,4889,0
AEIN.DE,D,20171215,000000,20.996876,21.025508,20.844171,20.844171,488,0
AEIN.DE,D,20171218,000000,21.10186,22.939087,21.10186,22.939087,29977,0
AEIN.DE,D,20171219,000000,23.139511,23.955526,23.015439,23.320848,29011,0
AEIN.DE,D,20171220,000000,23.473553,23.473553,23.201548,23.201548,6882,0
AEIN.DE,D,20171221,000000,23.144283,23.860086,23.144283,23.82191,7092,0
AEIN.DE,D,20171222,000000,23.860086,23.860086,23.096563,23.192004,6909,0
AEIN.DE,D,20171227,000000,23.010667,23.945982,22.962947,23.860086,3249,0
AEIN.DE,D,20171228,000000,23.922122,24.241847,23.922122,24.175039,5879,0
AEIN.DE,D,20171229,000000,24.284796,24.499536,24.127319,24.203671,3038,0
AEIN.DE,D,20180102,000000,24.356376,25.463484,24.356376,24.976738,19930,0
AEIN.DE,D,20180103,000000,25.196251,25.768893,25.067406,25.072178,21395,0
AEIN.DE,D,20180104,000000,25.062634,26.341535,25.05309,25.964546,12756,0
AEIN.DE,D,20180105,000000,25.854789,26.16497,25.811841,26.007494,4559,0
AEIN.DE,D,20180108,000000,26.236551,26.56582,25.162847,25.162847,8777,0
AEIN.DE,D,20180109,000000,25.601872,25.897737,25.601872,25.687769,8937,0
AEIN.DE,D,20180110,000000,25.768893,26.341535,25.721173,26.198375,19692,0
AEIN.DE,D,20180111,000000,26.007494,26.479924,26.007494,26.040898,20509,0
AEIN.DE,D,20180112,000000,26.274727,26.394027,25.811841,26.074302,5451,0
AEIN.DE,D,20180115,000000,26.150654,26.150654,25.520748,25.959774,16954,0
AEIN.DE,D,20180116,000000,26.250867,27.267306,26.150654,26.174514,41672,0
AEIN.DE,D,20180117,000000,26.408343,26.408343,25.959774,26.002722,6543,0
AEIN.DE,D,20180118,000000,25.92637,27.13369,25.768893,27.090742,5463,0
AEIN.DE,D,20180119,000000,27.238674,27.501135,26.866457,27.295938,7621,0
AEIN.DE,D,20180122,000000,27.420011,27.443871,27.114602,27.295938,6567,0
AEIN.DE,D,20180123,000000,27.343659,27.391379,27.186182,27.295938,2824,0
AEIN.DE,D,20180124,000000,27.200498,27.391379,27.124146,27.224358,1896,0
AEIN.DE,D,20180125,000000,27.200498,27.200498,26.269955,26.336763,4164,0
AEIN.DE,D,20180126,000000,26.341535,26.341535,25.100811,25.334639,18162,0
AEIN.DE,D,20180129,000000,25.482572,26.246095,25.291691,26.227007,4587,0
AEIN.DE,D,20180130,000000,26.246095,26.436975,25.482572,25.673453,3982,0
AEIN.DE,D,20180131,000000,25.864333,25.959774,25.578012,25.959774,1247,0
AEIN.DE,D,20180201,000000,25.959774,25.959774,24.81449,25.387132,8104,0
AEIN.DE,D,20180202,000000,25.482572,25.482572,24.432728,24.81449,14510,0
AEIN.DE,D,20180205,000000,24.432728,24.432728,23.287444,24.050967,19191,0
AEIN.DE,D,20180206,000000,22.523921,24.337288,22.2376,24.337288,20982,0
AEIN.DE,D,20180207,000000,24.050967,24.623609,23.955526,24.528168,10789,0
AEIN.DE,D,20180208,000000,24.623609,24.623609,23.192004,23.764646,8452,0
AEIN.DE,D,20180209,000000,23.192004,23.764646,23.192004,23.669205,11609,0
AEIN.DE,D,20180212,000000,23.764646,23.860086,23.096563,23.860086,10554,0
AEIN.DE,D,20180213,000000,23.764646,24.81449,23.669205,24.432728,4622,0
AEIN.DE,D,20180214,000000,24.528168,24.81449,24.432728,24.623609,2990,0
AEIN.DE,D,20180215,000000,24.90993,25.482572,24.528168,25.482572,1704,0
AEIN.DE,D,20180216,000000,25.196251,25.387132,25.100811,25.100811,3616,0
AEIN.DE,D,20180219,000000,25.100811,25.768893,25.00537,25.578012,13647,0
AEIN.DE,D,20180220,000000,25.578012,25.959774,25.387132,25.959774,3061,0
AEIN.DE,D,20180221,000000,25.959774,25.959774,25.387132,25.768893,4517,0
AEIN.DE,D,20180222,000000,25.482572,25.482572,24.719049,25.100811,4370,0
AEIN.DE,D,20180223,000000,25.100811,25.100811,24.528168,24.528168,12479,0
AEIN.DE,D,20180226,000000,25.00537,25.291691,24.81449,25.00537,3665,0
AEIN.DE,D,20180227,000000,25.00537,25.291691,24.90993,24.90993,2616,0
AEIN.DE,D,20180228,000000,24.81449,25.291691,24.719049,25.196251,2283,0
AEIN.DE,D,20180301,000000,25.00537,25.00537,23.669205,24.719049,6465,0
AEIN.DE,D,20180302,000000,24.528168,24.528168,23.764646,24.241847,7800,0
AEIN.DE,D,20180305,000000,23.955526,24.719049,23.764646,24.719049,2370,0
AEIN.DE,D,20180306,000000,24.528168,24.528168,23.955526,24.146407,5131,0
AEIN.DE,D,20180307,000000,24.241847,24.623609,24.146407,24.432728,3076,0
AEIN.DE,D,20180308,000000,24.241847,24.241847,23.478325,23.955526,2149,0
AEIN.DE,D,20180309,000000,23.860086,24.146407,23.764646,24.146407,2643,0
AEIN.DE,D,20180312,000000,24.241847,24.719049,24.050967,24.337288,4765,0
AEIN.DE,D,20180313,000000,24.337288,24.432728,24.146407,24.337288,2324,0
AEIN.DE,D,20180314,000000,24.050967,24.337288,23.764646,24.337288,2480,0
AEIN.DE,D,20180315,000000,24.241847,24.241847,23.669205,24.241847,8479,0
AEIN.DE,D,20180316,000000,24.146407,24.623609,24.050967,24.241847,20049,0
AEIN.DE,D,20180319,000000,24.050967,24.432728,23.382884,24.432728,20208,0
AEIN.DE,D,20180320,000000,24.432728,25.196251,24.432728,25.100811,3733,0
AEIN.DE,D,20180321,000000,25.387132,25.578012,24.81449,25.291691,5300,0
AEIN.DE,D,20180322,000000,25.482572,25.482572,24.241847,24.81449,11224,0
AEIN.DE,D,20180323,000000,24.528168,24.719049,23.955526,24.719049,8441,0
AEIN.DE,D,20180326,000000,24.528168,24.719049,24.241847,24.719049,4293,0
AEIN.DE,D,20180327,000000,24.81449,25.291691,24.623609,25.291691,5234,0
AEIN.DE,D,20180328,000000,25.100811,25.100811,23.001123,24.528168,51763,0
AEIN.DE,D,20180329,000000,24.337288,24.81449,23.764646,24.623609,13442,0
AEIN.DE,D,20180403,000000,24.81449,24.81449,23.955526,24.146407,4487,0
AEIN.DE,D,20180404,000000,24.050967,24.337288,23.573765,23.573765,3910,0
AEIN.DE,D,20180405,000000,23.764646,24.90993,23.764646,24.623609,13751,0
AEIN.DE,D,20180406,000000,24.90993,24.90993,24.432728,24.432728,2098,0
AEIN.DE,D,20180409,000000,24.719049,24.81449,24.337288,24.623609,5967,0
AEIN.DE,D,20180410,000000,24.719049,24.81449,24.337288,24.432728,2141,0
AEIN.DE,D,20180411,000000,24.146407,24.528168,23.860086,24.241847,2508,0
AEIN.DE,D,20180412,000000,23.955526,24.623609,23.669205,24.241847,6773,0
AEIN.DE,D,20180413,000000,24.241847,24.241847,23.764646,24.146407,5534,0
AEIN.DE,D,20180416,000000,23.955526,24.241847,23.955526,24.241847,1485,0
AEIN.DE,D,20180417,000000,23.955526,24.337288,23.478325,24.337288,8137,0
AEIN.DE,D,20180418,000000,24.432728,24.432728,24.050967,24.432728,2071,0
AEIN.DE,D,20180419,000000,24.146407,24.337288,24.050967,24.146407,542,0
AEIN.DE,D,20180420,000000,24.050967,24.337288,23.860086,24.050967,4398,0
AEIN.DE,D,20180423,000000,23.860086,24.146407,23.860086,23.860086,1533,0
AEIN.DE,D,20180424,000000,24.146407,24.432728,23.764646,24.432728,10308,0
AEIN.DE,D,20180425,000000,24.528168,24.719049,24.241847,24.528168,6660,0
AEIN.DE,D,20180426,000000,24.432728,24.81449,24.432728,24.528168,3945,0
AEIN.DE,D,20180427,000000,24.337288,24.623609,24.337288,24.623609,2070,0
AEIN.DE,D,20180430,000000,24.623609,25.291691,24.432728,25.196251,3335,0
AEIN.DE,D,20180502,000000,25.196251,25.673453,25.196251,25.578012,4880,0
AEIN.DE,D,20180503,000000,25.768893,26.150654,25.768893,25.959774,6794,0
AEIN.DE,D,20180504,000000,26.246095,26.436975,25.959774,26.436975,5409,0
AEIN.DE,D,20180507,000000,26.150654,26.341535,25.578012,25.768893,9132,0
AEIN.DE,D,20180508,000000,26.055214,26.246095,25.959774,26.246095,1036,0
AEIN.DE,D,20180509,000000,25.959774,26.341535,25.768893,26.246095,5421,0
AEIN.DE,D,20180510,000000,26.150654,26.150654,26.150654,26.150654,1055,0
AEIN.DE,D,20180511,000000,26.150654,26.532416,26.150654,26.436975,4961,0
AEIN.DE,D,20180514,000000,26.436975,26.723296,26.341535,26.341535,14892,0
AEIN.DE,D,20180515,000000,26.341535,26.627856,25.768893,25.768893,1911,0
AEIN.DE,D,20180516,000000,25.768893,25.768893,25.482572,25.482572,2025,0
AEIN.DE,D,20180517,000000,25.673453,25.673453,25.291691,25.291691,936,0
AEIN.DE,D,20180518,000000,25.100811,26.055214,25.100811,25.768893,6012,0
