<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIR.DE,D,20070102,000000,21.880724,22.165216,21.83052,22.048072,205774,0
AIR.DE,D,20070103,000000,22.039705,22.081542,21.387048,21.855622,181848,0
AIR.DE,D,20070104,000000,21.780316,21.86399,21.395416,21.495824,272997,0
AIR.DE,D,20070105,000000,21.529294,21.805418,21.470722,21.470722,302505,0
AIR.DE,D,20070108,000000,21.579498,21.805418,21.119292,21.353579,262269,0
AIR.DE,D,20070109,000000,21.412151,21.520927,21.295007,21.295007,159397,0
AIR.DE,D,20070110,000000,21.06072,21.110924,20.583779,20.90174,426724,0
AIR.DE,D,20070115,000000,21.09419,21.587866,21.085822,21.437253,298327,0
AIR.DE,D,20070116,000000,21.621335,21.705009,21.47909,21.495824,326611,0
AIR.DE,D,20070117,000000,20.960311,21.211333,20.608881,20.843168,778302,0
AIR.DE,D,20070118,000000,20.792964,20.90174,19.663366,20.207246,781257,0
AIR.DE,D,20070119,000000,20.073368,20.525207,19.78051,20.48337,259690,0
AIR.DE,D,20070122,000000,20.500105,20.742759,20.441533,20.600514,381387,0
AIR.DE,D,20070123,000000,20.625616,20.70929,20.32439,20.575412,246144,0
AIR.DE,D,20070124,000000,20.70929,21.010516,20.633983,20.926842,219706,0
AIR.DE,D,20070125,000000,20.918475,21.211333,20.826433,20.893372,215472,0
AIR.DE,D,20070126,000000,20.759494,20.759494,20.458268,20.458268,239707,0
AIR.DE,D,20070129,000000,20.667453,21.295007,20.608881,20.943577,237697,0
AIR.DE,D,20070130,000000,20.918475,21.202966,20.859903,21.202966,151789,0
AIR.DE,D,20070131,000000,21.202966,21.378681,20.859903,21.320109,293649,0
AIR.DE,D,20070201,000000,21.453987,21.746846,21.261538,21.395416,250151,0
AIR.DE,D,20070202,000000,21.420518,21.504192,21.295007,21.412151,146983,0
AIR.DE,D,20070205,000000,21.169496,21.169496,20.734392,20.960311,214532,0
AIR.DE,D,20070206,000000,20.993781,21.412151,20.960311,21.06072,214444,0
AIR.DE,D,20070207,000000,21.144394,21.320109,21.127659,21.144394,261619,0
AIR.DE,D,20070208,000000,21.295007,21.6046,21.052353,21.161129,336011,0
AIR.DE,D,20070209,000000,21.303374,21.361946,20.751127,20.818066,417650,0
AIR.DE,D,20070212,000000,20.684188,20.859903,20.458268,20.567044,217729,0
AIR.DE,D,20070213,000000,20.667453,21.035618,20.659085,20.859903,410798,0
AIR.DE,D,20070214,000000,21.002148,21.077455,20.876638,20.977046,154016,0
AIR.DE,D,20070215,000000,20.918475,20.960311,20.792964,20.893372,129401,0
AIR.DE,D,20070216,000000,20.86827,21.052353,20.834801,20.960311,158868,0
AIR.DE,D,20070219,000000,21.328477,21.713377,21.328477,21.579498,446378,0
AIR.DE,D,20070220,000000,21.612968,21.721744,21.437253,21.663172,280169,0
AIR.DE,D,20070221,000000,21.679907,21.679907,21.428885,21.6046,252159,0
