<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMEE.DE,D,20110708,000000,182.89,182.89,182.89,182.89,0,0
AMEE.DE,D,20110711,000000,181.72,181.72,181.72,181.72,0,0
AMEE.DE,D,20110712,000000,180.45,180.45,180.45,180.45,0,0
AMEE.DE,D,20110713,000000,181.99,181.99,181.99,181.99,0,0
AMEE.DE,D,20110714,000000,180.11,180.11,180.11,180.11,0,0
AMEE.DE,D,20110715,000000,181.02,181.02,181.02,181.02,0,0
AMEE.DE,D,20110718,000000,179.35,179.35,179.35,179.35,0,0
AMEE.DE,D,20110719,000000,180.52,180.52,180.52,180.52,0,0
AMEE.DE,D,20110720,000000,182.3,182.3,182.3,182.3,0,0
AMEE.DE,D,20110721,000000,183.82,183.82,183.82,183.82,0,0
AMEE.DE,D,20110722,000000,184.72,184.72,184.72,184.72,0,0
AMEE.DE,D,20110725,000000,185.17,185.17,185.17,185.17,0,0
AMEE.DE,D,20110726,000000,184.58,184.58,184.58,184.58,0,0
AMEE.DE,D,20110727,000000,182.6,182.6,182.6,182.6,0,0
AMEE.DE,D,20110728,000000,182.74,182.74,182.74,182.74,0,0
AMEE.DE,D,20110729,000000,160.46,160.46,160.46,160.46,0,0
AMEE.DE,D,20110810,000000,153.69,153.69,153.69,153.69,0,0
AMEE.DE,D,20110811,000000,153.69,153.69,153.69,153.69,0,0
AMEE.DE,D,20110812,000000,152.4,152.4,152.4,152.4,0,0
AMEE.DE,D,20110816,000000,161.43,161.43,161.43,161.43,0,0
AMEE.DE,D,20110817,000000,162.05,162.05,162.05,162.05,0,0
AMEE.DE,D,20110822,000000,154.19,154.19,154.19,154.19,0,0
AMEE.DE,D,20110824,000000,157.53,157.53,157.53,157.53,0,0
AMEE.DE,D,20110829,000000,156,157.2,156,157.2,12,0
AMEE.DE,D,20110830,000000,153.13,153.13,153.13,153.13,0,0
AMEE.DE,D,20110909,000000,161.38,161.38,161.38,161.38,0,0
AMEE.DE,D,20110913,000000,159.26,159.26,159.26,159.26,0,0
AMEE.DE,D,20110914,000000,166.01,166.01,166.01,166.01,0,0
AMEE.DE,D,20110921,000000,153.39,153.39,153.39,153.39,0,0
AMEE.DE,D,20110928,000000,159.78,159.78,159.78,159.78,0,0
AMEE.DE,D,20110929,000000,159.39,159.39,158.38,159.39,2400,0
AMEE.DE,D,20110930,000000,158.97,158.97,158.97,158.97,0,0
AMEE.DE,D,20111003,000000,157.38,157.38,157.38,157.38,15,0
AMEE.DE,D,20111011,000000,167.84,167.84,167.84,167.84,0,0
AMEE.DE,D,20111012,000000,166.82,167.01,166.82,167.01,56,0
AMEE.DE,D,20111013,000000,169.49,169.49,169.49,169.49,0,0
AMEE.DE,D,20111017,000000,174.19,174.19,174.19,174.19,0,0
AMEE.DE,D,20111018,000000,174.81,174.81,174.81,174.81,0,0
AMEE.DE,D,20111019,000000,177.1,177.1,177.1,177.1,0,0
AMEE.DE,D,20111020,000000,175.99,175.99,175.99,175.99,0,0
AMEE.DE,D,20111024,000000,178.99,178.99,178.99,178.99,0,0
AMEE.DE,D,20111025,000000,181.18,181.18,181.18,181.18,0,0
AMEE.DE,D,20111026,000000,181.9,181.9,181.9,181.9,0,0
AMEE.DE,D,20111027,000000,184.76,184.76,184.76,184.76,0,0
AMEE.DE,D,20111028,000000,183.28,183.28,183.28,183.28,0,0
AMEE.DE,D,20111031,000000,181.24,181.24,181.24,181.24,0,0
AMEE.DE,D,20111103,000000,180.98,180.98,180.98,180.98,0,0
AMEE.DE,D,20111104,000000,179.81,179.81,179.81,179.81,0,0
AMEE.DE,D,20111107,000000,180.62,180.62,180.62,180.62,0,0
AMEE.DE,D,20111108,000000,183.21,183.21,183.21,183.21,0,0
AMEE.DE,D,20111109,000000,181.1,181.1,181.1,181.1,0,0
AMEE.DE,D,20111110,000000,180.33,180.33,180.33,180.33,0,0
AMEE.DE,D,20111111,000000,182.59,182.59,182.59,182.59,0,0
AMEE.DE,D,20111114,000000,182.58,182.58,182.58,182.58,0,0
AMEE.DE,D,20111115,000000,182.02,182.02,182.02,182.02,0,0
AMEE.DE,D,20111116,000000,183.56,183.56,183.56,183.56,0,0
AMEE.DE,D,20111117,000000,181.3,181.3,181.3,181.3,0,0
AMEE.DE,D,20111118,000000,179.78,179.78,179.78,179.78,0,0
AMEE.DE,D,20111122,000000,171.91,171.91,171.91,171.91,0,0
AMEE.DE,D,20111123,000000,169.68,169.68,169.68,169.68,0,0
AMEE.DE,D,20111124,000000,167.3,167.3,167.3,167.3,0,0
AMEE.DE,D,20111128,000000,175.34,175.34,175.34,175.34,0,0
AMEE.DE,D,20111129,000000,176.49,176.49,176.49,176.49,0,0
AMEE.DE,D,20111130,000000,182.92,182.92,182.92,182.92,0,0
AMEE.DE,D,20111201,000000,181.39,181.39,181.39,181.39,0,0
AMEE.DE,D,20111202,000000,184.33,184.33,184.33,184.33,0,0
AMEE.DE,D,20111205,000000,185.82,185.82,185.82,185.82,0,0
AMEE.DE,D,20111206,000000,185.69,185.69,185.69,185.69,0,0
AMEE.DE,D,20111207,000000,186.2,186.2,186.2,186.2,0,0
AMEE.DE,D,20111208,000000,182.62,182.62,182.62,182.62,0,0
AMEE.DE,D,20111209,000000,185.07,185.07,185.07,185.07,0,0
AMEE.DE,D,20111212,000000,182.83,182.83,182.83,182.83,0,0
AMEE.DE,D,20111213,000000,186.91,186.91,186.91,186.91,0,0
AMEE.DE,D,20111214,000000,181.87,181.87,181.87,181.87,0,0
AMEE.DE,D,20111215,000000,182.76,182.76,182.76,182.76,0,0
AMEE.DE,D,20111216,000000,182.34,182.34,182.34,182.34,0,0
AMEE.DE,D,20111219,000000,181.06,181.06,181.06,181.06,0,0
AMEE.DE,D,20111220,000000,184.42,184.42,184.42,184.42,0,0
AMEE.DE,D,20111221,000000,184.32,184.32,184.32,184.32,0,0
AMEE.DE,D,20111222,000000,187.64,187.64,187.64,187.64,0,0
AMEE.DE,D,20111223,000000,189.42,189.42,189.42,189.42,0,0
AMEE.DE,D,20111227,000000,189.48,189.48,189.48,189.48,0,0
AMEE.DE,D,20111228,000000,188.16,188.16,188.16,188.16,0,0
AMEE.DE,D,20111229,000000,191.01,191.01,191.01,191.01,0,0
