<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARRD.DE,D,20170522,000000,20.278902,20.338737,20.069481,20.154247,14570,0
ARRD.DE,D,20170523,000000,20.099399,20.234026,19.730419,20.014633,10537,0
ARRD.DE,D,20170524,000000,20.029592,20.343723,19.919895,19.954799,39707,0
ARRD.DE,D,20170525,000000,19.929868,19.97973,19.426261,19.570861,60097,0
ARRD.DE,D,20170526,000000,19.620723,19.914909,19.50604,19.875019,16735,0
ARRD.DE,D,20170529,000000,19.810199,19.969757,19.75535,19.75535,20285,0
ARRD.DE,D,20170530,000000,19.69053,19.944826,19.655626,19.914909,12022,0
ARRD.DE,D,20170531,000000,19.730419,19.75535,19.196895,19.236785,27394,0
ARRD.DE,D,20170601,000000,19.181937,19.511026,19.102157,19.491081,26193,0
ARRD.DE,D,20170602,000000,19.496068,19.61075,18.543702,18.758109,90138,0
ARRD.DE,D,20170606,000000,18.458937,18.498826,18.104916,18.324309,121244,0
ARRD.DE,D,20170607,000000,18.264475,18.713233,18.179709,18.384144,37929,0
ARRD.DE,D,20170608,000000,18.498826,18.837888,18.294392,18.797999,60593,0
ARRD.DE,D,20170609,000000,18.982488,19.152019,18.872792,18.937613,63408,0
ARRD.DE,D,20170612,000000,18.947585,18.972516,18.658385,18.802985,68039,0
ARRD.DE,D,20170613,000000,18.793013,18.952571,18.723206,18.902709,20607,0
ARRD.DE,D,20170614,000000,19.186923,19.236785,18.523757,18.523757,66116,0
ARRD.DE,D,20170615,000000,18.473895,18.473895,17.775826,18.000206,86783,0
ARRD.DE,D,20170616,000000,18.109902,18.124861,17.720978,17.805744,106208,0
ARRD.DE,D,20170619,000000,18.114888,18.508799,18.114888,18.314337,41540,0
ARRD.DE,D,20170620,000000,18.463923,18.463923,17.66613,17.760868,56557,0
ARRD.DE,D,20170621,000000,17.730951,18.304364,17.701033,18.134833,53003,0
ARRD.DE,D,20170622,000000,17.950344,18.748137,17.850619,18.698275,93923,0
ARRD.DE,D,20170623,000000,18.698275,18.907695,18.568633,18.812957,50608,0
ARRD.DE,D,20170626,000000,19.087199,19.102157,18.763095,18.897723,33298,0
ARRD.DE,D,20170627,000000,19.201881,19.620723,19.161992,19.481109,89870,0
ARRD.DE,D,20170628,000000,19.426261,19.870033,19.206868,19.79524,60659,0
ARRD.DE,D,20170629,000000,20.283888,20.388599,19.580833,19.590806,67621,0
ARRD.DE,D,20170630,000000,19.535957,19.999674,19.281661,19.775295,52785,0
ARRD.DE,D,20170703,000000,20.199123,20.598019,20.199123,20.55813,36453,0
ARRD.DE,D,20170704,000000,20.348709,20.732647,20.343723,20.588047,15759,0
ARRD.DE,D,20170705,000000,20.817412,20.942068,20.243999,20.513254,51189,0
ARRD.DE,D,20170706,000000,20.283888,20.538185,20.154247,20.343723,13583,0
ARRD.DE,D,20170707,000000,20.18915,20.393585,19.805212,20.069481,30481,0
ARRD.DE,D,20170710,000000,20.224054,20.528212,19.93984,20.513254,16769,0
ARRD.DE,D,20170711,000000,20.737633,20.996916,20.682785,20.852316,47651,0
ARRD.DE,D,20170712,000000,20.986943,21.380854,20.917137,21.196364,68383,0
ARRD.DE,D,20170713,000000,21.545399,21.839585,21.321019,21.640136,107389,0
ARRD.DE,D,20170714,000000,21.899419,22.083909,21.839585,21.904405,66845,0
ARRD.DE,D,20170717,000000,22.078923,22.163688,21.909392,22.163688,27733,0
ARRD.DE,D,20170718,000000,22.188619,22.198592,21.729888,21.939309,45563,0
ARRD.DE,D,20170719,000000,22.118812,22.577543,22.103854,22.487792,46056,0
ARRD.DE,D,20170720,000000,22.607461,22.68724,21.934323,21.999143,39013,0
ARRD.DE,D,20170721,000000,21.969226,22.21355,21.500523,21.540412,39702,0
ARRD.DE,D,20170724,000000,21.565343,21.784736,21.380854,21.724902,54723,0
ARRD.DE,D,20170725,000000,21.96424,22.408012,21.949281,22.383081,29612,0
ARRD.DE,D,20170726,000000,22.348178,22.517709,21.949281,21.994157,45863,0
ARRD.DE,D,20170727,000000,21.734874,22.388067,21.610219,22.318261,91163,0
ARRD.DE,D,20170728,000000,22.014102,22.06895,21.849557,21.949281,27672,0
ARRD.DE,D,20170731,000000,22.323247,22.388067,22.058978,22.123798,34598,0
ARRD.DE,D,20170801,000000,22.098867,22.318261,21.92435,21.92435,60932,0
ARRD.DE,D,20170802,000000,21.864516,21.869502,21.151488,21.291102,75285,0
ARRD.DE,D,20170803,000000,21.196364,21.640136,20.947054,21.615205,42713,0
ARRD.DE,D,20170804,000000,21.590274,22.103854,21.575316,22.103854,41674,0
ARRD.DE,D,20170807,000000,22.672281,23.140985,22.632392,23.131012,69679,0
ARRD.DE,D,20170808,000000,22.931564,23.240709,22.826854,23.235723,34802,0
ARRD.DE,D,20170809,000000,23.165916,23.335447,22.841812,22.906633,48482,0
ARRD.DE,D,20170810,000000,22.767019,22.906633,22.617433,22.851785,26289,0
ARRD.DE,D,20170811,000000,22.039033,22.14873,21.694985,21.854543,80724,0
ARRD.DE,D,20170814,000000,22.128785,22.188619,21.879474,21.889447,17400,0
ARRD.DE,D,20170815,000000,21.85953,21.949281,21.650109,21.839585,27291,0
ARRD.DE,D,20170816,000000,22.034047,22.457874,22.014102,22.422971,46849,0
ARRD.DE,D,20170817,000000,22.393054,22.587516,22.00413,22.044019,27597,0
ARRD.DE,D,20170818,000000,21.77975,22.143743,21.77975,22.143743,48065,0
ARRD.DE,D,20170821,000000,22.403026,22.43793,22.063964,22.153716,34165,0
ARRD.DE,D,20170822,000000,22.188619,22.288343,21.96424,22.188619,45582,0
ARRD.DE,D,20170823,000000,22.088895,22.14873,21.849557,22.133771,18677,0
ARRD.DE,D,20170824,000000,22.178647,22.188619,22.009116,22.158702,15291,0
ARRD.DE,D,20170825,000000,22.238481,22.627405,22.238481,22.258426,27030,0
ARRD.DE,D,20170828,000000,22.128785,22.178647,22.034047,22.123798,8615,0
ARRD.DE,D,20170829,000000,21.899419,21.929336,21.34595,21.640136,50142,0
ARRD.DE,D,20170830,000000,22.009116,22.223523,21.929336,22.223523,16857,0
ARRD.DE,D,20170831,000000,22.487792,22.821867,22.338205,22.363136,27863,0
ARRD.DE,D,20170901,000000,22.752061,22.961481,22.642364,22.931564,17646,0
ARRD.DE,D,20170904,000000,22.722143,22.886688,22.572557,22.572557,27754,0
ARRD.DE,D,20170905,000000,22.692226,22.901647,22.43793,22.452888,56735,0
ARRD.DE,D,20170906,000000,22.318261,22.587516,22.238481,22.412998,43282,0
ARRD.DE,D,20170907,000000,22.442916,22.517709,22.283357,22.39804,26003,0
ARRD.DE,D,20170908,000000,22.198592,22.677267,22.10884,22.238481,41458,0
ARRD.DE,D,20170911,000000,22.457874,22.732116,22.452888,22.732116,24901,0
ARRD.DE,D,20170912,000000,22.697212,23.006357,22.697212,22.876716,34630,0
ARRD.DE,D,20170913,000000,22.846798,22.981426,22.776992,22.856771,31585,0
ARRD.DE,D,20170914,000000,22.627405,22.642364,22.482805,22.547626,14226,0
ARRD.DE,D,20170915,000000,22.403026,22.562585,22.288343,22.348178,15879,0
ARRD.DE,D,20170918,000000,22.522695,22.677267,22.417985,22.64735,15570,0
ARRD.DE,D,20170919,000000,22.527681,22.527681,22.193605,22.283357,10806,0
ARRD.DE,D,20170920,000000,22.567571,22.622419,22.427957,22.622419,36071,0
ARRD.DE,D,20170921,000000,22.373109,22.422971,21.839585,21.904405,55735,0
ARRD.DE,D,20170922,000000,21.435702,21.640136,21.086668,21.585288,72666,0
ARRD.DE,D,20170925,000000,21.38584,21.450661,20.937081,20.996916,23604,0
ARRD.DE,D,20170926,000000,21.046778,21.390826,21.046778,21.191378,32607,0
ARRD.DE,D,20170927,000000,21.321019,21.330992,21.191378,21.231268,3131,0
ARRD.DE,D,20170928,000000,21.28113,21.540412,21.191378,21.470605,18558,0
ARRD.DE,D,20170929,000000,21.53044,21.759805,21.520467,21.759805,14328,0
ARRD.DE,D,20171002,000000,21.799695,22.338205,21.799695,22.338205,37930,0
ARRD.DE,D,20171004,000000,22.537654,22.677267,22.353164,22.627405,28381,0
ARRD.DE,D,20171005,000000,22.567571,22.93655,22.527681,22.901647,20100,0
ARRD.DE,D,20171006,000000,22.941536,23.036274,22.662309,22.702198,20900,0
ARRD.DE,D,20171009,000000,22.622419,22.677267,22.422971,22.452888,41124,0
ARRD.DE,D,20171010,000000,22.283357,22.283357,22.098867,22.203578,10472,0
ARRD.DE,D,20171011,000000,22.223523,22.308288,22.128785,22.273385,35669,0
ARRD.DE,D,20171012,000000,22.43793,22.866743,22.363136,22.866743,22583,0
ARRD.DE,D,20171013,000000,23.036274,24.651805,23.026302,24.522164,220813,0
ARRD.DE,D,20171016,000000,25.130481,25.190316,24.477288,24.581998,142424,0
ARRD.DE,D,20171017,000000,24.447371,24.547095,24.282826,24.412467,40322,0
ARRD.DE,D,20171018,000000,24.407481,24.896129,24.332688,24.367591,26658,0
ARRD.DE,D,20171019,000000,24.562053,24.611916,23.993626,24.596957,52229,0
ARRD.DE,D,20171020,000000,25.10555,25.369819,24.901116,25.100564,65400,0
ARRD.DE,D,20171023,000000,25.359847,25.728826,25.225219,25.599184,34096,0
ARRD.DE,D,20171024,000000,25.564281,25.823564,25.329929,25.738798,21106,0
ARRD.DE,D,20171025,000000,25.753757,25.82855,25.324943,25.389764,27562,0
ARRD.DE,D,20171026,000000,25.504447,25.659019,25.130481,25.384778,68921,0
ARRD.DE,D,20171027,000000,25.030757,25.040729,24.691695,24.965936,56884,0
ARRD.DE,D,20171030,000000,24.975909,25.175357,24.836295,25.045716,29586,0
ARRD.DE,D,20171101,000000,24.96095,25.534364,24.96095,25.220233,48241,0
ARRD.DE,D,20171102,000000,25.329929,25.43464,25.21026,25.399736,22965,0
ARRD.DE,D,20171103,000000,25.519405,25.519405,25.015798,25.449598,19714,0
ARRD.DE,D,20171106,000000,25.53935,25.738798,25.309984,25.334916,46423,0
ARRD.DE,D,20171107,000000,25.529378,25.529378,25.180343,25.304998,28241,0
ARRD.DE,D,20171108,000000,25.304998,25.334916,25.020784,25.10555,64690,0
ARRD.DE,D,20171109,000000,24.651805,24.796405,24.113295,24.262881,87384,0
ARRD.DE,D,20171110,000000,24.716626,25.574253,24.716626,25.10555,132191,0
ARRD.DE,D,20171113,000000,24.891143,24.96095,24.467316,24.801391,65856,0
ARRD.DE,D,20171114,000000,24.656791,24.876185,23.509964,23.509964,54640,0
ARRD.DE,D,20171115,000000,23.140985,23.624647,22.841812,23.485033,131007,0
ARRD.DE,D,20171116,000000,23.734343,23.824095,23.445143,23.65955,24242,0
ARRD.DE,D,20171117,000000,23.814123,23.878943,23.385309,23.569798,24336,0
ARRD.DE,D,20171120,000000,23.47506,24.083378,23.230736,23.923819,69772,0
ARRD.DE,D,20171121,000000,24.13324,24.532136,24.068419,24.497233,32914,0
ARRD.DE,D,20171122,000000,24.591971,24.861226,24.282826,24.67175,36682,0
ARRD.DE,D,20171123,000000,24.492247,24.926047,24.392522,24.901116,25099,0
ARRD.DE,D,20171124,000000,24.791419,24.955964,24.67175,24.67175,33360,0
ARRD.DE,D,20171127,000000,24.517178,24.92106,24.507205,24.696681,21991,0
ARRD.DE,D,20171128,000000,24.851253,25.00084,24.786433,24.995853,23841,0
ARRD.DE,D,20171129,000000,25.245164,25.878412,25.240178,25.619129,34059,0
ARRD.DE,D,20171130,000000,25.599184,25.948219,25.29004,25.29004,41972,0
ARRD.DE,D,20171201,000000,25.529378,25.903343,25.150426,25.414695,46993,0
ARRD.DE,D,20171204,000000,26.037971,26.177584,26.027998,26.097805,49729,0
ARRD.DE,D,20171205,000000,25.993095,25.993095,25.534364,25.646553,30747,0
ARRD.DE,D,20171206,000000,25.140453,26.152653,25.140453,26.087833,29504,0
ARRD.DE,D,20171207,000000,25.813591,26.202515,25.798633,26.112764,26526,0
ARRD.DE,D,20171208,000000,26.337143,26.501688,26.297253,26.382019,32603,0
ARRD.DE,D,20171211,000000,26.461798,26.925515,26.461798,26.708615,51183,0
ARRD.DE,D,20171212,000000,26.84075,26.910557,26.516646,26.895598,39246,0
ARRD.DE,D,20171213,000000,26.895598,26.935488,26.780915,26.793381,25874,0
ARRD.DE,D,20171214,000000,26.80086,26.875653,26.546564,26.556536,37646,0
ARRD.DE,D,20171215,000000,26.307226,26.337143,25.883398,26.062902,46575,0
ARRD.DE,D,20171218,000000,26.377033,26.65626,26.26235,26.636315,28246,0
ARRD.DE,D,20171219,000000,26.810833,26.970391,26.726067,26.775929,23600,0
ARRD.DE,D,20171220,000000,26.825791,26.955433,26.59144,26.910557,30132,0
ARRD.DE,D,20171221,000000,26.925515,27.45904,26.850722,27.394219,48842,0
