<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCFU.DE,D,20190313,000000,10.232,10.288,10.232,10.288,0,0
BCFU.DE,D,20190314,000000,10.31,10.31,10.264,10.276,0,0
BCFU.DE,D,20190315,000000,10.296,10.296,10.256,10.288,0,0
BCFU.DE,D,20190318,000000,10.304,10.328,10.304,10.328,0,0
BCFU.DE,D,20190319,000000,10.356,10.392,10.348,10.348,0,0
BCFU.DE,D,20190320,000000,10.36,10.378,10.346,10.378,0,0
BCFU.DE,D,20190321,000000,10.436,10.436,10.372,10.372,0,0
BCFU.DE,D,20190322,000000,10.408,10.408,10.304,10.304,0,0
BCFU.DE,D,20190325,000000,10.316,10.348,10.314,10.348,0,0
BCFU.DE,D,20190326,000000,10.36,10.36,10.358,10.358,0,0
BCFU.DE,D,20190327,000000,10.334,10.342,10.288,10.288,0,0
BCFU.DE,D,20190328,000000,10.272,10.272,10.224,10.224,0,0
BCFU.DE,D,20190329,000000,10.262,10.31,10.262,10.278,0,0
BCFU.DE,D,20190401,000000,10.284,10.316,10.284,10.316,0,0
BCFU.DE,D,20190402,000000,10.3,10.304,10.294,10.304,0,0
BCFU.DE,D,20190403,000000,10.356,10.364,10.334,10.334,0,0
BCFU.DE,D,20190404,000000,10.354,10.36,10.354,10.358,0,0
BCFU.DE,D,20190405,000000,10.354,10.366,10.348,10.366,0,0
BCFU.DE,D,20190408,000000,10.408,10.418,10.4,10.418,0,0
BCFU.DE,D,20190409,000000,10.42,10.43,10.404,10.404,0,0
BCFU.DE,D,20190410,000000,10.418,10.448,10.418,10.448,0,0
BCFU.DE,D,20190411,000000,10.444,10.448,10.404,10.404,14,0
BCFU.DE,D,20190412,000000,10.392,10.438,10.392,10.408,0,0
BCFU.DE,D,20190415,000000,10.41,10.41,10.378,10.378,0,0
BCFU.DE,D,20190416,000000,10.378,10.378,10.336,10.336,0,0
BCFU.DE,D,20190417,000000,10.372,10.39,10.326,10.326,7027,0
BCFU.DE,D,20190418,000000,10.286,10.298,10.286,10.298,0,0
BCFU.DE,D,20190423,000000,10.334,10.338,10.28,10.28,0,0
BCFU.DE,D,20190424,000000,10.284,10.302,10.278,10.278,0,0
BCFU.DE,D,20190425,000000,10.276,10.276,10.256,10.256,0,0
BCFU.DE,D,20190426,000000,10.246,10.246,10.192,10.192,0,0
BCFU.DE,D,20190429,000000,10.182,10.182,10.168,10.168,0,0
BCFU.DE,D,20190430,000000,10.172,10.218,10.172,10.172,0,0
BCFU.DE,D,20190502,000000,10.122,10.122,10.046,10.046,0,0
BCFU.DE,D,20190503,000000,10.05,10.086,10.05,10.086,0,0
BCFU.DE,D,20190506,000000,9.96,10.004,9.96,10.004,0,0
BCFU.DE,D,20190507,000000,10.02,10.02,9.965,9.965,0,0
