<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BEI.DE,D,20070102,000000,41.881242,42.659641,41.46666,42.431198,215343,0
BEI.DE,D,20070103,000000,42.261981,42.600415,42.092764,42.524267,418567,0
BEI.DE,D,20070104,000000,42.65118,42.989614,42.431198,42.803476,425845,0
BEI.DE,D,20070105,000000,42.854241,42.854241,41.796634,41.923546,282904,0
BEI.DE,D,20070108,000000,41.881242,42.388894,41.712025,41.932007,269487,0
BEI.DE,D,20070109,000000,42.338128,42.727328,40.696722,40.984391,860328,0
BEI.DE,D,20070110,000000,40.705183,40.849018,40.07908,40.468279,643311,0
BEI.DE,D,20070115,000000,41.119765,41.796634,40.97593,41.703564,412005,0
BEI.DE,D,20070116,000000,41.76279,42.532728,41.669721,42.177372,711694,0
BEI.DE,D,20070117,000000,41.035156,41.052078,40.37521,40.451357,2881146,0
BEI.DE,D,20070118,000000,41.035156,41.331286,40.781331,40.899783,2147969,0
BEI.DE,D,20070119,000000,41.035156,41.094382,40.815174,40.815174,459224,0
BEI.DE,D,20070122,000000,41.009774,41.145148,40.747487,40.781331,754814,0
BEI.DE,D,20070123,000000,40.992852,40.992852,40.603653,40.823635,946011,0
BEI.DE,D,20070124,000000,41.001313,41.373591,40.781331,41.373591,655570,0
BEI.DE,D,20070125,000000,41.373591,41.373591,40.569809,40.569809,725634,0
BEI.DE,D,20070126,000000,40.612114,40.781331,40.358288,40.57827,1426090,0
BEI.DE,D,20070129,000000,40.730566,41.221295,40.612114,41.111304,1009651,0
BEI.DE,D,20070130,000000,41.415895,42.507346,41.407434,42.202755,1386948,0
BEI.DE,D,20070131,000000,42.45658,43.615718,42.44812,43.615718,1741828,0
BEI.DE,D,20070201,000000,43.987996,43.987996,42.685024,43.14191,689418,0
BEI.DE,D,20070202,000000,43.319588,43.471883,43.124988,43.446501,472407,0
BEI.DE,D,20070205,000000,43.446501,43.827239,43.319588,43.488805,435051,0
BEI.DE,D,20070206,000000,43.768013,43.768013,43.099606,43.277284,401591,0
BEI.DE,D,20070207,000000,43.53957,43.53957,42.981154,43.260362,500859,0
BEI.DE,D,20070208,000000,43.488805,43.488805,42.473502,42.803476,638399,0
BEI.DE,D,20070209,000000,43.429579,43.429579,42.532728,42.879623,459705,0
BEI.DE,D,20070212,000000,43.14191,43.14191,42.304285,42.837319,284998,0
BEI.DE,D,20070213,000000,43.065762,43.065762,42.541189,42.896545,415261,0
BEI.DE,D,20070214,000000,43.404196,44.004917,43.328049,43.454962,646544,0
BEI.DE,D,20070215,000000,43.488805,43.886465,43.311127,43.674944,630044,0
BEI.DE,D,20070216,000000,43.700326,43.801857,43.175753,43.277284,340332,0
BEI.DE,D,20070219,000000,43.277284,43.92877,43.082684,43.742631,416915,0
BEI.DE,D,20070220,000000,43.548031,43.742631,43.209597,43.429579,348641,0
BEI.DE,D,20070221,000000,43.412657,43.776474,43.175753,43.319588,339268,0
BEI.DE,D,20070222,000000,43.446501,43.878004,43.24344,43.691866,639392,0
BEI.DE,D,20070226,000000,44.081065,44.334891,43.615718,43.810318,442048,0
BEI.DE,D,20070227,000000,43.573414,44.317969,41.940468,42.177372,1327101,0
BEI.DE,D,20070228,000000,41.035156,43.150371,36.940102,41.458199,2942146,0
BEI.DE,D,20070301,000000,42.304285,42.304285,39.816793,40.654418,1320229,0
BEI.DE,D,20070302,000000,40.561348,41.475121,40.561348,41.085922,641173,0
BEI.DE,D,20070305,000000,40.620574,41.069,40.28214,40.815174,806362,0
BEI.DE,D,20070306,000000,41.238217,41.288982,40.662879,40.77287,635707,0
BEI.DE,D,20070307,000000,41.094382,41.585112,40.789792,41.390512,676183,0
BEI.DE,D,20070308,000000,41.86432,42.25352,41.551269,41.898164,817889,0
BEI.DE,D,20070309,000000,42.219676,42.685024,41.238217,42.44812,819415,0
BEI.DE,D,20070312,000000,42.896545,43.319588,41.881242,41.915086,682247,0
BEI.DE,D,20070313,000000,41.915086,42.896545,41.669721,41.838938,423746,0
BEI.DE,D,20070314,000000,40.696722,41.458199,40.696722,41.026696,631253,0
BEI.DE,D,20070315,000000,42.008155,42.211216,41.204374,41.754329,452519,0
BEI.DE,D,20070316,000000,42.515806,42.515806,41.288982,41.288982,1114689,0
BEI.DE,D,20070319,000000,41.923546,42.388894,41.458199,41.932007,651937,0
BEI.DE,D,20070320,000000,42.245059,42.761171,42.025077,42.642719,464502,0
BEI.DE,D,20070321,000000,43.023458,43.023458,42.067381,42.591954,569877,0
BEI.DE,D,20070322,000000,42.862702,42.981154,42.388894,42.981154,453631,0
BEI.DE,D,20070323,000000,42.981154,43.065762,42.219676,42.930388,476676,0
BEI.DE,D,20070326,000000,42.558111,43.04884,41.86432,42.45658,573855,0
BEI.DE,D,20070327,000000,42.45658,43.099606,42.25352,42.811936,386873,0
BEI.DE,D,20070328,000000,42.896545,42.896545,42.05892,42.211216,389368,0
BEI.DE,D,20070329,000000,42.642719,43.031919,42.431198,43.031919,563017,0
BEI.DE,D,20070330,000000,43.150371,43.446501,42.769632,43.192675,422205,0
BEI.DE,D,20070402,000000,43.150371,43.564953,42.955771,43.404196,626597,0
BEI.DE,D,20070403,000000,43.319588,44.275665,43.319588,43.903387,655341,0
BEI.DE,D,20070404,000000,44.207978,44.453343,43.911848,44.351812,487162,0
BEI.DE,D,20070405,000000,44.394117,44.817159,44.072604,44.495647,420462,0
BEI.DE,D,20070410,000000,44.757933,45.595558,44.563334,45.350193,657527,0
BEI.DE,D,20070411,000000,45.147133,45.790158,44.800238,45.096368,660810,0
BEI.DE,D,20070412,000000,45.265585,45.544793,44.681786,45.045603,510133,0
BEI.DE,D,20070413,000000,44.859464,45.900149,44.859464,45.384037,556985,0
BEI.DE,D,20070416,000000,45.290967,46.094749,45.274046,45.688628,327007,0
BEI.DE,D,20070417,000000,45.900149,45.984758,44.960994,45.290967,812489,0
BEI.DE,D,20070418,000000,45.265585,46.238583,45.265585,45.764775,466930,0
BEI.DE,D,20070419,000000,45.282507,45.502489,44.673325,45.31635,532952,0
BEI.DE,D,20070420,000000,45.654784,46.458566,45.384037,45.781697,494173,0
BEI.DE,D,20070423,000000,46.20474,46.492409,45.705549,46.145514,309311,0
BEI.DE,D,20070424,000000,46.153975,46.280888,44.52949,45.231741,661870,0
BEI.DE,D,20070425,000000,45.290967,46.052445,45.223281,45.646323,461348,0
BEI.DE,D,20070426,000000,46.30627,46.30627,45.079446,45.722471,482742,0
BEI.DE,D,20070427,000000,45.919256,46.107485,45.371681,45.594133,509378,0
