<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BM8.DE,D,20210106,000000,67.57,67.57,67.57,67.57,82,0
BM8.DE,D,20210111,000000,68.75,68.75,68.75,68.75,50,0
BM8.DE,D,20210112,000000,65.85,65.85,65.85,65.85,0,0
BM8.DE,D,20210113,000000,67.89,68.12,67.31,68.12,203,0
BM8.DE,D,20210114,000000,68.37,68.37,68.37,68.37,16,0
BM8.DE,D,20210115,000000,68.08,68.08,68.08,68.08,0,0
BM8.DE,D,20210118,000000,68.41,68.41,68.41,68.41,0,0
BM8.DE,D,20210119,000000,69.32,70.88,69.32,70.29,85,0
BM8.DE,D,20210121,000000,72.22,72.22,72.22,72.22,0,0
BM8.DE,D,20210122,000000,72.11,72.11,72.11,72.11,0,0
BM8.DE,D,20210125,000000,72.54,72.54,72.54,72.54,0,0
BM8.DE,D,20210126,000000,71.7,71.7,71.7,71.7,0,0
BM8.DE,D,20210127,000000,70.2,70.2,70.2,70.2,0,0
BM8.DE,D,20210128,000000,70,70,70,70,400,0
BM8.DE,D,20210129,000000,68.27,68.27,68.27,68.27,3,0
BM8.DE,D,20210201,000000,70.6,70.6,70.6,70.6,51,0
BM8.DE,D,20210202,000000,68.92,68.92,68.92,68.92,0,0
BM8.DE,D,20210203,000000,69.37,69.37,69.37,69.37,0,0
BM8.DE,D,20210204,000000,70.54,70.54,70.54,70.54,0,0
BM8.DE,D,20210205,000000,70.72,70.72,70.72,70.72,0,0
BM8.DE,D,20210208,000000,71.74,72.37,71.74,72.37,10,0
BM8.DE,D,20210209,000000,71.2,71.2,71.2,71.2,0,0
BM8.DE,D,20210210,000000,70.15,70.15,70.15,70.15,0,0
BM8.DE,D,20210211,000000,71.15,71.15,71.15,71.15,0,0
BM8.DE,D,20210212,000000,71.8,71.8,71.8,71.8,0,0
BM8.DE,D,20210215,000000,72.3,72.3,72.3,72.3,0,0
BM8.DE,D,20210216,000000,70.75,70.75,70.75,70.75,0,0
BM8.DE,D,20210217,000000,70.69,70.69,70.69,70.69,0,0
BM8.DE,D,20210218,000000,69.13,69.13,69.13,69.13,0,0
