<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BN9.DE,D,20210111,000000,37.045,37.045,37.045,37.045,0,0
BN9.DE,D,20210112,000000,37.35,38.055,37.35,38.055,300,0
BN9.DE,D,20210113,000000,37.66,38.14,37.66,38.14,109,0
BN9.DE,D,20210114,000000,38.23,38.23,38.23,38.23,0,0
BN9.DE,D,20210115,000000,38.795,38.795,37.71,37.71,25,0
BN9.DE,D,20210118,000000,37.725,37.725,37.725,37.725,0,0
BN9.DE,D,20210119,000000,37.965,37.965,37.965,37.965,0,0
BN9.DE,D,20210120,000000,37.115,37.115,37.115,37.115,2,0
BN9.DE,D,20210122,000000,34.39,34.39,34.39,34.39,0,0
BN9.DE,D,20210125,000000,33.905,33.905,33.905,33.905,0,0
BN9.DE,D,20210126,000000,33.835,33.835,33.835,33.835,0,0
BN9.DE,D,20210127,000000,33.665,33.665,33.665,33.665,0,0
BN9.DE,D,20210128,000000,33.695,33.695,33.695,33.695,0,0
BN9.DE,D,20210129,000000,32.97,32.97,32.97,32.97,2,0
BN9.DE,D,20210201,000000,33.655,33.655,33.655,33.655,0,0
BN9.DE,D,20210202,000000,34.425,34.425,34.425,34.425,0,0
BN9.DE,D,20210203,000000,33.915,33.915,33.915,33.915,0,0
BN9.DE,D,20210205,000000,35.07,35.07,35.07,35.07,0,0
BN9.DE,D,20210208,000000,34.845,34.845,34.845,34.845,0,0
BN9.DE,D,20210209,000000,34.515,34.515,34.515,34.515,0,0
BN9.DE,D,20210210,000000,34.725,34.725,34.725,34.725,0,0
BN9.DE,D,20210211,000000,35.37,35.37,34.795,35.255,300,0
BN9.DE,D,20210212,000000,34.785,34.785,34.785,34.785,0,0
BN9.DE,D,20210215,000000,34.915,34.915,34.915,34.915,0,0
BN9.DE,D,20210216,000000,35.655,35.655,35.655,35.655,0,0
BN9.DE,D,20210217,000000,35.715,35.715,35.715,35.715,0,0
BN9.DE,D,20210218,000000,34.845,34.845,34.845,34.845,0,0
BN9.DE,D,20210219,000000,35.295,35.295,35.295,35.295,0,0
BN9.DE,D,20210222,000000,35.475,35.475,35.475,35.475,0,0
BN9.DE,D,20210223,000000,36.76,36.76,36.375,36.375,51,0
BN9.DE,D,20210224,000000,36.555,36.555,36.555,36.555,0,0
BN9.DE,D,20210225,000000,36.405,36.405,36.405,36.405,0,0
BN9.DE,D,20210301,000000,36.025,36.025,36.025,36.025,0,0
BN9.DE,D,20210302,000000,36.35,36.35,36.35,36.35,0,0
BN9.DE,D,20210305,000000,37.325,37.325,37.325,37.325,0,0
BN9.DE,D,20210309,000000,38.425,38.425,38.425,38.425,0,0
BN9.DE,D,20210310,000000,38.3,38.3,38.3,38.3,0,0
BN9.DE,D,20210311,000000,38.4,38.4,38.4,38.4,0,0
BN9.DE,D,20210312,000000,38.975,38.975,38.975,38.975,0,0
BN9.DE,D,20210315,000000,38.725,38.725,38.725,38.725,0,0
BN9.DE,D,20210316,000000,38.85,38.85,38.85,38.85,0,0
BN9.DE,D,20210317,000000,38.95,38.95,38.95,38.95,0,0
BN9.DE,D,20210318,000000,39.6,39.6,39.6,39.6,0,0
BN9.DE,D,20210319,000000,39.05,39.05,39.05,39.05,0,0
BN9.DE,D,20210323,000000,37.825,37.825,37.825,37.825,0,0
BN9.DE,D,20210324,000000,38.75,38.75,38.75,38.75,0,0
BN9.DE,D,20210325,000000,39.1,39.1,39.1,39.1,0,0
BN9.DE,D,20210326,000000,39.85,39.85,39.85,39.85,0,0
BN9.DE,D,20210329,000000,39.925,39.925,39.925,39.925,0,0
BN9.DE,D,20210330,000000,40.7,40.7,40.7,40.7,0,0
BN9.DE,D,20210331,000000,40.31,40.31,40.31,40.31,0,0
BN9.DE,D,20210401,000000,40.25,40.25,40.25,40.25,0,0
BN9.DE,D,20210406,000000,40.15,40.15,40.15,40.15,0,0
BN9.DE,D,20210407,000000,40.15,40.15,40.15,40.15,0,0
BN9.DE,D,20210408,000000,40.13,40.13,40.13,40.13,0,0
BN9.DE,D,20210409,000000,40.8,40.8,40.8,40.8,0,0
BN9.DE,D,20210412,000000,41.05,41.05,41.05,41.05,0,0
BN9.DE,D,20210413,000000,40.68,40.68,40.68,40.68,0,0
BN9.DE,D,20210414,000000,40.85,40.85,40.85,40.85,0,0
BN9.DE,D,20210415,000000,40.35,40.35,40.35,40.35,0,0
BN9.DE,D,20210416,000000,39.33,39.33,38.73,38.73,310,0
BN9.DE,D,20210419,000000,38.84,38.84,38.7,38.7,725,0
BN9.DE,D,20210420,000000,38.9,38.9,38.9,38.9,0,0
BN9.DE,D,20210421,000000,39.05,39.05,39.05,39.05,0,0
BN9.DE,D,20210422,000000,39.1,39.1,39.1,39.1,0,0
BN9.DE,D,20210423,000000,39.2,39.2,39.2,39.2,0,0
BN9.DE,D,20210426,000000,40.05,40.05,40.05,40.05,0,0
BN9.DE,D,20210427,000000,39.88,39.88,39.88,39.88,0,0
BN9.DE,D,20210428,000000,40.45,40.45,40.45,40.45,0,0
BN9.DE,D,20210429,000000,41.28,41.28,41.28,41.28,0,0
BN9.DE,D,20210430,000000,41.45,41.45,41.45,41.45,0,0
BN9.DE,D,20210503,000000,41.45,41.45,41.45,41.45,0,0
BN9.DE,D,20210504,000000,41.9,41.9,41.9,41.9,0,0
BN9.DE,D,20210505,000000,42.74,42.8,42.7,42.7,36,0
BN9.DE,D,20210506,000000,42.41,42.85,42.41,42.85,100,0
