<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CBHD.DE,D,20201218,000000,125.3,126.3,125,125.3,106,0
CBHD.DE,D,20201221,000000,126.95,126.95,124.4,126.95,227,0
CBHD.DE,D,20201222,000000,125.15,125.15,124.6,124.6,85,0
CBHD.DE,D,20201223,000000,123.4,123.7,123.4,123.7,120,0
CBHD.DE,D,20201228,000000,124.55,125.65,124.2,124.55,142,0
CBHD.DE,D,20201229,000000,126.15,126.5,125.95,126.1,361,0
CBHD.DE,D,20201230,000000,126.95,127.1,126.55,126.55,122,0
CBHD.DE,D,20210104,000000,126.2,126.2,125.55,126.2,502,0
CBHD.DE,D,20210105,000000,125,125,123.75,123.75,40,0
CBHD.DE,D,20210106,000000,123.05,123.05,122.2,123.05,126,0
CBHD.DE,D,20210107,000000,122.85,123.65,121.65,122.85,223,0
CBHD.DE,D,20210108,000000,122.2,122.9,122,122.2,294,0
CBHD.DE,D,20210111,000000,122.5,123.2,121.6,121.6,470,0
CBHD.DE,D,20210112,000000,121,121,118.7,118.7,679,0
CBHD.DE,D,20210113,000000,118.45,120.5,117.5,120.5,296,0
CBHD.DE,D,20210114,000000,118.75,119.85,118.75,119.25,244,0
CBHD.DE,D,20210115,000000,118.8,119.6,118.8,118.8,573,0
CBHD.DE,D,20210118,000000,120.3,120.95,118.85,118.85,165,0
CBHD.DE,D,20210119,000000,119.35,122,118.8,122,140,0
CBHD.DE,D,20210120,000000,120.1,122.15,120.05,122,487,0
CBHD.DE,D,20210121,000000,122.55,122.55,120.75,121.7,115,0
CBHD.DE,D,20210122,000000,121.65,123,120.5,120.5,160,0
CBHD.DE,D,20210125,000000,123.1,127.5,123.1,123.1,318,0
CBHD.DE,D,20210126,000000,128.8,128.8,126.5,126.5,99,0
CBHD.DE,D,20210127,000000,126.45,126.65,126,126.45,122,0
CBHD.DE,D,20210128,000000,126.3,126.3,126.3,126.3,40,0
CBHD.DE,D,20210129,000000,124,124,123.65,123.75,167,0
CBHD.DE,D,20210201,000000,124.45,125.9,124.45,124.45,87,0
CBHD.DE,D,20210202,000000,136.1,137.65,135,135,203,0
CBHD.DE,D,20210203,000000,135.2,135.65,132.75,132.75,178,0
CBHD.DE,D,20210204,000000,134.1,134.85,132.75,132.75,180,0
CBHD.DE,D,20210205,000000,132.75,132.75,132.75,132.75,0,0
CBHD.DE,D,20210208,000000,136.05,136.05,134.3,134.3,178,0
CBHD.DE,D,20210209,000000,135.1,135.15,134.25,134.25,365,0
CBHD.DE,D,20210210,000000,136,139.1,136,139.1,136,0
CBHD.DE,D,20210211,000000,137.35,137.9,137.2,137.9,26,0
CBHD.DE,D,20210212,000000,139,140.25,138.4,140.25,160,0
CBHD.DE,D,20210215,000000,139.05,142.4,139.05,141,576,0
CBHD.DE,D,20210216,000000,139.95,140.1,138.5,138.5,297,0
CBHD.DE,D,20210217,000000,136.45,137.75,136.45,136.85,116,0
CBHD.DE,D,20210218,000000,132.2,133.5,131,131,17,0
CBHD.DE,D,20210219,000000,131.65,131.65,131,131,100,0
CBHD.DE,D,20210222,000000,128.95,130.2,127.9,128.95,414,0
CBHD.DE,D,20210223,000000,126.3,126.3,124.9,125.3,100,0
CBHD.DE,D,20210225,000000,127.5,127.85,127.5,127.85,11,0
CBHD.DE,D,20210226,000000,127,128.7,127,128.7,5,0
CBHD.DE,D,20210301,000000,128.55,129,126.5,129,126,0
CBHD.DE,D,20210302,000000,127.4,129,127.4,129,60,0
CBHD.DE,D,20210303,000000,126.4,126.4,121.85,122.1,423,0
CBHD.DE,D,20210304,000000,120.35,120.35,120,120,52,0
CBHD.DE,D,20210305,000000,118.65,119.1,115.4,118.65,491,0
CBHD.DE,D,20210308,000000,117.85,118,117.5,118,66,0
CBHD.DE,D,20210309,000000,116.35,122,116,118.6,1831,0
CBHD.DE,D,20210310,000000,119.8,122.1,118.1,119.8,492,0
CBHD.DE,D,20210311,000000,121.65,122.6,121.65,121.65,137,0
CBHD.DE,D,20210312,000000,123,124.5,122.45,124.5,679,0
CBHD.DE,D,20210315,000000,123.3,127.45,122.7,124.4,454,0
CBHD.DE,D,20210316,000000,125.9,127.75,125.9,127.75,43,0
CBHD.DE,D,20210317,000000,126.3,126.3,126.3,126.3,6,0
CBHD.DE,D,20210318,000000,124.85,124.85,122.85,123.5,320,0
CBHD.DE,D,20210319,000000,124,125,124,125,1,0
CBHD.DE,D,20210322,000000,125.3,128.2,125.3,125.75,32,0
CBHD.DE,D,20210323,000000,128.3,129.55,128.3,129.55,31,0
CBHD.DE,D,20210324,000000,128.8,129.55,128.8,129.55,37,0
CBHD.DE,D,20210325,000000,127.9,131.05,127.9,127.9,89,0
CBHD.DE,D,20210326,000000,128.1,128.1,127.25,127.25,108,0
CBHD.DE,D,20210329,000000,129.05,131.45,128.45,129.55,165,0
CBHD.DE,D,20210330,000000,128.5,128.5,127.75,127.75,110,0
CBHD.DE,D,20210331,000000,127.95,129,127.75,127.75,60,0
CBHD.DE,D,20210401,000000,129.5,129.55,129.1,129.55,93,0
CBHD.DE,D,20210406,000000,127.95,127.95,127.75,127.75,64,0
CBHD.DE,D,20210407,000000,128.15,128.15,127.55,127.75,133,0
CBHD.DE,D,20210408,000000,126.05,127.8,125.8,126.05,935,0
CBHD.DE,D,20210412,000000,129.15,129.35,128.55,129.35,45,0
CBHD.DE,D,20210413,000000,129.9,129.9,129.9,129.9,0,0
CBHD.DE,D,20210414,000000,130.25,130.25,130.25,130.25,0,0
CBHD.DE,D,20210415,000000,129.35,132.15,129.35,130.25,138,0
CBHD.DE,D,20210416,000000,133.3,134.9,133.3,134.9,55,0
CBHD.DE,D,20210419,000000,134,134,133,133,242,0
CBHD.DE,D,20210420,000000,132.9,133,132.9,133,25,0
CBHD.DE,D,20210421,000000,134.7,134.7,132.65,134.7,79,0
CBHD.DE,D,20210422,000000,136.5,138.3,136.5,138.3,400,0
CBHD.DE,D,20210423,000000,136.5,137,134.75,134.75,2512,0
CBHD.DE,D,20210426,000000,135.75,137.6,134.75,134.75,171,0
CBHD.DE,D,20210427,000000,134.9,137.45,134.9,137.45,36,0
CBHD.DE,D,20210428,000000,135.05,135.05,134.75,134.75,74,0
CBHD.DE,D,20210429,000000,136.45,138.2,136.45,136.45,14,0
CBHD.DE,D,20210430,000000,138.2,139.15,137.1,138.2,282,0
CBHD.DE,D,20210503,000000,138,138,135.4,137.85,244,0
CBHD.DE,D,20210504,000000,137.2,138.5,137,138.5,126,0
CBHD.DE,D,20210505,000000,137.95,139.4,137.6,137.6,328,0
CBHD.DE,D,20210506,000000,136.2,136.2,129.4,130.9,265,0
CBHD.DE,D,20210507,000000,132.35,135,132.35,135,253,0
CBHD.DE,D,20210510,000000,130.95,131.45,130,130.95,993,0
CBHD.DE,D,20210511,000000,127.85,127.9,127.6,127.65,147,0
CBHD.DE,D,20210512,000000,128.5,129,128,128.8,935,0
CBHD.DE,D,20210513,000000,131.5,132.65,128.4,131.2,85,0
CBHD.DE,D,20210517,000000,130.5,130.5,129.3,130.5,531,0
