<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CEMS.DE,D,20150921,000000,5.1,5.115,5.1,5.115,7967,0
CEMS.DE,D,20150922,000000,4.922,4.922,4.922,4.922,0,0
CEMS.DE,D,20150923,000000,4.979,4.979,4.929,4.929,7243,0
CEMS.DE,D,20150924,000000,4.809,4.823,4.809,4.823,350,0
CEMS.DE,D,20150925,000000,4.945,4.945,4.934,4.934,2489,0
CEMS.DE,D,20150928,000000,4.798,4.798,4.798,4.798,0,0
CEMS.DE,D,20150929,000000,4.776,4.776,4.776,4.776,0,0
CEMS.DE,D,20150930,000000,4.901,4.901,4.901,4.901,0,0
CEMS.DE,D,20151001,000000,4.982,4.982,4.874,4.874,540,0
CEMS.DE,D,20151002,000000,4.904,4.904,4.904,4.904,0,0
CEMS.DE,D,20151005,000000,5.06,5.06,5.06,5.06,0,0
CEMS.DE,D,20151006,000000,5.1,5.1,5.1,5.1,0,0
CEMS.DE,D,20151007,000000,5.153,5.153,5.153,5.153,0,0
CEMS.DE,D,20151008,000000,5.17,5.17,5.17,5.17,213,0
CEMS.DE,D,20151009,000000,5.21,5.21,5.195,5.195,1915,0
CEMS.DE,D,20151012,000000,5.19,5.19,5.19,5.19,0,0
CEMS.DE,D,20151013,000000,5.11,5.12,5.08,5.12,1655,0
CEMS.DE,D,20151014,000000,5.083,5.083,5.083,5.083,0,0
CEMS.DE,D,20151015,000000,5.15,5.15,5.15,5.15,0,0
CEMS.DE,D,20151016,000000,5.185,5.185,5.185,5.185,0,0
CEMS.DE,D,20151019,000000,5.19,5.19,5.19,5.19,0,0
CEMS.DE,D,20151020,000000,5.15,5.15,5.15,5.15,200,0
CEMS.DE,D,20151021,000000,5.155,5.155,5.155,5.155,0,0
CEMS.DE,D,20151022,000000,5.26,5.26,5.26,5.26,0,0
CEMS.DE,D,20151023,000000,5.36,5.36,5.36,5.36,0,0
CEMS.DE,D,20151026,000000,5.38,5.38,5.345,5.345,46,0
CEMS.DE,D,20151027,000000,5.275,5.275,5.275,5.275,0,0
CEMS.DE,D,20151028,000000,5.31,5.33,5.31,5.33,7886,0
CEMS.DE,D,20151029,000000,5.34,5.34,5.31,5.31,850,0
CEMS.DE,D,20151030,000000,5.295,5.318,5.295,5.318,12,0
CEMS.DE,D,20151102,000000,5.345,5.345,5.345,5.345,0,0
CEMS.DE,D,20151103,000000,5.33,5.373,5.33,5.373,1400,0
CEMS.DE,D,20151104,000000,5.44,5.44,5.388,5.388,1750,0
CEMS.DE,D,20151105,000000,5.355,5.355,5.355,5.355,0,0
CEMS.DE,D,20151106,000000,5.375,5.378,5.375,5.378,300,0
CEMS.DE,D,20151109,000000,5.395,5.395,5.31,5.31,988,0
CEMS.DE,D,20151110,000000,5.31,5.31,5.31,5.31,0,0
CEMS.DE,D,20151111,000000,5.33,5.33,5.33,5.33,0,0
CEMS.DE,D,20151112,000000,5.24,5.24,5.24,5.24,0,0
CEMS.DE,D,20151113,000000,5.21,5.21,5.205,5.205,200,0
CEMS.DE,D,20151116,000000,5.22,5.22,5.22,5.22,0,0
CEMS.DE,D,20151117,000000,5.345,5.345,5.345,5.345,0,0
CEMS.DE,D,20151118,000000,5.355,5.355,5.355,5.355,0,0
CEMS.DE,D,20151119,000000,5.395,5.395,5.378,5.378,946,0
CEMS.DE,D,20151120,000000,5.388,5.388,5.388,5.388,0,0
CEMS.DE,D,20151123,000000,5.355,5.358,5.35,5.358,2600,0
CEMS.DE,D,20151124,000000,5.325,5.325,5.31,5.315,5000,0
CEMS.DE,D,20151125,000000,5.383,5.383,5.383,5.383,0,0
CEMS.DE,D,20151126,000000,5.453,5.453,5.453,5.453,0,0
CEMS.DE,D,20151127,000000,5.433,5.433,5.433,5.433,0,0
CEMS.DE,D,20151130,000000,5.47,5.47,5.458,5.458,1430,0
CEMS.DE,D,20151201,000000,5.5,5.5,5.433,5.433,1351,0
CEMS.DE,D,20151202,000000,5.408,5.408,5.408,5.408,0,0
CEMS.DE,D,20151203,000000,5.415,5.415,5.225,5.225,100,0
CEMS.DE,D,20151204,000000,5.23,5.235,5.21,5.21,784,0
CEMS.DE,D,20151207,000000,5.23,5.23,5.23,5.23,0,0
CEMS.DE,D,20151208,000000,5.165,5.165,5.12,5.12,2670,0
CEMS.DE,D,20151209,000000,5.105,5.11,5.075,5.11,74446,0
CEMS.DE,D,20151210,000000,5.1,5.1,5.1,5.1,0,0
CEMS.DE,D,20151211,000000,4.985,4.985,4.984,4.984,1500,0
CEMS.DE,D,20151214,000000,5.035,5.035,4.874,4.874,2684,0
CEMS.DE,D,20151215,000000,4.988,5.025,4.988,5.025,15612,0
CEMS.DE,D,20151216,000000,5.085,5.085,5.045,5.045,50,0
CEMS.DE,D,20151217,000000,5.115,5.115,5.115,5.115,0,0
CEMS.DE,D,20151218,000000,5.115,5.115,5.068,5.068,50,0
CEMS.DE,D,20151221,000000,5.015,5.015,5.015,5.015,0,0
CEMS.DE,D,20151222,000000,5.035,5.035,5.035,5.035,0,0
CEMS.DE,D,20151223,000000,5.105,5.175,5.105,5.175,100,0
CEMS.DE,D,20151228,000000,5.15,5.15,5.118,5.118,80250,0
CEMS.DE,D,20151229,000000,5.14,5.2,5.14,5.2,20000,0
CEMS.DE,D,20151230,000000,5.165,5.168,5.165,5.168,1745,0
CEMS.DE,D,20160104,000000,5.04,5.04,5.005,5.005,100570,0
CEMS.DE,D,20160105,000000,5.065,5.065,5.035,5.035,1000,0
CEMS.DE,D,20160106,000000,4.966,4.966,4.943,4.953,913,0
CEMS.DE,D,20160107,000000,4.849,4.849,4.837,4.837,60,0
CEMS.DE,D,20160108,000000,4.842,4.842,4.742,4.742,88,0
CEMS.DE,D,20160111,000000,4.804,4.804,4.74,4.74,5665,0
CEMS.DE,D,20160112,000000,4.775,4.775,4.775,4.775,0,0
CEMS.DE,D,20160113,000000,4.863,4.863,4.807,4.807,100,0
CEMS.DE,D,20160114,000000,4.721,4.721,4.721,4.721,365,0
CEMS.DE,D,20160115,000000,4.576,4.576,4.576,4.576,0,0
CEMS.DE,D,20160118,000000,4.562,4.562,4.554,4.554,4000,0
CEMS.DE,D,20160119,000000,4.664,4.664,4.612,4.612,100,0
CEMS.DE,D,20160120,000000,4.494,4.494,4.453,4.453,3841,0
CEMS.DE,D,20160121,000000,4.562,4.562,4.562,4.562,0,0
CEMS.DE,D,20160122,000000,4.686,4.686,4.679,4.683,4360,0
CEMS.DE,D,20160125,000000,4.675,4.675,4.652,4.652,700,0
CEMS.DE,D,20160126,000000,4.715,4.715,4.715,4.715,0,0
CEMS.DE,D,20160127,000000,4.745,4.745,4.745,4.745,3507,0
CEMS.DE,D,20160128,000000,4.647,4.647,4.647,4.647,0,0
CEMS.DE,D,20160129,000000,4.735,4.735,4.735,4.735,0,0
CEMS.DE,D,20160201,000000,4.762,4.762,4.732,4.732,1073,0
CEMS.DE,D,20160202,000000,4.635,4.635,4.613,4.613,500,0
CEMS.DE,D,20160203,000000,4.571,4.578,4.528,4.528,430,0
CEMS.DE,D,20160204,000000,4.534,4.534,4.534,4.534,0,0
CEMS.DE,D,20160205,000000,4.511,4.511,4.511,4.511,0,0
CEMS.DE,D,20160208,000000,4.537,4.537,4.359,4.359,110,0
CEMS.DE,D,20160209,000000,4.257,4.257,4.257,4.257,0,0
CEMS.DE,D,20160210,000000,4.33,4.33,4.33,4.33,0,0
CEMS.DE,D,20160211,000000,4.257,4.257,4.169,4.169,48,0
CEMS.DE,D,20160212,000000,4.259,4.323,4.259,4.323,10488,0
CEMS.DE,D,20160215,000000,4.451,4.451,4.449,4.449,3500,0
CEMS.DE,D,20160216,000000,4.425,4.441,4.425,4.441,87,0
CEMS.DE,D,20160217,000000,4.549,4.573,4.548,4.573,1181,0
CEMS.DE,D,20160218,000000,4.564,4.578,4.564,4.578,54,0
CEMS.DE,D,20160219,000000,4.529,4.529,4.522,4.522,660,0
CEMS.DE,D,20160222,000000,4.623,4.623,4.623,4.623,0,0
CEMS.DE,D,20160223,000000,4.599,4.599,4.548,4.548,822,0
CEMS.DE,D,20160224,000000,4.431,4.431,4.431,4.431,0,0
CEMS.DE,D,20160225,000000,4.499,4.515,4.499,4.515,680,0
CEMS.DE,D,20160226,000000,4.618,4.618,4.612,4.612,680,0
CEMS.DE,D,20160229,000000,4.625,4.65,4.625,4.65,228,0
CEMS.DE,D,20160301,000000,4.727,4.727,4.727,4.727,0,0
CEMS.DE,D,20160302,000000,4.756,4.785,4.756,4.785,1618,0
CEMS.DE,D,20160303,000000,4.786,4.786,4.786,4.786,0,0
CEMS.DE,D,20160304,000000,4.83,4.83,4.83,4.83,0,0
CEMS.DE,D,20160307,000000,4.788,4.828,4.788,4.828,1200,0
CEMS.DE,D,20160308,000000,4.792,4.792,4.744,4.744,105,0
CEMS.DE,D,20160309,000000,4.758,4.758,4.758,4.758,0,0
CEMS.DE,D,20160310,000000,4.657,4.657,4.657,4.657,0,0
CEMS.DE,D,20160311,000000,4.782,4.801,4.782,4.801,140,0
CEMS.DE,D,20160314,000000,4.883,4.883,4.85,4.85,492,0
CEMS.DE,D,20160315,000000,4.8,4.819,4.785,4.785,3233,0
CEMS.DE,D,20160316,000000,4.798,4.798,4.798,4.798,0,0
CEMS.DE,D,20160317,000000,4.803,4.803,4.803,4.803,0,0
CEMS.DE,D,20160318,000000,4.817,4.817,4.817,4.817,0,0
CEMS.DE,D,20160321,000000,4.818,4.818,4.802,4.802,2605,0
CEMS.DE,D,20160322,000000,4.8,4.8,4.8,4.8,0,0
CEMS.DE,D,20160323,000000,4.823,4.823,4.778,4.778,3000,0
CEMS.DE,D,20160324,000000,4.703,4.703,4.703,4.703,0,0
CEMS.DE,D,20160329,000000,4.776,4.776,4.697,4.707,3523,0
CEMS.DE,D,20160330,000000,4.789,4.789,4.78,4.78,532,0
CEMS.DE,D,20160331,000000,4.772,4.772,4.737,4.737,473,0
CEMS.DE,D,20160401,000000,4.625,4.662,4.625,4.662,1637,0
CEMS.DE,D,20160404,000000,4.671,4.699,4.671,4.683,149,0
CEMS.DE,D,20160405,000000,4.586,4.591,4.575,4.575,2261,0
CEMS.DE,D,20160406,000000,4.572,4.591,4.557,4.591,1639,0
CEMS.DE,D,20160407,000000,4.612,4.622,4.571,4.571,1093,0
CEMS.DE,D,20160408,000000,4.605,4.634,4.605,4.634,130,0
CEMS.DE,D,20160411,000000,4.684,4.684,4.673,4.673,650,0
CEMS.DE,D,20160412,000000,4.698,4.698,4.698,4.698,0,0
CEMS.DE,D,20160413,000000,4.844,4.844,4.844,4.844,0,0
CEMS.DE,D,20160414,000000,4.863,4.869,4.863,4.869,717,0
CEMS.DE,D,20160415,000000,4.862,4.862,4.847,4.847,214,0
CEMS.DE,D,20160418,000000,4.845,4.871,4.845,4.871,2520,0
CEMS.DE,D,20160419,000000,4.928,4.952,4.928,4.952,2030,0
CEMS.DE,D,20160420,000000,5.004,5.004,5.004,5.004,0,0
CEMS.DE,D,20160421,000000,5.03,5.03,4.981,4.981,945,0
CEMS.DE,D,20160422,000000,4.984,4.984,4.966,4.969,1111,0
CEMS.DE,D,20160425,000000,5,5,4.925,4.925,2500,0
CEMS.DE,D,20160426,000000,4.978,4.978,4.95,4.95,1593,0
CEMS.DE,D,20160427,000000,4.976,4.976,4.976,4.976,0,0
CEMS.DE,D,20160428,000000,5.004,5.004,5.004,5.004,0,0
CEMS.DE,D,20160429,000000,4.893,4.893,4.874,4.874,471,0
CEMS.DE,D,20160502,000000,4.922,4.922,4.871,4.871,364,0
CEMS.DE,D,20160503,000000,4.84,4.84,4.766,4.766,1968,0
CEMS.DE,D,20160504,000000,4.707,4.707,4.707,4.707,0,0
CEMS.DE,D,20160505,000000,4.731,4.731,4.731,4.731,0,0
CEMS.DE,D,20160506,000000,4.705,4.72,4.705,4.72,388,0
CEMS.DE,D,20160509,000000,4.705,4.705,4.705,4.705,0,0
CEMS.DE,D,20160510,000000,4.768,4.804,4.763,4.763,1600,0
