<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIE1.DE,D,20070102,000000,18.99,19.82,18.99,19.82,6,0
CIE1.DE,D,20070103,000000,20,21.2,20,21.2,155,0
CIE1.DE,D,20070104,000000,21.2,21.2,20.94,20.94,7,0
CIE1.DE,D,20070105,000000,21.28,21.28,21.28,21.28,2,0
CIE1.DE,D,20070108,000000,21.75,21.75,21.06,21.06,31,0
CIE1.DE,D,20070109,000000,21.26,21.26,21.25,21.25,5,0
CIE1.DE,D,20070110,000000,21.67,21.67,21.67,21.67,30,0
CIE1.DE,D,20070115,000000,22.31,22.31,22.04,22.04,11,0
CIE1.DE,D,20070116,000000,22.21,23.04,22.21,23.04,33,0
CIE1.DE,D,20070117,000000,22.85,23.55,22.85,23.55,357,0
CIE1.DE,D,20070118,000000,22.26,23.02,22.26,23.02,34,0
CIE1.DE,D,20070119,000000,21.86,21.86,21.86,21.86,145,0
CIE1.DE,D,20070122,000000,21.23,21.23,21.23,21.23,3,0
CIE1.DE,D,20070123,000000,21.25,21.25,21.04,21.04,105,0
CIE1.DE,D,20070124,000000,21.04,21.04,21.04,21.04,0,0
CIE1.DE,D,20070125,000000,21.85,21.85,21.21,21.7,67,0
CIE1.DE,D,20070126,000000,21.7,21.7,21.7,21.7,14,0
CIE1.DE,D,20070129,000000,21.78,21.78,21.78,21.78,71,0
CIE1.DE,D,20070130,000000,21.78,21.78,21.78,21.78,0,0
CIE1.DE,D,20070131,000000,21.59,21.59,21.59,21.59,28,0
CIE1.DE,D,20070201,000000,21.59,21.59,21.59,21.59,0,0
CIE1.DE,D,20070202,000000,20.55,20.55,20.55,20.55,2,0
CIE1.DE,D,20070205,000000,20.5,21.16,20.5,21.16,4,0
CIE1.DE,D,20070206,000000,20.4,20.4,20.4,20.4,71,0
CIE1.DE,D,20070207,000000,20.1,20.45,20.1,20.45,75,0
CIE1.DE,D,20070208,000000,20.45,20.45,20.45,20.45,0,0
CIE1.DE,D,20070209,000000,21.5,21.5,21.45,21.45,42,0
CIE1.DE,D,20070212,000000,21.92,22,21.86,22,520,0
CIE1.DE,D,20070213,000000,21.9,22,21.42,22,284,0
CIE1.DE,D,20070214,000000,22,22,22,22,0,0
CIE1.DE,D,20070215,000000,22,22,22,22,0,0
CIE1.DE,D,20070216,000000,22,22,22,22,0,0
CIE1.DE,D,20070219,000000,22,22,22,22,0,0
CIE1.DE,D,20070220,000000,23.75,23.75,23.75,23.75,157,0
CIE1.DE,D,20070221,000000,23.75,23.75,23.75,23.75,0,0
CIE1.DE,D,20070222,000000,23.62,23.9,23.62,23.9,72,0
CIE1.DE,D,20070226,000000,23.85,23.85,23.56,23.79,117,0
CIE1.DE,D,20070227,000000,23.15,23.15,23.03,23.05,170,0
CIE1.DE,D,20070228,000000,22.09,24.14,22.09,24.14,516,0
CIE1.DE,D,20070301,000000,20.66,20.66,20.66,20.66,28,0
CIE1.DE,D,20070302,000000,20.66,20.66,20.66,20.66,0,0
CIE1.DE,D,20070305,000000,20.66,20.66,20.66,20.66,0,0
CIE1.DE,D,20070306,000000,20.66,20.66,20.66,20.66,0,0
CIE1.DE,D,20070307,000000,20.58,20.58,20.58,20.58,76,0
CIE1.DE,D,20070308,000000,19.55,20,19.55,20,99,0
CIE1.DE,D,20070309,000000,19.62,19.62,19.62,19.62,15,0
CIE1.DE,D,20070312,000000,19.8,19.8,19.8,19.8,2,0
CIE1.DE,D,20070313,000000,19.8,19.8,19.8,19.8,0,0
CIE1.DE,D,20070314,000000,19.8,19.8,19.8,19.8,0,0
CIE1.DE,D,20070315,000000,18.92,18.92,18.92,18.92,18,0
CIE1.DE,D,20070316,000000,18.92,18.92,18.92,18.92,0,0
CIE1.DE,D,20070319,000000,18.92,18.92,18.92,18.92,0,0
CIE1.DE,D,20070320,000000,18.63,18.63,18.63,18.63,85,0
CIE1.DE,D,20070321,000000,18.64,18.64,18.64,18.64,15,0
CIE1.DE,D,20070322,000000,19.23,19.23,19.23,19.23,24,0
CIE1.DE,D,20070323,000000,19.23,19.23,19.23,19.23,0,0
CIE1.DE,D,20070326,000000,19.23,19.23,19.23,19.23,0,0
CIE1.DE,D,20070327,000000,20.38,20.38,20.38,20.38,14,0
CIE1.DE,D,20070328,000000,21.04,21.04,21.04,21.04,14,0
CIE1.DE,D,20070329,000000,21.04,21.04,21.04,21.04,0,0
CIE1.DE,D,20070330,000000,21.04,21.04,21.04,21.04,0,0
CIE1.DE,D,20070402,000000,21.1,21.1,21.1,21.1,10,0
CIE1.DE,D,20070403,000000,21.1,21.1,21.1,21.1,0,0
CIE1.DE,D,20070404,000000,20.82,21,20.82,21,45,0
CIE1.DE,D,20070405,000000,21,21,21,21,0,0
CIE1.DE,D,20070410,000000,20.56,20.56,20.56,20.56,6,0
CIE1.DE,D,20070411,000000,20.7,20.7,20.7,20.7,21,0
