<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIS.DE,D,20070102,000000,15.593507,15.593507,15.322315,15.518176,10148,0
CIS.DE,D,20070103,000000,15.593507,15.970161,15.540775,15.970161,15533,0
CIS.DE,D,20070104,000000,15.781834,16.098224,15.729102,16.098224,25322,0
CIS.DE,D,20070105,000000,16.150956,16.520077,16.150956,16.309151,41777,0
CIS.DE,D,20070108,000000,16.467346,16.610475,16.42968,16.535144,16965,0
CIS.DE,D,20070109,000000,16.572809,16.64814,16.497478,16.505011,13474,0
CIS.DE,D,20070110,000000,16.369415,16.678272,16.369415,16.663206,14753,0
CIS.DE,D,20070115,000000,16.798802,16.8666,16.753603,16.798802,9980,0
CIS.DE,D,20070116,000000,16.572809,16.663206,16.271485,16.376949,51622,0
CIS.DE,D,20070117,000000,16.248886,16.33175,16.075625,16.090691,19159,0
CIS.DE,D,20070118,000000,15.691437,15.827033,15.329848,15.563374,45135,0
CIS.DE,D,20070119,000000,15.26205,15.593507,15.111389,15.593507,35011,0
CIS.DE,D,20070122,000000,15.442845,15.646238,15.246984,15.322315,34122,0
CIS.DE,D,20070123,000000,15.38258,15.405179,15.171653,15.344915,18302,0
CIS.DE,D,20070124,000000,15.06619,15.563374,14.998392,15.563374,38617,0
CIS.DE,D,20070125,000000,15.60104,15.631172,15.352448,15.367514,33325,0
CIS.DE,D,20070126,000000,15.126455,15.405179,15.020991,15.367514,51405,0
CIS.DE,D,20070129,000000,15.277117,15.405179,15.133988,15.133988,19843,0
CIS.DE,D,20070130,000000,15.179186,15.292183,15.133988,15.292183,18178,0
CIS.DE,D,20070131,000000,15.18672,15.329848,15.058657,15.231918,33408,0
CIS.DE,D,20070201,000000,15.344915,15.57844,15.299716,15.314782,35386,0
CIS.DE,D,20070202,000000,15.344915,15.69897,15.337381,15.69897,26782,0
CIS.DE,D,20070205,000000,15.8195,16.01536,15.804433,16.01536,20194,0
CIS.DE,D,20070206,000000,15.985228,16.196154,15.827033,15.827033,27895,0
CIS.DE,D,20070207,000000,16.535144,16.685805,16.384482,16.459813,52399,0
CIS.DE,D,20070208,000000,16.271485,16.354349,16.083158,16.120823,17585,0
CIS.DE,D,20070209,000000,16.241353,16.361882,16.060559,16.068092,8100,0
CIS.DE,D,20070212,000000,15.977695,16.090691,15.857165,16.007827,6425,0
CIS.DE,D,20070213,000000,15.924963,16.01536,15.766768,15.804433,13042,0
CIS.DE,D,20070214,000000,15.706503,15.759235,15.616106,15.759235,21560,0
CIS.DE,D,20070215,000000,15.683904,15.872231,15.683904,15.781834,12681,0
CIS.DE,D,20070216,000000,15.653771,15.804433,15.653771,15.736635,15844,0
CIS.DE,D,20070219,000000,15.683904,15.789367,15.540775,15.759235,17502,0
CIS.DE,D,20070220,000000,15.69897,15.774301,15.668838,15.69897,9874,0
CIS.DE,D,20070221,000000,15.766768,15.834566,15.69897,15.706503,23727,0
CIS.DE,D,20070222,000000,15.706503,15.857165,15.691437,15.7969,11955,0
CIS.DE,D,20070226,000000,15.668838,15.8195,15.073723,15.555841,29204,0
CIS.DE,D,20070227,000000,15.450378,15.450378,15.096322,15.179186,34465,0
CIS.DE,D,20070228,000000,14.425877,14.953194,14.132086,14.855263,131134,0
CIS.DE,D,20070301,000000,14.712135,14.840197,14.086888,14.840197,29797,0
CIS.DE,D,20070302,000000,14.7498,14.825131,14.629271,14.682002,8068,0
CIS.DE,D,20070305,000000,14.245083,14.697068,14.086888,14.659403,54068,0
CIS.DE,D,20070306,000000,14.742267,14.900462,14.697068,14.900462,22137,0
CIS.DE,D,20070307,000000,14.832664,14.953194,14.810065,14.832664,5728,0
CIS.DE,D,20070308,000000,14.794999,15.081256,14.794999,15.081256,9531,0
CIS.DE,D,20070309,000000,15.028525,15.216852,14.892929,15.06619,5508,0
CIS.DE,D,20070312,000000,15.06619,15.06619,14.825131,14.900462,22233,0
CIS.DE,D,20070313,000000,14.87033,14.915528,14.65187,14.65187,5998,0
CIS.DE,D,20070314,000000,14.471076,14.674469,14.365612,14.388211,12092,0
CIS.DE,D,20070315,000000,14.689535,14.764866,14.569006,14.666936,8007,0
CIS.DE,D,20070316,000000,14.538873,14.704601,14.086888,14.591605,17072,0
CIS.DE,D,20070319,000000,14.734734,14.877863,14.727201,14.877863,8649,0
CIS.DE,D,20070320,000000,14.877863,14.96826,14.840197,14.96826,5167,0
CIS.DE,D,20070321,000000,14.96826,14.96826,14.757333,14.757333,5453,0
CIS.DE,D,20070322,000000,14.930594,15.081256,14.900462,14.998392,10031,0
CIS.DE,D,20070323,000000,15.005925,15.005925,14.832664,14.938127,11099,0
CIS.DE,D,20070326,000000,14.802532,14.877863,14.576539,14.614204,25226,0
CIS.DE,D,20070327,000000,14.810065,14.84773,14.538873,14.538873,9058,0
CIS.DE,D,20070328,000000,14.538873,14.584072,14.448476,14.501208,4534,0
CIS.DE,D,20070329,000000,14.43341,14.65187,14.43341,14.43341,2088,0
CIS.DE,D,20070330,000000,14.305347,14.493675,14.275215,14.493675,10404,0
CIS.DE,D,20070402,000000,14.320414,14.403278,14.267682,14.358079,8895,0
CIS.DE,D,20070403,000000,14.275215,14.55394,14.275215,14.55394,15297,0
CIS.DE,D,20070404,000000,14.576539,14.719668,14.53134,14.659403,11254,0
CIS.DE,D,20070405,000000,14.621737,14.682002,14.561473,14.576539,6195,0
CIS.DE,D,20070410,000000,14.621737,14.689535,14.516274,14.516274,9302,0
CIS.DE,D,20070411,000000,14.486142,14.65187,14.478609,14.478609,13582,0
CIS.DE,D,20070412,000000,14.343013,14.486142,14.297814,14.478609,9808,0
CIS.DE,D,20070413,000000,14.388211,14.463542,14.267682,14.418344,7199,0
CIS.DE,D,20070416,000000,14.764866,14.953194,14.742267,14.892929,11711,0
CIS.DE,D,20070417,000000,14.704601,15.028525,14.704601,14.945661,14048,0
CIS.DE,D,20070418,000000,14.787466,14.877863,14.764866,14.877863,10602,0
CIS.DE,D,20070419,000000,14.501208,14.825131,14.501208,14.719668,15599,0
CIS.DE,D,20070420,000000,14.697068,14.983326,14.697068,14.885396,16381,0
CIS.DE,D,20070423,000000,14.900462,15.005925,14.7498,14.7498,11398,0
CIS.DE,D,20070424,000000,14.764866,14.802532,14.463542,14.471076,16427,0
CIS.DE,D,20070425,000000,14.486142,14.659403,14.456009,14.55394,12460,0
CIS.DE,D,20070426,000000,14.787466,15.020991,14.779932,14.953194,15847,0
CIS.DE,D,20070427,000000,14.689535,14.840197,14.561473,14.840197,15737,0
CIS.DE,D,20070430,000000,14.855263,14.983326,14.794999,14.900462,28380,0
CIS.DE,D,20070502,000000,14.915528,15.292183,14.787466,15.26205,26981,0
CIS.DE,D,20070503,000000,15.405179,15.457911,15.231918,15.457911,9017,0
CIS.DE,D,20070504,000000,15.352448,15.510643,15.329848,15.510643,14511,0
CIS.DE,D,20070507,000000,15.367514,15.48051,15.367514,15.390113,12574,0
CIS.DE,D,20070508,000000,15.314782,15.631172,15.314782,15.60104,16824,0
CIS.DE,D,20070509,000000,14.945661,15.06619,14.697068,14.757333,63046,0
CIS.DE,D,20070510,000000,14.689535,14.938127,14.576539,14.817598,25793,0
CIS.DE,D,20070511,000000,14.659403,14.794999,14.621737,14.719668,6619,0
CIS.DE,D,20070514,000000,14.810065,14.900462,14.636804,14.636804,11181,0
CIS.DE,D,20070515,000000,14.508741,14.689535,14.501208,14.546406,12084,0
CIS.DE,D,20070516,000000,14.501208,14.614204,14.448476,14.576539,13700,0
CIS.DE,D,20070517,000000,14.764866,14.840197,14.538873,14.779932,8897,0
CIS.DE,D,20070518,000000,14.621737,14.764866,14.606671,14.614204,30632,0
CIS.DE,D,20070521,000000,14.576539,14.832664,14.55394,14.787466,14609,0
CIS.DE,D,20070522,000000,14.704601,14.817598,14.704601,14.742267,7119,0
CIS.DE,D,20070523,000000,14.697068,14.817598,14.674469,14.682002,10267,0
CIS.DE,D,20070524,000000,14.463542,14.584072,14.290281,14.343013,18735,0
CIS.DE,D,20070525,000000,14.373145,14.373145,14.184818,14.312881,14772,0
