<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CQD.DE,D,20191014,000000,383.25,384.5,383.25,384.5,120,0
CQD.DE,D,20191015,000000,391.1,391.1,391.1,391.1,0,0
CQD.DE,D,20191016,000000,394.85,394.85,394.85,394.85,0,0
CQD.DE,D,20191017,000000,397.7,397.7,397.7,397.7,0,0
CQD.DE,D,20191018,000000,390,396.75,390,396.75,2,0
CQD.DE,D,20191021,000000,396,396,386.15,395.15,8,0
CQD.DE,D,20191022,000000,390.7,390.7,390.7,390.7,0,0
CQD.DE,D,20191023,000000,389,389,389,389,0,0
CQD.DE,D,20191024,000000,391.05,391.05,391.05,391.05,0,0
CQD.DE,D,20191025,000000,395.9,407.05,395.9,407.05,4,0
CQD.DE,D,20191029,000000,420.2,420.2,420.2,420.2,0,0
CQD.DE,D,20191030,000000,419.25,419.25,419.25,419.25,0,0
CQD.DE,D,20191031,000000,418.95,418.95,418.95,418.95,0,0
CQD.DE,D,20191101,000000,427.2,427.2,427.2,427.2,0,0
CQD.DE,D,20191104,000000,437.2,437.2,419.4,425.6,19,0
CQD.DE,D,20191105,000000,419.2,425.35,419.2,425.35,2,0
CQD.DE,D,20191106,000000,419.9,419.9,419.9,419.9,0,0
CQD.DE,D,20191107,000000,432.4,432.4,425.4,425.4,5,0
CQD.DE,D,20191108,000000,428.5,428.5,428.5,428.5,0,0
CQD.DE,D,20191111,000000,428.5,428.5,428.5,428.5,0,0
CQD.DE,D,20191112,000000,422.65,429.9,422.65,429.9,3,0
CQD.DE,D,20191113,000000,423.2,423.2,423.2,423.2,3,0
CQD.DE,D,20191114,000000,435.5,435.6,435.5,435.6,80,0
CQD.DE,D,20191115,000000,440,440,426.55,432.3,11,0
CQD.DE,D,20191118,000000,427.3,427.3,427.3,427.3,0,0
CQD.DE,D,20191119,000000,431.8,431.8,431.8,431.8,0,0
CQD.DE,D,20191120,000000,424.9,424.9,424.9,424.9,5,0
