<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSTD.DE,D,20200925,000000,85.407545,86.474391,85.407545,86.474391,0,0
CSTD.DE,D,20200928,000000,87.850324,88.538291,87.850324,88.538291,0,0
CSTD.DE,D,20200929,000000,88.33888,88.478467,88.33888,88.368792,0,0
CSTD.DE,D,20200930,000000,87.740648,88.269086,87.740648,88.269086,0,0
CSTD.DE,D,20201001,000000,88.637996,88.637996,87.96,87.96,1376,0
CSTD.DE,D,20201209,000000,96.81,96.81,96.38,96.38,0,0
CSTD.DE,D,20201210,000000,96.61,96.61,95.21,95.76,2,0
CSTD.DE,D,20201211,000000,95.14,95.2,94.83,95.2,1,0
CSTD.DE,D,20201214,000000,96.55,96.55,95.45,95.45,0,0
CSTD.DE,D,20201215,000000,95.46,95.91,95.21,95.71,383,0
CSTD.DE,D,20201216,000000,96.33,96.33,95.77,95.77,0,0
CSTD.DE,D,20201217,000000,96.3,96.3,96.09,96.2,76,0
CSTD.DE,D,20201218,000000,95.88,95.88,95.6,95.6,0,0
CSTD.DE,D,20201221,000000,93.6,93.85,93.39,93.85,0,0
CSTD.DE,D,20201222,000000,94.23,95.24,94.23,95.24,0,0
CSTD.DE,D,20201223,000000,95.59,95.94,95.32,95.65,69,0
CSTD.DE,D,20201228,000000,96.39,96.81,96.39,96.81,0,0
CSTD.DE,D,20201229,000000,97.17,97.17,96.88,96.93,0,0
CSTD.DE,D,20201230,000000,96.88,96.88,96.7,96.7,0,0
CSTD.DE,D,20210104,000000,97.64,98.3,97.24,97.24,1069,0
CSTD.DE,D,20210105,000000,97.23,97.23,96.71,96.76,0,0
CSTD.DE,D,20210106,000000,97.8,99.89,97.8,99.89,0,0
CSTD.DE,D,20210107,000000,101.78,102.12,101.68,101.94,68,0
CSTD.DE,D,20210108,000000,102.88,103.18,102.34,102.66,394,0
CSTD.DE,D,20210111,000000,102.98,102.98,100.82,101.2,65,0
CSTD.DE,D,20210112,000000,101.68,101.68,101.3,101.5,0,0
CSTD.DE,D,20210113,000000,101.82,101.82,101.68,101.68,0,0
CSTD.DE,D,20210114,000000,101.44,101.74,101.42,101.74,0,0
CSTD.DE,D,20210115,000000,100.86,100.86,100.22,100.22,18,0
CSTD.DE,D,20210118,000000,99.96,100.34,99.96,100.34,0,0
CSTD.DE,D,20210119,000000,100.92,100.92,100.28,100.28,0,0
CSTD.DE,D,20210120,000000,100.9,100.9,100.52,100.52,52,0
CSTD.DE,D,20210121,000000,101.66,101.66,99.96,99.96,0,0
CSTD.DE,D,20210122,000000,99.32,99.32,98.39,98.92,3,0
CSTD.DE,D,20210125,000000,99.53,99.53,97.35,97.35,10,0
CSTD.DE,D,20210126,000000,97.09,98.05,97.05,97.05,0,0
CSTD.DE,D,20210127,000000,96.54,96.54,94.34,95.53,1465,0
CSTD.DE,D,20210128,000000,94.45,97.4,94.43,97.17,33,0
CSTD.DE,D,20210129,000000,95.41,95.98,94.76,94.76,0,0
CSTD.DE,D,20210201,000000,95.4,96.54,95.4,96.38,62,0
CSTD.DE,D,20210202,000000,97.05,98.14,97.05,98.14,229,0
CSTD.DE,D,20210203,000000,98.81,98.81,97.93,97.93,619,0
CSTD.DE,D,20210204,000000,98.19,98.66,97.81,98.66,0,0
CSTD.DE,D,20210205,000000,99.14,100.04,99.14,99.45,2,0
CSTD.DE,D,20210208,000000,99.97,100.84,99.97,100.12,18,0
CSTD.DE,D,20210209,000000,100.28,100.28,99.35,99.37,450,0
CSTD.DE,D,20210210,000000,99.47,99.47,98.59,98.59,0,0
CSTD.DE,D,20210211,000000,98.88,99.79,98.88,99.52,2,0
CSTD.DE,D,20210212,000000,99.09,99.59,99.09,99.59,0,0
CSTD.DE,D,20210215,000000,100.32,100.82,100.32,100.82,17,0
CSTD.DE,D,20210216,000000,100.98,100.98,100.06,100.06,525,0
CSTD.DE,D,20210217,000000,99.63,99.63,98.59,98.59,20,0
CSTD.DE,D,20210218,000000,98.83,99.05,98.06,98.29,50,0
CSTD.DE,D,20210219,000000,98.61,99.35,98.61,99.35,0,0
CSTD.DE,D,20210222,000000,98.46,99.05,98.46,99.05,0,0
CSTD.DE,D,20210223,000000,99.3,99.3,97.7,99.02,569,0
CSTD.DE,D,20210224,000000,99.54,100.26,99.54,100.02,0,0
CSTD.DE,D,20210225,000000,100.56,100.56,99.33,99.33,0,0
CSTD.DE,D,20210226,000000,98.02,98.77,97.92,97.92,0,0
CSTD.DE,D,20210301,000000,99.46,100.14,99.05,100.14,330,0
CSTD.DE,D,20210302,000000,99.75,101.44,99.75,100.84,2,0
CSTD.DE,D,20210303,000000,101.38,101.8,101.38,101.48,0,0
CSTD.DE,D,20210304,000000,101.48,102.2,101.48,102.2,0,0
CSTD.DE,D,20210305,000000,101.56,101.58,100.98,100.98,2,0
CSTD.DE,D,20210308,000000,102.14,104.02,102.14,104.02,19,0
CSTD.DE,D,20210309,000000,103.72,104.9,103.72,104.9,0,0
CSTD.DE,D,20210310,000000,104.68,105.42,104.64,105.42,0,0
CSTD.DE,D,20210311,000000,105.76,106.08,105.76,106.08,0,0
CSTD.DE,D,20210312,000000,105.8,106.5,105.7,106.5,11,0
CSTD.DE,D,20210315,000000,106.86,107.18,105.96,105.96,55,0
CSTD.DE,D,20210316,000000,106.34,106.34,106.16,106.22,0,0
CSTD.DE,D,20210317,000000,106.04,106.04,105.38,105.64,0,0
CSTD.DE,D,20210318,000000,106.12,106.12,105.74,105.84,0,0
CSTD.DE,D,20210319,000000,105.06,105.12,104.6,104.6,0,0
CSTD.DE,D,20210322,000000,103.72,104.22,103.72,104.18,51,0
CSTD.DE,D,20210323,000000,103.88,104.34,103.86,103.86,10,0
CSTD.DE,D,20210324,000000,103.38,105.12,103.38,105.12,0,0
CSTD.DE,D,20210325,000000,104.56,105.44,104.36,105.44,2725,0
CSTD.DE,D,20210326,000000,106.32,106.62,106.32,106.62,0,0
CSTD.DE,D,20210329,000000,106.88,107.18,106.88,106.92,0,0
CSTD.DE,D,20210330,000000,107.8,108.02,107.54,108.02,8,0
CSTD.DE,D,20210331,000000,108.08,108.72,107.78,107.78,2,0
CSTD.DE,D,20210401,000000,107.92,108.98,107.92,108.68,27,0
CSTD.DE,D,20210406,000000,109.66,109.66,109.32,109.32,0,0
CSTD.DE,D,20210407,000000,109.48,109.68,109.2,109.26,51,0
CSTD.DE,D,20210408,000000,109.72,110.14,109.42,110.14,0,0
CSTD.DE,D,20210409,000000,110.36,110.82,110.14,110.82,7,0
CSTD.DE,D,20210412,000000,110.58,110.86,110.36,110.36,12,0
CSTD.DE,D,20210413,000000,110.82,110.82,110.4,110.4,0,0
CSTD.DE,D,20210414,000000,110.5,110.5,109.88,109.98,30,0
CSTD.DE,D,20210415,000000,110.44,110.44,109.9,110.12,34,0
CSTD.DE,D,20210416,000000,110.4,111.52,110.4,111.52,0,0
CSTD.DE,D,20210419,000000,111.88,112.14,111.66,111.66,0,0
CSTD.DE,D,20210420,000000,111.56,111.56,109.78,109.78,244,0
CSTD.DE,D,20210421,000000,110.54,110.54,109.78,110.54,62,0
CSTD.DE,D,20210422,000000,110.68,110.68,110.54,110.6,0,0
CSTD.DE,D,20210423,000000,110.52,110.96,110.48,110.96,102,0
CSTD.DE,D,20210426,000000,111.2,111.84,111.2,111.62,49,0
CSTD.DE,D,20210427,000000,111.66,111.78,111.34,111.78,3,0
CSTD.DE,D,20210428,000000,111.72,111.82,111.56,111.56,3,0
CSTD.DE,D,20210429,000000,111.76,111.76,111,111.24,50,0
CSTD.DE,D,20210430,000000,111.94,111.94,111.04,111.04,0,0
CSTD.DE,D,20210503,000000,111.24,112.34,111.24,112.34,178,0
CSTD.DE,D,20210504,000000,112.6,113.68,111.88,111.88,0,0
CSTD.DE,D,20210505,000000,113.18,115.12,113.18,115.12,43,0
CSTD.DE,D,20210506,000000,115.08,115.7,114.72,115.7,84,0
CSTD.DE,D,20210507,000000,116.46,116.46,115.86,116.12,12,0
CSTD.DE,D,20210510,000000,116.58,116.58,115.68,115.68,50,0
CSTD.DE,D,20210511,000000,114.52,114.52,113.04,113.2,3,0
CSTD.DE,D,20210512,000000,113.32,113.66,113.32,113.66,0,0
CSTD.DE,D,20210513,000000,112.32,113.4,111.96,113.4,0,0
CSTD.DE,D,20210514,000000,114.04,114.68,113.96,114.68,13,0
CSTD.DE,D,20210517,000000,114.8,114.8,113.78,113.84,50,0
CSTD.DE,D,20210518,000000,114.64,114.64,113.9,113.9,0,0
CSTD.DE,D,20210519,000000,112.76,112.78,111.8,111.8,16,0
CSTD.DE,D,20210520,000000,112.74,113.7,112.74,113.7,0,0
