<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CXR.DE,D,20210112,000000,26.17,26.17,26.17,26.17,0,0
CXR.DE,D,20210113,000000,26.003,26.003,26.003,26.003,0,0
CXR.DE,D,20210114,000000,25.773,25.773,25.773,25.773,0,0
CXR.DE,D,20210115,000000,25.55,25.55,25.55,25.55,0,0
CXR.DE,D,20210118,000000,25.813,25.813,25.813,25.813,0,0
CXR.DE,D,20210119,000000,25.707,25.707,25.707,25.707,0,0
CXR.DE,D,20210120,000000,25.56,25.56,25.56,25.56,0,0
CXR.DE,D,20210121,000000,25.173,25.173,25.173,25.173,0,0
CXR.DE,D,20210125,000000,23.667,23.837,23.667,23.837,210,0
CXR.DE,D,20210126,000000,23.873,23.873,23.873,23.873,0,0
CXR.DE,D,20210127,000000,23.327,23.327,23.327,23.327,0,0
CXR.DE,D,20210129,000000,23.86,23.86,23.86,23.86,30,0
CXR.DE,D,20210201,000000,24.023,24.023,24.023,24.023,0,0
CXR.DE,D,20210203,000000,25.15,25.15,24.793,24.793,96,0
CXR.DE,D,20210204,000000,24.933,24.933,24.933,24.933,0,0
CXR.DE,D,20210205,000000,24.613,24.613,24.613,24.613,0,0
CXR.DE,D,20210208,000000,24.203,24.203,24.203,24.203,0,0
CXR.DE,D,20210209,000000,24.153,24.153,24.153,24.153,0,0
CXR.DE,D,20210210,000000,24.453,24.453,24.453,24.453,0,0
CXR.DE,D,20210211,000000,24.293,24.293,24.293,24.293,0,0
CXR.DE,D,20210212,000000,24.647,24.647,24.647,24.647,0,0
CXR.DE,D,20210215,000000,24.777,24.777,24.777,24.777,0,0
CXR.DE,D,20210216,000000,24.933,24.933,24.933,24.933,0,0
CXR.DE,D,20210217,000000,24.653,24.653,24.653,24.653,0,0
CXR.DE,D,20210218,000000,24.593,24.593,24.593,24.593,0,0
CXR.DE,D,20210219,000000,25.093,25.093,25.093,25.093,0,0
CXR.DE,D,20210222,000000,25.553,25.553,25.553,25.553,0,0
CXR.DE,D,20210223,000000,25.213,25.213,25.213,25.213,0,0
CXR.DE,D,20210224,000000,25.513,25.513,25.513,25.513,0,0
CXR.DE,D,20210225,000000,25.26,25.26,25.26,25.26,0,0
CXR.DE,D,20210226,000000,25.383,25.383,25.383,25.383,0,0
CXR.DE,D,20210301,000000,25.767,25.767,25.767,25.767,0,0
CXR.DE,D,20210302,000000,25.367,25.367,25.367,25.367,0,0
CXR.DE,D,20210303,000000,25.4,25.4,25.4,25.4,0,0
CXR.DE,D,20210304,000000,24.85,24.85,24.85,24.85,0,0
CXR.DE,D,20210305,000000,24.683,24.683,24.683,24.683,0,0
CXR.DE,D,20210310,000000,26.167,26.167,26.167,26.167,0,0
CXR.DE,D,20210311,000000,26.417,26.417,26.417,26.417,0,0
CXR.DE,D,20210312,000000,26.133,26.133,26.133,26.133,0,0
CXR.DE,D,20210315,000000,25.95,25.95,25.95,25.95,0,0
CXR.DE,D,20210316,000000,25.733,25.733,25.733,25.733,0,0
CXR.DE,D,20210317,000000,25.833,25.833,25.833,25.833,0,0
CXR.DE,D,20210318,000000,25.867,25.867,25.867,25.867,0,0
CXR.DE,D,20210319,000000,25.5,25.5,25.5,25.5,0,0
CXR.DE,D,20210322,000000,25.54,26.167,25.533,26.05,1170,0
CXR.DE,D,20210323,000000,26.367,26.367,26.367,26.367,0,0
CXR.DE,D,20210324,000000,26.767,26.767,26.767,26.767,0,0
CXR.DE,D,20210325,000000,26.73,26.73,26.73,26.73,0,0
CXR.DE,D,20210326,000000,27.387,27.4,27.367,27.4,120,0
CXR.DE,D,20210329,000000,27.283,27.283,27.283,27.283,0,0
CXR.DE,D,20210330,000000,27.483,27.483,27.483,27.483,0,0
CXR.DE,D,20210331,000000,27.24,27.24,27.24,27.24,0,0
CXR.DE,D,20210401,000000,27.667,27.667,27.5,27.5,720,0
