<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
D6RP.DE,D,20200714,000000,18.538942,18.548908,18.45722,18.45722,660,0
D6RP.DE,D,20200715,000000,18.744244,18.808027,18.660529,18.724312,1350,0
D6RP.DE,D,20200716,000000,18.634617,18.634617,18.584786,18.584786,90,0
D6RP.DE,D,20200717,000000,18.668502,18.688434,18.64259,18.658536,520,0
D6RP.DE,D,20200720,000000,18.602725,18.792081,18.602725,18.792081,770,0
D6RP.DE,D,20200721,000000,19.041234,19.11299,18.901708,18.911675,614,0
D6RP.DE,D,20200722,000000,18.869817,18.869817,18.69242,18.712353,427,0
D6RP.DE,D,20200723,000000,18.831946,18.855864,18.738264,18.738264,313,0
D6RP.DE,D,20200724,000000,18.337627,18.435295,18.299756,18.299756,0,0
D6RP.DE,D,20200727,000000,18.23398,18.23398,18.178169,18.178169,0,0
D6RP.DE,D,20200728,000000,18.365532,18.365532,18.255905,18.327661,100,0
D6RP.DE,D,20200729,000000,18.220027,18.303742,18.220027,18.303742,138,0
D6RP.DE,D,20200730,000000,18.186142,18.198102,18.044624,18.144285,2089,0
D6RP.DE,D,20200731,000000,18.10442,18.255905,18.082495,18.082495,2023,0
D6RP.DE,D,20200803,000000,18.299756,18.505058,18.299756,18.505058,500,0
D6RP.DE,D,20200804,000000,18.521003,18.521003,18.427322,18.483132,219,0
D6RP.DE,D,20200805,000000,18.562861,18.562861,18.437288,18.449247,548,0
D6RP.DE,D,20200806,000000,18.455227,18.485125,18.433302,18.4632,2616,0
D6RP.DE,D,20200807,000000,18.540936,18.64259,18.540936,18.632624,1943,0
D6RP.DE,D,20200810,000000,18.666508,18.696407,18.63661,18.638603,1430,0
D6RP.DE,D,20200811,000000,18.798061,18.833939,18.758197,18.794075,6376,0
D6RP.DE,D,20200812,000000,18.87181,18.873803,18.778129,18.873803,130,0
D6RP.DE,D,20200813,000000,18.800054,18.859851,18.780122,18.859851,0,0
D6RP.DE,D,20200814,000000,18.863837,18.863837,18.762183,18.802047,695,0
D6RP.DE,D,20200817,000000,18.750224,18.831946,18.750224,18.831946,1114,0
D6RP.DE,D,20200818,000000,18.796068,18.879783,18.786102,18.804041,5,0
D6RP.DE,D,20200819,000000,18.819986,18.885763,18.800054,18.885763,19345,0
D6RP.DE,D,20200820,000000,18.81002,18.843905,18.808027,18.843905,293,0
D6RP.DE,D,20200821,000000,18.911675,19.019308,18.911675,18.979444,13235,0
D6RP.DE,D,20200824,000000,19.122956,19.152854,19.089071,19.116976,946,0
D6RP.DE,D,20200825,000000,19.260488,19.260488,19.148868,19.148868,3114,0
D6RP.DE,D,20200826,000000,19.202685,19.34819,19.202685,19.34819,4165,0
D6RP.DE,D,20200827,000000,19.421939,19.503661,19.404,19.503661,405,0
D6RP.DE,D,20200828,000000,19.433898,19.433898,19.362142,19.362142,1875,0
D6RP.DE,D,20200831,000000,19.533559,19.533559,19.316298,19.316298,8464,0
D6RP.DE,D,20200901,000000,19.501668,19.501668,19.354169,19.394034,1988,0
D6RP.DE,D,20200902,000000,19.603322,19.76278,19.603322,19.675078,310,0
D6RP.DE,D,20200903,000000,19.890346,19.890346,19.312312,19.312312,4929,0
D6RP.DE,D,20200904,000000,19.120963,19.282414,18.853871,18.853871,3311,0
D6RP.DE,D,20200907,000000,18.985424,19.120963,18.911675,19.101031,1863,0
D6RP.DE,D,20200908,000000,19.138902,19.138902,18.756203,18.756203,901,0
D6RP.DE,D,20200909,000000,18.682454,18.985424,18.682454,18.985424,57649,0
D6RP.DE,D,20200910,000000,18.991403,19.013329,18.889749,18.937586,976,0
