<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
D6RR.DE,D,20200714,000000,11.403251,11.459071,11.403251,11.459071,210,0
D6RR.DE,D,20200715,000000,11.560743,11.662416,11.528846,11.654441,10,0
D6RR.DE,D,20200716,000000,11.570711,11.626531,11.570711,11.608589,30,0
D6RR.DE,D,20200717,000000,11.648461,11.648461,11.600615,11.630518,200,0
D6RR.DE,D,20200720,000000,11.610583,11.748139,11.610583,11.748139,0,0
D6RR.DE,D,20200721,000000,11.821902,11.879715,11.772062,11.772062,150,0
D6RR.DE,D,20200722,000000,11.736178,11.736178,11.690326,11.696306,250,0
D6RR.DE,D,20200723,000000,11.730197,11.778043,11.690326,11.696306,400,0
D6RR.DE,D,20200724,000000,11.532833,11.546788,11.479007,11.479007,250,0
D6RR.DE,D,20200727,000000,11.451097,11.471032,11.451097,11.455084,50,0
D6RR.DE,D,20200728,000000,11.471032,11.504923,11.443122,11.504923,10,0
D6RR.DE,D,20200729,000000,11.504923,11.532833,11.504923,11.510904,875,0
D6RR.DE,D,20200730,000000,11.473026,11.473026,11.277656,11.277656,0,0
D6RR.DE,D,20200731,000000,11.265694,11.345437,11.128137,11.128137,175,0
D6RR.DE,D,20200803,000000,11.156048,11.395277,11.156048,11.395277,427,0
D6RR.DE,D,20200804,000000,11.437142,11.437142,11.331482,11.351418,130,0
D6RR.DE,D,20200805,000000,11.435148,11.435148,11.381322,11.381322,920,0
D6RR.DE,D,20200806,000000,11.347431,11.347431,11.297591,11.31354,11,0
D6RR.DE,D,20200807,000000,11.31354,11.375341,11.31354,11.375341,0,0
D6RR.DE,D,20200810,000000,11.377334,11.403251,11.377334,11.403251,0,0
D6RR.DE,D,20200811,000000,11.494955,11.64248,11.494955,11.588653,23,0
D6RR.DE,D,20200812,000000,11.560743,11.72621,11.560743,11.712255,23,0
D6RR.DE,D,20200813,000000,11.666403,11.680358,11.666403,11.666403,0,0
D6RR.DE,D,20200814,000000,11.606596,11.606596,11.461065,11.518878,5578,0
D6RR.DE,D,20200817,000000,11.540808,11.578686,11.540808,11.578686,10,0
D6RR.DE,D,20200818,000000,11.510904,11.622544,11.510904,11.514891,100,0
D6RR.DE,D,20200819,000000,11.498942,11.620551,11.498942,11.620551,81000,0
D6RR.DE,D,20200820,000000,11.512898,11.528846,11.506917,11.506917,26,0
D6RR.DE,D,20200821,000000,11.540808,11.540808,11.481,11.481,0,0
D6RR.DE,D,20200824,000000,11.61457,11.678364,11.61457,11.648461,100,0
D6RR.DE,D,20200825,000000,11.710261,11.738172,11.628525,11.628525,1311,0
D6RR.DE,D,20200826,000000,11.592641,11.742159,11.592641,11.742159,1237,0
D6RR.DE,D,20200827,000000,11.740165,11.740165,11.662416,11.662416,0,0
D6RR.DE,D,20200828,000000,11.664409,11.664409,11.576692,11.594634,18360,0
D6RR.DE,D,20200831,000000,11.64248,11.64248,11.504923,11.504923,45,0
D6RR.DE,D,20200901,000000,11.550775,11.550775,11.471032,11.471032,122,0
D6RR.DE,D,20200902,000000,11.524859,11.684345,11.524859,11.678364,153,0
D6RR.DE,D,20200903,000000,11.772062,11.778043,11.496949,11.496949,0,0
D6RR.DE,D,20200904,000000,11.391289,11.498942,11.375341,11.375341,1,0
D6RR.DE,D,20200907,000000,11.465052,11.534827,11.465052,11.534827,1107,0
D6RR.DE,D,20200908,000000,11.560743,11.560743,11.407238,11.407238,12,0
D6RR.DE,D,20200909,000000,11.44711,11.626531,11.44711,11.626531,866,0
D6RR.DE,D,20200910,000000,11.626531,11.626531,11.552769,11.552769,0,0
D6RR.DE,D,20200911,000000,11.580679,11.580679,11.562737,11.562737,23,0
D6RR.DE,D,20200914,000000,11.650454,11.650454,11.582673,11.606596,399,0
D6RR.DE,D,20200915,000000,11.616563,11.704281,11.604602,11.674377,821,0
D6RR.DE,D,20200916,000000,11.688332,11.752127,11.688332,11.752127,1888,0
D6RR.DE,D,20200917,000000,11.602608,11.700294,11.602608,11.67039,7454,0
D6RR.DE,D,20200918,000000,11.668396,11.694313,11.618557,11.618557,352,0
D6RR.DE,D,20200921,000000,11.50293,11.50293,11.251739,11.251739,599,0
D6RR.DE,D,20200922,000000,11.309553,11.311546,11.243765,11.243765,2089,0
D6RR.DE,D,20200923,000000,11.335469,11.409232,11.327495,11.327495,3,0
D6RR.DE,D,20200924,000000,11.197913,11.28563,11.197913,11.22981,0,0
D6RR.DE,D,20200925,000000,11.215855,11.215855,11.098234,11.207881,0,0
D6RR.DE,D,20200928,000000,11.377334,11.461065,11.377334,11.461065,435,0
D6RR.DE,D,20200929,000000,11.431161,11.443122,11.423187,11.423187,10,0
D6RR.DE,D,20200930,000000,11.367367,11.42518,11.367367,11.409232,82,0
D6RR.DE,D,20201001,000000,11.484987,11.50293,11.459071,11.459071,3540,0
D6RR.DE,D,20201002,000000,11.325501,11.484987,11.325501,11.484987,11,0
D6RR.DE,D,20201005,000000,11.594634,11.594634,11.542801,11.574698,5273,0
D6RR.DE,D,20201006,000000,11.592641,11.592641,11.554763,11.574698,1509,0
D6RR.DE,D,20201007,000000,11.590647,11.590647,11.560743,11.572705,597,0
D6RR.DE,D,20201008,000000,11.626531,11.64248,11.626531,11.64248,2,0
D6RR.DE,D,20201009,000000,11.696306,11.718236,11.672384,11.714249,7,0
D6RR.DE,D,20201012,000000,11.746146,11.813927,11.746146,11.813927,336,0
D6RR.DE,D,20201013,000000,11.815921,11.815921,11.768075,11.768075,2306,0
D6RR.DE,D,20201014,000000,11.752127,11.774056,11.736178,11.736178,200,0
D6RR.DE,D,20201015,000000,11.582673,11.582673,11.498942,11.514891,6,0
D6RR.DE,D,20201016,000000,11.58666,11.664409,11.578686,11.664409,4512,0
D6RR.DE,D,20201019,000000,11.736178,11.736178,11.636499,11.636499,0,0
D6RR.DE,D,20201020,000000,11.674377,11.674377,11.596628,11.596628,1613,0
D6RR.DE,D,20201021,000000,11.600615,11.600615,11.443122,11.443122,285,0
D6RR.DE,D,20201022,000000,11.359392,11.45309,11.359392,11.433155,35998,0
D6RR.DE,D,20201023,000000,11.427174,11.522865,11.427174,11.504923,1303,0
D6RR.DE,D,20201026,000000,11.325501,11.355405,11.281643,11.281643,86,0
D6RR.DE,D,20201027,000000,11.279649,11.287624,11.175983,11.175983,500,0
D6RR.DE,D,20201028,000000,11.06235,11.06235,10.874953,10.888908,9693,0
D6RR.DE,D,20201029,000000,10.926786,10.926786,10.837075,10.888908,1805,0
D6RR.DE,D,20201030,000000,10.799198,10.880934,10.799198,10.880934,1026,0
D6RR.DE,D,20201102,000000,10.884921,11.042414,10.884921,11.042414,2752,0
D6RR.DE,D,20201103,000000,11.112189,11.301579,11.112189,11.301579,111,0
D6RR.DE,D,20201104,000000,11.166015,11.53682,11.166015,11.53682,1047,0
D6RR.DE,D,20201105,000000,11.676371,11.676371,11.608589,11.646467,1811,0
D6RR.DE,D,20201106,000000,11.638493,11.648461,11.600615,11.648461,16,0
D6RR.DE,D,20201109,000000,11.734184,12.142867,11.734184,12.05515,2253,0
D6RR.DE,D,20201110,000000,12.077079,12.142867,12.059137,12.142867,980,0
D6RR.DE,D,20201111,000000,12.178752,12.284411,12.178752,12.284411,82,0
D6RR.DE,D,20201112,000000,12.184732,12.200681,12.184732,12.186726,532,0
D6RR.DE,D,20201113,000000,12.156822,12.210649,12.156822,12.182739,334,0
D6RR.DE,D,20201116,000000,12.240553,12.320296,12.230585,12.284411,4825,0
D6RR.DE,D,20201117,000000,12.294379,12.294379,12.236565,12.264475,249,0
D6RR.DE,D,20201118,000000,12.218623,12.306341,12.218623,12.302353,18,0
D6RR.DE,D,20201119,000000,12.210649,12.238559,12.210649,12.238559,93,0
D6RR.DE,D,20201120,000000,12.280424,12.30036,12.266469,12.30036,262,0
D6RR.DE,D,20201123,000000,12.336244,12.336244,12.238559,12.238559,494,0
D6RR.DE,D,20201124,000000,12.316308,12.316308,12.258495,12.316308,28001,0
D6RR.DE,D,20201125,000000,12.322289,12.322289,12.292385,12.30036,0,0
D6RR.DE,D,20201126,000000,12.332257,12.332257,12.286405,12.286405,17,0
D6RR.DE,D,20201127,000000,12.288398,12.362161,12.288398,12.35618,391,0
