<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBXH.DE,D,20070628,000000,140.68,140.68,140.68,140.68,0,0
DBXH.DE,D,20070629,000000,140.83,140.83,140.83,140.83,0,0
DBXH.DE,D,20070703,000000,141.135,141.135,141.135,141.135,0,0
DBXH.DE,D,20070704,000000,140.74,140.74,140.74,140.74,0,0
DBXH.DE,D,20070705,000000,140.28,140.28,140.28,140.28,0,0
DBXH.DE,D,20070706,000000,140.57,140.57,140.57,140.57,120,0
DBXH.DE,D,20070709,000000,140.57,140.57,140.57,140.57,0,0
DBXH.DE,D,20070710,000000,140.57,140.57,140.57,140.57,0,0
DBXH.DE,D,20070711,000000,140.57,140.57,140.57,140.57,0,0
DBXH.DE,D,20070712,000000,140.57,140.57,140.57,140.57,0,0
DBXH.DE,D,20070713,000000,140.67,140.67,140.67,140.67,115,0
DBXH.DE,D,20070716,000000,141.19,141.19,141.19,141.19,170,0
DBXH.DE,D,20070717,000000,141.19,141.19,141.19,141.19,0,0
DBXH.DE,D,20070718,000000,141.19,141.19,141.19,141.19,0,0
DBXH.DE,D,20070719,000000,141.55,141.55,141.55,141.55,35,0
DBXH.DE,D,20070720,000000,141.55,141.55,141.55,141.55,0,0
DBXH.DE,D,20070723,000000,142.5,142.69,142.34,142.34,135,0
DBXH.DE,D,20070724,000000,142.34,142.34,142.34,142.34,0,0
DBXH.DE,D,20070725,000000,142.31,142.31,142.31,142.31,30,0
DBXH.DE,D,20070726,000000,142.31,142.31,142.31,142.31,0,0
DBXH.DE,D,20070727,000000,142.31,142.31,142.31,142.31,0,0
DBXH.DE,D,20070730,000000,142.31,142.31,142.31,142.31,0,0
DBXH.DE,D,20070731,000000,143.4,143.4,143.4,143.4,35,0
DBXH.DE,D,20070801,000000,143.88,143.93,143.88,143.93,30,0
DBXH.DE,D,20070802,000000,143.27,143.27,143.27,143.27,68,0
DBXH.DE,D,20070803,000000,143.27,143.27,143.27,143.27,0,0
DBXH.DE,D,20070806,000000,143.27,143.27,143.27,143.27,0,0
