<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFOA.DE,D,20200918,000000,73.71,73.71,72.44,72.44,0,0
DFOA.DE,D,20200921,000000,71.14,71.14,68.54,68.54,401,0
DFOA.DE,D,20210208,000000,93.06,93.39,92.87,92.87,1,0
DFOA.DE,D,20210209,000000,92.79,92.79,91.77,92.3,1,0
DFOA.DE,D,20210210,000000,92.49,92.76,91.4,91.4,2000,0
DFOA.DE,D,20210211,000000,91.93,92.02,91.64,91.64,605,0
DFOA.DE,D,20210212,000000,91.1,91.18,90.99,91.18,0,0
DFOA.DE,D,20210215,000000,91.93,91.93,91.24,91.6,464,0
DFOA.DE,D,20210216,000000,92.03,92.15,91.84,91.84,1,0
DFOA.DE,D,20210217,000000,91.46,91.48,90.95,90.95,5,0
DFOA.DE,D,20210218,000000,91.89,92.95,91.47,92.31,527,0
DFOA.DE,D,20210219,000000,92.04,93.12,92.04,93.12,0,0
DFOA.DE,D,20210222,000000,92.11,92.73,91.97,92.73,2,0
DFOA.DE,D,20210223,000000,92.89,92.89,90.96,91.54,93,0
DFOA.DE,D,20210224,000000,91.76,92.7,91.76,92.37,0,0
DFOA.DE,D,20210225,000000,93.38,93.38,92.21,92.21,149,0
DFOA.DE,D,20210226,000000,91.04,92.53,91.04,92.53,13,0
DFOA.DE,D,20210301,000000,93.92,93.92,92.85,93.6,8,0
DFOA.DE,D,20210302,000000,93.61,94.73,93.61,94.21,122,0
DFOA.DE,D,20210303,000000,95.92,97.27,95.74,96.73,553,0
DFOA.DE,D,20210304,000000,96.55,97.47,96.55,97.47,76,0
DFOA.DE,D,20210305,000000,97.43,98.27,96.94,96.94,174,0
DFOA.DE,D,20210308,000000,97.99,100.7,97.99,100.6,1895,0
DFOA.DE,D,20210309,000000,100.04,100.44,99.17,99.89,3234,0
DFOA.DE,D,20210310,000000,99.7,100.92,99.42,100.92,140,0
DFOA.DE,D,20210311,000000,101.26,101.26,99.99,99.99,20,0
DFOA.DE,D,20210312,000000,98.64,99.3,98.64,99.3,657,0
DFOA.DE,D,20210315,000000,100,101.3,99.78,99.78,52,0
DFOA.DE,D,20210316,000000,100.76,101.76,100.76,101.76,0,0
DFOA.DE,D,20210317,000000,102.48,105.14,102.48,105.14,541,0
DFOA.DE,D,20210318,000000,106.9,107.94,106.26,106.26,847,0
DFOA.DE,D,20210319,000000,105.04,105.46,104.16,104.46,444,0
DFOA.DE,D,20210322,000000,105.28,106.84,105.28,106.5,38,0
DFOA.DE,D,20210323,000000,106.16,106.16,103.78,103.78,742,0
DFOA.DE,D,20210324,000000,102.1,103.34,102.1,102.2,1119,0
DFOA.DE,D,20210325,000000,101.44,103.94,101.44,103.94,586,0
DFOA.DE,D,20210326,000000,105.3,105.3,104.54,104.54,96,0
DFOA.DE,D,20210329,000000,104.86,105.8,104.6,105.28,1251,0
DFOA.DE,D,20210330,000000,106.2,108.5,106.16,108.5,1072,0
DFOA.DE,D,20210331,000000,108.78,108.8,107.82,108.1,348,0
DFOA.DE,D,20210401,000000,108.7,109.1,107.7,109.1,331,0
DFOA.DE,D,20210406,000000,110.36,110.86,109.88,110,1231,0
DFOA.DE,D,20210407,000000,110.4,110.4,109.32,109.38,802,0
DFOA.DE,D,20210408,000000,110.34,110.34,107.74,107.82,94,0
DFOA.DE,D,20210409,000000,108.04,108.04,107.26,107.26,42,0
DFOA.DE,D,20210412,000000,107.72,108.46,107.72,107.94,952,0
DFOA.DE,D,20210413,000000,108.2,108.62,107.68,107.68,0,0
DFOA.DE,D,20210414,000000,107.74,107.74,107.22,107.28,566,0
DFOA.DE,D,20210415,000000,107.86,108.1,107.42,107.74,113,0
DFOA.DE,D,20210416,000000,109.12,110.48,109.12,110.02,171,0
DFOA.DE,D,20210419,000000,111.3,111.3,108.32,108.32,309,0
DFOA.DE,D,20210420,000000,108.62,108.62,105.4,105.54,285,0
DFOA.DE,D,20210421,000000,105.96,105.96,104.9,105.26,37,0
DFOA.DE,D,20210422,000000,106.02,106.24,105.5,106.24,462,0
DFOA.DE,D,20210423,000000,106.18,107.02,106.18,106.5,224,0
DFOA.DE,D,20210426,000000,106.4,106.8,105.44,106.8,142,0
DFOA.DE,D,20210427,000000,106.38,106.72,105.64,106.48,722,0
DFOA.DE,D,20210428,000000,106.58,106.8,106.38,106.38,734,0
DFOA.DE,D,20210429,000000,105.76,105.92,102.92,103.52,934,0
DFOA.DE,D,20210430,000000,103.24,103.5,103.24,103.26,0,0
DFOA.DE,D,20210503,000000,103.5,104.84,103.5,104.58,432,0
DFOA.DE,D,20210504,000000,104.54,104.78,101.22,101.22,1365,0
DFOA.DE,D,20210505,000000,101.24,103.4,101.24,103.4,225,0
DFOA.DE,D,20210506,000000,104.42,104.42,102.42,103.08,1163,0
DFOA.DE,D,20210507,000000,103.48,104.06,102.66,103.54,1296,0
DFOA.DE,D,20210510,000000,103.88,104.28,103.68,104.28,1034,0
DFOA.DE,D,20210511,000000,103.1,103.1,102.02,102.06,6,0
DFOA.DE,D,20210512,000000,101.82,102.12,101.82,102.12,0,0
DFOA.DE,D,20210513,000000,100.8,101.56,99.51,101.56,604,0
DFOA.DE,D,20210514,000000,101.94,103.34,101.94,103.34,222,0
DFOA.DE,D,20210517,000000,104,104.24,103.6,104.2,430,0
DFOA.DE,D,20210518,000000,105.56,105.56,103.88,104.8,493,0
DFOA.DE,D,20210519,000000,103.42,103.42,101.7,102.4,43,0
DFOA.DE,D,20210520,000000,103.22,104.4,103.06,104.4,49,0
DFOA.DE,D,20210521,000000,105.28,105.82,105.28,105.58,30,0
DFOA.DE,D,20210525,000000,106.6,107.04,106.6,106.7,0,0
DFOA.DE,D,20210526,000000,107.22,107.32,106.18,107.2,371,0
DFOA.DE,D,20210527,000000,107.02,109.06,107.02,109.06,0,0
DFOA.DE,D,20210528,000000,109.1,109.22,108.9,108.9,2,0
DFOA.DE,D,20210531,000000,108.4,109.1,108.4,108.94,93,0
DFOA.DE,D,20210601,000000,110.38,111.6,110.38,111.4,353,0
DFOA.DE,D,20210602,000000,111.8,112.72,111.8,112.72,63,0
DFOA.DE,D,20210603,000000,112.72,114.28,112.72,114.28,800,0
DFOA.DE,D,20210604,000000,114.28,114.74,114.28,114.64,0,0
DFOA.DE,D,20210607,000000,114.78,115.68,114.78,115.44,553,0
DFOA.DE,D,20210608,000000,115.12,115.12,114.32,114.34,10,0
DFOA.DE,D,20210609,000000,114.22,114.22,113.2,113.2,9,0
DFOA.DE,D,20210610,000000,112.72,113.36,112.52,112.52,32,0
DFOA.DE,D,20210611,000000,112.54,114.2,112.44,114.2,10,0
DFOA.DE,D,20210614,000000,114.58,114.58,112.84,112.84,241,0
