<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFOB.DE,D,20200925,000000,269.811515,270.129677,269.811515,270.129677,0,0
DFOB.DE,D,20200928,000000,270.109792,270.268873,268.866971,270.268873,0,0
DFOB.DE,D,20200929,000000,270.8356,271.859684,270.8356,271.859684,0,0
DFOB.DE,D,20200930,000000,271.631005,271.760259,270.010366,270.010366,162,0
DFOB.DE,D,20201001,000000,269.40387,270.686461,269.40387,270.686461,1,0
DFOB.DE,D,20201002,000000,271.670775,272.525836,271.660833,271.809971,266,0
DFOB.DE,D,20201005,000000,272.277272,272.277272,270.507495,270.507495,55,0
DFOB.DE,D,20201006,000000,270.229103,271.074221,270.229103,270.507495,0,0
DFOB.DE,D,20201007,000000,271.471924,271.491809,269.115535,269.48341,169,0
DFOB.DE,D,20201008,000000,269.731974,271.790086,269.731974,271.790086,101,0
DFOB.DE,D,20201009,000000,272.446296,273.758715,272.446296,273.221816,40,0
DFOB.DE,D,20201012,000000,273.649347,275.011479,273.559864,275.011479,87,0
DFOB.DE,D,20201013,000000,274.921996,275.916253,274.872283,275.916253,942,0
DFOB.DE,D,20201014,000000,276.731543,277.864996,276.731543,276.850854,1,0
DFOB.DE,D,20201015,000000,277.576662,279.097875,277.576662,278.242814,64,0
DFOB.DE,D,20201016,000000,278.441665,279.197301,278.441665,279.018335,0,0
DFOB.DE,D,20201019,000000,278.113561,278.113561,276.592348,277.596547,10,0
DFOB.DE,D,20201020,000000,278.053905,278.053905,276.313956,276.313956,2,0
DFOB.DE,D,20201021,000000,275.667689,276.393496,274.713202,274.713202,15,0
DFOB.DE,D,20201022,000000,274.345327,274.414925,272.724688,272.724688,30,0
DFOB.DE,D,20201023,000000,273.450495,273.818371,272.834056,273.818371,9,0
DFOB.DE,D,20201026,000000,276.701716,276.701716,273.589691,274.663489,229,0
DFOB.DE,D,20201027,000000,274.643604,276.801141,274.643604,276.801141,494,0
DFOB.DE,D,20201028,000000,277.288327,277.95448,276.482979,276.482979,30,0
DFOB.DE,D,20201029,000000,276.085276,278.262699,276.085276,278.262699,0,0
DFOB.DE,D,20201030,000000,277.208787,278.173216,277.208787,277.546834,1,0
DFOB.DE,D,20201102,000000,277.089476,278.282584,276.830969,278.282584,51,0
DFOB.DE,D,20201103,000000,276.661945,278.312412,276.661945,278.153331,112,0
DFOB.DE,D,20201104,000000,280.81794,280.81794,279.555233,279.873396,80,0
DFOB.DE,D,20201105,000000,281.126159,281.126159,279.843568,279.843568,6,0
DFOB.DE,D,20201106,000000,279.942994,280.271098,278.531149,278.531149,3,0
DFOB.DE,D,20201109,000000,279.7342,280.569375,271.014566,271.014566,288,0
DFOB.DE,D,20201110,000000,270.95491,270.974796,270.95491,270.974796,0,0
DFOB.DE,D,20201111,000000,269.702147,272.585492,269.44364,272.257387,69,0
DFOB.DE,D,20201112,000000,273.450495,274.733087,273.08262,274.574006,162,0
DFOB.DE,D,20201113,000000,275.468837,276.264243,275.468837,276.234415,0,0
DFOB.DE,D,20201116,000000,277.218729,277.218729,276.403439,277.139189,379,0
DFOB.DE,D,20201117,000000,276.791199,278.590804,276.791199,278.590804,7,0
DFOB.DE,D,20201118,000000,279.087933,279.097875,278.292527,278.292527,79,0
DFOB.DE,D,20201119,000000,278.799598,279.42598,278.799598,279.217186,11,0
DFOB.DE,D,20201120,000000,279.217186,279.406095,279.087933,279.406095,474,0
DFOB.DE,D,20201123,000000,279.654659,279.654659,278.024078,278.292527,15,0
DFOB.DE,D,20201124,000000,278.113561,278.640517,278.113561,278.212986,109,0
DFOB.DE,D,20201125,000000,278.143388,278.809541,278.143388,278.610689,206,0
