<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFTK.DE,D,20150508,000000,12.67,12.69,12.67,12.69,2200,0
DFTK.DE,D,20150511,000000,12.6,12.6,12.5,12.5,1540,0
DFTK.DE,D,20150512,000000,12.5,12.5,12.14,12.14,1900,0
DFTK.DE,D,20150513,000000,12.1,12.1,12.1,12.1,480,0
DFTK.DE,D,20150514,000000,12.5,12.5,12.49,12.49,10990,0
DFTK.DE,D,20150515,000000,12.12,13.5,12,13.2,17215,0
DFTK.DE,D,20150518,000000,13.8,13.8,12.85,12.85,9133,0
DFTK.DE,D,20150519,000000,13.24,13.4,13.24,13.4,2900,0
DFTK.DE,D,20150520,000000,13.1,14,13.1,14,2835,0
DFTK.DE,D,20150521,000000,13.99,13.99,13.5,13.5,3989,0
DFTK.DE,D,20150526,000000,14.5,14.5,14.5,14.5,2783,0
DFTK.DE,D,20150527,000000,14.01,14.77,14,14,1645,0
DFTK.DE,D,20150528,000000,14.29,14.29,14.29,14.29,845,0
DFTK.DE,D,20150529,000000,13.81,13.81,13.8,13.8,171,0
DFTK.DE,D,20150601,000000,13.8,13.8,13.6,13.6,2606,0
DFTK.DE,D,20150602,000000,13.51,13.51,13.5,13.5,700,0
DFTK.DE,D,20150603,000000,13.5,13.5,13.5,13.5,3675,0
DFTK.DE,D,20150609,000000,13.29,13.29,12.1,12.1,2100,0
DFTK.DE,D,20150611,000000,12.9,13.48,12.9,13.48,11780,0
DFTK.DE,D,20150612,000000,13.22,13.49,12.89,12.89,12018,0
DFTK.DE,D,20150615,000000,13.21,13.22,13.21,13.22,1000,0
DFTK.DE,D,20150616,000000,13,13,13,13,1000,0
DFTK.DE,D,20150617,000000,12.8,12.9,12.8,12.9,3369,0
DFTK.DE,D,20150618,000000,12.9,12.9,12.9,12.9,14789,0
DFTK.DE,D,20150619,000000,12.85,12.9,12.8,12.8,40100,0
DFTK.DE,D,20150622,000000,12.9,12.9,12.5,12.7,5066,0
DFTK.DE,D,20150623,000000,13.21,13.21,13,13,300,0
DFTK.DE,D,20150624,000000,12.8,12.9,12.8,12.9,9000,0
DFTK.DE,D,20150625,000000,12.8,12.8,12.8,12.8,732,0
DFTK.DE,D,20150626,000000,12.9,12.9,12.8,12.8,18429,0
DFTK.DE,D,20150629,000000,12,13,11.8,12.5,10051,0
DFTK.DE,D,20150630,000000,12.11,12.2,12.1,12.2,2847,0
DFTK.DE,D,20150701,000000,12.8,12.8,12.8,12.8,646,0
DFTK.DE,D,20150702,000000,12.91,12.91,12.55,12.55,1054,0
DFTK.DE,D,20150703,000000,13,13.8,13,13.8,6904,0
DFTK.DE,D,20150706,000000,13.49,13.8,12.75,12.75,9435,0
DFTK.DE,D,20150707,000000,12.76,12.76,12.7,12.7,800,0
DFTK.DE,D,20150708,000000,13,13,12.6,13,20981,0
DFTK.DE,D,20150709,000000,13.01,13.01,13,13.01,12017,0
DFTK.DE,D,20150713,000000,13,13,12.49,12.49,21770,0
DFTK.DE,D,20150715,000000,13,13,12.21,12.5,9354,0
DFTK.DE,D,20150717,000000,12.2,12.2,12,12,12480,0
DFTK.DE,D,20150721,000000,12.1,12.5,12.1,12.5,2002,0
DFTK.DE,D,20150722,000000,12.7,13,12.7,13,2796,0
DFTK.DE,D,20150723,000000,11.7,11.7,8.99,9.49,40692,0
DFTK.DE,D,20150724,000000,9.02,9.2,9.02,9.2,4550,0
DFTK.DE,D,20150727,000000,9.5,9.5,9.5,9.5,2400,0
DFTK.DE,D,20150728,000000,9.8,10.1,9.8,9.9,8116,0
DFTK.DE,D,20150729,000000,10,10,9.5,9.5,2920,0
DFTK.DE,D,20150730,000000,9.42,9.43,9.4,9.4,1680,0
DFTK.DE,D,20150731,000000,9.21,9.95,9.21,9.95,5180,0
DFTK.DE,D,20150803,000000,9.7,9.7,9.5,9.5,4750,0
DFTK.DE,D,20150806,000000,9,9,9,9,1406,0
DFTK.DE,D,20150807,000000,8.8,9.09,8.6,8.99,2580,0
DFTK.DE,D,20150810,000000,9.24,9.74,9.24,9.74,2325,0
DFTK.DE,D,20150812,000000,8.9,9.4,8.9,9.4,3000,0
DFTK.DE,D,20150813,000000,9,9,8.9,8.9,2100,0
DFTK.DE,D,20150814,000000,9.29,9.29,9,9,2109,0
DFTK.DE,D,20150817,000000,8.8,8.8,8.8,8.8,173,0
DFTK.DE,D,20150818,000000,8.6,8.6,7.9,7.9,8124,0
DFTK.DE,D,20150819,000000,7.8,8,7.7,7.7,1820,0
DFTK.DE,D,20150820,000000,7.57,7.57,7,7,3310,0
DFTK.DE,D,20150821,000000,6,6.8,6,6.8,1410,0
DFTK.DE,D,20150824,000000,7.5,7.5,7.5,7.5,600,0
DFTK.DE,D,20150825,000000,6,6.8,6,6.8,1120,0
DFTK.DE,D,20150831,000000,6.41,6.41,6.26,6.26,2881,0
DFTK.DE,D,20150901,000000,6.8,6.8,5.5,6.2,7001,0
DFTK.DE,D,20150902,000000,6.19,6.35,6.19,6.3,3200,0
DFTK.DE,D,20150903,000000,6,6.35,6,6.35,248,0
DFTK.DE,D,20150908,000000,6.2,6.2,6.2,6.2,500,0
DFTK.DE,D,20150910,000000,5.83,5.9,5.83,5.9,2600,0
DFTK.DE,D,20150911,000000,6.3,7.6,6.3,7.6,11915,0
DFTK.DE,D,20150914,000000,7.61,7.61,7.5,7.5,4381,0
DFTK.DE,D,20150915,000000,7.94,7.95,7.9,7.9,1734,0
DFTK.DE,D,20150916,000000,7.9,8.15,7.9,8.15,1508,0
DFTK.DE,D,20150917,000000,7.75,7.75,7.41,7.41,3085,0
DFTK.DE,D,20150918,000000,7.31,7.31,7.3,7.3,315,0
DFTK.DE,D,20150921,000000,7,7,5.83,6.1,11654,0
DFTK.DE,D,20150922,000000,6.01,6.01,6,6,2242,0
