<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGEN.DE,D,20210628,000000,6.7,6.763,6.694,6.763,75,0
DGEN.DE,D,20210629,000000,6.781,6.822,6.781,6.814,10,0
DGEN.DE,D,20210630,000000,6.827,6.827,6.782,6.797,3500,0
DGEN.DE,D,20210701,000000,6.851,6.851,6.749,6.749,5,0
DGEN.DE,D,20210702,000000,6.773,6.805,6.748,6.748,2044,0
DGEN.DE,D,20210705,000000,6.772,6.809,6.772,6.793,386,0
DGEN.DE,D,20210706,000000,6.782,6.839,6.782,6.797,443,0
DGEN.DE,D,20210707,000000,6.798,6.841,6.752,6.752,724,0
DGEN.DE,D,20210708,000000,6.7,6.7,6.577,6.625,1449,0
DGEN.DE,D,20210709,000000,6.68,6.698,6.68,6.698,0,0
DGEN.DE,D,20210712,000000,6.739,6.791,6.739,6.788,1400,0
DGEN.DE,D,20210713,000000,6.834,6.835,6.792,6.792,2106,0
DGEN.DE,D,20210714,000000,6.74,6.753,6.671,6.671,1227,0
DGEN.DE,D,20210715,000000,6.605,6.605,6.557,6.576,375,0
DGEN.DE,D,20210716,000000,6.561,6.561,6.512,6.512,0,0
DGEN.DE,D,20210719,000000,6.418,6.42,6.351,6.381,50,0
DGEN.DE,D,20210720,000000,6.425,6.495,6.405,6.495,0,0
DGEN.DE,D,20210721,000000,6.567,6.656,6.567,6.656,2094,0
DGEN.DE,D,20210722,000000,6.721,6.746,6.663,6.663,150,0
DGEN.DE,D,20210723,000000,6.776,6.776,6.706,6.711,169,0
DGEN.DE,D,20210726,000000,6.671,6.711,6.671,6.689,877,0
DGEN.DE,D,20210727,000000,6.648,6.652,6.526,6.526,0,0
DGEN.DE,D,20210728,000000,6.618,6.665,6.598,6.665,1930,0
DGEN.DE,D,20210729,000000,6.74,6.774,6.74,6.752,250,0
DGEN.DE,D,20210730,000000,6.692,6.753,6.692,6.745,100,0
DGEN.DE,D,20210802,000000,6.82,6.822,6.78,6.78,100,0
DGEN.DE,D,20210803,000000,6.764,6.793,6.764,6.793,0,0
DGEN.DE,D,20210804,000000,6.837,6.899,6.837,6.857,53,0
DGEN.DE,D,20210805,000000,6.827,6.853,6.827,6.853,733,0
DGEN.DE,D,20210806,000000,6.86,6.9,6.86,6.891,375,0
DGEN.DE,D,20210809,000000,6.86,6.992,6.86,6.992,0,0
DGEN.DE,D,20210810,000000,7.042,7.103,7.042,7.082,1190,0
DGEN.DE,D,20210811,000000,7.112,7.128,6.981,6.981,358,0
DGEN.DE,D,20210812,000000,7.022,7.045,6.967,6.967,966,0
DGEN.DE,D,20210813,000000,6.971,6.986,6.839,6.839,433,0
DGEN.DE,D,20210816,000000,6.731,6.756,6.688,6.703,186,0
DGEN.DE,D,20210817,000000,6.615,6.615,6.524,6.524,1862,0
DGEN.DE,D,20210818,000000,6.579,6.666,6.579,6.63,220,0
DGEN.DE,D,20210819,000000,6.582,6.582,6.523,6.523,503,0
DGEN.DE,D,20210820,000000,6.518,6.555,6.462,6.555,4000,0
DGEN.DE,D,20210823,000000,6.587,6.69,6.587,6.675,473,0
DGEN.DE,D,20210824,000000,6.755,6.822,6.755,6.772,492,0
