<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIC.DE,D,20130826,000000,5.581407,5.674978,5.474569,5.586295,13121,0
DIC.DE,D,20130827,000000,5.586295,5.62121,5.370525,5.370525,26386,0
DIC.DE,D,20130828,000000,5.321644,5.321644,5.055597,5.237152,78251,0
DIC.DE,D,20130829,000000,5.251117,5.305584,5.200841,5.202237,22859,0
DIC.DE,D,20130830,000000,5.237152,5.293713,5.132409,5.174306,51454,0
DIC.DE,D,20130902,000000,5.174306,5.36424,5.174306,5.299998,75748,0
DIC.DE,D,20130903,000000,5.341895,5.411723,5.272764,5.272764,52417,0
DIC.DE,D,20130904,000000,5.412422,5.508785,5.390775,5.425689,42296,0
DIC.DE,D,20130905,000000,5.467586,5.467586,5.369826,5.376809,20803,0
DIC.DE,D,20130906,000000,5.376809,5.418008,5.320946,5.376809,25148,0
DIC.DE,D,20130909,000000,5.334912,5.376111,5.299299,5.341895,17849,0
DIC.DE,D,20130910,000000,5.355861,5.530432,5.355861,5.530432,38678,0
DIC.DE,D,20130911,000000,5.474569,5.530432,5.446638,5.481552,66796,0
DIC.DE,D,20130912,000000,5.509484,5.572329,5.481552,5.572329,28334,0
DIC.DE,D,20130913,000000,5.530432,5.578614,5.446638,5.551381,54429,0
DIC.DE,D,20130916,000000,5.582804,5.691038,5.517165,5.691038,58782,0
DIC.DE,D,20130917,000000,5.656124,5.688943,5.570933,5.658917,51409,0
DIC.DE,D,20130918,000000,5.651934,5.663107,5.586295,5.586295,50911,0
DIC.DE,D,20130919,000000,5.649141,5.649141,5.55976,5.605847,43361,0
DIC.DE,D,20130920,000000,5.558364,5.586295,5.410327,5.410327,54394,0
DIC.DE,D,20130923,000000,5.390775,5.582804,5.390775,5.582804,77968,0
DIC.DE,D,20130924,000000,5.617718,5.649141,5.550683,5.636572,29995,0
DIC.DE,D,20130925,000000,5.649141,5.655426,5.595373,5.655426,21909,0
DIC.DE,D,20130926,000000,5.656124,5.742711,5.614925,5.656124,60392,0
DIC.DE,D,20130927,000000,5.62121,5.691038,5.614227,5.691038,22126,0
DIC.DE,D,20130930,000000,5.649141,5.691038,5.621908,5.691038,30409,0
DIC.DE,D,20131001,000000,5.692435,5.716177,5.611434,5.716177,45326,0
DIC.DE,D,20131002,000000,5.691038,5.711987,5.651934,5.656124,28339,0
DIC.DE,D,20131003,000000,5.67009,5.67009,5.589088,5.610735,6639,0
DIC.DE,D,20131004,000000,5.594675,5.656124,5.530432,5.530432,28733,0
DIC.DE,D,20131007,000000,5.56395,5.56395,5.459905,5.514372,37767,0
DIC.DE,D,20131008,000000,5.498311,5.531829,5.383792,5.383792,38671,0
DIC.DE,D,20131009,000000,5.410327,5.445241,5.364938,5.370525,71870,0
DIC.DE,D,20131010,000000,5.356559,5.481552,5.356559,5.40893,99570,0
DIC.DE,D,20131011,000000,5.467586,5.545795,5.408232,5.474569,58580,0
DIC.DE,D,20131014,000000,5.521355,5.521355,5.439655,5.460604,13608,0
DIC.DE,D,20131015,000000,5.474569,5.481552,5.397758,5.464095,60832,0
DIC.DE,D,20131016,000000,5.434069,5.481552,5.402646,5.457112,68112,0
DIC.DE,D,20131017,000000,5.424293,5.481552,5.41312,5.467586,36827,0
DIC.DE,D,20131018,000000,5.44594,5.640762,5.44594,5.640762,95137,0
DIC.DE,D,20131021,000000,5.656124,5.666598,5.598166,5.666598,31076,0
DIC.DE,D,20131022,000000,5.663107,5.725953,5.656124,5.706401,96096,0
DIC.DE,D,20131023,000000,5.691038,5.704306,5.649141,5.704306,37374,0
DIC.DE,D,20131024,000000,5.709194,5.760169,5.656124,5.732935,263846,0
DIC.DE,D,20131025,000000,5.746901,5.746901,5.688245,5.725953,39069,0
DIC.DE,D,20131028,000000,5.757375,5.757375,5.718271,5.725953,136866,0
DIC.DE,D,20131029,000000,5.725953,5.739918,5.67009,5.725953,95626,0
DIC.DE,D,20131030,000000,5.739918,5.753884,5.682659,5.691038,80022,0
DIC.DE,D,20131031,000000,5.695228,5.698021,5.644253,5.691038,25206,0
DIC.DE,D,20131101,000000,5.739918,5.760867,5.688245,5.760867,31377,0
DIC.DE,D,20131104,000000,5.760867,5.760867,5.711987,5.760867,59472,0
DIC.DE,D,20131105,000000,5.760867,5.760867,5.746901,5.753884,68898,0
DIC.DE,D,20131106,000000,5.764358,5.764358,5.691038,5.697323,50166,0
DIC.DE,D,20131107,000000,5.691038,5.725953,5.530432,5.598166,68533,0
DIC.DE,D,20131108,000000,5.600261,5.635175,5.549286,5.565347,33721,0
DIC.DE,D,20131111,000000,5.524846,5.648443,5.524846,5.648443,20638,0
DIC.DE,D,20131112,000000,5.649141,5.649141,5.570235,5.570235,24288,0
DIC.DE,D,20131113,000000,5.460604,5.460604,5.181289,5.272764,334807,0
DIC.DE,D,20131114,000000,5.146374,5.167323,4.971803,5.019286,176111,0
DIC.DE,D,20131115,000000,5.023476,5.023476,4.791645,4.815386,294343,0
DIC.DE,D,20131118,000000,4.832145,4.832145,4.608694,4.761618,516693,0
DIC.DE,D,20131119,000000,4.747653,4.823766,4.685505,4.78955,229987,0
DIC.DE,D,20131120,000000,4.775584,4.831447,4.741368,4.748351,214031,0
DIC.DE,D,20131121,000000,4.644306,4.698773,4.575176,4.624754,706411,0
DIC.DE,D,20131122,000000,4.622659,4.624754,4.538865,4.570288,424583,0
DIC.DE,D,20131125,000000,4.594728,4.713437,4.559813,4.690393,511758,0
DIC.DE,D,20131126,000000,4.713437,4.737178,4.678522,4.709945,234271,0
DIC.DE,D,20131127,000000,4.713437,4.725307,4.622659,4.684807,153491,0
DIC.DE,D,20131128,000000,4.657574,4.695979,4.598219,4.622659,189356,0
DIC.DE,D,20131129,000000,4.646401,4.677126,4.595426,4.650591,134074,0
DIC.DE,D,20131202,000000,4.650591,4.678522,4.566796,4.566796,279799,0
DIC.DE,D,20131203,000000,4.577271,4.601711,4.435518,4.469036,380001,0
DIC.DE,D,20131204,000000,4.498364,4.514425,4.368483,4.38594,155262,0
DIC.DE,D,20131205,000000,4.434122,4.489985,4.371974,4.371974,290694,0
DIC.DE,D,20131206,000000,4.420854,4.448088,4.371276,4.420156,199645,0
DIC.DE,D,20131209,000000,4.443898,4.451579,4.400604,4.432725,98972,0
DIC.DE,D,20131210,000000,4.45507,4.476019,4.420854,4.426441,82756,0
DIC.DE,D,20131211,000000,4.457864,4.517916,4.427139,4.427139,123677,0
DIC.DE,D,20131212,000000,4.434122,4.448088,4.371974,4.388733,100024,0
DIC.DE,D,20131213,000000,4.457864,4.462053,4.371276,4.399906,118661,0
DIC.DE,D,20131216,000000,4.399207,4.451579,4.371974,4.4432,67444,0
DIC.DE,D,20131217,000000,4.447389,4.448088,4.406889,4.425742,76357,0
DIC.DE,D,20131218,000000,4.435518,4.500459,4.399207,4.494873,161451,0
DIC.DE,D,20131219,000000,4.538865,4.5654,4.501157,4.508839,155698,0
DIC.DE,D,20131220,000000,4.515821,4.584253,4.503252,4.584253,265833,0
DIC.DE,D,20131223,000000,4.600314,4.640116,4.589141,4.617073,119959,0
DIC.DE,D,20131227,000000,4.615676,4.713437,4.615676,4.679221,222822,0
DIC.DE,D,20131230,000000,4.699471,4.699471,4.671539,4.671539,34573,0
DIC.DE,D,20140102,000000,4.672238,4.688298,4.615676,4.653384,80488,0
DIC.DE,D,20140103,000000,4.635228,4.678522,4.635228,4.663858,41591,0
DIC.DE,D,20140106,000000,4.699471,4.741368,4.671539,4.679919,263656,0
DIC.DE,D,20140107,000000,4.702264,4.723911,4.681315,4.713437,127778,0
DIC.DE,D,20140108,000000,4.734385,4.776282,4.728799,4.7693,168217,0
DIC.DE,D,20140109,000000,4.776282,4.832145,4.762317,4.783265,154322,0
DIC.DE,D,20140110,000000,4.804214,4.811197,4.748351,4.774188,122874,0
DIC.DE,D,20140113,000000,4.797231,4.844714,4.7693,4.832145,104394,0
DIC.DE,D,20140114,000000,4.823766,4.825162,4.699471,4.747653,136360,0
DIC.DE,D,20140115,000000,4.790248,4.8098,4.763015,4.798628,120820,0
DIC.DE,D,20140116,000000,4.811197,4.872646,4.790248,4.872646,171860,0
DIC.DE,D,20140117,000000,4.874043,4.920828,4.814688,4.920129,246316,0
DIC.DE,D,20140120,000000,4.94457,4.957837,4.888008,4.939682,167785,0
DIC.DE,D,20140121,000000,4.96482,4.971803,4.874043,4.888008,151465,0
DIC.DE,D,20140122,000000,4.922923,4.928509,4.839128,4.85868,113804,0
DIC.DE,D,20140123,000000,4.864267,4.922923,4.853094,4.853094,95188,0
DIC.DE,D,20140124,000000,4.881025,4.886612,4.734385,4.734385,163543,0
DIC.DE,D,20140127,000000,4.706454,4.748351,4.671539,4.692488,117598,0
DIC.DE,D,20140128,000000,4.693186,4.765808,4.693186,4.720419,87292,0
DIC.DE,D,20140129,000000,4.75673,4.783265,4.629642,4.685505,203505,0
DIC.DE,D,20140130,000000,4.692488,4.713437,4.656177,4.657574,89519,0
DIC.DE,D,20140131,000000,4.663858,4.685505,4.602409,4.659668,99054,0
DIC.DE,D,20140203,000000,4.698074,4.755334,4.643608,4.643608,149870,0
DIC.DE,D,20140204,000000,4.664556,4.727402,4.594728,4.725307,91101,0
DIC.DE,D,20140205,000000,4.741368,4.741368,4.652686,4.677126,115503,0
DIC.DE,D,20140206,000000,4.726006,4.776282,4.693186,4.765808,117074,0
DIC.DE,D,20140207,000000,4.776282,4.873344,4.7693,4.841223,92715,0
DIC.DE,D,20140210,000000,4.863568,4.863568,4.768601,4.81818,92908,0
DIC.DE,D,20140211,000000,4.81818,4.846111,4.790248,4.81818,173420,0
DIC.DE,D,20140212,000000,4.839128,4.846111,4.811197,4.825162,87095,0
DIC.DE,D,20140213,000000,4.853094,4.853094,4.790248,4.839128,34344,0
DIC.DE,D,20140214,000000,4.846111,4.846111,4.7693,4.817481,161085,0
DIC.DE,D,20140217,000000,4.81818,4.846111,4.790946,4.839826,81235,0
DIC.DE,D,20140218,000000,4.825162,4.874043,4.807007,4.816085,97504,0
DIC.DE,D,20140219,000000,4.835637,4.839128,4.801421,4.827257,70555,0
DIC.DE,D,20140220,000000,4.803516,4.828654,4.790248,4.814688,56983,0
DIC.DE,D,20140221,000000,4.79374,4.81399,4.755334,4.806309,123480,0
DIC.DE,D,20140224,000000,4.804214,4.832145,4.724609,4.737877,93909,0
DIC.DE,D,20140225,000000,4.748351,4.823068,4.748351,4.81818,44981,0
DIC.DE,D,20140226,000000,4.825162,4.826559,4.776282,4.826559,22507,0
DIC.DE,D,20140227,000000,4.826559,4.826559,4.715531,4.783964,111324,0
DIC.DE,D,20140228,000000,4.783265,4.783265,4.735782,4.773489,86128,0
DIC.DE,D,20140303,000000,4.678522,4.73648,4.653384,4.678522,105411,0
DIC.DE,D,20140304,000000,4.682014,4.748351,4.677824,4.746256,68826,0
DIC.DE,D,20140305,000000,4.720419,4.748351,4.681315,4.705755,52544,0
DIC.DE,D,20140306,000000,4.734385,4.741368,4.685505,4.685505,100546,0
DIC.DE,D,20140307,000000,4.698773,4.734385,4.64291,4.670143,98914,0
DIC.DE,D,20140310,000000,4.694583,4.727402,4.636625,4.666651,58032,0
DIC.DE,D,20140311,000000,4.692488,4.699471,4.651987,4.676427,49352,0
DIC.DE,D,20140312,000000,4.665255,4.679919,4.615676,4.615676,158352,0
DIC.DE,D,20140313,000000,4.615676,4.649892,4.573779,4.573779,62604,0
DIC.DE,D,20140314,000000,4.531882,4.584952,4.495571,4.538865,111377,0
DIC.DE,D,20140317,000000,4.570288,4.713437,4.545848,4.713437,74821,0
DIC.DE,D,20140318,000000,4.727402,4.762317,4.623358,4.715531,150195,0
DIC.DE,D,20140319,000000,4.734385,4.748351,4.692488,4.692488,135547,0
DIC.DE,D,20140320,000000,4.692488,4.720419,4.594728,4.635927,192445,0
DIC.DE,D,20140324,000000,4.615676,4.699471,4.615676,4.671539,88754,0
DIC.DE,D,20140325,000000,4.65478,4.706454,4.631737,4.670143,69263,0
DIC.DE,D,20140326,000000,4.678522,4.678522,4.626151,4.640116,106380,0
DIC.DE,D,20140327,000000,4.671539,4.671539,4.622659,4.657574,67978,0
DIC.DE,D,20140328,000000,4.678522,4.686203,4.658272,4.672936,75320,0
DIC.DE,D,20140331,000000,4.706454,4.726704,4.663858,4.6876,163846,0
DIC.DE,D,20140401,000000,4.668048,4.688298,4.665953,4.678522,74969,0
DIC.DE,D,20140402,000000,4.665953,4.779774,4.665953,4.692488,180859,0
DIC.DE,D,20140403,000000,4.673634,4.71204,4.664556,4.668048,96649,0
DIC.DE,D,20140404,000000,4.678522,4.71204,4.657574,4.678522,355075,0
DIC.DE,D,20140407,000000,4.675031,4.803516,4.674332,4.800024,190836,0
DIC.DE,D,20140408,000000,4.776282,4.800722,4.692488,4.718325,93218,0
DIC.DE,D,20140409,000000,4.741368,4.853094,4.728799,4.853094,125433,0
DIC.DE,D,20140410,000000,4.853094,4.950156,4.851697,4.906164,142579,0
DIC.DE,D,20140411,000000,4.894991,4.902672,4.848904,4.888008,135242,0
DIC.DE,D,20140414,000000,4.846111,4.885215,4.78536,4.800722,85367,0
DIC.DE,D,20140415,000000,4.783265,4.790946,4.723911,4.727402,99103,0
DIC.DE,D,20140416,000000,4.731592,4.776282,4.727402,4.748351,61284,0
DIC.DE,D,20140417,000000,4.776282,4.839128,4.756032,4.811895,50399,0
DIC.DE,D,20140422,000000,4.845413,4.922224,4.841223,4.904069,125053,0
DIC.DE,D,20140423,000000,5.020683,5.154056,4.957837,5.050709,531507,0
DIC.DE,D,20140424,000000,5.096098,5.098193,4.978786,5.046519,183524,0
DIC.DE,D,20140425,000000,5.059089,5.083529,5.027666,5.027666,99584,0
DIC.DE,D,20140428,000000,5.029062,5.083529,5.027666,5.068166,117930,0
DIC.DE,D,20140429,000000,5.06677,5.076546,4.957837,4.961328,140519,0
DIC.DE,D,20140430,000000,4.997639,5.020683,4.951552,4.952251,34419,0
DIC.DE,D,20140502,000000,4.998338,5.013002,4.955742,4.992751,55257,0
DIC.DE,D,20140505,000000,5.022778,5.041631,4.922923,4.957837,93202,0
DIC.DE,D,20140506,000000,4.992751,5.006019,4.961328,4.973898,41125,0
DIC.DE,D,20140507,000000,4.971803,4.972501,4.91594,4.943173,72422,0
DIC.DE,D,20140508,000000,4.96482,5.035347,4.957139,5.035347,129403,0
DIC.DE,D,20140509,000000,5.020683,5.027666,4.98926,5.0137,60640,0
DIC.DE,D,20140512,000000,5.0137,5.083529,5.007415,5.040235,139589,0
DIC.DE,D,20140513,000000,5.076546,5.181289,5.076546,5.112857,292814,0
DIC.DE,D,20140514,000000,5.146374,5.207824,5.112857,5.207824,168313,0
DIC.DE,D,20140515,000000,5.230169,5.2581,5.16034,5.198048,268529,0
DIC.DE,D,20140516,000000,5.167323,5.202237,5.073753,5.126124,192844,0
DIC.DE,D,20140519,000000,5.16034,5.179194,5.132409,5.132409,85451,0
DIC.DE,D,20140520,000000,5.161038,5.202237,5.121934,5.146374,129295,0
DIC.DE,D,20140521,000000,5.16034,5.162435,5.132409,5.159642,82434,0
DIC.DE,D,20140522,000000,5.181289,5.221091,5.175004,5.195255,184745,0
DIC.DE,D,20140523,000000,5.202237,5.293015,5.202237,5.289523,206382,0
DIC.DE,D,20140526,000000,5.342593,5.394266,5.324438,5.376809,190086,0
DIC.DE,D,20140527,000000,5.390775,5.410327,5.355861,5.376809,221513,0
DIC.DE,D,20140528,000000,5.376809,5.411723,5.355861,5.410327,237902,0
DIC.DE,D,20140529,000000,5.397758,5.46619,5.376809,5.447336,86682,0
DIC.DE,D,20140530,000000,5.460604,5.516466,5.446638,5.491328,156058,0
DIC.DE,D,20140602,000000,5.509484,5.551381,5.499708,5.518561,183424,0
DIC.DE,D,20140603,000000,5.547889,5.554174,5.348179,5.432672,298030,0
DIC.DE,D,20140604,000000,5.447336,5.454319,5.313963,5.341895,184312,0
DIC.DE,D,20140605,000000,5.375413,5.406835,5.353766,5.362843,236716,0
DIC.DE,D,20140606,000000,5.396361,5.471776,5.376809,5.411723,258444,0
DIC.DE,D,20140609,000000,5.432672,5.460604,5.411723,5.434069,68114,0
DIC.DE,D,20140610,000000,5.453621,5.474569,5.415215,5.418706,115661,0
DIC.DE,D,20140611,000000,5.429181,5.429181,5.34399,5.373318,163427,0
DIC.DE,D,20140612,000000,5.390775,5.390775,5.355162,5.376809,84501,0
DIC.DE,D,20140613,000000,5.405439,5.405439,5.341895,5.372619,115145,0
DIC.DE,D,20140616,000000,5.481552,5.481552,5.374016,5.397758,123860,0
DIC.DE,D,20140617,000000,5.438957,5.477362,5.405439,5.425689,164613,0
DIC.DE,D,20140618,000000,5.404741,5.446638,5.399154,5.399154,129607,0
DIC.DE,D,20140619,000000,5.43756,5.536717,5.432672,5.536717,201982,0
DIC.DE,D,20140620,000000,5.558364,5.582804,5.503199,5.540208,252709,0
DIC.DE,D,20140623,000000,5.579312,5.698021,5.558364,5.695228,238844,0
DIC.DE,D,20140624,000000,5.691038,5.724556,5.597468,5.635175,176695,0
DIC.DE,D,20140625,000000,5.600261,5.64146,5.503199,5.549984,200011,0
DIC.DE,D,20140626,000000,5.589787,5.614227,5.556269,5.556269,117374,0
DIC.DE,D,20140627,000000,5.537415,5.605149,5.53532,5.53532,124950,0
