<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DX2J.DE,D,20080206,000000,18.06,18.06,18.02,18.02,390,0
DX2J.DE,D,20080207,000000,18.16,18.16,17.7,17.83,585,0
DX2J.DE,D,20080208,000000,17.83,17.83,17.83,17.83,585,0
DX2J.DE,D,20080211,000000,17.84,17.84,17.84,17.84,141,0
DX2J.DE,D,20080212,000000,17.84,17.84,17.84,17.84,141,0
DX2J.DE,D,20080213,000000,18.29,18.34,18.29,18.34,325,0
DX2J.DE,D,20080214,000000,18.52,18.52,18.52,18.52,300,0
DX2J.DE,D,20080215,000000,18.52,18.52,18.52,18.52,300,0
DX2J.DE,D,20080218,000000,18.52,18.52,18.52,18.52,0,0
DX2J.DE,D,20080219,000000,18.42,18.42,18.42,18.42,230,0
DX2J.DE,D,20080220,000000,18.25,18.25,18.25,18.25,9800,0
DX2J.DE,D,20080221,000000,18.51,18.7,18.51,18.7,9982,0
DX2J.DE,D,20080222,000000,19,19,18.51,18.51,39955,0
DX2J.DE,D,20080225,000000,18.7,18.7,18.7,18.7,535,0
DX2J.DE,D,20080226,000000,18.85,18.85,18.85,18.85,270,0
DX2J.DE,D,20080227,000000,18.8,18.8,18.8,18.8,1900,0
DX2J.DE,D,20080303,000000,18.45,18.45,18.14,18.14,9099,0
DX2J.DE,D,20080304,000000,18.09,18.09,18.09,18.09,265,0
DX2J.DE,D,20080306,000000,18.26,18.3,18.26,18.3,160,0
DX2J.DE,D,20080307,000000,17.96,17.96,17.85,17.85,1035,0
DX2J.DE,D,20080310,000000,17.7,17.85,17.7,17.85,2250,0
DX2J.DE,D,20080311,000000,17.65,17.65,17.65,17.65,100,0
DX2J.DE,D,20080312,000000,17.93,17.93,17.93,17.93,650,0
DX2J.DE,D,20080317,000000,17.1,17.1,17.1,17.1,650,0
DX2J.DE,D,20080327,000000,17.81,17.81,17.8,17.8,2210,0
DX2J.DE,D,20080328,000000,17.78,17.78,17.74,17.74,1320,0
DX2J.DE,D,20080331,000000,18,18,17.64,17.64,683,0
DX2J.DE,D,20080401,000000,17.86,17.86,17.86,17.86,145,0
DX2J.DE,D,20080403,000000,18.15,18.15,18.15,18.15,1250,0
DX2J.DE,D,20080404,000000,18.23,18.23,18.23,18.23,600,0
DX2J.DE,D,20080407,000000,18.29,18.39,18.29,18.39,860,0
DX2J.DE,D,20080408,000000,18.29,18.29,18.29,18.29,258,0
DX2J.DE,D,20080410,000000,17.77,17.77,17.77,17.77,150,0
DX2J.DE,D,20080411,000000,17.79,17.79,17.77,17.77,410,0
DX2J.DE,D,20080414,000000,17.74,17.74,17.74,17.74,385,0
DX2J.DE,D,20080417,000000,18.02,18.08,17.97,17.97,2470,0
DX2J.DE,D,20080418,000000,18.35,18.35,18.35,18.35,55,0
DX2J.DE,D,20080421,000000,18.28,18.28,18.14,18.14,259,0
DX2J.DE,D,20080422,000000,18.1,18.1,18.1,18.1,530,0
DX2J.DE,D,20080423,000000,18.1,18.13,18.1,18.13,1098,0
DX2J.DE,D,20080424,000000,18.5,18.5,18.03,18.03,2430,0
DX2J.DE,D,20080425,000000,18.31,18.31,18.31,18.31,220,0
DX2J.DE,D,20080428,000000,18.36,18.39,18.36,18.39,944,0
DX2J.DE,D,20080429,000000,18.6,18.6,18.26,18.26,766,0
DX2J.DE,D,20080430,000000,18.51,18.51,18.51,18.51,479,0
DX2J.DE,D,20080502,000000,18.54,18.67,18.54,18.65,717,0
DX2J.DE,D,20080505,000000,18.69,18.69,18.69,18.69,1099,0
DX2J.DE,D,20080507,000000,18.81,18.81,18.81,18.81,214,0
DX2J.DE,D,20080508,000000,18.87,18.95,18.87,18.95,1620,0
DX2J.DE,D,20080509,000000,18.85,18.85,18.77,18.82,414,0
DX2J.DE,D,20080512,000000,18.98,18.98,18.98,18.98,2750,0
DX2J.DE,D,20080514,000000,18.82,18.82,18.82,18.82,429,0
DX2J.DE,D,20080515,000000,18.88,18.88,18.88,18.88,300,0
DX2J.DE,D,20080516,000000,18.98,19.14,18.98,19.05,4250,0
DX2J.DE,D,20080519,000000,19.1,19.23,19.1,19.23,105,0
DX2J.DE,D,20080520,000000,19.17,19.17,19,19,1590,0
DX2J.DE,D,20080521,000000,18.93,18.93,18.85,18.85,2640,0
DX2J.DE,D,20080522,000000,18.8,18.8,18.8,18.8,393,0
DX2J.DE,D,20080523,000000,18.79,18.79,18.76,18.76,2140,0
DX2J.DE,D,20080526,000000,18.66,18.7,18.6,18.6,3775,0
DX2J.DE,D,20080527,000000,18.63,18.63,18.63,18.63,222,0
DX2J.DE,D,20080528,000000,18.52,18.58,18.52,18.58,1070,0
DX2J.DE,D,20080529,000000,18.66,18.66,18.66,18.66,3580,0
DX2J.DE,D,20080602,000000,18.51,18.51,18.51,18.51,270,0
DX2J.DE,D,20080603,000000,18.61,18.61,18.61,18.61,392,0
DX2J.DE,D,20080604,000000,18.69,18.69,18.51,18.55,2293,0
DX2J.DE,D,20080605,000000,18.61,18.68,18.61,18.66,804,0
DX2J.DE,D,20080606,000000,18.75,18.76,18.39,18.39,5284,0
DX2J.DE,D,20080609,000000,18.48,18.48,18.25,18.25,901,0
DX2J.DE,D,20080610,000000,18.22,18.22,18.06,18.09,3041,0
DX2J.DE,D,20080611,000000,18.05,18.05,17.8,17.8,895,0
DX2J.DE,D,20080612,000000,17.8,17.83,17.75,17.83,2122,0
DX2J.DE,D,20080613,000000,17.83,17.83,17.83,17.83,27,0
DX2J.DE,D,20080616,000000,18,18.6,18,18.6,197,0
DX2J.DE,D,20080617,000000,18.07,18.75,18.07,18.17,538,0
DX2J.DE,D,20080618,000000,17.9,17.9,17.76,17.76,2042,0
DX2J.DE,D,20080619,000000,17.8,17.8,17.8,17.8,565,0
DX2J.DE,D,20080620,000000,17.41,17.41,17.41,17.41,827,0
DX2J.DE,D,20080624,000000,17.36,17.36,17,17,950,0
DX2J.DE,D,20080625,000000,17.19,17.19,17.19,17.19,170,0
