<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DXS1.DE,D,20080130,000000,227.114443,227.114443,227.114443,227.114443,0,0
DXS1.DE,D,20080131,000000,226.236558,226.236558,226.236558,226.236558,20,0
DXS1.DE,D,20080201,000000,226.236558,226.236558,226.236558,226.236558,20,0
DXS1.DE,D,20080204,000000,225.253709,225.253709,225.253709,225.253709,4,0
DXS1.DE,D,20080205,000000,225.520892,225.520892,225.520892,225.520892,660,0
DXS1.DE,D,20080206,000000,226.532367,226.532367,226.532367,226.532367,660,0
DXS1.DE,D,20080207,000000,226.532367,226.532367,226.532367,226.532367,660,0
DXS1.DE,D,20080208,000000,226.532367,226.532367,226.532367,226.532367,0,0
DXS1.DE,D,20080211,000000,225.664025,225.664025,225.664025,225.664025,11,0
DXS1.DE,D,20080212,000000,227.534301,227.534301,227.534301,227.534301,3,0
DXS1.DE,D,20080213,000000,227.534301,227.534301,227.534301,227.534301,3,0
DXS1.DE,D,20080214,000000,228.583945,228.583945,228.583945,228.583945,4,0
DXS1.DE,D,20080215,000000,228.583945,228.583945,228.583945,228.583945,4,0
DXS1.DE,D,20080218,000000,228.583945,228.583945,228.583945,228.583945,0,0
DXS1.DE,D,20080219,000000,224.070474,224.070474,224.070474,224.070474,20,0
DXS1.DE,D,20080220,000000,224.070474,224.070474,224.070474,224.070474,20,0
DXS1.DE,D,20080221,000000,224.070474,224.070474,224.070474,224.070474,0,0
DXS1.DE,D,20080222,000000,224.929274,224.929274,224.929274,224.929274,20,0
DXS1.DE,D,20080225,000000,225.139203,225.139203,224.986527,224.986527,78,0
DXS1.DE,D,20080226,000000,224.986527,224.986527,224.986527,224.986527,78,0
DXS1.DE,D,20080227,000000,224.986527,224.986527,224.986527,224.986527,0,0
DXS1.DE,D,20080228,000000,222.620056,222.620056,222.620056,222.620056,85,0
DXS1.DE,D,20080303,000000,222.419669,222.419669,222.419669,222.419669,5045,0
DXS1.DE,D,20080306,000000,221.188722,221.188722,221.188722,221.188722,50,0
DXS1.DE,D,20080307,000000,222.419669,222.419669,222.419669,222.419669,350,0
DXS1.DE,D,20080311,000000,222.438754,222.438754,222.438754,222.438754,39,0
