<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
E903.DE,D,20151130,000000,146.265191,146.265191,146.265191,146.265191,0,0
E903.DE,D,20151201,000000,145.269133,145.269133,145.269133,145.269133,0,0
E903.DE,D,20151202,000000,144.172555,144.172555,144.172555,144.172555,0,0
E903.DE,D,20151203,000000,139.082607,139.082607,139.082607,139.082607,0,0
E903.DE,D,20151204,000000,139.987284,139.987284,138.698805,138.698805,30,0
E903.DE,D,20151207,000000,140.069527,141.787499,140.069527,140.297981,707,0
E903.DE,D,20151208,000000,139.85935,139.85935,137.163596,137.163596,563,0
E903.DE,D,20151209,000000,138.049996,138.049996,136.834623,136.834623,15,0
E903.DE,D,20151210,000000,137.072215,137.583951,136.642722,136.743241,220,0
E903.DE,D,20151211,000000,136.862037,136.862037,133.115397,133.243331,72,0
E903.DE,D,20151214,000000,132.503141,132.521417,130.282571,130.282571,242,0
E903.DE,D,20151215,000000,132.987463,134.257665,132.987463,134.257665,127,0
E903.DE,D,20151216,000000,134.349047,134.668882,134.349047,134.668882,10,0
E903.DE,D,20151217,000000,138.927259,138.927259,138.150516,138.150516,300,0
E903.DE,D,20151218,000000,136.597031,136.597031,136.597031,136.597031,0,0
E903.DE,D,20151221,000000,137.035662,138.342417,135.354243,135.354243,264,0
E903.DE,D,20151222,000000,135.555282,135.555282,135.555282,135.555282,0,0
E903.DE,D,20151223,000000,138.342417,138.342417,138.342417,138.342417,0,0
E903.DE,D,20151228,000000,137.264116,137.264116,137.264116,137.264116,0,0
E903.DE,D,20151229,000000,139.036916,139.804521,139.036916,139.804521,100,0
E903.DE,D,20151230,000000,139.228817,139.228817,138.269312,138.269312,200,0
E903.DE,D,20160104,000000,134.202836,134.202836,132.165029,132.165029,892,0
E903.DE,D,20160105,000000,133.398679,133.398679,130.748616,131.927437,272,0
E903.DE,D,20160106,000000,130.145499,130.712064,129.981012,130.712064,126,0
E903.DE,D,20160107,000000,126.800937,127.595955,126.800937,127.595955,18,0
E903.DE,D,20160108,000000,127.851824,127.851824,125.786602,125.786602,70,0
E903.DE,D,20160111,000000,126.216095,127.714751,126.161266,126.161266,361,0
E903.DE,D,20160112,000000,127.62337,127.62337,127.62337,127.62337,8,0
E903.DE,D,20160113,000000,129.039783,129.039783,127.76958,127.76958,35,0
