<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECR3.DE,D,20191212,000000,49.964,49.967,49.955,49.955,0,0
ECR3.DE,D,20191213,000000,49.956,50.046,49.956,50,0,0
ECR3.DE,D,20191216,000000,49.991,49.997,49.991,49.997,0,0
ECR3.DE,D,20191217,000000,50.008,50.01,50.008,50.01,0,0
ECR3.DE,D,20191218,000000,50.01,50.01,49.991,49.999,0,0
ECR3.DE,D,20191219,000000,50.006,50.008,50.006,50.008,0,0
ECR3.DE,D,20191220,000000,50.004,50.036,50.004,50.036,0,0
ECR3.DE,D,20191223,000000,50.042,50.042,50.016,50.016,0,0
ECR3.DE,D,20191227,000000,49.997,50.036,49.997,50.014,2500,0
ECR3.DE,D,20191230,000000,50,50,49.989,49.989,0,0
ECR3.DE,D,20200102,000000,49.941,49.946,49.938,49.946,0,0
ECR3.DE,D,20200103,000000,49.973,49.973,49.933,49.933,0,0
ECR3.DE,D,20200106,000000,49.932,49.969,49.932,49.948,2017,0
ECR3.DE,D,20200107,000000,49.955,49.976,49.943,49.943,0,0
ECR3.DE,D,20200108,000000,49.95,49.95,49.917,49.944,0,0
ECR3.DE,D,20200109,000000,49.937,49.937,49.931,49.931,0,0
ECR3.DE,D,20200110,000000,49.928,49.93,49.925,49.93,0,0
ECR3.DE,D,20200113,000000,49.927,49.927,49.923,49.923,0,0
ECR3.DE,D,20200114,000000,49.925,49.925,49.925,49.925,0,0
ECR3.DE,D,20200115,000000,49.929,49.934,49.929,49.934,0,0
ECR3.DE,D,20200116,000000,49.939,49.947,49.939,49.947,0,0
ECR3.DE,D,20200117,000000,49.949,49.977,49.949,49.977,0,0
ECR3.DE,D,20200120,000000,49.96,49.963,49.96,49.963,0,0
ECR3.DE,D,20200121,000000,49.959,49.959,49.93,49.934,0,0
ECR3.DE,D,20200122,000000,49.96,49.965,49.96,49.965,0,0
ECR3.DE,D,20200123,000000,49.959,49.959,49.945,49.945,0,0
ECR3.DE,D,20200124,000000,49.945,49.954,49.945,49.954,0,0
ECR3.DE,D,20200127,000000,49.934,49.935,49.923,49.923,1007,0
ECR3.DE,D,20200128,000000,49.927,49.928,49.927,49.928,0,0
ECR3.DE,D,20200129,000000,49.938,49.969,49.938,49.969,0,0
ECR3.DE,D,20200130,000000,49.967,49.972,49.967,49.972,0,0
ECR3.DE,D,20200131,000000,49.977,49.986,49.977,49.986,0,0
ECR3.DE,D,20200203,000000,49.977,50.042,49.977,50.04,6007,0
ECR3.DE,D,20200204,000000,50.008,50.008,50.002,50.002,0,0
ECR3.DE,D,20200205,000000,50.022,50.022,49.999,49.999,0,0
ECR3.DE,D,20200206,000000,49.999,50,49.999,50,0,0
ECR3.DE,D,20200207,000000,49.999,50.036,49.969,49.969,2014,0
ECR3.DE,D,20200210,000000,50.002,50.002,49.959,50,0,0
ECR3.DE,D,20200211,000000,50.006,50.016,50.006,50.016,0,0
ECR3.DE,D,20200212,000000,50.012,50.042,50.012,50.034,5,0
ECR3.DE,D,20200213,000000,49.989,49.989,49.989,49.989,0,0
ECR3.DE,D,20200214,000000,49.987,49.999,49.987,49.999,0,0
ECR3.DE,D,20200217,000000,50,50.014,49.979,50.012,2005,0
ECR3.DE,D,20200218,000000,50.004,50.006,49.983,49.983,1010,0
ECR3.DE,D,20200219,000000,49.995,49.999,49.995,49.997,0,0
ECR3.DE,D,20200220,000000,49.997,49.999,49.997,49.999,0,0
ECR3.DE,D,20200221,000000,49.993,49.993,49.987,49.993,0,0
ECR3.DE,D,20200224,000000,49.993,49.993,49.949,49.949,11007,0
ECR3.DE,D,20200225,000000,49.914,50.002,49.914,49.997,12022,0
ECR3.DE,D,20200226,000000,49.971,49.971,49.835,49.898,33038,0
ECR3.DE,D,20200227,000000,49.89,49.911,49.884,49.904,4028,0
ECR3.DE,D,20200228,000000,49.885,49.916,49.67,49.916,74132,0
ECR3.DE,D,20200302,000000,49.841,49.95,49.829,49.898,32040,0
ECR3.DE,D,20200303,000000,49.859,49.948,49.859,49.948,0,0
ECR3.DE,D,20200304,000000,49.956,49.974,49.956,49.974,0,0
ECR3.DE,D,20200305,000000,49.964,49.965,49.959,49.965,0,0
ECR3.DE,D,20200306,000000,49.895,49.895,49.8,49.8,0,0
ECR3.DE,D,20200309,000000,49.628,49.628,49.51,49.594,0,0
ECR3.DE,D,20200310,000000,49.574,49.582,49.572,49.582,0,0
ECR3.DE,D,20200311,000000,49.575,49.595,49.555,49.555,0,0
ECR3.DE,D,20200312,000000,49.554,49.554,49.416,49.416,0,0
ECR3.DE,D,20200313,000000,48.924,48.924,48.911,48.911,0,0
ECR3.DE,D,20200316,000000,48.865,48.865,48.796,48.796,1000,0
ECR3.DE,D,20200317,000000,48.792,48.792,48.46,48.46,0,0
ECR3.DE,D,20200318,000000,48.369,48.369,47.513,47.513,0,0
ECR3.DE,D,20200319,000000,47.479,47.479,47.387,47.387,0,0
ECR3.DE,D,20200320,000000,47.368,47.573,47.368,47.566,0,0
ECR3.DE,D,20200323,000000,47.449,47.543,47.424,47.543,0,0
ECR3.DE,D,20200324,000000,47.618,47.999,47.618,47.986,0,0
ECR3.DE,D,20200325,000000,48.198,48.198,48.179,48.179,0,0
