<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EDMJ.DE,D,20190423,000000,4.452,4.485,4.452,4.485,0,0
EDMJ.DE,D,20190424,000000,4.448,4.4545,4.448,4.4545,0,0
EDMJ.DE,D,20190425,000000,4.4925,4.4925,4.486,4.486,0,0
EDMJ.DE,D,20190426,000000,4.492,4.5035,4.492,4.5035,0,0
EDMJ.DE,D,20190429,000000,4.524,4.524,4.5155,4.5155,0,0
EDMJ.DE,D,20190430,000000,4.5105,4.5105,4.5015,4.5015,0,0
EDMJ.DE,D,20190502,000000,4.4945,4.4945,4.488,4.488,0,0
EDMJ.DE,D,20190503,000000,4.498,4.5275,4.498,4.5275,0,0
EDMJ.DE,D,20190506,000000,4.4555,4.4855,4.4555,4.4855,0,0
EDMJ.DE,D,20190507,000000,4.4875,4.4875,4.441,4.441,0,0
EDMJ.DE,D,20190508,000000,4.4155,4.4155,4.3935,4.3935,0,0
EDMJ.DE,D,20190509,000000,4.3665,4.3665,4.3115,4.3115,0,0
EDMJ.DE,D,20190510,000000,4.3625,4.3625,4.3185,4.3185,0,0
EDMJ.DE,D,20190513,000000,4.3545,4.3545,4.2975,4.2975,0,0
EDMJ.DE,D,20190514,000000,4.3305,4.371,4.3305,4.371,0,0
EDMJ.DE,D,20190515,000000,4.3715,4.3735,4.354,4.3735,0,0
EDMJ.DE,D,20190516,000000,4.3685,4.4205,4.3685,4.4205,0,0
EDMJ.DE,D,20190517,000000,4.418,4.418,4.411,4.4145,0,0
EDMJ.DE,D,20190520,000000,4.404,4.404,4.369,4.369,0,0
EDMJ.DE,D,20190521,000000,4.399,4.404,4.3915,4.3915,0,0
EDMJ.DE,D,20190522,000000,4.374,4.374,4.3655,4.368,0,0
EDMJ.DE,D,20190523,000000,4.3655,4.3655,4.34,4.34,0,0
EDMJ.DE,D,20190524,000000,4.385,4.393,4.3755,4.3755,0,0
EDMJ.DE,D,20190527,000000,4.404,4.404,4.399,4.4005,0,0
EDMJ.DE,D,20190528,000000,4.405,4.405,4.3795,4.3795,0,0
EDMJ.DE,D,20190529,000000,4.3705,4.3705,4.36,4.36,0,0
EDMJ.DE,D,20190530,000000,4.375,4.375,4.371,4.371,0,0
EDMJ.DE,D,20190531,000000,4.3355,4.337,4.312,4.337,0,0
EDMJ.DE,D,20190603,000000,4.3315,4.3315,4.329,4.329,0,0
EDMJ.DE,D,20190604,000000,4.2825,4.343,4.2825,4.343,0,0
EDMJ.DE,D,20190605,000000,4.362,4.382,4.362,4.364,0,0
EDMJ.DE,D,20190606,000000,4.371,4.3855,4.354,4.354,0,0
EDMJ.DE,D,20190607,000000,4.374,4.3835,4.374,4.3755,0,0
EDMJ.DE,D,20190611,000000,4.4245,4.435,4.4245,4.4315,0,0
EDMJ.DE,D,20190612,000000,4.3965,4.4095,4.394,4.394,100,0
EDMJ.DE,D,20190613,000000,4.3825,4.4005,4.3825,4.3875,0,0
EDMJ.DE,D,20190614,000000,4.401,4.4015,4.401,4.4015,0,0
EDMJ.DE,D,20190617,000000,4.413,4.4135,4.411,4.411,0,0
EDMJ.DE,D,20190618,000000,4.394,4.452,4.394,4.452,2487,0
EDMJ.DE,D,20190619,000000,4.47,4.47,4.4595,4.4595,0,0
EDMJ.DE,D,20190620,000000,4.4875,4.495,4.4805,4.4805,0,0
EDMJ.DE,D,20190621,000000,4.461,4.461,4.4455,4.4485,5000,0
EDMJ.DE,D,20190624,000000,4.422,4.422,4.407,4.407,0,0
EDMJ.DE,D,20190625,000000,4.4105,4.42,4.4105,4.4115,0,0
EDMJ.DE,D,20190626,000000,4.3935,4.4195,4.3935,4.3945,2504,0
EDMJ.DE,D,20190627,000000,4.422,4.422,4.414,4.415,2488,0
EDMJ.DE,D,20190628,000000,4.4315,4.4345,4.4315,4.4325,0,0
EDMJ.DE,D,20190701,000000,4.522,4.522,4.5155,4.5155,0,0
EDMJ.DE,D,20190702,000000,4.5435,4.5435,4.5315,4.533,2423,0
EDMJ.DE,D,20190703,000000,4.5375,4.559,4.5375,4.559,0,0
EDMJ.DE,D,20190704,000000,4.5595,4.5625,4.558,4.5625,0,0
EDMJ.DE,D,20190705,000000,4.5595,4.5595,4.5475,4.5475,0,0
EDMJ.DE,D,20190708,000000,4.536,4.539,4.536,4.5375,0,0
EDMJ.DE,D,20190709,000000,4.502,4.5035,4.496,4.496,0,0
EDMJ.DE,D,20190710,000000,4.494,4.506,4.494,4.506,0,0
EDMJ.DE,D,20190711,000000,4.533,4.533,4.5125,4.5125,2428,0
EDMJ.DE,D,20190712,000000,4.5,4.5115,4.5,4.5115,0,0
EDMJ.DE,D,20190715,000000,4.5205,4.5235,4.518,4.5235,0,0
EDMJ.DE,D,20190716,000000,4.506,4.5095,4.506,4.5095,0,0
EDMJ.DE,D,20190717,000000,4.518,4.518,4.504,4.504,0,0
EDMJ.DE,D,20190718,000000,4.4425,4.461,4.4425,4.4495,0,0
EDMJ.DE,D,20190719,000000,4.503,4.5105,4.503,4.5105,0,0
EDMJ.DE,D,20190722,000000,4.5,4.51,4.5,4.5075,0,0
EDMJ.DE,D,20190723,000000,4.5485,4.567,4.5485,4.567,0,0
EDMJ.DE,D,20190724,000000,4.5755,4.5765,4.5735,4.5735,0,0
EDMJ.DE,D,20190725,000000,4.594,4.594,4.54,4.54,0,0
EDMJ.DE,D,20190726,000000,4.5445,4.559,4.5445,4.559,0,0
EDMJ.DE,D,20190729,000000,4.5485,4.5565,4.5435,4.5435,0,0
EDMJ.DE,D,20190730,000000,4.5615,4.5615,4.5175,4.5175,2432,0
EDMJ.DE,D,20190731,000000,4.5325,4.544,4.5325,4.544,0,0
EDMJ.DE,D,20190801,000000,4.5565,4.5995,4.5565,4.5995,4822,0
EDMJ.DE,D,20190802,000000,4.53,4.53,4.483,4.483,0,0
EDMJ.DE,D,20190805,000000,4.476,4.476,4.384,4.384,0,0
EDMJ.DE,D,20190806,000000,4.4065,4.4065,4.372,4.372,0,0
EDMJ.DE,D,20190807,000000,4.429,4.4495,4.4045,4.4045,0,0
EDMJ.DE,D,20190808,000000,4.432,4.4555,4.4295,4.4555,0,0
EDMJ.DE,D,20190809,000000,4.4565,4.4565,4.418,4.418,0,0
EDMJ.DE,D,20190812,000000,4.454,4.454,4.401,4.401,0,0
EDMJ.DE,D,20190813,000000,4.411,4.44,4.404,4.44,0,0
EDMJ.DE,D,20190814,000000,4.419,4.419,4.3895,4.3895,125,0
EDMJ.DE,D,20190815,000000,4.42,4.42,4.396,4.4085,0,0
EDMJ.DE,D,20190816,000000,4.4295,4.462,4.4295,4.462,0,0
EDMJ.DE,D,20190819,000000,4.471,4.4725,4.465,4.4725,0,0
EDMJ.DE,D,20190820,000000,4.4795,4.4795,4.4585,4.4585,0,0
EDMJ.DE,D,20190821,000000,4.453,4.4765,4.453,4.4765,0,0
EDMJ.DE,D,20190822,000000,4.4675,4.4705,4.4575,4.4575,0,0
EDMJ.DE,D,20190823,000000,4.4815,4.4835,4.4135,4.4135,0,0
EDMJ.DE,D,20190826,000000,4.4715,4.484,4.4715,4.472,0,0
EDMJ.DE,D,20190827,000000,4.454,4.4765,4.454,4.4765,0,0
EDMJ.DE,D,20190828,000000,4.4675,4.4735,4.464,4.4735,0,0
EDMJ.DE,D,20190829,000000,4.4695,4.506,4.4695,4.503,0,0
EDMJ.DE,D,20190830,000000,4.5145,4.5415,4.5145,4.534,110,0
EDMJ.DE,D,20190902,000000,4.5375,4.5465,4.5375,4.5465,0,0
EDMJ.DE,D,20190903,000000,4.564,4.564,4.556,4.556,0,0
EDMJ.DE,D,20190904,000000,4.568,4.568,4.5545,4.5595,0,0
EDMJ.DE,D,20190905,000000,4.5955,4.5955,4.5785,4.5935,0,0
EDMJ.DE,D,20190906,000000,4.593,4.6,4.593,4.6,0,0
EDMJ.DE,D,20190909,000000,4.643,4.647,4.629,4.629,0,0
EDMJ.DE,D,20190910,000000,4.6215,4.631,4.6215,4.6305,0,0
EDMJ.DE,D,20190911,000000,4.679,4.696,4.679,4.694,0,0
EDMJ.DE,D,20190912,000000,4.724,4.724,4.709,4.709,0,0
EDMJ.DE,D,20190913,000000,4.7285,4.7645,4.7285,4.7645,0,0
EDMJ.DE,D,20190916,000000,4.7515,4.7715,4.751,4.7715,7144,0
EDMJ.DE,D,20190917,000000,4.7715,4.7715,4.748,4.748,0,0
EDMJ.DE,D,20190918,000000,4.7315,4.7375,4.7315,4.736,0,0
EDMJ.DE,D,20190919,000000,4.765,4.804,4.7585,4.804,462,0
