<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EHBA.DE,D,20210311,000000,41.204,41.337,41.204,41.337,5212,0
EHBA.DE,D,20210312,000000,41.365,41.383,41.365,41.376,0,0
EHBA.DE,D,20210315,000000,41.381,41.381,41.379,41.381,0,0
EHBA.DE,D,20210316,000000,41.412,41.412,41.408,41.411,0,0
EHBA.DE,D,20210317,000000,41.387,41.387,41.357,41.357,0,0
EHBA.DE,D,20210318,000000,41.346,41.346,41.295,41.295,0,0
EHBA.DE,D,20210319,000000,41.28,41.28,41.26,41.26,0,0
EHBA.DE,D,20210322,000000,41.266,41.282,41.266,41.282,0,0
EHBA.DE,D,20210323,000000,41.295,41.301,41.294,41.301,0,0
EHBA.DE,D,20210324,000000,41.309,41.37,41.309,41.37,0,0
EHBA.DE,D,20210325,000000,41.384,41.421,41.384,41.421,0,0
EHBA.DE,D,20210326,000000,41.409,41.415,41.409,41.415,0,0
EHBA.DE,D,20210329,000000,41.441,41.441,41.44,41.44,0,0
EHBA.DE,D,20210330,000000,41.432,41.433,41.431,41.433,0,0
EHBA.DE,D,20210331,000000,41.441,41.548,41.441,41.548,0,0
EHBA.DE,D,20210401,000000,41.594,41.701,41.594,41.701,0,0
EHBA.DE,D,20210406,000000,41.721,41.754,41.721,41.754,0,0
EHBA.DE,D,20210407,000000,41.771,41.771,41.766,41.766,0,0
EHBA.DE,D,20210408,000000,41.77,41.77,41.725,41.725,2391,0
EHBA.DE,D,20210409,000000,41.756,41.756,41.734,41.734,0,0
EHBA.DE,D,20210412,000000,41.71,41.773,41.71,41.773,0,0
EHBA.DE,D,20210413,000000,41.701,41.76,41.677,41.691,7705,0
EHBA.DE,D,20210414,000000,41.695,41.701,41.695,41.701,0,0
EHBA.DE,D,20210415,000000,41.714,41.814,41.714,41.766,700,0
EHBA.DE,D,20210416,000000,41.779,41.832,41.779,41.832,0,0
EHBA.DE,D,20210419,000000,41.846,41.867,41.843,41.867,0,0
EHBA.DE,D,20210420,000000,41.864,41.864,41.799,41.799,0,0
EHBA.DE,D,20210421,000000,41.781,41.781,41.756,41.756,0,0
EHBA.DE,D,20210422,000000,41.755,41.755,41.745,41.745,0,0
EHBA.DE,D,20210423,000000,41.752,41.752,41.719,41.727,0,0
EHBA.DE,D,20210426,000000,41.723,41.727,41.723,41.727,0,0
EHBA.DE,D,20210427,000000,41.741,41.775,41.672,41.74,480,0
EHBA.DE,D,20210428,000000,41.76,41.762,41.726,41.726,0,0
EHBA.DE,D,20210429,000000,41.737,41.834,41.737,41.749,3610,0
EHBA.DE,D,20210430,000000,41.758,41.811,41.743,41.743,0,0
EHBA.DE,D,20210503,000000,41.724,41.724,41.708,41.71,0,0
EHBA.DE,D,20210504,000000,41.736,41.736,41.704,41.704,0,0
EHBA.DE,D,20210505,000000,41.711,41.73,41.711,41.73,0,0
EHBA.DE,D,20210506,000000,41.731,41.731,41.637,41.637,0,0
EHBA.DE,D,20210507,000000,41.637,41.637,41.598,41.598,0,0
EHBA.DE,D,20210510,000000,41.597,41.618,41.597,41.618,0,0
EHBA.DE,D,20210511,000000,41.612,41.612,41.559,41.559,0,0
EHBA.DE,D,20210512,000000,41.548,41.548,41.52,41.52,0,0
EHBA.DE,D,20210513,000000,41.497,41.497,41.45,41.488,0,0
