<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EHDL.DE,D,20190311,000000,24.505006,24.595665,24.432479,24.559401,2617,0
EHDL.DE,D,20190312,000000,24.54127,24.609264,24.455144,24.473276,4111,0
EHDL.DE,D,20190313,000000,24.423414,24.482342,24.423414,24.437012,2079,0
EHDL.DE,D,20190314,000000,24.399883,24.440922,24.317805,24.317805,14367,0
EHDL.DE,D,20190315,000000,24.363404,24.463721,24.349724,24.436362,6136,0
EHDL.DE,D,20190318,000000,24.49564,24.700834,24.477401,24.700834,13411,0
EHDL.DE,D,20190319,000000,24.732754,24.760113,24.623317,24.682595,5791,0
EHDL.DE,D,20190320,000000,24.577718,24.618757,24.413562,24.413562,839,0
EHDL.DE,D,20190321,000000,24.577718,24.632436,24.472841,24.49564,4726,0
EHDL.DE,D,20190322,000000,24.49564,24.49564,24.053332,24.062452,8621,0
EHDL.DE,D,20190325,000000,24.108051,24.249407,24.089811,24.203808,5272,0
EHDL.DE,D,20190326,000000,24.308685,24.399883,24.295006,24.295006,2972,0
EHDL.DE,D,20190327,000000,24.390763,24.390763,24.13541,24.158209,3775,0
EHDL.DE,D,20190328,000000,24.176449,24.299566,24.15365,24.190129,6616,0
EHDL.DE,D,20190329,000000,24.463721,24.641556,24.436362,24.50476,12962,0
EHDL.DE,D,20190401,000000,24.591397,24.750993,24.591397,24.682595,6915,0
EHDL.DE,D,20190402,000000,24.750993,24.906029,24.682595,24.705394,7395,0
EHDL.DE,D,20190403,000000,24.933388,24.988106,24.805712,24.84675,3803,0
EHDL.DE,D,20190404,000000,24.787472,24.833071,24.741873,24.782912,3876,0
EHDL.DE,D,20190405,000000,24.992666,25.020026,24.86043,24.915148,1594,0
EHDL.DE,D,20190408,000000,24.969867,24.988106,24.709954,24.801152,6136,0
EHDL.DE,D,20190409,000000,24.84675,24.978987,24.750993,24.750993,1121,0
EHDL.DE,D,20190410,000000,24.992666,25.065624,24.992666,25.024585,2805,0
EHDL.DE,D,20190411,000000,24.928828,25.070184,24.901469,24.901469,956,0
EHDL.DE,D,20190412,000000,24.924268,25.029145,24.792032,24.942508,5208,0
EHDL.DE,D,20190415,000000,24.924268,24.956187,24.837631,24.837631,3966,0
EHDL.DE,D,20190416,000000,25.024585,25.024585,24.956187,24.956187,2618,0
EHDL.DE,D,20190417,000000,25.124903,25.193301,25.092984,25.092984,6456,0
EHDL.DE,D,20190418,000000,24.983547,25.339217,24.983547,25.279938,3465,0
EHDL.DE,D,20190423,000000,25.22066,25.343777,25.134022,25.22066,6719,0
EHDL.DE,D,20190424,000000,25.134022,25.248019,25.033705,25.033705,2651,0
EHDL.DE,D,20190425,000000,25.124903,25.134022,25.047385,25.106663,4055,0
EHDL.DE,D,20190426,000000,25.083864,25.298178,25.029145,25.270819,13863,0
EHDL.DE,D,20190429,000000,25.334657,25.334657,25.165942,25.170501,20759,0
EHDL.DE,D,20190430,000000,25.074744,25.074744,24.928828,24.942508,6757,0
EHDL.DE,D,20190502,000000,25.097543,25.097543,24.896909,24.951627,6857,0
EHDL.DE,D,20190503,000000,25.024585,25.21154,25.024585,25.161382,10749,0
EHDL.DE,D,20190506,000000,24.737313,24.86043,24.664355,24.792032,3553,0
EHDL.DE,D,20190507,000000,24.769233,24.796592,24.568598,24.568598,1560,0
EHDL.DE,D,20190508,000000,24.600517,24.705394,24.445482,24.51388,3515,0
EHDL.DE,D,20190509,000000,24.386203,24.386203,23.839018,23.839018,2691,0
EHDL.DE,D,20190510,000000,24.281326,24.313245,23.875497,23.898297,3472,0
EHDL.DE,D,20190513,000000,23.971255,23.971255,23.592785,23.592785,2419,0
EHDL.DE,D,20190514,000000,23.752381,24.057892,23.752381,24.016853,1934,0
EHDL.DE,D,20190515,000000,24.13541,24.13541,23.911976,24.025973,1873,0
EHDL.DE,D,20190516,000000,23.962135,24.162769,23.943895,24.121731,5401,0
EHDL.DE,D,20190517,000000,24.167329,24.167329,23.729581,23.820779,2553,0
EHDL.DE,D,20190520,000000,23.802539,23.852698,23.715902,23.802539,899,0
EHDL.DE,D,20190521,000000,23.953015,24.025973,23.953015,23.980374,1178,0
EHDL.DE,D,20190522,000000,23.989494,24.089811,23.989494,24.007734,520,0
EHDL.DE,D,20190523,000000,23.966695,23.966695,23.747821,23.77974,2179,0
EHDL.DE,D,20190524,000000,23.857258,23.934776,23.647504,23.674863,4722,0
EHDL.DE,D,20190527,000000,23.898297,23.898297,23.702222,23.807099,1758,0
EHDL.DE,D,20190528,000000,23.902857,23.902857,23.747821,23.756941,1635,0
EHDL.DE,D,20190529,000000,23.866378,23.939336,23.683983,23.893737,548,0
EHDL.DE,D,20190530,000000,24.067012,24.263087,24.067012,24.190129,771,0
EHDL.DE,D,20190531,000000,24.035093,24.272206,24.021413,24.272206,1436,0
EHDL.DE,D,20190603,000000,24.103491,24.395323,24.103491,24.322365,4400,0
EHDL.DE,D,20190604,000000,24.304125,24.304125,24.12629,24.240287,2346,0
EHDL.DE,D,20190605,000000,24.244847,24.317805,24.167329,24.235727,1556,0
EHDL.DE,D,20190606,000000,24.276766,24.285886,24.13085,24.13085,363,0
EHDL.DE,D,20190607,000000,24.244847,24.258527,24.190129,24.212928,460,0
