<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EJAP.DE,D,20190926,000000,10.886,10.978,10.886,10.94,46911,0
EJAP.DE,D,20190927,000000,10.862,10.874,10.818,10.818,521,0
EJAP.DE,D,20191001,000000,10.898,10.898,10.788,10.788,183,0
EJAP.DE,D,20191002,000000,10.798,10.798,10.614,10.614,24309,0
EJAP.DE,D,20191004,000000,10.684,10.732,10.666,10.732,0,0
EJAP.DE,D,20191007,000000,10.698,10.752,10.698,10.752,0,0
EJAP.DE,D,20191008,000000,10.728,10.728,10.69,10.69,0,0
EJAP.DE,D,20191009,000000,10.706,10.752,10.706,10.724,51894,0
EJAP.DE,D,20191010,000000,10.674,10.716,10.644,10.716,20466,0
EJAP.DE,D,20191011,000000,10.72,10.84,10.72,10.84,15757,0
EJAP.DE,D,20191014,000000,10.804,10.804,10.766,10.792,7626,0
EJAP.DE,D,20191015,000000,10.852,10.912,10.852,10.912,23924,0
EJAP.DE,D,20191016,000000,10.846,10.882,10.846,10.866,7807,0
EJAP.DE,D,20191017,000000,10.774,10.802,10.774,10.776,14754,0
EJAP.DE,D,20191018,000000,10.732,10.738,10.728,10.738,0,0
EJAP.DE,D,20191021,000000,10.756,10.832,10.756,10.832,0,0
EJAP.DE,D,20191022,000000,10.85,10.864,10.844,10.852,2316,0
EJAP.DE,D,20191023,000000,10.85,10.916,10.846,10.916,1553,0
EJAP.DE,D,20191024,000000,10.882,10.924,10.876,10.924,1569,0
EJAP.DE,D,20191025,000000,10.896,10.942,10.872,10.942,1782,0
EJAP.DE,D,20191028,000000,10.928,10.956,10.914,10.946,1138,0
EJAP.DE,D,20191029,000000,10.988,11.012,10.976,10.994,610,0
EJAP.DE,D,20191030,000000,10.984,10.99,10.952,10.964,589,0
EJAP.DE,D,20191031,000000,10.974,10.974,10.944,10.944,4136,0
EJAP.DE,D,20191101,000000,11.036,11.092,11.026,11.064,1062,0
EJAP.DE,D,20191104,000000,11.112,11.17,11.112,11.17,200,0
EJAP.DE,D,20191105,000000,11.18,11.268,11.18,11.268,50612,0
EJAP.DE,D,20191106,000000,11.228,11.246,11.21,11.246,971,0
EJAP.DE,D,20191107,000000,11.336,11.368,11.326,11.368,800,0
EJAP.DE,D,20191108,000000,11.278,11.326,11.278,11.326,264,0
EJAP.DE,D,20191111,000000,11.268,11.296,11.268,11.286,50457,0
EJAP.DE,D,20191112,000000,11.324,11.368,11.32,11.368,644,0
EJAP.DE,D,20191113,000000,11.31,11.31,11.232,11.304,2690,0
EJAP.DE,D,20191114,000000,11.226,11.246,11.226,11.232,100,0
EJAP.DE,D,20191115,000000,11.296,11.296,11.266,11.286,46397,0
EJAP.DE,D,20191118,000000,11.284,11.284,11.246,11.256,502,0
EJAP.DE,D,20191119,000000,11.252,11.258,11.226,11.226,0,0
EJAP.DE,D,20191120,000000,11.208,11.234,11.208,11.234,5,0
EJAP.DE,D,20191121,000000,11.19,11.206,11.19,11.206,0,0
EJAP.DE,D,20191122,000000,11.232,11.264,11.232,11.252,130,0
EJAP.DE,D,20191125,000000,11.314,11.352,11.314,11.352,3773,0
EJAP.DE,D,20191126,000000,11.306,11.338,11.306,11.338,378,0
EJAP.DE,D,20191127,000000,11.378,11.38,11.376,11.38,51,0
EJAP.DE,D,20191128,000000,11.326,11.34,11.326,11.334,0,0
EJAP.DE,D,20191129,000000,11.238,11.274,11.232,11.262,197,0
EJAP.DE,D,20191202,000000,11.318,11.32,11.1,11.1,1048,0
EJAP.DE,D,20191203,000000,11.228,11.228,11.152,11.152,81,0
EJAP.DE,D,20191204,000000,11.222,11.328,11.22,11.328,1262,0
EJAP.DE,D,20191205,000000,11.324,11.328,11.274,11.274,13,0
EJAP.DE,D,20191206,000000,11.306,11.46,11.306,11.46,0,0
EJAP.DE,D,20191209,000000,11.424,11.424,11.402,11.402,499,0
EJAP.DE,D,20191210,000000,11.372,11.372,11.332,11.372,0,0
EJAP.DE,D,20191211,000000,11.32,11.358,11.32,11.358,130,0
EJAP.DE,D,20191212,000000,11.29,11.366,11.29,11.362,198,0
EJAP.DE,D,20191213,000000,11.332,11.368,11.32,11.366,198,0
EJAP.DE,D,20191216,000000,11.366,11.432,11.366,11.432,2259,0
EJAP.DE,D,20191217,000000,11.392,11.394,11.368,11.394,12500,0
EJAP.DE,D,20191218,000000,11.356,11.378,11.356,11.378,679,0
EJAP.DE,D,20191219,000000,11.356,11.376,11.348,11.376,417,0
EJAP.DE,D,20191220,000000,11.334,11.432,11.334,11.432,192,0
EJAP.DE,D,20191223,000000,11.37,11.386,11.366,11.386,262,0
EJAP.DE,D,20191227,000000,11.336,11.336,11.282,11.282,25740,0
EJAP.DE,D,20191230,000000,11.222,11.224,11.212,11.224,15737,0
EJAP.DE,D,20200102,000000,11.256,11.318,11.256,11.28,757,0
EJAP.DE,D,20200103,000000,11.236,11.246,11.202,11.246,510,0
EJAP.DE,D,20200106,000000,11.206,11.218,11.174,11.218,0,0
EJAP.DE,D,20200107,000000,11.316,11.326,11.316,11.326,0,0
