<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EL4A.DE,D,20080331,000000,61.957747,62.705613,61.957747,62.705613,20100,0
EL4A.DE,D,20080401,000000,62.791905,64.364339,62.791905,64.354751,104475,0
EL4A.DE,D,20080402,000000,64.69992,65.102616,64.508159,65.102616,85150,0
EL4A.DE,D,20080403,000000,64.814976,64.814976,64.335575,64.632803,91900,0
EL4A.DE,D,20080404,000000,64.805388,65.188908,64.527335,64.84374,123600,0
EL4A.DE,D,20080407,000000,65.265612,65.553253,65.236848,65.361493,51000,0
EL4A.DE,D,20080408,000000,64.958796,64.958796,64.594451,64.786212,11092,0
EL4A.DE,D,20080409,000000,64.517747,64.98756,64.373927,64.421867,53934,0
EL4A.DE,D,20080410,000000,64.134227,64.325987,63.367186,64.325987,147660,0
EL4A.DE,D,20080411,000000,64.757448,64.757448,63.041193,63.280893,298750,0
EL4A.DE,D,20080414,000000,62.811081,63.002841,62.513852,62.734377,12400,0
EL4A.DE,D,20080415,000000,63.156249,63.501418,62.763141,63.156249,184527,0
EL4A.DE,D,20080416,000000,63.58771,64.306811,63.328834,64.306811,84815,0
EL4A.DE,D,20080417,000000,64.498571,64.508159,63.92329,64.306811,160500,0
EL4A.DE,D,20080418,000000,64.498571,65.649133,64.469807,65.649133,146400,0
EL4A.DE,D,20080421,000000,65.457373,65.553253,64.834152,65.073852,127335,0
EL4A.DE,D,20080422,000000,64.824564,65.265612,64.306811,64.306811,202400,0
EL4A.DE,D,20080423,000000,64.623215,65.265612,63.92329,65.265612,101400,0
EL4A.DE,D,20080424,000000,65.006736,65.457373,64.498571,65.457373,55290,0
EL4A.DE,D,20080425,000000,65.697073,66.43535,65.649133,66.032654,36800,0
EL4A.DE,D,20080428,000000,66.224414,66.722991,66.224414,66.416174,126090,0
EL4A.DE,D,20080429,000000,65.984713,66.090182,65.840893,65.840893,67200,0
EL4A.DE,D,20080430,000000,66.042242,66.636698,65.735425,66.636698,293200,0
EL4A.DE,D,20080502,000000,67.327035,67.45168,67.164039,67.164039,264720,0
EL4A.DE,D,20080505,000000,67.259919,67.73932,67.259919,67.528384,98400,0
EL4A.DE,D,20080506,000000,67.374975,67.374975,66.991455,67.374975,66800,0
EL4A.DE,D,20080507,000000,67.585912,68.02696,67.585912,68.02696,81700,0
EL4A.DE,D,20080508,000000,67.279095,67.662616,67.269507,67.662616,81925,0
EL4A.DE,D,20080509,000000,67.298271,67.298271,66.799695,67.106511,103515,0
EL4A.DE,D,20080512,000000,67.49962,67.566736,67.269507,67.480444,26800,0
EL4A.DE,D,20080513,000000,67.758496,67.825612,67.183215,67.720144,136800,0
EL4A.DE,D,20080514,000000,67.950256,67.950256,67.116099,67.950256,84850,0
EL4A.DE,D,20080515,000000,67.653028,67.88314,67.537972,67.88314,119000,0
EL4A.DE,D,20080516,000000,68.295425,68.966586,68.295425,68.496773,281600,0
EL4A.DE,D,20080519,000000,68.774826,69.292578,68.774826,69.292578,1204,0
EL4A.DE,D,20080520,000000,68.85153,68.85153,68.142017,68.142017,11390,0
EL4A.DE,D,20080521,000000,68.362541,68.525537,67.374975,67.566736,147600,0
EL4A.DE,D,20080522,000000,67.116099,67.758496,67.001043,67.758496,125117,0
EL4A.DE,D,20080523,000000,67.537972,67.614676,66.502466,66.502466,139341,0
EL4A.DE,D,20080526,000000,66.512054,66.722991,66.512054,66.722991,4615,0
EL4A.DE,D,20080527,000000,66.770931,66.799695,66.253178,66.799695,125257,0
EL4A.DE,D,20080528,000000,66.962691,67.54756,66.933927,67.461268,106042,0
EL4A.DE,D,20080529,000000,67.653028,67.796848,67.183215,67.758496,102800,0
EL4A.DE,D,20080530,000000,67.950256,68.142017,67.825612,67.950256,125839,0
EL4A.DE,D,20080602,000000,68.084489,68.084489,67.183215,67.183215,183123,0
EL4A.DE,D,20080603,000000,66.838047,67.096923,66.799695,67.029807,26713,0
EL4A.DE,D,20080604,000000,66.914751,66.914751,66.224414,66.799695,30274,0
EL4A.DE,D,20080605,000000,66.780519,67.183215,66.224414,66.224414,144200,0
EL4A.DE,D,20080606,000000,66.809283,67.077747,65.17932,65.2752,326260,0
EL4A.DE,D,20080609,000000,65.073852,65.457373,64.862916,65.380669,167020,0
EL4A.DE,D,20080610,000000,64.834152,65.064264,64.450631,65.064264,64987,0
EL4A.DE,D,20080611,000000,65.265612,65.265612,63.750706,63.980818,163250,0
EL4A.DE,D,20080612,000000,63.750706,64.498571,63.750706,64.498571,26801,0
EL4A.DE,D,20080613,000000,64.230107,64.89168,63.73153,64.89168,298760,0
EL4A.DE,D,20080616,000000,65.054676,65.265612,63.97123,64.373927,78332,0
EL4A.DE,D,20080617,000000,64.776624,65.649133,64.776624,65.265612,53111,0
EL4A.DE,D,20080618,000000,65.093028,65.093028,64.306811,64.306811,12271,0
EL4A.DE,D,20080619,000000,64.210931,64.786212,63.999995,64.786212,23454,0
EL4A.DE,D,20080620,000000,64.594451,64.786212,62.772729,63.060369,47346,0
EL4A.DE,D,20080623,000000,63.271305,63.44389,63.060369,63.156249,8152,0
EL4A.DE,D,20080624,000000,63.34801,63.34801,61.813927,62.772729,100752,0
EL4A.DE,D,20080625,000000,62.974077,63.53977,62.772729,63.53977,85753,0
EL4A.DE,D,20080626,000000,62.916549,62.964489,61.813927,61.967336,525902,0
EL4A.DE,D,20080627,000000,61.842691,61.842691,60.845538,61.631755,234835,0
