<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EL4G.DE,D,20080701,000000,13.661923,13.661923,13.661923,13.661923,400,0
EL4G.DE,D,20080711,000000,13.036747,13.036747,13.036747,13.036747,55,0
EL4G.DE,D,20080714,000000,13.006101,13.006101,13.006101,13.006101,50,0
EL4G.DE,D,20080715,000000,12.485122,12.485122,12.485122,12.485122,445,0
EL4G.DE,D,20080717,000000,12.895776,12.895776,12.895776,12.895776,5,0
EL4G.DE,D,20080723,000000,13.82741,13.82741,13.82741,13.82741,12892,0
EL4G.DE,D,20080729,000000,12.926422,12.926422,12.926422,12.926422,100,0
EL4G.DE,D,20080731,000000,13.404498,13.404498,13.404498,13.404498,100,0
EL4G.DE,D,20080801,000000,13.398368,13.398368,13.171589,13.171589,20145,0
EL4G.DE,D,20080804,000000,13.16546,13.16546,13.16546,13.16546,10000,0
EL4G.DE,D,20080808,000000,13.82741,13.82741,13.82741,13.82741,10000,0
EL4G.DE,D,20080821,000000,13.061264,13.061264,13.061264,13.061264,10000,0
EL4G.DE,D,20080822,000000,13.392239,13.392239,13.392239,13.392239,300,0
EL4G.DE,D,20080902,000000,13.747731,14.017415,13.747731,14.017415,120110,0
EL4G.DE,D,20080903,000000,13.992898,13.992898,13.992898,13.992898,270,0
EL4G.DE,D,20080905,000000,13.073522,13.073522,13.073522,13.073522,110000,0
EL4G.DE,D,20080909,000000,13.851927,13.851927,13.851927,13.851927,22,0
EL4G.DE,D,20080912,000000,13.306431,13.306431,13.306431,13.306431,200,0
EL4G.DE,D,20080916,000000,12.282859,12.282859,12.282859,12.282859,200,0
EL4G.DE,D,20080918,000000,11.90898,11.90898,11.90898,11.90898,2000,0
EL4G.DE,D,20080930,000000,11.547359,11.547359,11.547359,11.547359,10000,0
EL4G.DE,D,20081002,000000,11.98253,11.98253,11.98253,11.98253,51,0
EL4G.DE,D,20081003,000000,12.374797,12.374797,12.374797,12.374797,400,0
EL4G.DE,D,20081007,000000,11.026379,11.026379,11.026379,11.026379,10000,0
EL4G.DE,D,20081008,000000,10.768341,10.768341,10.768341,10.768341,85,0
EL4G.DE,D,20081009,000000,10.229587,10.229587,10.229587,10.229587,10000,0
EL4G.DE,D,20081013,000000,9.904741,10.05797,9.886353,10.05797,924,0
EL4G.DE,D,20081014,000000,10.762825,10.811858,10.683146,10.683146,20623,0
EL4G.DE,D,20081015,000000,9.702478,9.702478,9.702478,9.702478,12880,0
EL4G.DE,D,20081017,000000,9.598282,9.598282,9.598282,9.598282,300,0
EL4G.DE,D,20081021,000000,9.825062,9.825062,9.825062,9.825062,2850,0
EL4G.DE,D,20081024,000000,8.648261,8.648261,8.648261,8.648261,270,0
EL4G.DE,D,20081028,000000,8.648261,8.648261,8.648261,8.648261,500,0
EL4G.DE,D,20081030,000000,8.80149,8.80149,8.80149,8.80149,10070,0
EL4G.DE,D,20081103,000000,9.261178,9.261178,9.261178,9.261178,100,0
EL4G.DE,D,20081104,000000,9.610541,9.745382,9.610541,9.745382,6425,0
EL4G.DE,D,20081105,000000,9.653445,9.653445,9.653445,9.653445,7,0
EL4G.DE,D,20081107,000000,9.120207,9.120207,9.120207,9.120207,1605,0
EL4G.DE,D,20081111,000000,9.126336,9.126336,9.126336,9.126336,1700,0
EL4G.DE,D,20081112,000000,9.028269,9.028269,9.028269,9.028269,2710,0
EL4G.DE,D,20081114,000000,8.80149,8.80149,8.80149,8.80149,140,0
EL4G.DE,D,20081119,000000,8.13341,8.13341,8.05986,8.05986,1150,0
EL4G.DE,D,20081120,000000,7.630818,7.630818,7.569527,7.624689,10230,0
EL4G.DE,D,20081121,000000,7.47146,7.47146,7.47146,7.47146,215,0
EL4G.DE,D,20081124,000000,7.69211,7.875985,7.673722,7.875985,20412,0
EL4G.DE,D,20081125,000000,8.053731,8.311156,8.016956,8.311156,3820,0
EL4G.DE,D,20081126,000000,8.157927,8.298898,8.121152,8.121152,10482,0
EL4G.DE,D,20081127,000000,8.482773,8.488902,8.482773,8.488902,10360,0
EL4G.DE,D,20081128,000000,8.495031,8.495031,8.495031,8.495031,12980,0
EL4G.DE,D,20081202,000000,8.023085,8.366319,8.023085,8.366319,373,0
EL4G.DE,D,20081203,000000,8.396965,8.439869,8.390836,8.439869,1870,0
EL4G.DE,D,20081204,000000,8.678907,8.678907,8.476644,8.476644,2211,0
EL4G.DE,D,20081205,000000,8.409223,8.409223,8.274381,8.274381,653,0
EL4G.DE,D,20081208,000000,8.65439,8.65439,8.605357,8.623744,943,0
EL4G.DE,D,20081209,000000,8.65439,8.813748,8.65439,8.734069,10845,0
EL4G.DE,D,20081210,000000,8.715682,8.715682,8.715682,8.715682,300,0
EL4G.DE,D,20081211,000000,8.666648,8.672777,8.648261,8.648261,1102,0
EL4G.DE,D,20081212,000000,8.28664,8.372448,8.243735,8.243735,4290,0
EL4G.DE,D,20081215,000000,8.544065,8.544065,8.396965,8.396965,9472,0
EL4G.DE,D,20081216,000000,8.396965,8.396965,8.396965,8.396965,35,0
EL4G.DE,D,20081217,000000,8.35406,8.35406,8.35406,8.35406,913,0
EL4G.DE,D,20081218,000000,8.372448,8.372448,8.341802,8.366319,1820,0
EL4G.DE,D,20081219,000000,8.243735,8.378577,8.243735,8.378577,2605,0
EL4G.DE,D,20081222,000000,8.28664,8.28664,8.194702,8.243735,22560,0
EL4G.DE,D,20081223,000000,8.262123,8.28664,8.262123,8.28664,8212,0
EL4G.DE,D,20081229,000000,8.323415,8.341802,8.243735,8.243735,13964,0
EL4G.DE,D,20081230,000000,8.396965,8.396965,8.396965,8.396965,2875,0
EL4G.DE,D,20090105,000000,8.783102,8.783102,8.783102,8.783102,53,0
EL4G.DE,D,20090107,000000,8.672777,8.672777,8.672777,8.672777,10000,0
EL4G.DE,D,20090109,000000,8.623744,8.623744,8.623744,8.623744,5600,0
EL4G.DE,D,20090112,000000,8.556323,8.556323,8.556323,8.556323,2000,0
EL4G.DE,D,20090113,000000,8.292769,8.292769,8.231477,8.231477,10500,0
EL4G.DE,D,20090114,000000,8.053731,8.053731,8.053731,8.053731,5000,0
EL4G.DE,D,20090120,000000,7.495976,7.495976,7.495976,7.495976,2014,0
EL4G.DE,D,20090126,000000,7.643077,7.643077,7.643077,7.643077,10000,0
EL4G.DE,D,20090127,000000,7.575656,7.575656,7.575656,7.575656,100,0
EL4G.DE,D,20090130,000000,7.679852,7.679852,7.679852,7.679852,10000,0
EL4G.DE,D,20090203,000000,7.649206,7.649206,7.649206,7.649206,131,0
EL4G.DE,D,20090205,000000,7.753402,7.753402,7.753402,7.753402,16,0
EL4G.DE,D,20090209,000000,8.115023,8.115023,8.115023,8.115023,97,0
EL4G.DE,D,20090210,000000,7.91276,7.91276,7.91276,7.91276,10090,0
EL4G.DE,D,20090216,000000,7.679852,7.679852,7.679852,7.679852,2000,0
EL4G.DE,D,20090220,000000,7.256939,7.256939,7.256939,7.256939,15,0
EL4G.DE,D,20090223,000000,7.042418,7.042418,7.042418,7.042418,1818,0
EL4G.DE,D,20090224,000000,6.846284,6.846284,6.846284,6.846284,10150,0
EL4G.DE,D,20090225,000000,6.864672,6.864672,6.791122,6.791122,10090,0
EL4G.DE,D,20090226,000000,7.005643,7.005643,7.005643,7.005643,10000,0
EL4G.DE,D,20090302,000000,6.631763,6.631763,6.594988,6.601117,823,0
