<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELAA.DE,D,20210111,000000,208.75,208.75,208.75,208.75,10,0
ELAA.DE,D,20210112,000000,215.55,215.55,212.8,212.8,40,0
ELAA.DE,D,20210113,000000,212.6,214.15,212.6,214.15,20,0
ELAA.DE,D,20210114,000000,215.4,215.4,211.7,211.7,13,0
ELAA.DE,D,20210115,000000,206.6,206.6,206.6,206.6,0,0
ELAA.DE,D,20210118,000000,206.55,206.55,206.55,206.55,0,0
ELAA.DE,D,20210119,000000,204.9,204.9,204.9,204.9,0,0
ELAA.DE,D,20210120,000000,211.45,211.45,211.45,211.45,7,0
ELAA.DE,D,20210121,000000,215.1,215.1,212.2,213.3,10,0
ELAA.DE,D,20210125,000000,207.35,207.95,205.7,207.95,30,0
ELAA.DE,D,20210126,000000,208.25,208.25,207.5,207.5,28,0
ELAA.DE,D,20210127,000000,205.8,205.8,199.5,199.8,246,0
ELAA.DE,D,20210128,000000,197.52,202.8,197.52,202.8,107,0
ELAA.DE,D,20210201,000000,201.05,203.65,195.48,203.65,84,0
ELAA.DE,D,20210202,000000,200,207.4,200,206.2,22,0
ELAA.DE,D,20210203,000000,207.4,207.4,206.8,206.8,24,0
ELAA.DE,D,20210204,000000,206.65,206.65,206.65,206.65,0,0
ELAA.DE,D,20210208,000000,231.8,232.6,230.45,230.45,75,0
ELAA.DE,D,20210209,000000,234.4,234.4,230.65,230.65,91,0
ELAA.DE,D,20210210,000000,232.6,237.55,230.55,237.55,74,0
ELAA.DE,D,20210211,000000,237.2,237.2,237.2,237.2,0,0
ELAA.DE,D,20210212,000000,240,240,235.25,235.25,10,0
ELAA.DE,D,20210215,000000,245.35,245.6,241.35,241.35,79,0
ELAA.DE,D,20210216,000000,242,242.35,242,242.35,3,0
ELAA.DE,D,20210217,000000,249.1,249.1,242.65,242.65,20,0
ELAA.DE,D,20210218,000000,238.45,238.45,238.45,238.45,0,0
