<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELB.DE,D,20150703,000000,25,25,24,24.9,109252,0
ELB.DE,D,20150706,000000,25,25,24.315,24.75,7954,0
ELB.DE,D,20150707,000000,24.415,24.9,24.415,24.745001,10061,0
ELB.DE,D,20150708,000000,24.75,24.9,24.75,24.9,21292,0
ELB.DE,D,20150709,000000,24.85,24.9,24.5,24.85,12925,0
ELB.DE,D,20150710,000000,24.85,24.9,24.5,24.799999,13584,0
ELB.DE,D,20150713,000000,24.85,24.95,24.5,24.9,14595,0
ELB.DE,D,20150714,000000,24.85,24.85,24.75,24.799999,9955,0
ELB.DE,D,20150715,000000,24.8,24.895,24.625,24.799999,5500,0
ELB.DE,D,20150716,000000,24.79,24.8,24.65,24.75,5179,0
ELB.DE,D,20150717,000000,25,25,24.9,25,1950,0
ELB.DE,D,20150720,000000,24.9,25.275,24.8,25,2768,0
ELB.DE,D,20150721,000000,24.9,25.05,24.5,25,9554,0
ELB.DE,D,20150722,000000,25,25.005,25,25,4490,0
ELB.DE,D,20150723,000000,25,25.06,25,25,23357,0
ELB.DE,D,20150724,000000,25,25,24.8,24.95,10170,0
ELB.DE,D,20150727,000000,24.95,25,24.8,24.8,11134,0
ELB.DE,D,20150728,000000,25,25.15,25,25.15,4468,0
ELB.DE,D,20150730,000000,25.145,25.145,25,25,2283,0
ELB.DE,D,20150803,000000,24.605,24.605,24.51,24.51,262,0
ELB.DE,D,20150804,000000,24.7,24.8,24.7,24.75,982,0
ELB.DE,D,20150805,000000,24.7,24.745,24.5,24.5,1110,0
ELB.DE,D,20150806,000000,24.305,25.04,24.305,24.7,2747,0
ELB.DE,D,20150807,000000,25,25,24.8,24.8,185,0
ELB.DE,D,20150810,000000,24.8,25.495,24.8,25,2093,0
ELB.DE,D,20150811,000000,25.1,25.885,25,25,5520,0
ELB.DE,D,20150812,000000,24.8,25.45,24.7,24.7,3660,0
ELB.DE,D,20150813,000000,24.35,24.8,24.35,24.7,121,0
ELB.DE,D,20150814,000000,24.5,25.095,24.5,25.02,208,0
ELB.DE,D,20150817,000000,24.645,24.645,24.645,24.645,334,0
ELB.DE,D,20150818,000000,24.555,24.57,24.49,24.49,865,0
ELB.DE,D,20150819,000000,24.5,24.5,24.3,24.3,455,0
ELB.DE,D,20150820,000000,24.3,24.3,24,24,472,0
ELB.DE,D,20150821,000000,24,24,23.735,23.735,739,0
ELB.DE,D,20150825,000000,24,24,24,24,100,0
ELB.DE,D,20150827,000000,23.95,23.95,23.4,23.4,1235,0
ELB.DE,D,20150828,000000,23.745,23.75,23.745,23.75,585,0
ELB.DE,D,20150901,000000,23.15,23.55,23.15,23.15,117,0
ELB.DE,D,20150902,000000,23.15,23.15,23.15,23.15,32,0
ELB.DE,D,20150903,000000,23.15,23.15,23.15,23.15,27,0
ELB.DE,D,20150904,000000,23.15,23.5,23.15,23.5,365,0
ELB.DE,D,20150907,000000,23.15,23.5,23,23,755,0
ELB.DE,D,20150908,000000,23,23.8,23,23.5,201,0
ELB.DE,D,20150909,000000,23.15,23.6,23.15,23.5,586,0
ELB.DE,D,20150910,000000,23.15,23.15,23.15,23.15,55,0
ELB.DE,D,20150911,000000,23.1,23.445,23.1,23.4,1016,0
ELB.DE,D,20150914,000000,23.05,23.5,23.05,23.5,40,0
ELB.DE,D,20150915,000000,23.15,23.35,23.15,23.35,1000,0
ELB.DE,D,20150916,000000,23,23,22.99,22.99,19,0
ELB.DE,D,20150918,000000,22.7,22.7,22.7,22.7,20,0
ELB.DE,D,20150921,000000,22.36,22.5,22.36,22.5,240,0
ELB.DE,D,20150922,000000,22.8,23.14,22.8,23,85,0
ELB.DE,D,20150923,000000,23.2,23.2,23.2,23.2,27,0
ELB.DE,D,20150924,000000,23.4,23.8,23.4,23.8,150,0
ELB.DE,D,20150929,000000,23.3,23.62,23.3,23.615,1020,0
ELB.DE,D,20150930,000000,23.5,23.94,23.5,23.94,85,0
ELB.DE,D,20151001,000000,23.94,24,23.7,24,179,0
ELB.DE,D,20151002,000000,24.3,24.3,24.3,24.3,1,0
ELB.DE,D,20151005,000000,24.3,24.5,23.935,23.935,5941,0
ELB.DE,D,20151006,000000,24,24.2,23.995,23.995,6600,0
ELB.DE,D,20151012,000000,24,24,24,24,4,0
ELB.DE,D,20151013,000000,23.985,23.985,23.985,23.985,4,0
ELB.DE,D,20151014,000000,23.9,24,23.5,23.5,56,0
ELB.DE,D,20151015,000000,23.8,23.8,23.8,23.8,65,0
ELB.DE,D,20151016,000000,24,24,24,24,35,0
ELB.DE,D,20151019,000000,23.895,24.05,23.7,24.05,135,0
ELB.DE,D,20151020,000000,24,24.5,23.995,23.995,525,0
ELB.DE,D,20151022,000000,23.5,24.05,23.5,24,778,0
ELB.DE,D,20151026,000000,24,24,24,24,30,0
ELB.DE,D,20151027,000000,24,24,24,24,50,0
ELB.DE,D,20151030,000000,23.75,23.75,23.75,23.75,25,0
ELB.DE,D,20151103,000000,23.3,23.4,22.95,23,1575,0
ELB.DE,D,20151104,000000,22.8,22.8,22.46,22.46,1075,0
ELB.DE,D,20151105,000000,22.14,22.14,22.125,22.125,1085,0
