<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ES5R.DE,D,20140102,000000,60.4,60.4,60.18,60.18,100,0
ES5R.DE,D,20140103,000000,60.7,60.81,60.62,60.62,117,0
ES5R.DE,D,20140106,000000,60.55,60.85,60.44,60.44,76,0
ES5R.DE,D,20140107,000000,60.91,60.91,60.91,60.91,0,0
ES5R.DE,D,20140108,000000,61.1,61.11,60.9,61.11,347,0
ES5R.DE,D,20140109,000000,60.87,60.87,60.87,60.87,0,0
ES5R.DE,D,20140110,000000,61.13,61.13,61.13,61.13,0,0
ES5R.DE,D,20140113,000000,61.46,61.48,61.45,61.45,231,0
ES5R.DE,D,20140114,000000,61.2,61.47,61.2,61.47,100,0
ES5R.DE,D,20140115,000000,62.02,62.26,62.02,62.26,2430,0
ES5R.DE,D,20140116,000000,61.92,61.92,61.92,61.92,0,0
ES5R.DE,D,20140117,000000,62.18,62.18,62.18,62.18,0,0
ES5R.DE,D,20140120,000000,62,62,62,62,0,0
ES5R.DE,D,20140121,000000,62.13,62.13,61.9,61.9,510,0
ES5R.DE,D,20140122,000000,61.89,62.1,61.89,62.1,5065,0
ES5R.DE,D,20140123,000000,61.89,61.96,60.89,61.11,5417,0
ES5R.DE,D,20140124,000000,59.59,59.59,59.59,59.59,0,0
ES5R.DE,D,20140127,000000,59.07,59.58,59.07,59.19,2281,0
ES5R.DE,D,20140128,000000,60.04,60.04,60.04,60.04,0,0
ES5R.DE,D,20140129,000000,59.57,59.57,59.57,59.57,0,0
ES5R.DE,D,20140130,000000,59.85,59.85,59.85,59.85,0,0
ES5R.DE,D,20140131,000000,59.49,59.49,59.49,59.49,0,0
ES5R.DE,D,20140203,000000,58.46,58.46,58.46,58.46,0,0
ES5R.DE,D,20140204,000000,58.69,58.69,58.69,58.69,0,0
ES5R.DE,D,20140205,000000,58.7,58.7,58.7,58.7,0,0
ES5R.DE,D,20140206,000000,59.74,59.74,59.74,59.74,0,0
ES5R.DE,D,20140207,000000,60.13,60.13,60.13,60.13,0,0
ES5R.DE,D,20140210,000000,60.05,60.05,60.05,60.05,0,0
ES5R.DE,D,20140211,000000,60.96,60.96,60.96,60.96,0,0
ES5R.DE,D,20140212,000000,61.28,61.56,61.28,61.56,1320,0
ES5R.DE,D,20140213,000000,61.29,61.41,61.29,61.41,120,0
ES5R.DE,D,20140214,000000,61.84,61.84,61.68,61.68,80,0
ES5R.DE,D,20140217,000000,61.91,61.91,61.91,61.91,0,0
ES5R.DE,D,20140218,000000,61.85,61.85,61.85,61.85,0,0
ES5R.DE,D,20140219,000000,61.41,61.71,61.41,61.71,240,0
ES5R.DE,D,20140220,000000,61.6,61.6,61.6,61.6,0,0
ES5R.DE,D,20140221,000000,61.85,61.85,61.85,61.85,0,0
ES5R.DE,D,20140224,000000,62.38,62.38,62.38,62.38,0,0
ES5R.DE,D,20140225,000000,62.48,62.48,62.48,62.48,0,0
ES5R.DE,D,20140226,000000,62.36,62.36,62.36,62.36,0,0
ES5R.DE,D,20140227,000000,62.28,62.28,62.28,62.28,0,0
ES5R.DE,D,20140228,000000,62.68,62.68,62.68,62.68,0,0
ES5R.DE,D,20140303,000000,61.5,61.5,60.94,60.94,235,0
ES5R.DE,D,20140304,000000,61.76,62.28,61.76,62.28,30,0
ES5R.DE,D,20140305,000000,62.11,62.46,62.11,62.32,75,0
ES5R.DE,D,20140306,000000,62.89,62.89,62.58,62.58,100,0
ES5R.DE,D,20140307,000000,61.85,61.85,61.85,61.85,0,0
ES5R.DE,D,20140310,000000,61.44,61.44,61.44,61.44,0,0
ES5R.DE,D,20140311,000000,61.53,61.53,61.53,61.53,0,0
ES5R.DE,D,20140312,000000,60.95,60.95,60.9,60.9,3600,0
ES5R.DE,D,20140313,000000,61,61,60.26,60.26,500,0
ES5R.DE,D,20140314,000000,59.63,59.72,59.63,59.72,640,0
ES5R.DE,D,20140317,000000,60.59,60.59,60.59,60.59,0,0
ES5R.DE,D,20140318,000000,60.73,60.96,60.73,60.96,50,0
ES5R.DE,D,20140319,000000,60.94,60.94,60.94,60.94,0,0
ES5R.DE,D,20140320,000000,60.93,60.93,60.93,60.93,0,0
ES5R.DE,D,20140321,000000,60.91,60.91,60.91,60.91,17,0
ES5R.DE,D,20140324,000000,59.99,59.99,59.99,59.99,0,0
ES5R.DE,D,20140325,000000,60.74,60.74,60.74,60.74,0,0
ES5R.DE,D,20140326,000000,61.38,61.38,61.38,61.38,0,0
ES5R.DE,D,20140327,000000,61.44,61.44,61.44,61.44,0,0
ES5R.DE,D,20140328,000000,61.72,61.72,61.72,61.72,0,0
ES5R.DE,D,20140331,000000,61.91,61.91,61.91,61.91,0,0
ES5R.DE,D,20140401,000000,62.54,62.54,62.5,62.5,174,0
ES5R.DE,D,20140402,000000,62.52,62.52,62.52,62.52,0,0
ES5R.DE,D,20140403,000000,62.89,62.89,62.64,62.64,30,0
ES5R.DE,D,20140404,000000,63.07,63.07,63.07,63.07,0,0
ES5R.DE,D,20140407,000000,62.21,62.21,62.21,62.21,0,0
ES5R.DE,D,20140408,000000,62.3,62.3,61.54,61.54,3570,0
ES5R.DE,D,20140409,000000,62.07,62.07,62.07,62.07,0,0
ES5R.DE,D,20140410,000000,61.65,61.65,61.65,61.65,0,0
ES5R.DE,D,20140411,000000,60.68,60.68,60.68,60.68,0,0
ES5R.DE,D,20140414,000000,60.81,60.81,60.34,60.34,4,0
ES5R.DE,D,20140415,000000,59.49,59.49,59.49,59.49,0,0
ES5R.DE,D,20140416,000000,60.5,60.5,60.5,60.5,0,0
ES5R.DE,D,20140417,000000,61.28,61.28,61.28,61.28,0,0
ES5R.DE,D,20140422,000000,62.26,62.26,62.26,62.26,0,0
ES5R.DE,D,20140423,000000,62.06,62.06,61.87,61.87,10,0
ES5R.DE,D,20140424,000000,61.93,61.93,61.93,61.93,0,0
ES5R.DE,D,20140425,000000,61.3,61.3,61.3,61.3,0,0
ES5R.DE,D,20140428,000000,61.37,61.37,61.37,61.37,0,0
ES5R.DE,D,20140429,000000,62.17,62.17,62.17,62.17,0,0
ES5R.DE,D,20140430,000000,61.98,61.98,61.98,61.98,0,0
ES5R.DE,D,20140502,000000,62.75,62.75,62.13,62.13,30,0
ES5R.DE,D,20140505,000000,61.31,61.99,61.31,61.99,100,0
ES5R.DE,D,20140506,000000,61.74,61.74,61.74,61.74,0,0
ES5R.DE,D,20140507,000000,61.44,61.44,61.44,61.44,0,0
ES5R.DE,D,20140508,000000,62.06,62.06,62.06,62.06,0,0
ES5R.DE,D,20140509,000000,61.88,61.88,61.88,61.88,0,0
ES5R.DE,D,20140512,000000,62.45,62.45,62.45,62.45,0,0
ES5R.DE,D,20140513,000000,62.6,62.6,62.6,62.6,0,0
ES5R.DE,D,20140514,000000,62.48,62.48,62.48,62.48,0,0
ES5R.DE,D,20140515,000000,61.24,61.24,61.24,61.24,0,0
ES5R.DE,D,20140516,000000,60.83,60.83,60.83,60.83,0,0
ES5R.DE,D,20140519,000000,61.23,61.23,61.23,61.23,0,0
ES5R.DE,D,20140520,000000,61.55,61.55,61.55,61.55,0,0
ES5R.DE,D,20140521,000000,62.08,62.08,62.08,62.08,0,0
ES5R.DE,D,20140522,000000,62.35,62.35,62.35,62.35,0,0
ES5R.DE,D,20140523,000000,62.45,62.52,62.45,62.52,35,0
ES5R.DE,D,20140526,000000,63.29,63.29,63.29,63.29,0,0
ES5R.DE,D,20140527,000000,63.43,63.43,63.43,63.43,0,0
ES5R.DE,D,20140528,000000,63.55,63.55,63.55,63.55,0,0
ES5R.DE,D,20140529,000000,63.53,63.53,63.53,63.53,0,0
ES5R.DE,D,20140530,000000,63.57,63.57,63.57,63.57,0,0
ES5R.DE,D,20140602,000000,63.68,63.68,63.68,63.68,0,0
ES5R.DE,D,20140603,000000,63.41,63.41,63.41,63.41,0,0
ES5R.DE,D,20140604,000000,63.52,63.52,63.52,63.52,0,0
ES5R.DE,D,20140605,000000,64.02,64.02,64,64,20,0
ES5R.DE,D,20140606,000000,64.76,64.76,64.76,64.76,0,0
ES5R.DE,D,20140609,000000,64.87,64.87,64.87,64.87,0,0
ES5R.DE,D,20140610,000000,64.5,64.79,64.5,64.79,35,0
ES5R.DE,D,20140611,000000,64.33,64.33,64.33,64.33,0,0
ES5R.DE,D,20140612,000000,64.34,64.34,64.34,64.34,0,0
ES5R.DE,D,20140613,000000,63.77,63.77,63.77,63.77,0,0
ES5R.DE,D,20140617,000000,63.6,63.6,63.6,63.6,0,0
ES5R.DE,D,20140618,000000,63.38,63.38,63.38,63.38,0,0
