<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETLK.DE,D,20200420,000000,8.435,8.511,8.435,8.511,8908,0
ETLK.DE,D,20200421,000000,8.156,8.161,8.147,8.156,9230,0
ETLK.DE,D,20200422,000000,8.293,8.402,8.293,8.365,10846,0
ETLK.DE,D,20200423,000000,8.41,8.451,8.37,8.425,6603,0
ETLK.DE,D,20200424,000000,8.425,8.45,8.417,8.417,8478,0
ETLK.DE,D,20200427,000000,8.493,8.526,8.446,8.526,8417,0
ETLK.DE,D,20200428,000000,8.546,8.635,8.546,8.618,4670,0
ETLK.DE,D,20200429,000000,8.634,8.84,8.634,8.747,22143,0
ETLK.DE,D,20200430,000000,8.832,8.832,8.644,8.644,10186,0
ETLK.DE,D,20200504,000000,8.312,8.34,8.291,8.335,7599,0
ETLK.DE,D,20200505,000000,8.51,8.57,8.51,8.563,9439,0
ETLK.DE,D,20200506,000000,8.63,8.67,8.518,8.518,36260,0
ETLK.DE,D,20200507,000000,8.539,8.596,8.539,8.594,6675,0
ETLK.DE,D,20200508,000000,8.626,8.656,8.626,8.648,8969,0
ETLK.DE,D,20200511,000000,8.793,8.803,8.674,8.675,4472,0
ETLK.DE,D,20200512,000000,8.655,8.667,8.61,8.652,3919,0
ETLK.DE,D,20200513,000000,8.659,8.659,8.567,8.567,6169,0
ETLK.DE,D,20200514,000000,8.448,8.448,8.324,8.398,5177,0
ETLK.DE,D,20200515,000000,8.499,8.517,8.439,8.448,5313,0
ETLK.DE,D,20200518,000000,8.712,8.764,8.677,8.764,4806,0
ETLK.DE,D,20200519,000000,8.767,8.767,8.657,8.728,7499,0
ETLK.DE,D,20200520,000000,8.717,8.818,8.717,8.806,7548,0
ETLK.DE,D,20200521,000000,8.648,8.648,8.588,8.588,8,0
ETLK.DE,D,20200522,000000,8.449,8.47,8.449,8.47,6956,0
ETLK.DE,D,20200525,000000,8.597,8.619,8.55,8.619,5764,0
ETLK.DE,D,20200526,000000,8.733,8.782,8.725,8.742,4422,0
ETLK.DE,D,20200527,000000,8.764,8.796,8.675,8.697,3678,0
ETLK.DE,D,20200528,000000,8.719,8.76,8.719,8.729,3133,0
ETLK.DE,D,20200529,000000,8.585,8.59,8.481,8.494,25500,0
ETLK.DE,D,20200602,000000,8.922,9.014,8.922,9.011,4461,0
ETLK.DE,D,20200603,000000,9.156,9.312,9.156,9.256,12636,0
ETLK.DE,D,20200604,000000,9.206,9.212,9.151,9.151,22638,0
ETLK.DE,D,20200605,000000,9.227,9.496,9.227,9.476,3860,0
ETLK.DE,D,20200608,000000,9.428,9.495,9.428,9.465,4903,0
ETLK.DE,D,20200609,000000,9.658,9.658,9.385,9.385,7117,0
ETLK.DE,D,20200610,000000,9.448,9.448,9.377,9.395,9593,0
ETLK.DE,D,20200611,000000,9.455,9.455,8.972,8.972,0,0
ETLK.DE,D,20200612,000000,9.054,9.1,8.974,9.1,30708,0
ETLK.DE,D,20200615,000000,9.398,9.398,8.85,9.069,12493,0
ETLK.DE,D,20200616,000000,9.108,9.31,9.108,9.159,4847,0
ETLK.DE,D,20200617,000000,9.223,9.309,9.197,9.273,6202,0
ETLK.DE,D,20200618,000000,9.2,9.239,9.14,9.214,7712,0
ETLK.DE,D,20200619,000000,9.27,9.284,9.194,9.25,8674,0
ETLK.DE,D,20200622,000000,9.242,9.262,9.189,9.231,9365,0
ETLK.DE,D,20200623,000000,9.26,9.33,9.26,9.318,5995,0
ETLK.DE,D,20200624,000000,9.252,9.252,9.09,9.09,4797,0
ETLK.DE,D,20200625,000000,9.08,9.174,9.061,9.098,9292,0
ETLK.DE,D,20200626,000000,9.203,9.203,9.077,9.077,6181,0
ETLK.DE,D,20200629,000000,9.072,9.138,9.042,9.138,2916,0
ETLK.DE,D,20200630,000000,9.188,9.242,9.123,9.179,2911,0
ETLK.DE,D,20200701,000000,9.172,9.345,9.151,9.216,7486,0
ETLK.DE,D,20200702,000000,9.381,9.579,9.38,9.457,10750,0
ETLK.DE,D,20200703,000000,9.431,9.475,9.409,9.409,25277,0
ETLK.DE,D,20200706,000000,9.673,9.673,9.504,9.545,5807,0
ETLK.DE,D,20200707,000000,9.435,9.501,9.403,9.476,147,0
ETLK.DE,D,20200708,000000,9.349,9.401,9.295,9.341,18246,0
ETLK.DE,D,20200709,000000,9.341,9.41,9.287,9.287,20823,0
ETLK.DE,D,20200710,000000,9.684,9.684,9.3,9.325,13909,0
ETLK.DE,D,20200713,000000,9.359,9.389,9.328,9.389,8409,0
ETLK.DE,D,20200714,000000,9.276,9.293,9.249,9.293,3322,0
ETLK.DE,D,20200715,000000,9.364,9.426,9.34,9.406,8144,0
ETLK.DE,D,20200716,000000,9.263,9.263,9.227,9.247,33172,0
ETLK.DE,D,20200717,000000,9.273,9.273,9.241,9.256,8647,0
ETLK.DE,D,20200720,000000,9.135,9.267,9.135,9.267,47577,0
ETLK.DE,D,20200721,000000,9.431,9.5,9.431,9.439,4962,0
ETLK.DE,D,20200722,000000,9.372,9.372,9.231,9.271,8164,0
ETLK.DE,D,20200723,000000,9.316,9.316,9.264,9.264,3342,0
ETLK.DE,D,20200724,000000,9.115,9.142,9.085,9.085,8133,0
ETLK.DE,D,20200727,000000,9.094,9.094,9.052,9.052,4059,0
ETLK.DE,D,20200728,000000,9.056,9.08,9.049,9.075,4046,0
ETLK.DE,D,20200729,000000,9.087,9.105,9.085,9.085,5626,0
ETLK.DE,D,20200730,000000,9.049,9.049,8.94,8.952,8926,0
ETLK.DE,D,20200731,000000,8.9,8.962,8.878,8.878,12354,0
ETLK.DE,D,20200803,000000,8.916,9.014,8.916,9.013,5738,0
ETLK.DE,D,20200804,000000,9.125,9.125,9.071,9.094,20966,0
ETLK.DE,D,20200805,000000,9.091,9.13,9.091,9.091,73088,0
ETLK.DE,D,20200806,000000,9.072,9.079,9.063,9.079,0,0
ETLK.DE,D,20200807,000000,9.062,9.082,9.048,9.075,12519,0
ETLK.DE,D,20200810,000000,9.15,9.186,9.146,9.146,13872,0
ETLK.DE,D,20200811,000000,9.27,9.32,9.27,9.282,6132,0
ETLK.DE,D,20200812,000000,9.279,9.35,9.279,9.35,144996,0
ETLK.DE,D,20200813,000000,9.223,9.244,9.22,9.237,4528,0
ETLK.DE,D,20200814,000000,9.251,9.251,9.181,9.21,6616,0
ETLK.DE,D,20200817,000000,9.202,9.253,9.196,9.253,3361,0
ETLK.DE,D,20200818,000000,9.21,9.249,9.184,9.19,10097,0
ETLK.DE,D,20200819,000000,9.249,9.278,9.24,9.278,3932,0
ETLK.DE,D,20200820,000000,9.123,9.154,9.123,9.147,4859,0
ETLK.DE,D,20200821,000000,9.193,9.224,9.193,9.197,7481,0
ETLK.DE,D,20200824,000000,9.3,9.316,9.286,9.3,6441,0
ETLK.DE,D,20200825,000000,9.336,9.336,9.259,9.27,4112,0
ETLK.DE,D,20200826,000000,9.266,9.327,9.266,9.327,25313,0
ETLK.DE,D,20200827,000000,9.297,9.303,9.268,9.302,4224,0
ETLK.DE,D,20200828,000000,9.355,9.355,9.289,9.289,4853,0
ETLK.DE,D,20200831,000000,9.34,9.34,9.223,9.223,4224,0
ETLK.DE,D,20200901,000000,9.212,9.225,9.212,9.225,7863,0
ETLK.DE,D,20200902,000000,9.346,9.415,9.346,9.381,22960,0
ETLK.DE,D,20200903,000000,9.446,9.446,9.251,9.251,32292,0
ETLK.DE,D,20200904,000000,9.116,9.208,9.069,9.069,26261,0
ETLK.DE,D,20200907,000000,9.2,9.27,9.2,9.264,22509,0
ETLK.DE,D,20200908,000000,9.278,9.278,9.104,9.116,21663,0
ETLK.DE,D,20200909,000000,9.106,9.204,9.106,9.204,10463,0
ETLK.DE,D,20200910,000000,9.14,9.14,9.062,9.062,6971,0
ETLK.DE,D,20200911,000000,9.09,9.096,9.07,9.079,5632,0
ETLK.DE,D,20200914,000000,9.156,9.156,9.1,9.13,4212,0
ETLK.DE,D,20200915,000000,9.16,9.242,9.159,9.239,5192,0
ETLK.DE,D,20200916,000000,9.256,9.278,9.255,9.271,4081,0
ETLK.DE,D,20200917,000000,9.156,9.156,9.14,9.152,7987,0
ETLK.DE,D,20200918,000000,9.122,9.158,9.097,9.097,6815,0
ETLK.DE,D,20200921,000000,9.037,9.037,8.894,8.894,25631,0
ETLK.DE,D,20200922,000000,8.955,8.988,8.945,8.945,5603,0
ETLK.DE,D,20200923,000000,9.045,9.075,9.029,9.029,13371,0
ETLK.DE,D,20200924,000000,8.934,8.954,8.924,8.928,17480,0
ETLK.DE,D,20200925,000000,9.04,9.04,8.944,9,8024,0
ETLK.DE,D,20200928,000000,9.048,9.09,9.034,9.09,22150,0
ETLK.DE,D,20200929,000000,9.02,9.02,8.97,8.97,7470,0
ETLK.DE,D,20200930,000000,8.899,9.03,8.899,8.984,7760,0
ETLK.DE,D,20201001,000000,9.058,9.08,9.038,9.038,5819,0
ETLK.DE,D,20201002,000000,8.949,9.04,8.949,9.04,8670,0
ETLK.DE,D,20201005,000000,9.123,9.123,9.093,9.105,50210,0
ETLK.DE,D,20201006,000000,9.114,9.146,9.11,9.13,13974,0
ETLK.DE,D,20201007,000000,9.216,9.228,9.191,9.222,13040,0
ETLK.DE,D,20201008,000000,9.264,9.287,9.252,9.263,13191,0
ETLK.DE,D,20201009,000000,9.262,9.282,9.242,9.282,6056,0
ETLK.DE,D,20201012,000000,9.289,9.358,9.289,9.353,9956,0
ETLK.DE,D,20201013,000000,9.36,9.377,9.353,9.361,22002,0
ETLK.DE,D,20201014,000000,9.361,9.398,9.361,9.367,8505,0
ETLK.DE,D,20201015,000000,9.295,9.295,9.226,9.238,52673,0
ETLK.DE,D,20201016,000000,9.256,9.275,9.23,9.275,9153,0
