<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EUN8.DE,D,20100714,000000,106.888057,106.888057,106.888057,106.888057,0,0
EUN8.DE,D,20100715,000000,106.993462,106.993462,106.993462,106.993462,0,0
EUN8.DE,D,20100716,000000,107.609671,107.609671,107.609671,107.609671,0,0
EUN8.DE,D,20100719,000000,107.415079,107.415079,107.415079,107.415079,0,0
EUN8.DE,D,20100720,000000,107.836696,107.836696,107.836696,107.836696,0,0
EUN8.DE,D,20100721,000000,107.836696,107.836696,107.836696,107.836696,0,0
EUN8.DE,D,20100722,000000,107.755616,107.755616,107.633996,107.633996,7558,0
EUN8.DE,D,20100723,000000,107.723184,107.723184,107.723184,107.723184,0,0
EUN8.DE,D,20100726,000000,107.747508,107.747508,107.747508,107.747508,0,0
EUN8.DE,D,20100727,000000,107.990749,107.990749,107.990749,107.990749,0,0
EUN8.DE,D,20100728,000000,107.950208,107.950208,107.950208,107.950208,0,0
EUN8.DE,D,20100729,000000,108.209665,108.209665,108.209665,108.209665,0,0
EUN8.DE,D,20100730,000000,108.47723,108.47723,108.47723,108.47723,0,0
EUN8.DE,D,20100802,000000,108.412366,108.412366,108.412366,108.412366,0,0
EUN8.DE,D,20100804,000000,109.369112,109.369112,109.369112,109.369112,0,0
EUN8.DE,D,20100805,000000,109.806945,109.806945,109.806945,109.806945,0,0
EUN8.DE,D,20100806,000000,110.301535,110.301535,110.301535,110.301535,0,0
EUN8.DE,D,20100809,000000,110.244779,110.244779,110.244779,110.244779,0,0
EUN8.DE,D,20100810,000000,109.620461,109.620461,109.620461,109.620461,0,0
EUN8.DE,D,20100812,000000,110.15559,110.15559,110.15559,110.15559,0,0
EUN8.DE,D,20100813,000000,109.920458,109.920458,109.920458,109.920458,0,0
EUN8.DE,D,20100816,000000,110.374507,110.374507,110.374507,110.374507,0,0
EUN8.DE,D,20100817,000000,110.536667,110.536667,110.536667,110.536667,0,0
EUN8.DE,D,20100818,000000,111.152877,111.152877,111.152877,111.152877,0,0
EUN8.DE,D,20100819,000000,111.233957,111.233957,111.233957,111.233957,0,0
EUN8.DE,D,20100820,000000,111.315038,111.315038,111.315038,111.315038,0,0
EUN8.DE,D,20100823,000000,111.331254,111.331254,111.331254,111.331254,0,0
EUN8.DE,D,20100824,000000,111.825843,111.825843,111.825843,111.825843,0,0
EUN8.DE,D,20100825,000000,112.16638,112.16638,112.16638,112.16638,0,0
EUN8.DE,D,20100826,000000,112.16638,112.16638,112.16638,112.16638,0,0
EUN8.DE,D,20100827,000000,111.663683,111.663683,111.663683,111.663683,0,0
EUN8.DE,D,20100830,000000,111.898815,111.898815,111.898815,111.898815,0,0
EUN8.DE,D,20100831,000000,111.955571,111.955571,111.955571,111.955571,0,0
EUN8.DE,D,20100901,000000,111.842059,111.842059,111.574494,111.574494,5,0
EUN8.DE,D,20100902,000000,111.493414,111.493414,111.493414,111.493414,0,0
EUN8.DE,D,20100903,000000,111.071797,111.071797,111.071797,111.071797,0,0
EUN8.DE,D,20100906,000000,111.136661,111.136661,110.909637,110.909637,5,0
EUN8.DE,D,20100907,000000,111.315038,111.315038,111.315038,111.315038,0,0
EUN8.DE,D,20100908,000000,111.290714,111.290714,111.290714,111.290714,0,0
EUN8.DE,D,20100909,000000,111.160985,111.160985,111.160985,111.160985,0,0
EUN8.DE,D,20100913,000000,110.123158,110.123158,110.123158,110.123158,0,0
EUN8.DE,D,20100914,000000,110.317751,110.317751,110.317751,110.317751,0,0
EUN8.DE,D,20100915,000000,110.017754,110.017754,110.017754,110.017754,0,0
EUN8.DE,D,20100917,000000,109.693433,109.693433,109.693433,109.693433,0,0
EUN8.DE,D,20100920,000000,109.612353,109.612353,109.239384,109.239384,110,0
EUN8.DE,D,20100921,000000,109.604245,109.604245,109.604245,109.604245,0,0
EUN8.DE,D,20100923,000000,110.666396,110.666396,110.666396,110.666396,0,0
EUN8.DE,D,20100924,000000,110.260995,110.260995,110.260995,110.260995,0,0
EUN8.DE,D,20100927,000000,110.804232,110.804232,110.804232,110.804232,0,0
EUN8.DE,D,20100928,000000,110.723152,110.723152,110.723152,110.723152,0,0
EUN8.DE,D,20100929,000000,110.804232,110.804232,110.804232,110.804232,0,0
EUN8.DE,D,20100930,000000,111.006933,111.006933,111.006933,111.006933,0,0
EUN8.DE,D,20101001,000000,111.120445,111.120445,111.120445,111.120445,0,0
EUN8.DE,D,20101004,000000,111.42855,111.42855,111.42855,111.42855,0,0
EUN8.DE,D,20101005,000000,111.26639,111.26639,111.26639,111.26639,0,0
EUN8.DE,D,20101007,000000,111.46909,111.46909,111.46909,111.46909,0,0
EUN8.DE,D,20101008,000000,111.809627,111.809627,111.809627,111.809627,0,0
EUN8.DE,D,20101011,000000,111.866383,111.866383,111.866383,111.866383,0,0
