<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXHB.DE,D,20070102,000000,80.720331,80.809678,80.720331,80.801555,7964,0
EXHB.DE,D,20070103,000000,80.793433,81.012738,80.744699,80.793433,6642,0
EXHB.DE,D,20070104,000000,80.834045,80.834045,80.777188,80.793433,5773,0
EXHB.DE,D,20070105,000000,80.793433,80.85029,80.728454,80.744699,10421,0
EXHB.DE,D,20070108,000000,80.801555,80.8178,80.752821,80.760943,27557,0
EXHB.DE,D,20070109,000000,80.801555,80.809678,80.655352,80.777188,8359,0
EXHB.DE,D,20070110,000000,80.744699,80.809678,80.663475,80.720331,16965,0
EXHB.DE,D,20070115,000000,80.777188,80.825923,80.769066,80.769066,6084,0
EXHB.DE,D,20070116,000000,80.785311,80.85029,80.777188,80.777188,7625,0
EXHB.DE,D,20070117,000000,80.85029,80.858412,80.809678,80.85029,2135,0
EXHB.DE,D,20070118,000000,80.801555,80.842167,80.801555,80.834045,1383,0
EXHB.DE,D,20070119,000000,80.809678,80.882779,80.809678,80.874657,10576,0
EXHB.DE,D,20070122,000000,80.809678,80.882779,80.809678,80.882779,5194,0
EXHB.DE,D,20070123,000000,80.858412,80.907146,80.85029,80.85029,23370,0
EXHB.DE,D,20070124,000000,80.882779,80.890902,80.825923,80.825923,1877,0
EXHB.DE,D,20070125,000000,80.858412,80.923391,80.8178,80.8178,13311,0
EXHB.DE,D,20070126,000000,80.866535,80.882779,80.8178,80.834045,8712,0
EXHB.DE,D,20070129,000000,80.834045,80.882779,80.8178,80.874657,12747,0
EXHB.DE,D,20070130,000000,80.874657,80.899024,80.825923,80.882779,4576,0
EXHB.DE,D,20070131,000000,80.842167,80.899024,80.842167,80.858412,38485,0
EXHB.DE,D,20070201,000000,80.947758,80.955881,80.890902,80.907146,2301,0
EXHB.DE,D,20070202,000000,80.874657,81.004615,80.866535,81.004615,4904,0
EXHB.DE,D,20070205,000000,81.02086,81.118329,80.980248,81.028982,4312,0
EXHB.DE,D,20070206,000000,80.98837,81.045227,80.972126,81.02086,89079,0
EXHB.DE,D,20070207,000000,81.045227,81.118329,80.907146,81.045227,3003,0
EXHB.DE,D,20070208,000000,81.069594,81.069594,81.004615,81.012738,5209,0
EXHB.DE,D,20070209,000000,80.955881,81.012738,80.947758,80.947758,8612,0
EXHB.DE,D,20070212,000000,80.996493,81.004615,80.947758,80.964003,1451,0
EXHB.DE,D,20070213,000000,80.939636,81.004615,80.931514,80.996493,9087,0
EXHB.DE,D,20070214,000000,80.947758,80.996493,80.947758,80.947758,1143,0
EXHB.DE,D,20070215,000000,81.037105,81.085839,81.037105,81.085839,1059,0
EXHB.DE,D,20070216,000000,81.102084,81.102084,81.037105,81.085839,3410,0
EXHB.DE,D,20070219,000000,81.05335,81.05335,81.004615,81.004615,2439,0
EXHB.DE,D,20070220,000000,81.004615,81.061472,80.98837,81.061472,8392,0
EXHB.DE,D,20070221,000000,81.093961,81.102084,81.028982,81.028982,9069,0
EXHB.DE,D,20070222,000000,81.102084,81.102084,81.028982,81.085839,57924,0
EXHB.DE,D,20070226,000000,81.126451,81.167063,81.093961,81.167063,59237,0
EXHB.DE,D,20070227,000000,81.158941,81.232042,81.150818,81.175185,6031,0
EXHB.DE,D,20070228,000000,81.240165,81.288899,81.215797,81.288899,9635,0
EXHB.DE,D,20070301,000000,81.272654,81.337633,81.207675,81.288899,54363,0
EXHB.DE,D,20070302,000000,81.248287,81.337633,81.248287,81.337633,17782,0
EXHB.DE,D,20070305,000000,81.410735,81.410735,81.345756,81.345756,6471,0
EXHB.DE,D,20070306,000000,81.345756,81.353878,81.280776,81.305144,31285,0
EXHB.DE,D,20070307,000000,81.329511,81.345756,81.280776,81.305144,6148,0
EXHB.DE,D,20070308,000000,81.305144,81.353878,81.280776,81.280776,12081,0
EXHB.DE,D,20070309,000000,81.280776,81.337633,81.280776,81.297021,3234,0
EXHB.DE,D,20070312,000000,81.280776,81.345756,81.232042,81.345756,197924,0
EXHB.DE,D,20070313,000000,81.337633,81.353878,81.280776,81.280776,28718,0
