<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXXU.DE,D,20201218,000000,55.55,55.77,55.5,55.77,2659,0
EXXU.DE,D,20201221,000000,55.83,55.83,54.87,55.51,1283,0
EXXU.DE,D,20201222,000000,55.15,55.51,55.13,55.13,2405,0
EXXU.DE,D,20201223,000000,55.53,55.89,55.53,55.62,2066,0
EXXU.DE,D,20201228,000000,55.6,55.6,54.11,54.52,13278,0
EXXU.DE,D,20201229,000000,54.87,55.54,54.79,55.54,1813,0
EXXU.DE,D,20201230,000000,56.25,56.64,56.25,56.37,2485,0
EXXU.DE,D,20210104,000000,58.04,58.04,57.24,57.24,8655,0
EXXU.DE,D,20210105,000000,57.53,58.2,57.3,58.2,6891,0
EXXU.DE,D,20210106,000000,58.66,58.73,58.27,58.6,6649,0
EXXU.DE,D,20210107,000000,57.98,57.98,57.25,57.49,5219,0
EXXU.DE,D,20210108,000000,58.48,59.63,58.41,59.63,6230,0
EXXU.DE,D,20210111,000000,60.04,60.33,59.37,59.65,16351,0
EXXU.DE,D,20210112,000000,59.99,60.13,59.86,59.98,1678,0
EXXU.DE,D,20210113,000000,60.03,60.03,59.54,59.65,3251,0
EXXU.DE,D,20210114,000000,60.82,61.48,60.76,61.22,2377,0
EXXU.DE,D,20210115,000000,60.99,61.39,60.64,60.65,9954,0
EXXU.DE,D,20210118,000000,61.82,62.25,61.75,62.09,4787,0
EXXU.DE,D,20210119,000000,62.74,63.26,62.74,63.16,3608,0
EXXU.DE,D,20210120,000000,64.98,65.47,64.7,64.94,15017,0
EXXU.DE,D,20210121,000000,65.01,65.03,64.22,64.82,3644,0
EXXU.DE,D,20210122,000000,64.19,64.25,63.79,64.22,3444,0
EXXU.DE,D,20210125,000000,65.61,66.96,65.61,66.1,8589,0
EXXU.DE,D,20210126,000000,65.22,65.5,65.09,65.09,1765,0
EXXU.DE,D,20210127,000000,64.38,64.38,63.67,64.31,4597,0
EXXU.DE,D,20210128,000000,62.46,62.92,61.61,62.92,4558,0
EXXU.DE,D,20210129,000000,62.31,62.74,62.08,62.53,1956,0
EXXU.DE,D,20210201,000000,63.46,64.21,63.46,63.54,7117,0
EXXU.DE,D,20210202,000000,65.1,65.43,64.89,65.06,4126,0
EXXU.DE,D,20210203,000000,65.72,66.29,65.71,66.12,7213,0
EXXU.DE,D,20210204,000000,65.73,66.17,65.65,65.91,1382,0
EXXU.DE,D,20210205,000000,66.31,66.39,66,66.11,3473,0
EXXU.DE,D,20210208,000000,66.31,66.47,65.73,66.25,8333,0
EXXU.DE,D,20210209,000000,66.13,67.21,66,67.21,3186,0
EXXU.DE,D,20210210,000000,67.68,68.64,67.48,67.97,8512,0
EXXU.DE,D,20210211,000000,68.53,69.27,68.53,69.2,1787,0
EXXU.DE,D,20210212,000000,68.69,69.17,68.69,69.17,5096,0
EXXU.DE,D,20210215,000000,69.31,69.86,69.06,69.8,8546,0
EXXU.DE,D,20210216,000000,69.1,69.99,68.98,69.64,8394,0
EXXU.DE,D,20210217,000000,70.35,70.91,69.67,69.73,18943,0
EXXU.DE,D,20210218,000000,68.97,68.97,67.22,67.77,7176,0
EXXU.DE,D,20210219,000000,68.06,69.07,68.01,68.95,10606,0
EXXU.DE,D,20210222,000000,67,67.07,66.32,66.45,5694,0
EXXU.DE,D,20210223,000000,66.1,66.1,63.24,64.66,24144,0
EXXU.DE,D,20210224,000000,63.48,64.14,63.29,63.83,6172,0
EXXU.DE,D,20210225,000000,64.27,64.27,63.18,63.29,5328,0
EXXU.DE,D,20210226,000000,61.34,61.86,60.8,61.86,9672,0
EXXU.DE,D,20210301,000000,63.02,63.85,62.74,63.85,6243,0
EXXU.DE,D,20210302,000000,63.68,63.68,62.77,62.77,4837,0
EXXU.DE,D,20210303,000000,63.91,64.23,63.02,63.29,12826,0
EXXU.DE,D,20210304,000000,61.44,61.81,60.92,61.36,1780,0
EXXU.DE,D,20210305,000000,61.19,61.55,60.17,60.22,3302,0
EXXU.DE,D,20210308,000000,60.04,60.22,59.08,59.64,8972,0
EXXU.DE,D,20210309,000000,58.64,60.69,58.47,60.64,12217,0
EXXU.DE,D,20210310,000000,60.98,61.26,60.25,60.3,6517,0
EXXU.DE,D,20210311,000000,61.83,62.46,61.53,62.31,20430,0
EXXU.DE,D,20210312,000000,61.78,61.78,60.67,60.67,944,0
EXXU.DE,D,20210315,000000,61.08,61.08,60.46,60.68,2347,0
EXXU.DE,D,20210316,000000,61.09,61.92,61.09,61.75,1571,0
EXXU.DE,D,20210317,000000,61.32,61.32,60.47,60.89,3836,0
EXXU.DE,D,20210318,000000,61.69,61.69,61.3,61.32,1774,0
EXXU.DE,D,20210319,000000,60.46,60.98,60.43,60.87,1715,0
EXXU.DE,D,20210322,000000,60.91,60.91,60.39,60.71,2313,0
EXXU.DE,D,20210323,000000,59.74,59.79,59.41,59.67,5252,0
EXXU.DE,D,20210324,000000,59.02,59.02,57.62,57.62,6291,0
EXXU.DE,D,20210325,000000,57.36,57.42,56.6,57.42,5679,0
EXXU.DE,D,20210326,000000,57.84,58.18,56.97,56.97,16743,0
EXXU.DE,D,20210329,000000,57.15,57.44,56.98,57.13,14393,0
EXXU.DE,D,20210330,000000,57.57,58.38,57.52,58.38,5612,0
EXXU.DE,D,20210331,000000,58.19,58.68,57.91,58.45,5149,0
EXXU.DE,D,20210401,000000,59.6,60.38,59.02,59.79,15502,0
EXXU.DE,D,20210406,000000,59.49,59.95,59.12,59.73,4860,0
EXXU.DE,D,20210407,000000,58.93,58.93,57.53,57.7,6428,0
