<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
F03.DE,D,20200116,000000,69.72,69.72,69.72,69.72,0,0
F03.DE,D,20200117,000000,71.18,71.18,71.18,71.18,0,0
F03.DE,D,20200120,000000,69.75,71.01,69.75,71.01,40,0
F03.DE,D,20200121,000000,69.29,70.03,69.29,70.03,37,0
F03.DE,D,20200122,000000,70.24,70.24,70.24,70.24,0,0
F03.DE,D,20200123,000000,70.1,70.1,70.1,70.1,0,0
F03.DE,D,20200124,000000,70.23,70.23,70.23,70.23,0,0
F03.DE,D,20200128,000000,68.45,68.45,68.45,68.45,0,0
F03.DE,D,20200129,000000,68.67,68.67,68.67,68.67,0,0
F03.DE,D,20200130,000000,68.32,68.32,68.32,68.32,0,0
F03.DE,D,20200131,000000,67.69,67.69,67.69,67.69,0,0
F03.DE,D,20200203,000000,67.6,67.6,67.6,67.6,0,0
F03.DE,D,20200204,000000,69.05,69.05,69.05,69.05,0,0
F03.DE,D,20200205,000000,70.46,70.46,70.46,70.46,0,0
F03.DE,D,20200206,000000,70.56,70.56,70.56,70.56,0,0
F03.DE,D,20200207,000000,71.29,71.29,71.29,71.29,0,0
F03.DE,D,20200210,000000,71.7,71.7,71.7,71.7,0,0
F03.DE,D,20200211,000000,72,72.56,72,72.56,25,0
F03.DE,D,20200212,000000,72.85,72.85,72.85,72.85,0,0
F03.DE,D,20200213,000000,71.58,71.58,71.58,71.58,0,0
F03.DE,D,20200214,000000,71.54,71.54,71.54,71.54,0,0
F03.DE,D,20200217,000000,71.66,71.66,71.66,71.66,0,0
F03.DE,D,20200218,000000,71.3,71.3,71.3,71.3,0,0
F03.DE,D,20200219,000000,71.79,71.79,71.79,71.79,0,0
F03.DE,D,20200220,000000,70.78,70.78,70.78,70.78,0,0
F03.DE,D,20200221,000000,70.11,70.11,70.11,70.11,0,0
F03.DE,D,20200226,000000,63.54,63.54,63.23,63.23,114,0
F03.DE,D,20200227,000000,62.69,63.04,61.88,61.88,165,0
F03.DE,D,20200228,000000,62.12,63.7,60.99,62.57,388,0
F03.DE,D,20200302,000000,60.58,61.51,60.58,61.51,55,0
F03.DE,D,20200303,000000,62.31,62.97,62.31,62.97,30,0
F03.DE,D,20200304,000000,62.64,62.64,62.64,62.64,0,0
F03.DE,D,20200305,000000,62.51,62.51,62.51,62.51,0,0
F03.DE,D,20200306,000000,59.95,59.95,59.12,59.12,35,0
F03.DE,D,20200310,000000,54.9,54.9,54.9,54.9,12,0
F03.DE,D,20200311,000000,53.59,53.59,53.59,53.59,0,0
F03.DE,D,20200312,000000,49.51,50.4,49.51,50.4,50,0
F03.DE,D,20200313,000000,50.71,50.71,50.71,50.71,0,0
F03.DE,D,20200317,000000,46.78,46.78,46.78,46.78,0,0
F03.DE,D,20200318,000000,38.82,38.85,38.82,38.85,9,0
F03.DE,D,20200320,000000,43.045,43.045,43.045,43.045,0,0
F03.DE,D,20200325,000000,45,47.18,45,47.18,270,0
F03.DE,D,20200326,000000,46.97,46.97,46.97,46.97,0,0
F03.DE,D,20200330,000000,44.31,46.76,44.035,46.76,137,0
F03.DE,D,20200401,000000,48.685,48.685,48.685,48.685,0,0
F03.DE,D,20200403,000000,51.14,51.14,51.14,51.14,0,0
F03.DE,D,20200406,000000,52.13,52.13,52.13,52.13,0,0
F03.DE,D,20200408,000000,54.81,54.87,54.81,54.87,1,0
F03.DE,D,20200409,000000,56.26,56.26,56.26,56.26,0,0
F03.DE,D,20200414,000000,55.52,55.52,55.52,55.52,0,0
F03.DE,D,20200415,000000,53.36,53.36,53.36,53.36,0,0
F03.DE,D,20200416,000000,51.68,51.68,51.68,51.68,0,0
F03.DE,D,20200417,000000,55.72,55.72,53.92,53.92,9,0
F03.DE,D,20200420,000000,54.58,54.58,54.58,54.58,0,0
F03.DE,D,20200421,000000,52.88,52.88,51.49,51.49,150,0
F03.DE,D,20200422,000000,52.17,52.17,52.17,52.17,0,0
F03.DE,D,20200423,000000,52.8,54.52,52.8,54.52,65,0
F03.DE,D,20200424,000000,54.78,54.78,54.78,54.78,0,0
F03.DE,D,20200427,000000,55.09,57.28,55.09,57.28,20,0
F03.DE,D,20200428,000000,60,60,59.73,59.73,80,0
F03.DE,D,20200429,000000,61.46,61.46,61.46,61.46,0,0
F03.DE,D,20200430,000000,61.36,61.36,61.36,61.36,100,0
F03.DE,D,20200504,000000,56.77,56.77,55.17,55.17,7,0
F03.DE,D,20200505,000000,55.08,55.08,55.08,55.08,0,0
F03.DE,D,20200506,000000,53.6,53.6,53.6,53.6,0,0
F03.DE,D,20200507,000000,54.49,54.49,54.49,54.49,0,0
F03.DE,D,20200508,000000,54.34,54.34,54.34,54.34,0,0
F03.DE,D,20200511,000000,54.24,54.24,54.24,54.24,0,0
F03.DE,D,20200512,000000,54.16,54.16,54.16,54.16,0,0
F03.DE,D,20200514,000000,50.34,50.34,50.34,50.34,0,0
F03.DE,D,20200515,000000,51.64,51.64,51.64,51.64,0,0
F03.DE,D,20200520,000000,54,54,54,54,0,0
