<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEY2.DE,D,20210331,000000,11.5,12.198,11.214,12.13,4610,0
FEY2.DE,D,20210401,000000,13,13.1,12.354,12.354,7499,0
FEY2.DE,D,20210406,000000,11.884,11.952,11.35,11.746,3820,0
FEY2.DE,D,20210407,000000,11.69,11.874,10.862,10.91,5493,0
FEY2.DE,D,20210408,000000,11.174,11.174,10.7,10.764,5031,0
FEY2.DE,D,20210409,000000,10.912,10.912,10.35,10.61,1056,0
FEY2.DE,D,20210412,000000,10.104,10.462,9.611,9.611,6001,0
FEY2.DE,D,20210413,000000,9.62,9.69,8.812,9.283,12150,0
FEY2.DE,D,20210414,000000,9,9.873,9,9.452,8510,0
FEY2.DE,D,20210415,000000,9.3,9.43,8.25,8.408,12110,0
FEY2.DE,D,20210416,000000,7.81,8.4,7.701,8.128,22986,0
FEY2.DE,D,20210419,000000,8.531,8.584,7.5,7.581,6317,0
FEY2.DE,D,20210420,000000,7.8,7.8,7.21,7.21,14600,0
FEY2.DE,D,20210421,000000,6.82,7.781,6.7,7.548,22643,0
FEY2.DE,D,20210422,000000,8,8.566,7.989,8.17,19599,0
FEY2.DE,D,20210423,000000,8,8.576,7.691,8.101,6810,0
FEY2.DE,D,20210426,000000,8.668,8.8,8.5,8.675,10185,0
FEY2.DE,D,20210427,000000,8.95,8.95,8.772,8.858,4129,0
FEY2.DE,D,20210428,000000,8.4,8.727,8.4,8.602,3066,0
FEY2.DE,D,20210429,000000,8.727,8.921,8.251,8.251,1293,0
FEY2.DE,D,20210430,000000,8.392,8.656,8.01,8.323,1490,0
FEY2.DE,D,20210503,000000,8.05,8.309,7.582,7.582,17380,0
FEY2.DE,D,20210504,000000,7.35,7.509,6.889,7.034,15940,0
FEY2.DE,D,20210505,000000,7.213,7.5,7.08,7.287,16153,0
FEY2.DE,D,20210506,000000,6.783,6.899,6.44,6.482,8174,0
FEY2.DE,D,20210507,000000,6.3,7.111,6.254,6.863,11475,0
FEY2.DE,D,20210510,000000,6.7,6.778,6.21,6.292,14537,0
FEY2.DE,D,20210511,000000,5.773,6.308,5.214,6.308,21374,0
FEY2.DE,D,20210512,000000,6.369,6.681,6.25,6.25,24390,0
FEY2.DE,D,20210513,000000,6.196,6.382,5.914,5.914,2530,0
FEY2.DE,D,20210514,000000,6.087,6.499,5.908,6.353,14948,0
FEY2.DE,D,20210517,000000,6.512,6.6,6.489,6.532,2675,0
FEY2.DE,D,20210518,000000,6.645,6.9,6.481,6.888,2496,0
FEY2.DE,D,20210519,000000,6.8,6.95,6.32,6.94,10211,0
FEY2.DE,D,20210520,000000,7.034,7.151,6.8,6.809,3770,0
FEY2.DE,D,20210521,000000,6.995,7.266,6.914,7.085,3196,0
FEY2.DE,D,20210525,000000,6.913,7.088,6.876,6.885,1818,0
FEY2.DE,D,20210526,000000,7.09,7.6,6.828,7.501,15010,0
FEY2.DE,D,20210527,000000,7.916,8,7.725,7.725,22695,0
FEY2.DE,D,20210528,000000,8.34,8.611,8.229,8.229,115676,0
FEY2.DE,D,20210531,000000,8.39,8.399,8.186,8.186,27114,0
FEY2.DE,D,20210601,000000,8.201,8.292,8,8.107,16340,0
FEY2.DE,D,20210602,000000,8.22,8.319,8.1,8.1,5990,0
FEY2.DE,D,20210603,000000,8.499,8.7,8.22,8.489,71826,0
FEY2.DE,D,20210604,000000,8.369,8.59,8.2,8.344,28326,0
FEY2.DE,D,20210607,000000,8.275,9.347,8.103,9.347,88165,0
FEY2.DE,D,20210608,000000,9.8,10.33,9.52,9.659,34982,0
FEY2.DE,D,20210609,000000,10.16,10.16,9.711,9.728,29040,0
FEY2.DE,D,20210610,000000,9.397,9.5,8.105,8.2,21456,0
FEY2.DE,D,20210611,000000,8.249,8.716,8.248,8.526,3317,0
FEY2.DE,D,20210614,000000,8.88,8.88,7.874,8.01,7502,0
FEY2.DE,D,20210615,000000,7.971,8.019,7.469,7.476,25697,0
FEY2.DE,D,20210616,000000,7.5,7.6,7.42,7.573,6679,0
FEY2.DE,D,20210617,000000,7.818,7.818,7.46,7.66,6482,0
FEY2.DE,D,20210618,000000,7.51,7.521,7.51,7.521,1000,0
FEY2.DE,D,20210621,000000,7.276,7.42,7.207,7.233,4544,0
FEY2.DE,D,20210622,000000,7.579,7.826,7.453,7.826,5720,0
FEY2.DE,D,20210623,000000,7.97,7.97,7.726,7.726,5971,0
FEY2.DE,D,20210624,000000,8,8,7.769,7.769,46286,0
FEY2.DE,D,20210625,000000,7.711,7.824,7.703,7.824,2350,0
FEY2.DE,D,20210628,000000,7.383,7.686,7.383,7.686,2936,0
FEY2.DE,D,20210629,000000,7.803,8.152,7.658,7.658,7767,0
FEY2.DE,D,20210630,000000,7.735,7.735,7.444,7.508,12144,0
FEY2.DE,D,20210701,000000,7.627,7.661,7.495,7.627,4832,0
FEY2.DE,D,20210702,000000,7.182,7.356,6.947,7.077,3982,0
FEY2.DE,D,20210705,000000,6.9,7.03,6.9,7.03,6687,0
FEY2.DE,D,20210706,000000,7.1,7.307,6.996,7.268,8702,0
FEY2.DE,D,20210707,000000,7.114,7.114,6.63,6.772,4897,0
FEY2.DE,D,20210708,000000,6.846,6.846,6.35,6.797,21567,0
FEY2.DE,D,20210709,000000,6.9,6.95,6.758,6.758,3741,0
FEY2.DE,D,20210712,000000,6.76,6.982,6.531,6.668,8809,0
FEY2.DE,D,20210713,000000,6.723,6.828,6.502,6.532,2293,0
FEY2.DE,D,20210714,000000,6.375,6.5,6.138,6.138,9257,0
FEY2.DE,D,20210715,000000,6.001,6.15,5.865,5.89,17023,0
FEY2.DE,D,20210716,000000,5.9,6,5.75,5.788,5586,0
FEY2.DE,D,20210719,000000,5.595,5.627,5.223,5.627,23811,0
FEY2.DE,D,20210720,000000,5.52,5.659,5.5,5.659,1250,0
FEY2.DE,D,20210721,000000,5.75,5.957,5.67,5.957,12135,0
FEY2.DE,D,20210722,000000,6.044,6.044,5.621,5.701,9852,0
FEY2.DE,D,20210723,000000,5.677,5.753,5.369,5.505,10048,0
FEY2.DE,D,20210726,000000,5.4,5.529,5.251,5.419,51035,0
FEY2.DE,D,20210727,000000,5.501,5.501,5.179,5.179,8767,0
FEY2.DE,D,20210728,000000,5.4,5.5,5.289,5.5,8954,0
FEY2.DE,D,20210729,000000,5.598,5.598,5.4,5.516,5632,0
FEY2.DE,D,20210730,000000,5.323,5.48,5.323,5.337,2758,0
FEY2.DE,D,20210802,000000,5.415,5.489,5.348,5.348,3041,0
FEY2.DE,D,20210803,000000,5.341,5.43,5.18,5.2,27484,0
FEY2.DE,D,20210804,000000,5.159,5.279,5.159,5.226,21123,0
FEY2.DE,D,20210805,000000,5.029,5.257,4.94,5.029,22690,0
FEY2.DE,D,20210806,000000,5.353,5.561,5.353,5.377,27718,0
FEY2.DE,D,20210809,000000,5.466,6.005,5.383,5.923,20179,0
FEY2.DE,D,20210810,000000,6.659,7.039,6.267,6.322,300375,0
FEY2.DE,D,20210811,000000,6.297,6.483,5.87,6.093,35094,0
FEY2.DE,D,20210812,000000,5.961,6.074,5.54,5.618,56357,0
FEY2.DE,D,20210813,000000,5.61,5.707,5.327,5.37,45708,0
FEY2.DE,D,20210816,000000,5.343,5.343,5.054,5.279,59209,0
FEY2.DE,D,20210817,000000,5.171,5.177,4.97,5.023,33628,0
FEY2.DE,D,20210818,000000,5.046,5.122,4.9985,4.9985,3837,0
FEY2.DE,D,20210819,000000,5.168,5.251,4.988,4.988,37166,0
FEY2.DE,D,20210820,000000,5.022,5.042,4.849,5.031,35754,0
FEY2.DE,D,20210823,000000,4.9925,5.152,4.9435,5.148,8939,0
FEY2.DE,D,20210824,000000,5.266,5.386,5.172,5.172,27338,0
