<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FYB.DE,D,20110613,000000,8.007348,8.007348,8.007348,8.007348,19,0
FYB.DE,D,20110614,000000,8.007348,8.007348,8.007348,8.007348,18,0
FYB.DE,D,20110615,000000,8.007348,8.007348,8.007348,8.007348,27,0
FYB.DE,D,20110617,000000,7.957613,7.957613,7.957613,7.957613,501,0
FYB.DE,D,20110621,000000,7.957613,8.007348,7.957613,8.007348,252,0
FYB.DE,D,20110622,000000,7.957613,7.957613,7.808408,7.808408,900,0
FYB.DE,D,20110623,000000,7.659202,7.838249,7.659202,7.838249,218,0
FYB.DE,D,20110624,000000,7.887984,7.937719,7.887984,7.937719,521,0
FYB.DE,D,20110627,000000,7.897931,7.897931,7.858143,7.858143,1816,0
FYB.DE,D,20110628,000000,7.858143,7.897931,7.858143,7.897931,3,0
FYB.DE,D,20110629,000000,7.609467,7.758673,7.559732,7.708937,4607,0
FYB.DE,D,20110630,000000,7.758673,7.758673,7.758673,7.758673,1,0
FYB.DE,D,20110701,000000,7.838249,8.057083,7.838249,8.057083,2413,0
FYB.DE,D,20110704,000000,8.037189,8.057083,8.037189,8.057083,513,0
FYB.DE,D,20110705,000000,8.057083,8.057083,8.057083,8.057083,250,0
FYB.DE,D,20110706,000000,7.659202,7.858143,7.659202,7.858143,1009,0
FYB.DE,D,20110707,000000,7.808408,8.106818,7.808408,8.106818,5125,0
FYB.DE,D,20110708,000000,7.957613,8.037189,7.957613,8.037189,1275,0
FYB.DE,D,20110711,000000,7.907878,7.907878,7.758673,7.758673,2612,0
FYB.DE,D,20110712,000000,7.758673,7.957613,7.559732,7.858143,4493,0
FYB.DE,D,20110713,000000,7.907878,8.057083,7.907878,8.057083,2269,0
FYB.DE,D,20110714,000000,8.007348,8.007348,7.858143,7.987454,1811,0
FYB.DE,D,20110715,000000,7.758673,8.156553,7.718885,8.156553,4686,0
FYB.DE,D,20110718,000000,8.106818,8.405229,7.957613,8.156553,5248,0
FYB.DE,D,20110719,000000,8.076977,8.076977,7.860132,8.057083,26,0
FYB.DE,D,20110720,000000,7.858143,8.057083,7.758673,8.056088,2442,0
FYB.DE,D,20110721,000000,8.007348,8.007348,8.007348,8.007348,22,0
FYB.DE,D,20110722,000000,7.957613,8.156553,7.957613,8.156553,3850,0
FYB.DE,D,20110725,000000,7.958608,8.096871,7.917825,8.0163,3898,0
FYB.DE,D,20110726,000000,7.936724,7.936724,7.936724,7.936724,27,0
FYB.DE,D,20110727,000000,7.917825,7.917825,7.730821,7.730821,630,0
FYB.DE,D,20110728,000000,7.654229,7.654229,7.654229,7.654229,33,0
FYB.DE,D,20110729,000000,7.807413,8.057083,7.807413,7.976512,6720,0
FYB.DE,D,20110801,000000,8.006353,8.05211,7.972533,7.972533,3467,0
