<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
G5NA.DE,D,20200615,000000,18.516,18.516,18.516,18.516,44,0
G5NA.DE,D,20200616,000000,23.6,23.745,23.6,23.745,99,0
G5NA.DE,D,20200617,000000,25.7,25.7,25.7,25.7,1,0
G5NA.DE,D,20200618,000000,19.8,19.8,19.15,19.15,150,0
G5NA.DE,D,20200619,000000,21,21,21,21,100,0
G5NA.DE,D,20200622,000000,18.4,18.4,17.15,17.35,95,0
G5NA.DE,D,20200624,000000,18.3,18.3,18.3,18.3,5,0
G5NA.DE,D,20200625,000000,17.95,17.95,17.9,17.9,6,0
G5NA.DE,D,20200626,000000,17.7,17.7,17.7,17.7,0,0
G5NA.DE,D,20200629,000000,16.4,16.95,16.4,16.85,171,0
G5NA.DE,D,20200630,000000,16.8,16.8,16.3,16.3,100,0
G5NA.DE,D,20200701,000000,15.9,15.9,15.7,15.7,70,0
G5NA.DE,D,20200702,000000,15.7,15.7,15.55,15.55,100,0
G5NA.DE,D,20200703,000000,15.9,15.9,15.9,15.9,0,0
G5NA.DE,D,20200706,000000,15.8,15.8,15.8,15.8,0,0
G5NA.DE,D,20200707,000000,15.5,15.5,15.1,15.1,15,0
G5NA.DE,D,20200708,000000,14.95,14.95,14.75,14.9,542,0
G5NA.DE,D,20200709,000000,14.9,14.9,14.55,14.55,136,0
G5NA.DE,D,20200710,000000,14.6,14.6,14.6,14.6,0,0
G5NA.DE,D,20200713,000000,15.25,15.25,15.25,15.25,0,0
G5NA.DE,D,20200714,000000,14.55,14.55,14.55,14.55,0,0
G5NA.DE,D,20200715,000000,15.1,15.1,15.1,15.1,0,0
G5NA.DE,D,20200716,000000,15.7,15.7,15.7,15.7,0,0
G5NA.DE,D,20200720,000000,14.85,14.85,13.95,13.95,1832,0
G5NA.DE,D,20200721,000000,14.25,14.25,14.25,14.25,0,0
G5NA.DE,D,20200722,000000,14.7,14.7,14.7,14.7,0,0
G5NA.DE,D,20200723,000000,14.3,14.3,14.3,14.3,0,0
G5NA.DE,D,20200724,000000,13.85,13.85,13.85,13.85,0,0
G5NA.DE,D,20200728,000000,13.1,13.1,13.1,13.1,0,0
G5NA.DE,D,20200729,000000,13.1,13.1,13.1,13.1,0,0
G5NA.DE,D,20200730,000000,13.15,13.15,13.15,13.15,0,0
G5NA.DE,D,20200731,000000,12.85,12.85,12.85,12.85,0,0
G5NA.DE,D,20200803,000000,13.3,13.3,13.3,13.3,0,0
G5NA.DE,D,20200805,000000,14.1,14.1,14.1,14.1,0,0
G5NA.DE,D,20200806,000000,13.8,14.15,13.8,14.15,200,0
G5NA.DE,D,20200811,000000,22.5,22.5,22.5,22.5,0,0
G5NA.DE,D,20200812,000000,21.6,21.6,19.85,19.85,27,0
G5NA.DE,D,20200813,000000,20.7,20.7,20.7,20.7,0,0
G5NA.DE,D,20200814,000000,20.4,20.4,20.4,20.4,0,0
G5NA.DE,D,20200817,000000,19.45,19.7,19.45,19.7,1,0
G5NA.DE,D,20200820,000000,24.8,24.8,24.8,24.8,0,0
G5NA.DE,D,20200821,000000,24.4,24.4,24.4,24.4,0,0
G5NA.DE,D,20200824,000000,25.5,25.5,25.5,25.5,32,0
G5NA.DE,D,20200825,000000,27.4,27.4,27.2,27.2,60,0
G5NA.DE,D,20200826,000000,27.7,27.7,27.7,27.7,0,0
G5NA.DE,D,20200827,000000,26.7,26.7,26.7,26.7,0,0
G5NA.DE,D,20200828,000000,27.3,27.3,27.3,27.3,0,0
G5NA.DE,D,20200831,000000,26.8,26.8,26.8,26.8,0,0
G5NA.DE,D,20200901,000000,27.1,27.1,27.1,27.1,0,0
G5NA.DE,D,20200902,000000,27,27,27,27,0,0
G5NA.DE,D,20200903,000000,27.4,27.8,27.4,27.8,100,0
G5NA.DE,D,20200904,000000,26.9,26.9,26.9,26.9,0,0
G5NA.DE,D,20200907,000000,27.9,27.9,27.9,27.9,0,0
G5NA.DE,D,20200908,000000,27.4,27.4,27.1,27.1,80,0
