<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GIL.DE,D,20070102,000000,6.693304,6.888729,6.630488,6.860811,56807,0
GIL.DE,D,20070103,000000,6.888729,6.972482,6.784037,6.916646,94996,0
GIL.DE,D,20070104,000000,6.965503,6.965503,6.804975,6.888729,46114,0
GIL.DE,D,20070105,000000,6.909667,6.958523,6.804975,6.923626,57181,0
GIL.DE,D,20070108,000000,6.87477,7.056236,6.804975,7.014359,107594,0
GIL.DE,D,20070109,000000,7.042277,7.049256,6.951544,7.0004,88767,0
GIL.DE,D,20070110,000000,6.944564,7.007379,6.665386,6.770078,90933,0
GIL.DE,D,20070115,000000,6.923626,6.972482,6.853831,6.923626,123478,0
GIL.DE,D,20070116,000000,6.972482,6.972482,6.784037,6.804975,94925,0
GIL.DE,D,20070117,000000,6.784037,6.839872,6.211721,6.490899,495315,0
GIL.DE,D,20070118,000000,6.595591,6.665386,6.358289,6.421105,208573,0
GIL.DE,D,20070119,000000,6.421105,6.74216,6.421105,6.74216,122856,0
GIL.DE,D,20070122,000000,6.700283,6.832893,6.637468,6.665386,122348,0
GIL.DE,D,20070123,000000,6.60955,6.60955,6.48392,6.532776,75682,0
GIL.DE,D,20070124,000000,6.602571,6.791016,6.602571,6.714242,111284,0
GIL.DE,D,20070125,000000,6.784037,6.784037,6.60955,6.644447,103945,0
GIL.DE,D,20070126,000000,6.630488,7.077174,6.630488,6.965503,572744,0
GIL.DE,D,20070129,000000,7.014359,7.167907,6.944564,7.098112,196138,0
GIL.DE,D,20070130,000000,7.098112,7.160928,7.063215,7.12603,82660,0
GIL.DE,D,20070131,000000,7.139989,7.188845,7.070195,7.181866,149404,0
GIL.DE,D,20070201,000000,7.188845,7.251661,7.12603,7.188845,67465,0
GIL.DE,D,20070202,000000,7.216763,7.216763,7.119051,7.188845,146016,0
GIL.DE,D,20070205,000000,7.188845,7.202804,7.119051,7.167907,107071,0
GIL.DE,D,20070206,000000,7.188845,7.398229,7.105092,7.398229,353465,0
GIL.DE,D,20070207,000000,7.342394,7.502921,7.230722,7.481983,242647,0
GIL.DE,D,20070208,000000,7.461044,7.475003,7.321455,7.39125,130337,0
GIL.DE,D,20070209,000000,7.405209,7.754182,7.25864,7.726264,464526,0
GIL.DE,D,20070212,000000,7.677408,7.928668,7.412188,7.572716,370566,0
GIL.DE,D,20070213,000000,7.537818,7.733243,7.51688,7.677408,117778,0
GIL.DE,D,20070214,000000,7.865853,7.942627,7.698346,7.810017,312249,0
GIL.DE,D,20070215,000000,7.886792,8.026381,7.865853,8.005442,266487,0
GIL.DE,D,20070216,000000,8.019401,8.026381,7.7821,7.977525,237269,0
GIL.DE,D,20070219,000000,7.977525,8.012422,7.705326,7.851894,122576,0
GIL.DE,D,20070220,000000,7.865853,7.942627,7.851894,7.935648,149163,0
GIL.DE,D,20070221,000000,7.914709,8.249724,7.914709,8.242744,288186,0
GIL.DE,D,20070222,000000,8.29858,8.438169,8.235765,8.326498,252057,0
GIL.DE,D,20070226,000000,8.368374,8.54984,8.368374,8.500984,304702,0
GIL.DE,D,20070227,000000,8.514943,8.521923,7.537818,7.886792,1060486,0
GIL.DE,D,20070228,000000,7.335414,7.803038,6.672365,7.726264,720655,0
GIL.DE,D,20070301,000000,7.803038,8.096175,7.454065,7.7821,415441,0
GIL.DE,D,20070302,000000,7.684387,7.921689,7.461044,7.733243,288746,0
GIL.DE,D,20070305,000000,7.314476,7.502921,7.167907,7.321455,417104,0
GIL.DE,D,20070306,000000,7.356352,7.789079,7.356352,7.677408,234691,0
GIL.DE,D,20070307,000000,7.872833,7.886792,7.747202,7.879812,138099,0
GIL.DE,D,20070308,000000,7.90075,8.145032,7.712305,8.096175,227372,0
