<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GKS.DE,D,20080619,000000,20.000541,20.571985,19.03861,20.095782,46683,0
GKS.DE,D,20080620,000000,20.286263,20.286263,17.619524,18.333829,14291,0
GKS.DE,D,20080623,000000,18.571931,19.048134,18.1243,19.048134,3335,0
GKS.DE,D,20080624,000000,19.03861,19.03861,18.190968,18.857653,1635,0
GKS.DE,D,20080625,000000,18.333829,18.762412,18.095728,18.762412,1360,0
GKS.DE,D,20080626,000000,18.762412,19.333856,16.905219,18.095728,11580,0
GKS.DE,D,20080627,000000,18.076679,18.286209,17.143321,18.286209,3950,0
GKS.DE,D,20080630,000000,17.838578,18.952894,17.429043,18.952894,2187,0
GKS.DE,D,20080701,000000,18.762412,18.762412,17.905246,18.000487,1320,0
GKS.DE,D,20080702,000000,17.429043,18.42907,17.429043,18.276685,1770,0
GKS.DE,D,20080703,000000,17.238561,17.619524,16.429016,17.324278,3430,0
GKS.DE,D,20080704,000000,17.143321,17.476663,16.857599,17.476663,861,0
GKS.DE,D,20080707,000000,17.524283,18.000487,17.514759,18.000487,955,0
GKS.DE,D,20080708,000000,17.810006,17.810006,17.810006,17.810006,35,0
GKS.DE,D,20080709,000000,18.38145,18.99099,17.619524,18.410022,870,0
GKS.DE,D,20080710,000000,18.086203,19.03861,17.619524,19.03861,481,0
GKS.DE,D,20080711,000000,18.229064,19.048134,18.229064,19.048134,4340,0
GKS.DE,D,20080714,000000,18.286209,19.9053,18.190968,19.81006,3470,0
GKS.DE,D,20080715,000000,18.952894,19.238616,18.238589,18.514786,7912,0
GKS.DE,D,20080716,000000,18.800508,18.800508,17.876674,18.467166,17165,0
GKS.DE,D,20080717,000000,18.667172,18.667172,17.238561,18.095728,12353,0
GKS.DE,D,20080718,000000,18.467166,18.467166,17.714765,18.095728,9682,0
GKS.DE,D,20080721,000000,18.095728,18.095728,18.095728,18.095728,500,0
GKS.DE,D,20080722,000000,18.095728,18.095728,17.990963,18.095728,453,0
GKS.DE,D,20080723,000000,18.048107,18.048107,17.333802,18.048107,3490,0
GKS.DE,D,20080724,000000,18.048107,18.048107,17.238561,17.790957,2496,0
GKS.DE,D,20080725,000000,17.143321,17.790957,16.667117,17.714765,2986,0
GKS.DE,D,20080728,000000,17.619524,17.714765,17.04808,17.714765,4208,0
GKS.DE,D,20080729,000000,17.619524,17.714765,17.619524,17.714765,2100,0
GKS.DE,D,20080730,000000,17.905246,18.000487,17.895722,17.895722,244,0
GKS.DE,D,20080731,000000,17.810006,19.048134,17.810006,19.048134,2380,0
GKS.DE,D,20080801,000000,18.333829,18.47669,18.190968,18.47669,932,0
GKS.DE,D,20080804,000000,18.38145,18.38145,17.810006,18.095728,622,0
GKS.DE,D,20080805,000000,18.095728,18.857653,18.086203,18.857653,83,0
GKS.DE,D,20080806,000000,18.143348,18.143348,17.619524,18.143348,64,0
GKS.DE,D,20080807,000000,18.190968,18.190968,18.190968,18.190968,50,0
GKS.DE,D,20080808,000000,17.619524,19.048134,17.619524,18.810033,406,0
GKS.DE,D,20080811,000000,19.524338,19.524338,19.524338,19.524338,15,0
GKS.DE,D,20080813,000000,18.095728,18.095728,18.095728,18.095728,52,0
GKS.DE,D,20080814,000000,18.076679,19.048134,18.076679,19.048134,1468,0
GKS.DE,D,20080815,000000,19.048134,19.048134,18.190968,19.048134,949,0
GKS.DE,D,20080818,000000,18.857653,19.048134,18.095728,18.762412,2172,0
GKS.DE,D,20080819,000000,18.524311,18.524311,18.524311,18.524311,772,0
GKS.DE,D,20080821,000000,17.905246,19.524338,17.905246,19.524338,895,0
GKS.DE,D,20080822,000000,19.029086,19.143375,19.029086,19.143375,165,0
GKS.DE,D,20080825,000000,18.286209,19.000514,18.286209,19.000514,200,0
GKS.DE,D,20080826,000000,18.286209,18.42907,18.286209,18.42907,512,0
GKS.DE,D,20080827,000000,18.095728,18.571931,17.91477,18.571931,335,0
GKS.DE,D,20080828,000000,18.571931,18.571931,18.571931,18.571931,50,0
GKS.DE,D,20080829,000000,18.571931,19.048134,17.667145,18.47669,4150,0
GKS.DE,D,20080901,000000,18.47669,18.47669,18.095728,18.095728,27,0
GKS.DE,D,20080902,000000,18.095728,18.286209,18.095728,18.286209,1875,0
GKS.DE,D,20080903,000000,18.47669,18.47669,18.47669,18.47669,5,0
GKS.DE,D,20080904,000000,18.571931,18.667172,17.905246,18.47669,4656,0
GKS.DE,D,20080905,000000,18.238589,18.238589,18.238589,18.238589,5,0
GKS.DE,D,20080908,000000,18.38145,18.42907,18.38145,18.42907,100,0
GKS.DE,D,20080909,000000,18.42907,18.42907,18.42907,18.42907,1,0
GKS.DE,D,20080911,000000,17.810006,18.42907,16.667117,17.333802,5882,0
GKS.DE,D,20080912,000000,17.524283,17.571904,17.524283,17.571904,190,0
GKS.DE,D,20080915,000000,16.476636,17.286182,16.476636,17.286182,285,0
GKS.DE,D,20080916,000000,16.571877,17.286182,16.571877,17.286182,661,0
GKS.DE,D,20080917,000000,16.857599,17.143321,16.619497,17.143321,200,0
GKS.DE,D,20080918,000000,16.667117,17.143321,16.190914,17.04808,1285,0
GKS.DE,D,20080919,000000,17.143321,17.286182,16.476636,16.476636,616,0
GKS.DE,D,20080923,000000,16.18139,16.18139,16.18139,16.18139,642,0
GKS.DE,D,20080925,000000,15.048026,15.343272,15.048026,15.343272,465,0
GKS.DE,D,20080926,000000,14.286101,15.238507,13.809897,15.048026,423,0
GKS.DE,D,20080929,000000,15.238507,15.238507,15.238507,15.238507,10,0
GKS.DE,D,20080930,000000,15.238507,15.238507,13.809897,14.762304,2566,0
GKS.DE,D,20081001,000000,13.333694,14.286101,12.857491,14.286101,1915,0
GKS.DE,D,20081002,000000,14.762304,15.238507,13.809897,14.286101,1002,0
GKS.DE,D,20081003,000000,14.19086,14.476582,12.857491,14.047999,1941,0
GKS.DE,D,20081006,000000,14.095619,14.095619,12.771774,13.524175,1322,0
GKS.DE,D,20081007,000000,13.809897,13.809897,13.809897,13.809897,10017,0
GKS.DE,D,20081009,000000,12.190806,14.14324,12.190806,12.476528,2114,0
