<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTY.DE,D,20190412,000000,3.76204,3.766524,3.587166,3.587166,220178,0
GTY.DE,D,20190415,000000,3.605102,3.640973,3.587166,3.605102,84304,0
GTY.DE,D,20190416,000000,3.604653,3.605102,3.587166,3.587166,138737,0
GTY.DE,D,20190417,000000,3.587166,3.640973,3.587166,3.587166,32086,0
GTY.DE,D,20190418,000000,3.587166,3.605102,3.579543,3.579543,36340,0
GTY.DE,D,20190423,000000,3.586717,3.587166,3.586717,3.587166,5446,0
GTY.DE,D,20190424,000000,3.587166,3.587166,3.542326,3.587166,29210,0
GTY.DE,D,20190425,000000,3.56923,3.56923,3.542326,3.542326,2567,0
GTY.DE,D,20190426,000000,3.542326,3.542326,3.497487,3.542326,62075,0
GTY.DE,D,20190429,000000,3.56923,3.587166,3.542326,3.542326,5142,0
GTY.DE,D,20190430,000000,3.587166,3.587166,3.551294,3.551294,5962,0
GTY.DE,D,20190502,000000,3.578198,3.587166,3.54681,3.587166,30391,0
GTY.DE,D,20190503,000000,3.587166,3.587166,3.56923,3.56923,467,0
GTY.DE,D,20190506,000000,3.587166,3.587166,3.587166,3.587166,1088,0
GTY.DE,D,20190507,000000,3.578198,3.578198,3.555778,3.566988,7147,0
GTY.DE,D,20190508,000000,3.560262,3.587166,3.560262,3.587166,371,0
GTY.DE,D,20190509,000000,3.578198,3.578198,3.555778,3.555778,12948,0
GTY.DE,D,20190510,000000,3.555778,3.587166,3.554881,3.554881,248,0
GTY.DE,D,20190513,000000,3.587166,3.766524,3.479551,3.479551,70969,0
GTY.DE,D,20190514,000000,3.416775,3.506455,3.416775,3.506455,181,0
GTY.DE,D,20190515,000000,3.578198,3.578198,3.434711,3.434711,487,0
GTY.DE,D,20190516,000000,3.434711,3.434711,3.434711,3.434711,23,0
GTY.DE,D,20190517,000000,3.434711,3.533358,3.434711,3.434711,1793,0
GTY.DE,D,20190520,000000,3.416775,3.416775,3.416775,3.416775,23,0
GTY.DE,D,20190521,000000,3.52439,3.587166,3.52439,3.587166,1813,0
GTY.DE,D,20190522,000000,3.452647,3.587166,3.452647,3.587166,2150,0
GTY.DE,D,20190523,000000,3.578198,3.578198,3.389872,3.389872,5243,0
GTY.DE,D,20190524,000000,3.560262,3.560262,3.461615,3.461615,4947,0
GTY.DE,D,20190527,000000,3.461615,3.551294,3.39884,3.551294,6319,0
GTY.DE,D,20190528,000000,3.551294,3.551294,3.551294,3.551294,18,0
GTY.DE,D,20190529,000000,3.542326,3.542326,3.542326,3.542326,17,0
GTY.DE,D,20190530,000000,3.551294,3.56923,3.425743,3.425743,24,0
GTY.DE,D,20190531,000000,3.52439,3.56923,3.13877,3.300193,27186,0
GTY.DE,D,20190603,000000,3.371936,3.407807,3.371936,3.407807,1443,0
GTY.DE,D,20190604,000000,3.371936,3.380904,3.111866,3.380904,1809,0
GTY.DE,D,20190605,000000,3.362968,3.362968,3.354,3.354,1345,0
GTY.DE,D,20190606,000000,3.345032,3.371936,3.318128,3.318128,1245,0
GTY.DE,D,20190607,000000,3.380904,3.380904,3.228449,3.336064,3945,0
GTY.DE,D,20190611,000000,3.336064,3.336064,3.336064,3.336064,1020,0
GTY.DE,D,20190612,000000,3.336064,3.345032,3.192578,3.345032,3389,0
GTY.DE,D,20190613,000000,3.345032,3.345032,3.318128,3.318128,1583,0
GTY.DE,D,20190614,000000,3.318128,3.488519,3.201545,3.345032,20915,0
GTY.DE,D,20190617,000000,3.219481,3.407807,3.219481,3.407807,75,0
GTY.DE,D,20190618,000000,3.488519,3.56923,3.452647,3.560262,11461,0
GTY.DE,D,20190619,000000,3.488519,3.587166,3.488519,3.587166,8156,0
GTY.DE,D,20190620,000000,3.578198,3.587166,3.479551,3.587166,2173,0
GTY.DE,D,20190621,000000,3.533358,3.587166,3.488519,3.587166,11874,0
GTY.DE,D,20190624,000000,3.587166,3.587166,3.542326,3.587166,25346,0
GTY.DE,D,20190625,000000,3.605102,3.605102,3.542326,3.605102,16656,0
GTY.DE,D,20190626,000000,3.605102,3.605102,3.542326,3.587166,22551,0
GTY.DE,D,20190627,000000,3.605102,3.605102,3.542326,3.587166,5916,0
GTY.DE,D,20190628,000000,3.587166,3.605102,3.542326,3.605102,27532,0
GTY.DE,D,20190701,000000,3.542326,3.587166,3.497487,3.587166,16133,0
GTY.DE,D,20190702,000000,3.605102,3.605102,3.506455,3.587166,780,0
GTY.DE,D,20190703,000000,3.506455,3.596134,3.506455,3.587166,6535,0
GTY.DE,D,20190704,000000,3.605102,3.605102,3.542326,3.596134,5314,0
GTY.DE,D,20190705,000000,3.587166,3.587166,3.542326,3.587166,6328,0
GTY.DE,D,20190708,000000,3.587166,3.605102,3.533358,3.605102,1938,0
GTY.DE,D,20190709,000000,3.605102,3.605102,3.533358,3.533358,14772,0
GTY.DE,D,20190710,000000,3.605102,3.605102,3.587166,3.605102,106,0
GTY.DE,D,20190711,000000,3.587166,3.605102,3.587166,3.605102,533,0
GTY.DE,D,20190712,000000,3.587166,3.605102,3.587166,3.587166,4259,0
GTY.DE,D,20190715,000000,3.443679,3.587166,3.443679,3.56923,100,0
GTY.DE,D,20190716,000000,3.587166,3.605102,3.587166,3.605102,7695,0
GTY.DE,D,20190717,000000,3.587166,3.587166,3.587166,3.587166,3002,0
GTY.DE,D,20190718,000000,3.533358,3.587166,3.533358,3.587166,102,0
GTY.DE,D,20190719,000000,3.533358,3.587166,3.533358,3.533358,6463,0
GTY.DE,D,20190722,000000,3.587166,3.587166,3.56923,3.587166,244,0
GTY.DE,D,20190723,000000,3.56923,3.56923,3.56923,3.56923,0,0
GTY.DE,D,20190724,000000,3.533358,3.587166,3.533358,3.587166,1457,0
GTY.DE,D,20190725,000000,3.605102,3.605102,3.587166,3.587166,59,0
GTY.DE,D,20190726,000000,3.587166,3.587166,3.533358,3.587166,3483,0
GTY.DE,D,20190729,000000,3.533358,3.533358,3.533358,3.533358,164,0
GTY.DE,D,20190730,000000,3.587166,3.587166,3.587166,3.587166,143,0
GTY.DE,D,20190731,000000,3.587166,3.640973,3.551294,3.640973,10779,0
GTY.DE,D,20190801,000000,3.587166,3.587166,3.56923,3.56923,710,0
GTY.DE,D,20190802,000000,3.551294,3.587166,3.551294,3.587166,5555,0
GTY.DE,D,20190805,000000,3.551294,3.587166,3.551294,3.551294,1089,0
GTY.DE,D,20190806,000000,3.587166,3.587166,3.551294,3.551294,2778,0
GTY.DE,D,20190807,000000,3.640973,3.640973,3.551294,3.551294,15086,0
GTY.DE,D,20190808,000000,3.623037,3.623037,3.605102,3.623037,124,0
GTY.DE,D,20190809,000000,3.623037,3.623037,3.623037,3.623037,58,0
GTY.DE,D,20190812,000000,3.623037,3.623037,3.623037,3.623037,37,0
GTY.DE,D,20190813,000000,3.587166,3.587166,3.551294,3.551294,18193,0
GTY.DE,D,20190814,000000,3.623037,3.623037,3.551294,3.551294,104,0
GTY.DE,D,20190815,000000,3.623037,3.623037,3.551294,3.56923,3208,0
GTY.DE,D,20190816,000000,3.551294,3.623037,3.551294,3.623037,84,0
GTY.DE,D,20190819,000000,3.587166,3.587166,3.587166,3.587166,20,0
GTY.DE,D,20190820,000000,3.587166,3.587166,3.551294,3.587166,6694,0
GTY.DE,D,20190821,000000,3.551294,3.587166,3.551294,3.587166,1184,0
GTY.DE,D,20190822,000000,3.679144,3.679144,3.587166,3.679144,5128,0
GTY.DE,D,20190823,000000,3.679144,3.679144,3.623957,3.679144,3089,0
GTY.DE,D,20190826,000000,3.623957,3.679144,3.623957,3.679144,1069,0
GTY.DE,D,20190827,000000,3.679144,3.679144,3.679144,3.679144,59,0
GTY.DE,D,20190828,000000,3.642353,3.679144,3.642353,3.679144,12008,0
GTY.DE,D,20190829,000000,3.679144,3.679144,3.679144,3.679144,7265,0
GTY.DE,D,20190830,000000,3.679144,3.734332,3.642353,3.734332,21000,0
GTY.DE,D,20190902,000000,3.642353,3.715936,3.623957,3.715936,8140,0
GTY.DE,D,20190903,000000,3.623957,3.623957,3.623957,3.623957,83,0
GTY.DE,D,20190904,000000,3.623957,3.69754,3.623957,3.623957,9081,0
