<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GXI.DE,D,20070611,000000,33.649281,33.649281,31.79857,32.303309,2486922,0
GXI.DE,D,20070612,000000,32.37902,32.723925,32.059352,32.303309,411601,0
GXI.DE,D,20070613,000000,32.286485,32.286485,31.966817,32.261248,259367,0
GXI.DE,D,20070614,000000,32.387433,33.354849,32.303309,33.354849,225390,0
GXI.DE,D,20070615,000000,33.10248,33.388499,32.808049,33.186603,121976,0
GXI.DE,D,20070618,000000,33.312788,33.312788,32.387433,32.387433,282832,0
GXI.DE,D,20070619,000000,32.681864,32.74075,32.387433,32.589328,115152,0
GXI.DE,D,20070620,000000,32.757575,32.799636,32.177125,32.177125,109719,0
GXI.DE,D,20070621,000000,31.975229,32.471556,31.975229,32.471556,11083,0
GXI.DE,D,20070622,000000,32.387433,32.429494,31.68921,32.05094,219293,0
GXI.DE,D,20070625,000000,32.387433,32.387433,31.756509,32.05094,116413,0
GXI.DE,D,20070628,000000,31.975229,32.210774,31.958404,31.966817,99983,0
GXI.DE,D,20070629,000000,32.294897,32.294897,31.90793,32.177125,124512,0
GXI.DE,D,20070702,000000,31.966817,32.808049,31.966817,32.639802,17726,0
GXI.DE,D,20070703,000000,32.639802,32.808049,32.387433,32.765987,143137,0
GXI.DE,D,20070704,000000,32.808049,32.808049,32.135063,32.303309,12035,0
GXI.DE,D,20070705,000000,32.303309,32.555679,31.983641,32.177125,25672,0
GXI.DE,D,20070706,000000,32.177125,32.202361,31.891106,32.067764,80538,0
GXI.DE,D,20070709,000000,31.966817,32.219186,31.630324,31.966817,143120,0
GXI.DE,D,20070710,000000,31.966817,31.966817,31.546201,31.546201,212187,0
GXI.DE,D,20070711,000000,30.831153,30.906864,29.745964,30.284352,492028,0
GXI.DE,D,20070712,000000,30.477836,31.260182,30.284352,30.704969,235110,0
GXI.DE,D,20070713,000000,30.831153,31.277006,30.662907,31.125585,188296,0
GXI.DE,D,20070716,000000,30.831153,31.949992,30.831153,31.605087,195792,0
GXI.DE,D,20070717,000000,31.966817,32.387433,31.386366,31.966817,165768,0
GXI.DE,D,20070718,000000,31.966817,32.808049,31.588262,32.008878,164986,0
GXI.DE,D,20070719,000000,32.496793,32.808049,32.177125,32.177125,123771,0
GXI.DE,D,20070720,000000,32.471556,32.808049,32.177125,32.555679,47154,0
GXI.DE,D,20070723,000000,32.765987,32.765987,31.94158,32.320134,12904,0
GXI.DE,D,20070724,000000,32.808049,33.396911,32.597741,32.976295,395011,0
GXI.DE,D,20070725,000000,32.387433,32.791224,32.185537,32.185537,56262,0
GXI.DE,D,20070726,000000,32.193949,32.639802,31.966817,32.362196,19300,0
GXI.DE,D,20070727,000000,32.387433,32.421082,31.546201,31.546201,40211,0
GXI.DE,D,20070730,000000,31.739684,31.882693,30.915277,31.125585,7172,0
GXI.DE,D,20070731,000000,31.335893,31.546201,30.797504,30.923689,35942,0
GXI.DE,D,20070801,000000,31.268594,31.268594,30.326414,30.873215,53135,0
GXI.DE,D,20070802,000000,30.671319,31.43684,30.284352,30.587196,24571,0
GXI.DE,D,20070803,000000,30.553547,31.43684,30.183405,31.43684,16739,0
GXI.DE,D,20070806,000000,31.420016,31.420016,30.376888,30.74703,13950,0
GXI.DE,D,20070807,000000,30.704969,30.906864,29.863736,30.074044,43577,0
GXI.DE,D,20070808,000000,30.124518,30.704969,29.064566,29.661841,29634,0
GXI.DE,D,20070809,000000,29.148689,29.274874,28.601888,29.274874,65314,0
GXI.DE,D,20070810,000000,28.770135,28.812196,27.609235,28.601888,52224,0
GXI.DE,D,20070813,000000,28.761723,28.761723,27.827955,27.827955,78392,0
GXI.DE,D,20070814,000000,28.181272,28.854258,28.181272,28.181272,105636,0
GXI.DE,D,20070815,000000,28.433642,28.433642,27.34004,28.433642,24167,0
GXI.DE,D,20070816,000000,28.559827,28.559827,26.927837,27.466225,61661,0
GXI.DE,D,20070817,000000,27.466225,27.550348,26.868951,27.550348,82877,0
GXI.DE,D,20070820,000000,27.928903,28.686012,27.760656,28.610301,61835,0
GXI.DE,D,20070821,000000,28.618713,28.980443,28.517765,28.601888,49023,0
GXI.DE,D,20070822,000000,28.357931,29.148689,28.357931,29.148689,24047,0
GXI.DE,D,20070823,000000,29.47677,29.779613,29.47677,29.661841,10633,0
GXI.DE,D,20070824,000000,29.451533,30.360063,28.938381,30.360063,34997,0
GXI.DE,D,20070827,000000,30.578784,30.822741,30.536722,30.587196,5039,0
GXI.DE,D,20070828,000000,30.503073,30.763855,30.49466,30.763855,31625,0
GXI.DE,D,20070829,000000,30.704969,30.797504,30.49466,30.780679,41073,0
GXI.DE,D,20070830,000000,30.704969,31.462077,30.704969,31.462077,32628,0
GXI.DE,D,20070831,000000,30.873215,32.303309,30.873215,32.303309,36993,0
GXI.DE,D,20070903,000000,31.966817,32.555679,31.966817,32.387433,39911,0
GXI.DE,D,20070904,000000,31.966817,32.446319,31.966817,32.37902,26665,0
GXI.DE,D,20070905,000000,32.345371,33.144541,32.303309,33.144541,54737,0
GXI.DE,D,20070906,000000,33.060418,33.060418,32.496793,32.673451,16486,0
GXI.DE,D,20070907,000000,32.808049,32.808049,31.806982,31.958404,67073,0
GXI.DE,D,20070910,000000,31.571437,31.958404,31.10876,31.125585,16402,0
GXI.DE,D,20070911,000000,31.133997,31.714447,31.133997,31.714447,5129,0
GXI.DE,D,20070912,000000,31.335893,31.748096,30.974163,31.714447,20084,0
GXI.DE,D,20070913,000000,31.133997,31.133997,30.292765,30.704969,41223,0
GXI.DE,D,20070914,000000,30.292765,30.461011,29.922623,30.284352,130869,0
GXI.DE,D,20070917,000000,30.410537,30.704969,30.284352,30.410537,84107,0
GXI.DE,D,20070918,000000,30.410537,30.427362,29.8385,29.846912,108982,0
GXI.DE,D,20070919,000000,30.578784,30.578784,29.653428,29.779613,92832,0
GXI.DE,D,20070920,000000,28.601888,30.284352,28.601888,29.661841,168534,0
GXI.DE,D,20070921,000000,29.745964,29.779613,29.232812,29.44312,109780,0
GXI.DE,D,20070924,000000,29.821675,29.931035,29.69549,29.863736,17310,0
GXI.DE,D,20070925,000000,29.712315,30.242291,29.712315,30.16658,27105,0
GXI.DE,D,20070926,000000,30.031983,30.16658,29.611367,29.863736,71189,0
GXI.DE,D,20070927,000000,30.284352,30.662907,30.284352,30.553547,49137,0
GXI.DE,D,20070928,000000,30.780679,31.966817,30.713381,31.966817,23898,0
GXI.DE,D,20071001,000000,31.966817,32.404257,31.546201,31.882693,27483,0
GXI.DE,D,20071002,000000,31.546201,31.554613,31.352717,31.546201,8830,0
GXI.DE,D,20071003,000000,31.79857,31.966817,31.546201,31.966817,41259,0
GXI.DE,D,20071004,000000,31.546201,31.840632,31.546201,31.554613,38229,0
GXI.DE,D,20071005,000000,31.680798,31.983641,31.462077,31.697622,17840,0
GXI.DE,D,20071008,000000,32.01729,32.01729,31.714447,31.891106,3342,0
GXI.DE,D,20071009,000000,32.118238,32.261248,31.756509,32.219186,22819,0
GXI.DE,D,20071010,000000,31.966817,32.387433,31.966817,32.387433,12421,0
GXI.DE,D,20071011,000000,32.05094,32.387433,31.714447,31.891106,7242,0
GXI.DE,D,20071012,000000,31.428428,31.891106,31.310656,31.891106,15946,0
GXI.DE,D,20071015,000000,31.891106,32.177125,31.891106,31.891106,10260,0
GXI.DE,D,20071016,000000,32.1603,32.219186,31.672385,31.975229,30919,0
GXI.DE,D,20071017,000000,32.126651,32.471556,31.966817,32.135063,41022,0
GXI.DE,D,20071018,000000,32.177125,32.261248,31.546201,31.630324,66389,0
GXI.DE,D,20071019,000000,31.546201,31.672385,30.721793,31.125585,45256,0
GXI.DE,D,20071022,000000,31.125585,31.335893,30.831153,30.9994,24858,0
GXI.DE,D,20071023,000000,31.125585,31.613499,31.10876,31.335893,26434,0
GXI.DE,D,20071024,000000,31.487314,31.647148,31.159234,31.487314,12024,0
GXI.DE,D,20071025,000000,31.840632,33.060418,31.335893,32.723925,33665,0
GXI.DE,D,20071026,000000,32.892172,33.06883,32.303309,33.06883,44027,0
GXI.DE,D,20071029,000000,32.833285,32.976295,32.639802,32.808049,30518,0
GXI.DE,D,20071030,000000,32.976295,32.976295,31.335893,31.849044,55748,0
GXI.DE,D,20071031,000000,32.093001,32.135063,31.546201,31.966817,137994,0
GXI.DE,D,20071101,000000,31.714447,31.865869,31.546201,31.773333,13616,0
GXI.DE,D,20071102,000000,31.714447,31.714447,31.167646,31.234945,10376,0
GXI.DE,D,20071105,000000,31.209708,31.546201,31.125585,31.251769,45542,0
GXI.DE,D,20071106,000000,31.251769,31.377954,30.9994,31.335893,62426,0
GXI.DE,D,20071107,000000,31.377954,31.377954,31.167646,31.251769,53796,0
GXI.DE,D,20071108,000000,30.915277,31.335893,30.915277,31.302243,13849,0
GXI.DE,D,20071109,000000,31.335893,31.335893,30.704969,31.125585,29357,0
GXI.DE,D,20071112,000000,30.797504,31.125585,30.393713,30.410537,24105,0
GXI.DE,D,20071113,000000,30.284352,30.284352,29.846912,29.846912,33411,0
GXI.DE,D,20071114,000000,29.863736,30.099281,29.80485,29.80485,62599,0
GXI.DE,D,20071115,000000,29.94786,30.082457,29.813263,29.863736,71915,0
GXI.DE,D,20071116,000000,29.897386,29.981509,29.779613,29.863736,46638,0
GXI.DE,D,20071119,000000,29.813263,29.872149,29.594542,29.855324,18815,0
GXI.DE,D,20071120,000000,29.863736,29.931035,29.44312,29.628192,65643,0
GXI.DE,D,20071121,000000,29.44312,29.611367,28.181272,28.39158,42372,0
GXI.DE,D,20071122,000000,28.198097,28.627125,27.970964,27.970964,8150,0
GXI.DE,D,20071123,000000,27.710183,28.408405,27.676533,28.223334,34018,0
GXI.DE,D,20071126,000000,28.492528,29.358997,28.416817,28.686012,24375,0
GXI.DE,D,20071127,000000,28.399993,28.53459,27.129732,28.046675,66265,0
GXI.DE,D,20071128,000000,28.273808,28.601888,28.088737,28.433642,15696,0
GXI.DE,D,20071129,000000,28.803784,29.291699,28.669187,29.022504,72384,0
GXI.DE,D,20071130,000000,29.258049,31.756509,29.022504,31.714447,154507,0
GXI.DE,D,20071203,000000,31.546201,31.546201,29.2244,30.704969,215946,0
GXI.DE,D,20071204,000000,30.957338,31.125585,29.897386,30.074044,22785,0
GXI.DE,D,20071205,000000,30.368476,30.368476,29.283286,29.653428,28017,0
GXI.DE,D,20071206,000000,29.342173,29.821675,29.342173,29.779613,21488,0
GXI.DE,D,20071207,000000,29.729139,29.989921,29.409471,29.44312,13415,0
GXI.DE,D,20071210,000000,29.173926,29.518831,29.173926,29.384234,19829,0
GXI.DE,D,20071211,000000,29.459945,29.459945,28.585064,28.686012,58048,0
GXI.DE,D,20071212,000000,28.601888,29.022504,28.601888,28.78696,31942,0
GXI.DE,D,20071213,000000,29.089803,29.131865,28.719661,28.845846,71857,0
GXI.DE,D,20071214,000000,29.014092,29.014092,28.601888,28.64395,25403,0
GXI.DE,D,20071217,000000,28.871083,28.997268,28.64395,28.938381,13683,0
GXI.DE,D,20071218,000000,29.089803,30.469424,28.980443,29.855324,67771,0
GXI.DE,D,20071219,000000,29.989921,30.116106,29.510419,29.779613,33185,0
GXI.DE,D,20071220,000000,29.535656,29.69549,29.44312,29.628192,54963,0
GXI.DE,D,20071221,000000,29.880561,31.125585,29.451533,30.284352,57415,0
GXI.DE,D,20071227,000000,30.090869,31.748096,30.090869,31.125585,31836,0
GXI.DE,D,20071228,000000,31.007812,32.294897,30.957338,32.135063,25712,0
GXI.DE,D,20080102,000000,31.966817,31.966817,30.52831,31.083523,59186,0
GXI.DE,D,20080103,000000,31.075111,31.083523,29.939447,30.284352,43693,0
GXI.DE,D,20080104,000000,30.242291,31.024637,29.863736,29.863736,67469,0
GXI.DE,D,20080107,000000,30.16658,30.3853,30.065632,30.3853,37522,0
GXI.DE,D,20080108,000000,30.629258,32.177125,30.620845,31.462077,97953,0
GXI.DE,D,20080109,000000,31.47049,32.168712,31.125585,31.411603,92232,0
GXI.DE,D,20080110,000000,31.184471,32.168712,29.636604,29.998334,82345,0
GXI.DE,D,20080111,000000,29.94786,30.040395,29.771201,29.771201,7367,0
GXI.DE,D,20080114,000000,29.653428,29.653428,29.44312,29.44312,60716,0
GXI.DE,D,20080115,000000,29.44312,29.737552,29.258049,29.358997,65396,0
GXI.DE,D,20080116,000000,29.089803,29.11504,28.467291,28.467291,46093,0
GXI.DE,D,20080117,000000,28.601888,28.921557,28.475704,28.719661,39047,0
GXI.DE,D,20080118,000000,28.812196,28.812196,28.046675,28.214922,119897,0
GXI.DE,D,20080121,000000,28.139211,28.139211,25.245373,26.709116,36296,0
GXI.DE,D,20080122,000000,26.078192,28.147623,25.909946,28.147623,65718,0
GXI.DE,D,20080123,000000,28.576652,28.988855,27.440988,28.0635,60994,0
GXI.DE,D,20080124,000000,28.265396,28.988855,28.240159,28.988855,103625,0
GXI.DE,D,20080125,000000,28.770135,29.44312,28.601888,29.342173,18574,0
GXI.DE,D,20080128,000000,29.434708,29.434708,28.601888,28.601888,25470,0
GXI.DE,D,20080129,000000,28.812196,28.879495,28.517765,28.601888,17789,0
GXI.DE,D,20080130,000000,28.408405,28.938381,28.39158,28.938381,86205,0
GXI.DE,D,20080131,000000,28.475704,28.89632,28.39158,28.89632,68686,0
GXI.DE,D,20080201,000000,28.610301,29.426296,28.610301,28.635538,30086,0
GXI.DE,D,20080204,000000,29.190751,29.300111,28.812196,28.972031,89912,0
GXI.DE,D,20080205,000000,28.812196,29.022504,28.601888,28.601888,18367,0
GXI.DE,D,20080206,000000,28.416817,28.803784,28.39158,28.719661,19058,0
GXI.DE,D,20080207,000000,28.86267,28.86267,28.39158,28.458879,6861,0
GXI.DE,D,20080208,000000,28.433642,28.458879,28.39158,28.39158,9838,0
GXI.DE,D,20080211,000000,28.627125,28.627125,27.550348,27.642884,20435,0
GXI.DE,D,20080212,000000,27.609235,27.609235,27.272742,27.508287,19993,0
GXI.DE,D,20080213,000000,27.087671,27.382102,27.062434,27.23068,13513,0
GXI.DE,D,20080214,000000,27.34004,27.760656,27.087671,27.609235,84275,0
GXI.DE,D,20080215,000000,27.474638,27.912078,27.457813,27.760656,12983,0
GXI.DE,D,20080218,000000,27.499875,28.17286,27.382102,27.743832,68161,0
GXI.DE,D,20080219,000000,27.752244,28.223334,27.752244,28.223334,9042,0
GXI.DE,D,20080220,000000,27.802718,28.080325,27.197031,27.197031,7237,0
GXI.DE,D,20080221,000000,27.34004,27.987789,27.34004,27.853192,32592,0
GXI.DE,D,20080222,000000,27.760656,27.970964,27.390514,27.693358,15037,0
GXI.DE,D,20080225,000000,27.895254,29.140277,27.861604,27.861604,110528,0
GXI.DE,D,20080226,000000,28.0635,28.408405,27.886841,27.920491,30549,0
GXI.DE,D,20080227,000000,27.920491,27.920491,27.382102,27.550348,12316,0
GXI.DE,D,20080228,000000,27.659709,27.836367,25.893121,27.247505,72484,0
GXI.DE,D,20080229,000000,27.424164,27.600822,26.751178,26.911012,53210,0
GXI.DE,D,20080303,000000,26.919424,26.919424,26.32215,26.439922,4083,0
GXI.DE,D,20080304,000000,26.709116,26.709116,25.952008,26.128666,15719,0
GXI.DE,D,20080305,000000,26.490396,27.062434,26.17914,26.481984,25262,0
GXI.DE,D,20080306,000000,26.566107,28.290633,26.414685,27.054022,109396,0
GXI.DE,D,20080307,000000,26.868951,27.550348,26.835301,27.045609,53246,0
GXI.DE,D,20080310,000000,27.331628,27.331628,25.37997,25.37997,45429,0
GXI.DE,D,20080311,000000,25.657576,26.330562,25.430444,25.867884,47943,0
GXI.DE,D,20080312,000000,25.867884,26.868951,25.867884,26.036131,36835,0
GXI.DE,D,20080313,000000,25.817411,25.926771,25.186486,25.220136,11052,0
GXI.DE,D,20080314,000000,25.405207,25.497742,24.648098,24.79952,5356,0
GXI.DE,D,20080317,000000,24.732221,25.497742,24.648098,25.093951,41033,0
GXI.DE,D,20080318,000000,25.422031,25.590278,25.253785,25.321084,28239,0
GXI.DE,D,20080319,000000,25.371558,26.061368,25.371558,25.7417,65382,0
GXI.DE,D,20080320,000000,25.447268,25.7417,25.388382,25.48933,22723,0
GXI.DE,D,20080325,000000,25.750112,26.044543,25.665989,25.825823,47632,0
GXI.DE,D,20080326,000000,26.078192,26.776415,26.078192,26.086605,9976,0
GXI.DE,D,20080327,000000,26.086605,26.43151,25.994069,26.061368,16116,0
GXI.DE,D,20080328,000000,26.280088,26.633406,26.238027,26.633406,9897,0
GXI.DE,D,20080331,000000,26.79324,27.028785,26.616581,26.810064,12720,0
GXI.DE,D,20080401,000000,27.045609,28.013026,27.045609,27.769069,67402,0
GXI.DE,D,20080402,000000,27.752244,29.182339,27.626059,28.89632,22510,0
GXI.DE,D,20080403,000000,28.601888,28.829021,28.181272,28.28222,21373,0
GXI.DE,D,20080404,000000,28.0635,28.113974,27.541936,27.84478,76310,0
GXI.DE,D,20080407,000000,28.071912,28.113974,27.575585,27.870017,15615,0
GXI.DE,D,20080408,000000,27.583998,27.95414,27.541936,27.760656,22484,0
GXI.DE,D,20080409,000000,27.760656,28.601888,27.760656,28.433642,30180,0
GXI.DE,D,20080410,000000,28.601888,28.601888,28.097149,28.273808,13641,0
GXI.DE,D,20080411,000000,28.526178,28.980443,28.357931,28.366344,55324,0
GXI.DE,D,20080414,000000,28.39158,28.42523,28.013026,28.28222,31105,0
GXI.DE,D,20080415,000000,28.105562,28.416817,27.928903,28.366344,51829,0
GXI.DE,D,20080416,000000,25.867884,29.58613,25.48933,27.979377,1893254,0
GXI.DE,D,20080417,000000,27.785893,28.181272,27.37369,27.760656,309867,0
GXI.DE,D,20080418,000000,27.769069,29.022504,27.760656,28.601888,269207,0
GXI.DE,D,20080421,000000,28.770135,30.124518,28.694424,28.702836,70583,0
GXI.DE,D,20080422,000000,29.064566,29.973097,28.871083,29.670253,84117,0
GXI.DE,D,20080423,000000,29.459945,30.031983,28.492528,29.123452,174317,0
GXI.DE,D,20080424,000000,29.417884,29.560893,28.517765,28.854258,42542,0
GXI.DE,D,20080425,000000,28.568239,30.738618,28.509353,30.679732,61772,0
